TF.ID,Target.ID,TF.alias,Target.alias,Activate/Repress,Reference,Note
AT1G10170,AT4G39030,ATNFXL1,EDS5,R,18069941,
AT1G12610,AT1G50960,DDF1,GA2OX7,A,"19043067, 18643985",
AT1G12610,AT2G42540,DDF1,COR15A,A,18643985,
AT1G12610,AT5G17490,DDF1,RGL3,A,18643985,
AT1G12610,AT5G52310,DDF1,LTI78,R,"14871311, 18643985",
AT1G12860,AT5G53210,SCRM2,SPCH,A,18641265,
AT1G12980,AT2G17950,ESR1,WUS,A,12615942,
AT1G12980,AT2G27250,ESR1,CLV3,A,12615942,
AT1G13960,AT2G14610,WRKY4,PR1,R,18570649,
AT1G14350,AT3G54180,FLP,CDKB1;1,R,20675570,
AT1G14350,AT4G34160,FLP,CYCD3;1,A,12509523,
AT1G14920,AT1G15550,GAI,GA3OX1,R,"10517835, 9701576",
AT1G14920,AT2G04240,GAI,XERICO,A,18941053,
AT1G14920,AT2G36270,GAI,ABI5,A,18941053,
AT1G14920,AT3G27920,GAI,GL1,R,16679458,
AT1G14920,AT4G25420,GAI,GA20OX1,R,10517835,
AT1G14920,AT5G61850,GAI,LFY,A,9836739,
AT1G15360,AT1G01120,SHN1,KCS1,A,17449808,
AT1G15360,AT1G02205,SHN1,CER1,A,"17449808, 16415209",
AT1G15360,AT4G24510,SHN1,CER2,A,17449808,
AT1G16490,AT1G15950,MYB58,ATCCR1,A,19122102,
AT1G16490,AT1G51680,MYB58,4CL1,A,19122102,
AT1G16490,AT2G30490,MYB58,C4H,A,19122102,
AT1G16490,AT2G37040,MYB58,PAL1,A,19122102,
AT1G16490,AT2G38080,MYB58,IRX12,A,19122102,
AT1G16490,AT2G40890,MYB58,CYP98A3,A,19122102,
AT1G16490,AT4G34050,MYB58,CCoAOMT1,A,19122102,
AT1G16490,AT4G37970,MYB58,CAD6,A,19122102,
AT1G16490,AT5G48930,MYB58,HCT,A,19122102,
AT1G16490,AT5G54160,MYB58,ATOMT1,A,19122102,
AT1G18570,AT1G74100,MYB51,SOT16,A,17461791,
AT1G18570,AT2G22330,MYB51,CYP79B3,A,17461791,
AT1G18570,AT4G31500,MYB51,CYP83B1,A,"17616737, 17461791",
AT1G18570,AT4G39950,MYB51,CYP79B2,A,17461791,
AT1G18570,AT4G39980,MYB51,DHS1,A,17461791,
AT1G18570,AT5G54810,MYB51,TSB1,A,"17616737, 17461791",
AT1G19220,AT1G04240,ARF19,SHY2,A,"12114578, 15889151",
AT1G19220,AT2G42430,ARF19,LBD16,A,17259263,
AT1G19220,AT3G58190,ARF19,LBD29,A,17259263,
AT1G19220,AT4G14550,ARF19,IAA14,R,16236149,
AT1G19220,AT4G37650,ARF19,SHR,R,16236149,
AT1G19350,AT2G20570,BES1,GPRI1,R,21214652,
AT1G19350,AT2G43060,BES1,IBH1,A,20009022,
AT1G19350,AT4G38850,BES1,SAUR15,A,"15680330, 18599455, 17699623, 144101183",
AT1G19350,AT5G10140,BES1,FLC,R,18495930,
AT1G19350,AT5G44190,BES1,GLK2,R,21214652,
AT1G19350,AT5G57560,BES1,TCH4,A,18467490,
AT1G19850,AT1G01480,MP,ACS2,A,15960614,
AT1G19850,AT1G04550,MP,IAA12,A,21478855,
AT1G19850,AT1G12980,MP,ESR1,A,19369397,
AT1G19850,AT1G19850,MP,MP,A,21478855,
AT1G19850,AT1G73590,MP,PIN1,A,"18685044, 17217464",
AT1G19850,AT3G20840,MP,PLT1,A,16006581,
AT1G19850,AT4G11280,MP,ACS6,A,15960614,
AT1G19850,AT4G32880,MP,ATHB8,A,"20592815, 19901531, 19710171",
AT1G19850,AT4G37770,MP,ACS8,A,15960614,
AT1G21970,AT1G06180,LEC1,MYB13,R,"9681014, 10948227",
AT1G21970,AT1G28300,LEC1,LEC2,A,"16935993, 16731585",
AT1G21970,AT1G62290,LEC1,AT1G62290,A,15695450,
AT1G21970,AT2G17090,LEC1,SSP,A,"17208960, 17522888, 16731585, 18024558, 15695450, 18476867",
AT1G21970,AT2G36270,LEC1,ABI5,A,"17522888, 12045268, 12529517",
AT1G21970,AT2G41260,LEC1,M17,A,12529517,
AT1G21970,AT3G24650,LEC1,ABI3,A,"17208960, 17522888, 145100641, 10634906, 12529517, 16731585, 18024558, 15695450, 9286105, 18476867",
AT1G21970,AT3G26790,LEC1,FUS3,A,"17522888, 18287041, 16731585, 18024558, 18203869, 15695450, 18476867",
AT1G21970,AT3G51810,LEC1,EM1,R,10948227,
AT1G21970,AT3G54320,LEC1,WRI1,A,"19490642, 18689444, 18476867",
AT1G21970,AT4G27160,LEC1,AT2S3,A,18689444,
AT1G21970,AT5G66400,LEC1,AT5G66400,A,12529517,
AT1G22070,AT2G14610,TGA3,PR1,A,"16824183, 12897257, 10659709, 17369431, 11489188",
AT1G23420,AT1G23420,INO,INO,A,"15131247, 10601041, 12183380, 14731261, 15299139",
AT1G23420,AT4G27330,INO,SPL,A,10976054,
AT1G23420,AT4G37750,INO,ANT,A,15131247,
AT1G24260,AT1G69120,SEP3,AP1,R,16854969,
AT1G24260,AT2G17950,SEP3,WUS,R,19138429,
AT1G24260,AT2G22540,SEP3,SVP,R,"18694458, 16679456",
AT1G24260,AT3G54340,SEP3,AP3,A,16098111,
AT1G24260,AT4G18960,SEP3,AG,A,16098111,
AT1G24260,AT4G24540,SEP3,AGL24,R,"18694458, 16679456",
AT1G24590,AT3G15170,DRNL,CUC1,A,"18665917, 17056621",
AT1G25560,AT1G65480,TEM1,FT,R,19695946,
AT1G26310,AT1G69120,CAL,AP1,A,"7627548, 18694458",
AT1G26310,AT5G03840,CAL,TFL1,R,"10648231, 10021331, 15037730",
AT1G26310,AT5G61850,CAL,LFY,A,"10648231, 18784751, 19482969, 18694458, 19482972, 14736918",
AT1G26870,AT1G79580,FEZ,SMB,A,19081078,
AT1G26945,AT1G02340,KDR,HFR1,R,"20009022, 16786307",
AT1G27730,AT1G07890,STZ,APX1,A,17112521,
AT1G27730,AT1G17420,STZ,LOX3,R,20140232,
AT1G27730,AT1G19180,STZ,JAZ1,R,20140232,
AT1G27730,AT3G09640,STZ,APX2,A,"17112521, 19170934, 18156220",
AT1G27730,AT4G25100,STZ,FSD1,A,17112521,
AT1G27730,AT5G52310,STZ,LTI78,R,12032082,
AT1G28300,AT1G04250,LEC2,AXR3,A,18287041,
AT1G28300,AT1G80340,LEC2,GA3OX2,R,"18305206, 15516508",
AT1G28300,AT2G22810,LEC2,ACS4,A,18287041,
AT1G28300,AT2G36270,LEC2,ABI5,R,17522888,
AT1G28300,AT3G24650,LEC2,ABI3,A,"17208960, 17522888, 16731585, 18476867",
AT1G28300,AT3G26790,LEC2,FUS3,A,"17522888, 16731585, 14597573, 18422904, 18476867",
AT1G28300,AT3G54320,LEC2,WRI1,A,"17419836, 18689444",
AT1G28300,AT3G62100,LEC2,IAA30,A,16492731,
AT1G28300,AT4G13260,LEC2,YUC2,A,18287041,
AT1G28300,AT4G14560,LEC2,IAA1,A,18287041,
AT1G28300,AT4G27160,LEC2,AT2S3,A,"16492731, 14597573, 15695463",
AT1G28300,AT5G11320,LEC2,YUC4,A,18287041,
AT1G28300,AT5G13790,LEC2,AGL15,A,"16492731, 18305206",
AT1G28300,AT5G65165,LEC2,SDH2-3,A,19261733,
AT1G30210,AT2G31270,TCP24,CDT1A,R,18818695,
AT1G30210,AT3G54710,TCP24,CDT1B,R,18818695,
AT1G30330,AT2G44810,ARF6,DAD1,A,20007966,
AT1G30490,AT2G17950,PHV,WUS,R,17898423,
AT1G30490,AT5G16560,PHV,KAN,R,"11525739, 12045283",
AT1G32330,AT2G26150,HSFA1D,HSFA2,A,21471117,
AT1G32540,AT1G08830,LOL1,CSD1,R,15980203,
AT1G32640,AT1G17420,MYC2,LOX3,A,"20140232, 15208388",
AT1G32640,AT1G18570,MYC2,MYB51,R,"17616737, 20348432",
AT1G32640,AT1G19180,MYC2,JAZ1,A,20140232,
AT1G32640,AT1G27730,MYC2,STZ,R,17616737,
AT1G32640,AT1G28370,MYC2,ERF11,R,17616737,
AT1G32640,AT1G29930,MYC2,CAB1,A,15923349,
AT1G32640,AT1G32640,MYC2,MYC2,R,17616737,
AT1G32640,AT1G33760,MYC2,AT1G33760,R,17616737,
AT1G32640,AT1G67090,MYC2,RBCS1A,A,15923349,
AT1G32640,AT1G72260,MYC2,THI2.1,R,17215350,
AT1G32640,AT1G77120,MYC2,ADH1,A,"17764576, 12509522",
AT1G32640,AT2G14610,MYC2,PR1,R,16838791,
AT1G32640,AT2G24850,MYC2,TAT3,A,15208388,
AT1G32640,AT2G46340,MYC2,SPA1,A,"20864543, 15173567",
AT1G32640,AT3G04720,MYC2,PR4,R,18657213,
AT1G32640,AT3G12500,MYC2,ATHCHIB,R,15231736,
AT1G32640,AT3G15210,MYC2,ERF4,R,17616737,
AT1G32640,AT3G16470,MYC2,JR1,A,15231736,
AT1G32640,AT3G23240,MYC2,ERF1,R,17616737,
AT1G32640,AT3G45140,MYC2,LOX2,A,18657213,
AT1G32640,AT4G17490,MYC2,ERF6,R,17616737,
AT1G32640,AT5G07100,MYC2,WRKY26,R,17616737,
AT1G32640,AT5G24770,MYC2,VSP2,A,"18657213, 15208388",
AT1G32640,AT5G24780,MYC2,VSP1,A,"19140948, 19342430",
AT1G32640,AT5G25610,MYC2,RD22,A,"12509522, 18711121, 12679534, 9368419, 15548743, 15208388",
AT1G32640,AT5G44420,MYC2,PDF1.2,R,"17616737, 17215350, 19342430, 18042205, 21321051, 18657213",
AT1G32640,AT5G47220,MYC2,ERF2,R,17616737,
AT1G32770,AT1G16490,ANAC012,MYB58,A,19122102,
AT1G32770,AT1G17950,ANAC012,MYB52,A,18952777,
AT1G32770,AT1G28470,ANAC012,ANAC010,A,18952777,
AT1G32770,AT1G62990,ANAC012,KNAT7,A,"18952777, 17890373",
AT1G32770,AT1G66230,ANAC012,MYB20,A,18952777,
AT1G32770,AT1G73410,ANAC012,MYB54,A,18952777,
AT1G32770,AT1G79180,ANAC012,MYB63,A,19122102,
AT1G32770,AT4G12350,ANAC012,MYB42,A,18952777,
AT1G32770,AT4G22680,ANAC012,MYB85,A,"18952777, 17890373",
AT1G32770,AT4G28500,ANAC012,ANAC073,A,18952777,
AT1G32770,AT4G33450,ANAC012,MYB69,A,18952777,
AT1G32770,AT5G12870,ANAC012,MYB46,A,"18952777, 17890373",
AT1G32770,AT5G16600,ANAC012,MYB43,A,18952777,
