"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","altId1","altId2","source","sourceLink","intType","species"
"Q8W2F3","Q8VZ87","NF-YC8","CAB3","PIF4","CAB3","F15F15.1","AB180","AT2G43010","AT1G29910","atrm","16500988","regulates","txid3702"
"Q8W2F3","Q9LLR7","NF-YC8","AT1G48610","PIF4","LTP3","F15F15.1","T1N15.24","AT2G43010","AT5G59320","atrm","18216857","regulates","txid3702"
"Q8W2F3","Q38911","NF-YC8","XTH15","PIF4","XTR7","F15F15.1","DL3105C","AT2G43010","AT4G14130","atrm","15705950","regulates","txid3702"
"Q8W2F3","P13114","NF-YC8","TT4","PIF4","TT4","F15F15.1","ATCHS","AT2G43010","AT5G13930","atrm","15705950;16500988","regulates","txid3702"
"Q84LH8","Q9T065","NF-YC7","GRF3","PIL6","ACS8","MBA10.2","GF14PSI ISOFORM","AT3G59060","AT4G37770","atrm","18065691","regulates","txid3702"
"Q84LH8","Q43309","NF-YC7","XBAT32","PIL6","ACS4","MBA10.2","MRI1.10","AT3G59060","AT2G22810","atrm","18065691","regulates","txid3702"
"Q84LH8","P14714","NF-YC7","PHYC","PIL6","PHYC","MBA10.2","MIK22.15","AT3G59060","AT5G35840","atrm","18065691","regulates","txid3702"
"Q39057","Q38840","CO","AGL17","CO","AGL17","CONSTANS","AGAMOUS-like 17","AT5G15840","AT2G22630","atrm","18363787","regulates","txid3702"
"Q39057","O64645","CO","AGL20","CO","AGL20","CONSTANS","AGAMOUS-like 20","AT5G15840","AT2G45660","atrm","17219103;16183837;15618421;18363787;12169635;12940954;18298670","regulates","txid3702"
"Q39057","Q94C26","CO","CSN5B","CO","PCC1","CONSTANS","AJH2","AT5G15840","AT3G22231","atrm","19781011","regulates","txid3702"
"Q39057","Q00958","CO","BRM","CO","LFY","CONSTANS","ARABIDOPSIS THALIANA BRAHMA","AT5G15840","AT5G61850","atrm","9136624;9596637;10583960;10363371;18363787;10995392;9836739;10406123","regulates","txid3702"
"Q39057","P35631","CO","AP1","CO","AP1","CONSTANS","AGAMOUS-like 7","AT5G15840","AT1G69120","atrm","12837818;19432994;10406123","regulates","txid3702"
"Q39057","Q9SXZ2","CO","FT","CO","FT","CONSTANS","F5I14.3","AT5G15840","AT1G65480","atrm","14630968;17219103;19582143;16183837;18676661;12700762;20472817;12239570;17965272;14628054;18296627;16980594;19154317;17138697","regulates","txid3702"
"Q39057","Q9S7R5","CO","BRC1","CO","TSF","CONSTANS","ATTCP18","AT5G15840","AT4G20370","atrm","18667727;15951566;19154317","regulates","txid3702"
"O80536","Q39194","PIF3","RGS1","PIF3","PSBW","F14J9.19","ATRGS1","AT1G09530","AT2G30570","atrm","18245378","regulates","txid3702"
"O80536","P92973","PIF3","MPK2","PIF3","CCA1","F14J9.19","ATMPK2","AT1G09530","AT2G46830","atrm","12574129;12679534;14563930;12096092;12119373;11402169;12509533;12805602","regulates","txid3702"
"O80536","Q6R0H1","PIF3","LHY","PIF3","LHY","F14J9.19","LATE ELONGATED HYPOCOTYL","AT1G09530","AT1G01060","atrm","12574129;10995393;12679534;10797009;12096092;11402169;12509533","regulates","txid3702"
