1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01165	yhhA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01179	mioC	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01200	argH	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01203	leuA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01221	uspE	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01223	mazF	-+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01230	iraP	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01243	ilvL	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01248	ivbL	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01250	thrL	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01251	pyrL	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01252	leuL	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01264	yghA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01281	dusB	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01295	acnA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01299	gabD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01300	gabP	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01308	msyB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01330	gluQ	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01341	folK	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01345	sufA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01348	glgS	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01356	uspA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01357	osmY	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01363	hdeA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01364	hdeB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01365	yhiD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01369	ychF	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01380	dps	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01409	csrA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01445	gadB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01447	qorA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01450	hdeD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01463	sra	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01470	ycgB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01483	fadD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01484	cfa	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01486	ychH	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01493	wrbA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01497	gadE	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01523	thiQ	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01524	thiP	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01525	thiB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01526	leuD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01527	leuC	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01528	leuB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01687	otsA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01688	otsB	+	W 
