uniprot_protein_id	go_term	qualifier
B1X6C1	GO:0016679	enables
B1X6C1	GO:0020037	enables
B1X6C1	GO:0046872	enables
B1X6C1	GO:0030091	involved_in
B1X6C1	GO:0005886	located_in
B1X6C1	GO:0016020	located_in
B1X6C4	GO:0004177	enables
B1X6C4	GO:0008233	enables
B1X6C4	GO:0008237	enables
B1X6C4	GO:0008270	enables
B1X6C4	GO:0016787	enables
B1X6C4	GO:0046872	enables
B1X6C4	GO:0006508	involved_in
B1X6C4	GO:0005737	located_in
B1X6C4	GO:0005829	located_in
B1X6D4	GO:0004764	enables
B1X6D4	GO:0016491	enables
B1X6D4	GO:0050661	enables
B1X6D4	GO:0008652	involved_in
B1X6D4	GO:0009073	involved_in
B1X6D4	GO:0009423	involved_in
B1X6D4	GO:0019632	involved_in
B1X6D4	GO:0005829	located_in
B1X6D5	GO:0000049	enables
B1X6D5	GO:0000166	enables
B1X6D5	GO:0003725	enables
B1X6D5	GO:0005524	enables
B1X6D5	GO:0016740	enables
B1X6D5	GO:0016779	enables
B1X6D5	GO:0061710	enables
B1X6D5	GO:0002949	involved_in
B1X6D5	GO:0006450	involved_in
B1X6D5	GO:0008033	involved_in
B1X6D5	GO:0005737	located_in
B1X6D9	GO:0016787	enables
B1X6D9	GO:0042586	enables
B1X6D9	GO:0046872	enables
B1X6D9	GO:0006412	involved_in
B1X6D9	GO:0043686	involved_in
B1X6E0	GO:0003824	enables
B1X6E0	GO:0004479	enables
B1X6E0	GO:0016740	enables
B1X6E0	GO:0006412	involved_in
B1X6E0	GO:0006413	involved_in
B1X6E0	GO:0019988	involved_in
B1X6E0	GO:0071951	involved_in
B1X6E0	GO:0005829	located_in
B1X6E1	GO:0003723	enables
B1X6E1	GO:0008168	enables
B1X6E1	GO:0008173	enables
B1X6E1	GO:0008649	enables
B1X6E1	GO:0009383	enables
B1X6E1	GO:0016434	enables
B1X6E1	GO:0016740	enables
B1X6E1	GO:0001510	involved_in
B1X6E1	GO:0006355	involved_in
B1X6E1	GO:0006364	involved_in
B1X6E1	GO:0031167	involved_in
B1X6E1	GO:0032259	involved_in
B1X6E1	GO:0070475	involved_in
B1X6E1	GO:0005737	located_in
B1X6E1	GO:0005829	located_in
B1X6E2	GO:0008381	enables
B1X6E2	GO:0006811	involved_in
B1X6E2	GO:0034220	involved_in
B1X6E2	GO:0005886	located_in
B1X6E2	GO:0016020	located_in
B1X6E6	GO:0003735	enables
B1X6E6	GO:0006412	involved_in
B1X6E6	GO:0005840	located_in
B1X6E6	GO:0015934	part_of
B1X6E6	GO:0022625	part_of
B1X6E6	GO:1990904	part_of
B1X6E8	GO:0003723	enables
B1X6E8	GO:0003735	enables
B1X6E8	GO:0019843	enables
B1X6E8	GO:0006412	involved_in
B1X6E8	GO:0042274	involved_in
B1X6E8	GO:0005840	located_in
B1X6E8	GO:0015935	part_of
B1X6E8	GO:1990904	part_of
B1X6E9	GO:0003723	enables
B1X6E9	GO:0003735	enables
B1X6E9	GO:0019843	enables
B1X6E9	GO:0006412	involved_in
B1X6E9	GO:0005840	located_in
B1X6E9	GO:1990904	part_of
