protein1 protein2 homology experiments experiments_transferred database database_transferred textmining textmining_transferred combined_score
511145.b0008 511145.b2926 0 0 0 0 0 0 156 155
511145.b0008 511145.b1779 0 0 0 0 0 385 133 443
511145.b0008 511145.b2935 0 0 146 0 0 169 0 259
511145.b0009 511145.b2991 0 399 75 0 0 0 0 420
511145.b0009 511145.b0785 0 0 0 0 0 0 154 153
511145.b0009 511145.b2231 0 451 0 0 0 0 0 451
511145.b0009 511145.b1224 0 399 0 0 0 0 0 398
511145.b0009 511145.b0781 0 0 0 0 0 0 155 154
511145.b0009 511145.b1727 0 559 0 0 0 0 0 559
511145.b0009 511145.b0782 0 0 0 900 0 0 0 900
511145.b0009 511145.b1864 0 343 0 0 0 0 0 343
511145.b0009 511145.b0783 0 0 0 0 0 0 156 155
511145.b0009 511145.b3856 0 399 0 0 0 0 0 398
511145.b0009 511145.b0827 0 399 0 0 0 0 0 398
511145.b0011 511145.b1073 0 399 77 0 0 0 0 421
511145.b0011 511145.b1778 0 399 0 0 0 0 0 398
511145.b0014 511145.b3310 0 0 283 0 0 0 0 282
511145.b0014 511145.b2274 0 0 264 0 135 0 49 341
511145.b0014 511145.b3304 0 0 259 0 0 0 67 279
511145.b0014 511145.b2518 0 83 248 0 0 0 0 280
511145.b0014 511145.b2811 0 457 0 0 0 0 0 457
511145.b0014 511145.b0929 0 0 0 0 0 161 0 161
511145.b0014 511145.b0032 0 0 0 0 0 286 0 286
511145.b0014 511145.b3316 0 0 257 0 0 0 0 256
511145.b0014 511145.b3297 0 0 267 0 0 0 0 267
511145.b0014 511145.b2851 0 0 264 0 135 0 49 341
511145.b0014 511145.b0605 0 0 200 0 0 0 133 276
511145.b0014 511145.b3303 0 0 276 0 0 0 0 276
511145.b0014 511145.b0169 0 53 280 0 0 0 137 360
511145.b0014 511145.b3342 0 0 241 0 0 0 0 240
511145.b0014 511145.b1000 0 412 0 0 227 145 139 620
511145.b0014 511145.b3295 0 0 171 0 0 389 139 525
511145.b0014 511145.b0525 0 0 169 0 126 0 100 289
511145.b0014 511145.b0318 0 0 281 0 112 0 133 398
511145.b0014 511145.b0473 0 457 463 0 309 427 139 882
511145.b0014 511145.b0474 0 0 241 0 0 0 0 240
511145.b0014 511145.b1387 0 0 43 0 0 0 202 203
511145.b0014 511145.b1923 0 0 0 0 0 301 139 372
511145.b0014 511145.b0015 0 952 0 0 227 982 139 999
511145.b0014 511145.b2463 0 0 0 0 0 404 140 465
511145.b0014 511145.b3461 0 549 0 0 0 69 0 562
511145.b0014 511145.b3340 0 0 162 0 0 0 139 247
511145.b0014 511145.b3296 0 0 255 0 0 0 0 254
511145.b0014 511145.b2926 0 78 74 0 0 0 134 196
511145.b0014 511145.b2522 0 0 264 0 135 0 49 341
511145.b0014 511145.b2927 0 0 137 0 90 0 105 235
511145.b0014 511145.b3315 0 0 241 0 0 0 0 240
511145.b0014 511145.b3596 0 0 152 0 0 0 54 163
511145.b0014 511145.b4207 0 0 146 0 208 0 97 335
511145.b0014 511145.b2567 0 0 72 0 0 0 133 161
511145.b0014 511145.b0894 0 457 0 0 0 0 0 457
511145.b0014 511145.b1779 0 70 137 0 90 0 105 258
511145.b0014 511145.b2275 0 0 264 0 135 0 49 341
511145.b0014 511145.b3983 0 0 253 0 0 0 0 252
511145.b0014 511145.b3734 0 0 81 0 0 118 0 154
511145.b0014 511145.b3210 0 0 42 0 88 0 295 330
511145.b0014 511145.b3313 0 0 463 0 0 0 133 514
511145.b0014 511145.b2779 0 76 282 0 0 0 133 374
511145.b0014 511145.b1493 0 78 67 0 144 0 0 199
511145.b0014 511145.b3308 0 0 259 0 0 0 0 258
511145.b0014 511145.b0932 0 0 75 0 0 0 135 165
511145.b0014 511145.b2610 0 0 0 0 0 239 0 238
511145.b0014 511145.b0049 0 0 275 0 0 0 0 275
511145.b0014 511145.b2721 0 526 0 0 0 0 0 526
511145.b0014 511145.b3807 0 0 75 0 54 0 132 174
511145.b0014 511145.b3686 0 0 70 0 0 591 105 629
511145.b0014 511145.b1646 0 0 157 0 0 0 133 237
511145.b0014 511145.b3702 0 0 0 0 0 374 0 374
511145.b0014 511145.b2529 0 78 128 0 0 0 139 247
511145.b0014 511145.b3320 0 0 269 0 0 0 0 269
511145.b0014 511145.b0881 0 457 0 0 0 0 0 457
511145.b0014 511145.b2614 0 960 188 0 49 970 139 999
511145.b0014 511145.b3987 0 0 75 0 0 384 139 466
511145.b0014 511145.b3321 0 0 281 0 0 0 0 281
511145.b0014 511145.b2530 0 78 0 0 0 0 133 166
511145.b0014 511145.b2237 0 0 211 0 91 0 94 293
511145.b0014 511145.b3363 0 0 169 0 126 0 100 289
511145.b0014 511145.b3306 0 0 276 0 0 0 0 276
511145.b0014 511145.b3298 0 0 257 0 0 0 139 332
511145.b0014 511145.b1103 0 83 0 0 0 126 86 203
511145.b0014 511145.b4179 0 0 121 0 0 333 138 450
511145.b0014 511145.b0826 0 79 74 0 0 0 100 165
511145.b0014 511145.b0161 0 0 75 0 0 174 93 246
511145.b0014 511145.b3532 0 0 264 0 135 0 49 341
511145.b0014 511145.b0647 0 0 152 0 0 0 54 163
511145.b0014 511145.b1120 0 0 75 0 252 0 0 278
511145.b0014 511145.b0911 0 559 59 0 0 0 0 567
511145.b0014 511145.b4142 0 79 157 0 0 84 140 306
511145.b0014 511145.b2526 0 78 0 0 0 272 0 300
511145.b0014 511145.b2527 0 0 72 0 0 0 139 166
511145.b0014 511145.b0059 0 0 279 0 0 0 102 324
511145.b0014 511145.b4078 0 0 152 0 0 0 54 163
511145.b0014 511145.b3319 0 53 233 0 0 0 130 312
511145.b0014 511145.b3985 0 53 252 0 0 0 0 261
511145.b0014 511145.b3311 0 0 241 0 0 0 0 240
511145.b0014 511145.b0649 0 0 264 0 135 0 49 341
511145.b0014 511145.b2786 0 0 42 0 88 0 144 186
511145.b0014 511145.b3317 0 0 262 0 0 240 0 415
511145.b0014 511145.b0957 0 0 0 0 0 367 0 367
511145.b0014 511145.b3302 0 0 257 0 0 0 0 256
511145.b0014 511145.b3347 0 0 146 0 208 0 97 335
511145.b0014 511145.b2231 0 559 0 0 0 0 0 559
511145.b0014 511145.b3318 0 0 272 0 0 0 0 272
511145.b0014 511145.b3207 0 0 211 0 91 0 94 293
511145.b0014 511145.b3165 0 0 263 0 0 0 0 263
511145.b0014 511145.b0424 0 457 74 0 46 0 65 491
511145.b0014 511145.b3517 0 78 67 0 144 0 0 199
511145.b0014 511145.b0033 0 0 78 0 0 0 120 153
511145.b0014 511145.b3300 0 0 148 0 0 0 139 235
511145.b0014 511145.b3168 0 67 74 0 0 0 291 333
511145.b0014 511145.b2592 0 559 0 0 0 535 105 800
511145.b0014 511145.b3164 0 457 0 0 0 0 0 457
511145.b0014 511145.b4172 0 69 0 0 0 0 139 164
511145.b0014 511145.b0383 0 900 0 0 0 0 0 900
511145.b0014 511145.b4051 0 83 67 0 0 0 99 161
511145.b0014 511145.b3301 0 0 246 0 0 0 0 245
511145.b0014 511145.b2627 0 79 76 0 0 0 102 169
511145.b0014 511145.b0644 0 0 152 0 0 0 54 163
511145.b0014 511145.b1411 0 0 157 0 141 0 139 322
511145.b0014 511145.b3341 0 0 251 0 0 0 0 250
511145.b0014 511145.b4052 0 0 0 0 0 281 0 281
511145.b0014 511145.b1084 0 457 0 0 0 0 0 457
511145.b0014 511145.b3314 0 0 281 0 0 0 0 281
511145.b0014 511145.b1719 0 83 0 0 0 0 133 170
511145.b0014 511145.b3309 0 0 274 0 0 0 0 274
511145.b0014 511145.b2582 0 83 73 0 0 306 0 358
511145.b0014 511145.b2370 0 0 42 0 88 0 224 262
511145.b0014 511145.b2542 0 0 69 0 0 0 133 158
511145.b0014 511145.b3783 0 0 0 0 0 344 132 406
511145.b0014 511145.b0055 0 0 72 0 0 301 139 392
511145.b0014 511145.b2195 0 0 238 0 129 0 133 374
511145.b0014 511145.b0993 0 0 42 0 88 0 138 181
511145.b0014 511145.b3648 0 0 254 0 0 0 0 254
511145.b0014 511145.b4143 0 457 190 0 43 0 203 619
511145.b0014 511145.b3349 0 0 0 0 0 409 139 469
511145.b0014 511145.b3305 0 53 262 0 0 0 0 271
511145.b0014 511145.b3231 0 0 263 0 0 0 0 263
511145.b0014 511145.b0646 0 0 264 0 135 0 49 341
511145.b0015 511145.b2518 0 0 460 0 0 0 95 490
511145.b0015 511145.b2281 0 0 246 0 0 0 0 245
511145.b0015 511145.b0882 0 98 73 0 0 0 154 230
511145.b0015 511145.b0014 0 952 0 0 227 982 139 999
511145.b0015 511145.b1089 0 0 457 0 0 0 0 457
511145.b0015 511145.b0419 0 0 212 0 0 0 0 212
511145.b0015 511145.b2324 0 0 165 0 0 0 0 165
511145.b0015 511145.b3310 0 0 478 0 0 0 0 478
511145.b0015 511145.b2274 0 0 206 0 0 0 63 224
511145.b0015 511145.b1386 0 0 273 0 0 0 0 273
511145.b0015 511145.b2925 0 0 218 0 0 0 0 218
511145.b0015 511145.b3297 0 0 392 0 0 0 0 392
511145.b0015 511145.b2341 0 0 256 0 0 0 0 256
511145.b0015 511145.b3687 0 108 174 0 0 0 146 315
511145.b0015 511145.b0436 0 0 0 0 0 0 283 282
511145.b0015 511145.b0605 0 0 70 0 0 0 133 159
511145.b0015 511145.b2851 0 0 206 0 0 0 63 224
511145.b0015 511145.b3619 0 0 256 0 0 0 0 256
511145.b0015 511145.b1394 0 0 256 0 0 0 0 256
511145.b0015 511145.b1308 0 0 206 0 0 0 0 206
511145.b0015 511145.b4200 0 82 457 0 0 0 0 480
511145.b0015 511145.b3292 0 0 276 0 0 0 93 315
511145.b0015 511145.b0607 0 363 0 0 0 0 0 363
511145.b0015 511145.b1078 0 0 262 0 0 0 0 262
511145.b0015 511145.b2097 0 88 0 0 0 284 0 319
511145.b0015 511145.b0771 0 0 283 0 0 0 65 300
511145.b0015 511145.b3342 0 0 454 0 0 0 0 454
511145.b0015 511145.b1406 0 0 212 0 0 0 0 212
511145.b0015 511145.b2016 0 0 256 0 0 0 0 256
511145.b0015 511145.b3303 0 78 447 0 0 0 0 468
511145.b0015 511145.b3307 0 84 423 0 0 0 0 448
511145.b0015 511145.b3725 0 218 0 0 0 0 0 218
511145.b0015 511145.b0169 0 78 429 0 0 0 0 451
