tf_id	tf_uniprot_id	tf_name	target_id	target_uniprot_id	target_name	activate/repress	source
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00327	P0A8Q3	frdD	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00630	P09152	narG	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00631	P11349	narH	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00632	P11350	narI	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00633	P0AF26	narJ	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00634	P10903	narK	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00645	P08201	nirB	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00646	P0AC26	nirC	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00647	P0A9I8	nirD	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00660	P0AFH0	ogt	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00692	P09373	pflB	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC00744	P07003	poxB	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01107	P0A915	ompW	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01202	P0ABN5	dcuA	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01204	P24183	fdnG	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01205	P0AAJ3	fdnH	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01206	P0AEK7	fdnI	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01232	P0AC23	focA	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01712	P0ABK9	nrfA	-+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01869	P0ABL1	nrfB	-+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01870	P0AAK7	nrfC	-+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01871	P32709	nrfD	-+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01872	P32710	nrfE	-+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01873	P32711	nrfF	-+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01874	P32712	nrfG	-+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01961	P0ABM9	ccmH	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01962	P0AA86	ccmG	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01963	P33927	ccmF	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01964	P69490	ccmE	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01965	P0ABM1	ccmC	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01966	P0ABL8	ccmB	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01967	P33931	ccmA	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01968	P0ABL5	napC	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01969	P0ABL3	napB	-	regulonDB
