"protein_1_locus","protein_1_name","protein_2_locus","protein_2_name"
"BSU_00010","DnaA","BSU_00020","DnaN"
"BSU_00020","DnaN","BSU_00330","YabA"
"BSU_00850","McsB","BSU_34540","ClpP"
"BSU_14990","RicF","BSU_17020","RicA"
"BSU_00320","RicT","BSU_17020","RicA"
"BSU_14990","RicF","BSU_00320","RicT"
"BSU_11460","OppD","BSU_11470","OppF"
"BSU_11460","OppD","BSU_11440","OppB"
"BSU_11460","OppD","BSU_11450","OppC"
"BSU_11460","OppD","BSU_11430","OppA"
"BSU_11470","OppF","BSU_11440","OppB"
"BSU_11470","OppF","BSU_11450","OppC"
"BSU_11430","OppA","BSU_11470","OppF"
"BSU_11440","OppB","BSU_11450","OppC"
"BSU_11430","OppA","BSU_11440","OppB"
"BSU_11430","OppA","BSU_11450","OppC"
"BSU_12950","DppD","BSU_13000","YkfD"
"BSU_12930","DppB","BSU_12950","DppD"
"BSU_12950","DppD","BSU_12940","DppC"
"BSU_12950","DppD","BSU_12960","DppE"
"BSU_12930","DppB","BSU_13000","YkfD"
"BSU_13000","YkfD","BSU_12940","DppC"
"BSU_12960","DppE","BSU_13000","YkfD"
"BSU_12930","DppB","BSU_12940","DppC"
"BSU_12930","DppB","BSU_12960","DppE"
"BSU_12960","DppE","BSU_12940","DppC"
"BSU_24950","PstBB","BSU_24960","PstBA"
"BSU_24960","PstBA","BSU_24970","PstA"
"BSU_24960","PstBA","BSU_24980","PstC"
"BSU_24960","PstBA","BSU_24990","PstS"
"BSU_24950","PstBB","BSU_24970","PstA"
"BSU_24950","PstBB","BSU_24980","PstC"
"BSU_24950","PstBB","BSU_24990","PstS"
"BSU_24970","PstA","BSU_24980","PstC"
"BSU_24970","PstA","BSU_24990","PstS"
"BSU_24980","PstC","BSU_24990","PstS"
"BSU_30420","YtrE","BSU_30450","YtrB"
"BSU_30440","YtrC","BSU_30450","YtrB"
"BSU_30430","YtrD","BSU_30450","YtrB"
"BSU_30410","YtrF","BSU_30450","YtrB"
"BSU_30440","YtrC","BSU_30420","YtrE"
"BSU_30420","YtrE","BSU_30430","YtrD"
