"protein_1_locus","protein_1_name","protein_2_locus","protein_2_name"
"BSU_40440","DnaC","BSU_29230","DnaE"
"BSU_03890","GabR","BSU_03890","GabR"
"BSU_29230","DnaE","BSU_00020","DnaN"
"BSU_29230","DnaE","BSU_40900","SsbA"
"BSU_29230","DnaE","BSU_25210","DnaG"
"BSU_29230","DnaE","BSU_25560","HolA"
"BSU_28990","DnaB","BSU_00190","DnaX"
"BSU_15710","PriA","BSU_22350","DnaD"
"BSU_09200","YhcS","BSU_07840","YfkN"
"BSU_09200","YhcS","BSU_09190","YhcR"
"BSU_13450","SigI","BSU_13460","RsgI"
"BSU_00020","DnaN","BSU_23710","PolY2"
"BSU_17900","SirA","BSU_00010","DnaA"
"BSU_33510","CopZ","BSU_33500","CopA"
"BSU_00640","SpoIIE","BSU_15420","DivIVA"
"BSU_13950","McpC","BSU_23980","ArtP"
"BSU_16600","NusA","BSU_01070","RpoB"
"BSU_37110","YwjH","BSU_37110","YwjH"
"BSU_01550","GerD","BSU_01550","GerD"
"BSU_28030","MreB","BSU_28030","MreB"
"BSU_05750","Fra","BSU_05750","Fra"
"BSU_14300","MoaE","BSU_14310","MoaD"
"BSU_14470","MreBH","BSU_28030","MreB"
"BSU_32680","SufU","BSU_18000","CitB"
"BSU_24520","MntR","BSU_24520","MntR"
"BSU_25250","CcpN","BSU_25250","CcpN"
"BSU_04660","NdoA","BSU_04660","NdoA"
"BSU_16170","CodY","BSU_16170","CodY"
"BSU_33950","CggR","BSU_33950","CggR"
"BSU_16110","DprA","BSU_16110","DprA"
"BSU_09950","PrsA","BSU_09950","PrsA"
"BSU_32730","MetQ","BSU_13950","McpC"
"BSU_39700","IolG","BSU_39700","IolG"
"BSU_03380","YckB","BSU_13950","McpC"
"BSU_05910","TsaE","BSU_05910","TsaE"
"BSU_41040","YidC1","BSU_41040","YidC1"
"BSU_00110","PdxS","BSU_00120","PdxT"
"BSU_40360","HtrC","BSU_22920","YpeB"
"BSU_21920","UgtP","BSU_21920","UgtP"
"BSU_09420","LytE","BSU_15290","FtsZ"
"BSU_09420","LytE","BSU_15160","PbpB"
"BSU_15950","FtsY","BSU_15980","Ffh"
"BSU_misc_RNA_2","Scr","BSU_15980","Ffh"
"BSU_15970","YlxM","BSU_15980","Ffh"
"BSU_misc_RNA_2","Scr","BSU_15950","FtsY"
"BSU_15970","YlxM","BSU_15950","FtsY"
"BSU_misc_RNA_2","Scr","BSU_15970","YlxM"
"BSU_11750","CotY","BSU_11750","CotY"
"BSU_28200","LonA","BSU_28200","LonA"
"BSU_28050","Maf","BSU_28050","Maf"
"BSU_31910","YukE","BSU_31910","YukE"
"BSU_17030","CotE","BSU_17030","CotE"
"BSU_24610","SinR","BSU_38229","SlrA"
"BSU_35240","CtpB","BSU_35240","CtpB"
"BSU_29190","PfkA","BSU_29190","PfkA"
"BSU_24600","SinI","BSU_24610","SinR"
"BSU_18380","IseA","BSU_09370","LytF"
"BSU_14150","YkuN","BSU_13740","QueE"
"BSU_11600","SasB","BSU_11600","SasB"
"BSU_00290","DarA","BSU_00290","DarA"
"BSU_07920","ChaA","BSU_07920","ChaA"
"BSU_17660","YncF","BSU_17660","YncF"
"BSU_01180","RplW","BSU_28230","Tig"
"BSU_31100","KtrB","BSU_31100","KtrB"
"BSU_20020","YosS","BSU_20020","YosS"
"BSU_28610","ZapA","BSU_28610","ZapA"
"BSU_28110","SpoVID","BSU_27840","SafA"
"BSU_01240","RpmC","BSU_28230","Tig"
"BSU_32690","SufS","BSU_32690","SufS"
"BSU_17460","GlnA","BSU_17460","GlnA"
"BSU_16410","FlhG","BSU_16410","FlhG"
"BSU_29805","SftA","BSU_29805","SftA"
"BSU_34800","CwlO","BSU_35250","FtsX"
"BSU_16970","YmdB","BSU_16970","YmdB"
"BSU_36310","SsbB","BSU_36310","SsbB"
"BSU_22030","DynA","BSU_22030","DynA"
"BSU_22490","DapB","BSU_22490","DapB"
"BSU_00330","YabA","BSU_00330","YabA"
"BSU_03050","Ldh","BSU_03050","Ldh"
"BSU_13990","KinA","BSU_13990","KinA"
"BSU_32110","YumC","BSU_32110","YumC"
"BSU_19630","DeoD","BSU_19630","DeoD"
"BSU_00690","FtsH","BSU_00690","FtsH"
"BSU_33900","Eno","BSU_33900","Eno"
"BSU_00860","ClpC","BSU_00860","ClpC"
"BSU_13700","ClpE","BSU_13700","ClpE"
"BSU_03340","FolEB","BSU_03340","FolEB"
"BSU_16150","ClpQ","BSU_16150","ClpQ"
"BSU_00480","YabJ","BSU_00480","YabJ"
"BSU_28220","ClpX","BSU_28220","ClpX"
"BSU_00640","SpoIIE","BSU_00640","SpoIIE"
"BSU_01740","RsiW","BSU_22940","PrsW"
"BSU_06600","PcrB","BSU_06600","PcrB"
"BSU_24390","SpoIIIAE","BSU_41040","YidC1"
"BSU_35239","SwrAA/2","BSU_28200","LonA"
"BSU_35239","SwrAA/2","BSU_35319","SmiA"
"BSU_10550","NtdA","BSU_10550","NtdA"
"BSU_41050","RnpA","BSU_41050","RnpA"
"BSU_30340","YtvA","BSU_30340","YtvA"
"BSU_14120","AbbA","BSU_14120","AbbA"
"BSU_24870","YqgP","BSU_24870","YqgP"
"BSU_23210","ScpB","BSU_23210","ScpB"
"BSU_13580","MtnE","BSU_13580","MtnE"
"BSU_03960","YcnK","BSU_03960","YcnK"
"BSU_25100","Zur","BSU_25100","Zur"
"BSU_39540","YxeI","BSU_39540","YxeI"
"BSU_30490","MnmM","BSU_30490","MnmM"
"BSU_15310","SpoIIGA","BSU_15320","SigE"
"BSU_14190","YkuR","BSU_14190","YkuR"
"BSU_17040","MutS","BSU_17040","MutS"
"BSU_40960","ParB","BSU_40960","ParB"
"BSU_00020","DnaN","BSU_00020","DnaN"
"BSU_16960","Rny","BSU_16960","Rny"
"BSU_23020","RecS","BSU_40900","SsbA"
"BSU_40900","SsbA","BSU_19220","RecQ"
"BSU_15940","Smc","BSU_15940","Smc"
"BSU_22310","RecU","BSU_22310","RecU"
"BSU_08330","LnrN","BSU_23450","SigF"
"BSU_14530","RnjA","BSU_16960","Rny"
"BSU_16960","Rny","BSU_04580","CshA"
"BSU_16960","Rny","BSU_29190","PfkA"
"BSU_14530","RnjA","BSU_16780","RnjB"
"BSU_14530","RnjA","BSU_04580","CshA"
"BSU_14530","RnjA","BSU_29190","PfkA"
"BSU_16690","PnpA","BSU_04580","CshA"
"BSU_16690","PnpA","BSU_29190","PfkA"
"BSU_01430","RpoA","BSU_01430","RpoA"
"BSU_25200","SigA","BSU_01430","RpoA"
"BSU_06610","PcrA","BSU_01070","RpoB"
"BSU_37160","RpoE","BSU_01070","RpoB"
"BSU_14540","RpoY","BSU_01070","RpoB"
"BSU_08390","BstA","BSU_08390","BstA"
"BSU_29130","Icd","BSU_29130","Icd"
"BSU_27320","GreA","BSU_01070","RpoB"
"BSU_22180","GpsB","BSU_22180","GpsB"
"BSU_37160","RpoE","BSU_01080","RpoC"
"BSU_14540","RpoY","BSU_01080","RpoC"
"BSU_15690","YloH","BSU_01080","RpoC"
"BSU_16600","NusA","BSU_01080","RpoC"
"BSU_27320","GreA","BSU_01080","RpoC"
"BSU_01080","RpoC","BSU_06610","PcrA"
"BSU_14540","RpoY","BSU_37160","RpoE"
"BSU_11500","Spx","BSU_25200","SigA"
"BSU_01430","RpoA","BSU_14540","RpoY"
"BSU_32690","SufS","BSU_32680","SufU"
"BSU_10630","AddA","BSU_10620","AddB"
"BSU_00690","FtsH","BSU_31010","FloT"
"BSU_40900","SsbA","BSU_27480","RecD2"
"BSU_34100","RsbQ","BSU_34110","RsbP"
"BSU_30380","BceA","BSU_30370","BceB"
"BSU_25380","FloA","BSU_31010","FloT"
"BSU_22800","SpoIVA","BSU_27840","SafA"
"BSU_37460","RapF","BSU_31680","ComA"
"BSU_16940","RecA","BSU_16110","DprA"
"BSU_37460","RapF","BSU_37470","PhrF"
"BSU_31010","FloT","BSU_23110","ResE"
"BSU_11750","CotY","BSU_11740","CotZ"
"BSU_28110","SpoVID","BSU_17030","CotE"
"BSU_35380","FliW","BSU_35370","CsrA"
"BSU_05940","TsaD","BSU_05920","TsaB"
"BSU_05980","TatAY","BSU_05990","TatCY"
"BSU_29730","MotP","BSU_29720","MotS"
"BSU_15290","FtsZ","BSU_29610","EzrA"
"BSU_35260","FtsE","BSU_35250","FtsX"
"BSU_27920","Obg","BSU_01490","RplM"
"BSU_35800","GerBA","BSU_33060","GerAB"
"BSU_33060","GerAB","BSU_35810","GerBB"
"BSU_33060","GerAB","BSU_35820","GerBC"
"BSU_33060","GerAB","BSU_03700","GerKA"
"BSU_33060","GerAB","BSU_03720","GerKB"
"BSU_33060","GerAB","BSU_03710","GerKC"
"BSU_01550","GerD","BSU_33060","GerAB"
"BSU_35800","GerBA","BSU_33070","GerAC"
"BSU_35810","GerBB","BSU_33070","GerAC"
"BSU_35820","GerBC","BSU_33070","GerAC"
"BSU_33070","GerAC","BSU_03700","GerKA"
"BSU_03720","GerKB","BSU_33070","GerAC"
"BSU_03710","GerKC","BSU_33070","GerAC"
"BSU_04670","RsbR","BSU_13200","RsbRB"
"BSU_19450","RsbRC","BSU_04670","RsbR"
"BSU_04670","RsbR","BSU_24760","RsbRD"
"BSU_04670","RsbR","BSU_04680","RsbS"
"BSU_04670","RsbR","BSU_04690","RsbT"
"BSU_04670","RsbR","BSU_30340","YtvA"
"BSU_19450","RsbRC","BSU_13200","RsbRB"
"BSU_24760","RsbRD","BSU_13200","RsbRB"
"BSU_04680","RsbS","BSU_13200","RsbRB"
"BSU_04690","RsbT","BSU_13200","RsbRB"
"BSU_30340","YtvA","BSU_13200","RsbRB"
"BSU_19450","RsbRC","BSU_24760","RsbRD"
"BSU_19450","RsbRC","BSU_04680","RsbS"
"BSU_19450","RsbRC","BSU_04690","RsbT"
"BSU_19450","RsbRC","BSU_30340","YtvA"
"BSU_04680","RsbS","BSU_24760","RsbRD"
"BSU_24760","RsbRD","BSU_04690","RsbT"
"BSU_30340","YtvA","BSU_24760","RsbRD"
"BSU_04680","RsbS","BSU_04690","RsbT"
"BSU_30340","YtvA","BSU_04680","RsbS"
"BSU_30340","YtvA","BSU_04690","RsbT"
"BSU_01550","GerD","BSU_33070","GerAC"
"BSU_35800","GerBA","BSU_35810","GerBB"
"BSU_35800","GerBA","BSU_35820","GerBC"
"BSU_35800","GerBA","BSU_03700","GerKA"
"BSU_35800","GerBA","BSU_03720","GerKB"
"BSU_35800","GerBA","BSU_03710","GerKC"
"BSU_35800","GerBA","BSU_01550","GerD"
"BSU_35820","GerBC","BSU_35810","GerBB"
"BSU_35810","GerBB","BSU_03700","GerKA"
"BSU_03720","GerKB","BSU_35810","GerBB"
"BSU_03710","GerKC","BSU_35810","GerBB"
"BSU_01550","GerD","BSU_35810","GerBB"
"BSU_35820","GerBC","BSU_03700","GerKA"
"BSU_35820","GerBC","BSU_03720","GerKB"
"BSU_35820","GerBC","BSU_03710","GerKC"
"BSU_01550","GerD","BSU_35820","GerBC"
"BSU_03720","GerKB","BSU_03700","GerKA"
"BSU_03710","GerKC","BSU_03700","GerKA"
"BSU_01550","GerD","BSU_03700","GerKA"
"BSU_03720","GerKB","BSU_03710","GerKC"
"BSU_01550","GerD","BSU_03720","GerKB"
"BSU_01550","GerD","BSU_03710","GerKC"
"BSU_33060","GerAB","BSU_33050","GerAA"
"BSU_33070","GerAC","BSU_33050","GerAA"
"BSU_35800","GerBA","BSU_33050","GerAA"
"BSU_35810","GerBB","BSU_33050","GerAA"
"BSU_35820","GerBC","BSU_33050","GerAA"
"BSU_03700","GerKA","BSU_33050","GerAA"
"BSU_03720","GerKB","BSU_33050","GerAA"
"BSU_03710","GerKC","BSU_33050","GerAA"
"BSU_01550","GerD","BSU_33050","GerAA"
"BSU_33060","GerAB","BSU_33070","GerAC"
"BSU_04140","PbpC","BSU_38120","RodA"
"BSU_04140","PbpC","BSU_16910","RodZ"
"BSU_04140","PbpC","BSU_28030","MreB"
"BSU_14470","MreBH","BSU_04140","PbpC"
"BSU_18350","DacC","BSU_27310","PbpI"
"BSU_18350","DacC","BSU_28020","MreC"
"BSU_18350","DacC","BSU_28010","MreD"
"BSU_18350","DacC","BSU_38120","RodA"
"BSU_18350","DacC","BSU_16910","RodZ"
"BSU_18350","DacC","BSU_28030","MreB"
"BSU_18350","DacC","BSU_14470","MreBH"
"BSU_27310","PbpI","BSU_28020","MreC"
"BSU_28010","MreD","BSU_27310","PbpI"
"BSU_27310","PbpI","BSU_38120","RodA"
"BSU_27310","PbpI","BSU_16910","RodZ"
"BSU_27310","PbpI","BSU_28030","MreB"
"BSU_14470","MreBH","BSU_27310","PbpI"
"BSU_28010","MreD","BSU_28020","MreC"
"BSU_28020","MreC","BSU_38120","RodA"
"BSU_16910","RodZ","BSU_28020","MreC"
"BSU_28020","MreC","BSU_28030","MreB"
"BSU_14470","MreBH","BSU_28020","MreC"
"BSU_28010","MreD","BSU_38120","RodA"
"BSU_28010","MreD","BSU_16910","RodZ"
"BSU_28010","MreD","BSU_28030","MreB"
"BSU_28010","MreD","BSU_14470","MreBH"
"BSU_16910","RodZ","BSU_38120","RodA"
"BSU_28030","MreB","BSU_38120","RodA"
"BSU_14470","MreBH","BSU_38120","RodA"
"BSU_16910","RodZ","BSU_28030","MreB"
"BSU_14470","MreBH","BSU_16910","RodZ"
"BSU_25000","PbpA","BSU_13980","PbpH"
"BSU_25000","PbpA","BSU_04140","PbpC"
"BSU_18350","DacC","BSU_25000","PbpA"
"BSU_25000","PbpA","BSU_27310","PbpI"
"BSU_25000","PbpA","BSU_28020","MreC"
"BSU_28010","MreD","BSU_25000","PbpA"
"BSU_25000","PbpA","BSU_38120","RodA"
"BSU_25000","PbpA","BSU_16910","RodZ"
"BSU_25000","PbpA","BSU_28030","MreB"
"BSU_25000","PbpA","BSU_14470","MreBH"
"BSU_04140","PbpC","BSU_13980","PbpH"
"BSU_18350","DacC","BSU_13980","PbpH"
"BSU_27310","PbpI","BSU_13980","PbpH"
"BSU_28020","MreC","BSU_13980","PbpH"
"BSU_28010","MreD","BSU_13980","PbpH"
"BSU_13980","PbpH","BSU_38120","RodA"
"BSU_16910","RodZ","BSU_13980","PbpH"
"BSU_13980","PbpH","BSU_28030","MreB"
"BSU_14470","MreBH","BSU_13980","PbpH"
"BSU_18350","DacC","BSU_04140","PbpC"
"BSU_27310","PbpI","BSU_04140","PbpC"
"BSU_04140","PbpC","BSU_28020","MreC"
"BSU_28010","MreD","BSU_04140","PbpC"
"BSU_22080","YpwA","BSU_22080","YpwA"
"BSU_25560","HolA","BSU_00040","RecF"
"BSU_00020","DnaN","BSU_00310","HolB"
"BSU_00310","HolB","BSU_25210","DnaG"
"BSU_40440","DnaC","BSU_00310","HolB"
"BSU_28980","DnaI","BSU_00310","HolB"
"BSU_22350","DnaD","BSU_00310","HolB"
"BSU_40900","SsbA","BSU_00310","HolB"
"BSU_29230","DnaE","BSU_00310","HolB"
"BSU_15710","PriA","BSU_00310","HolB"
"BSU_28990","DnaB","BSU_00310","HolB"
"BSU_16940","RecA","BSU_00310","HolB"
"BSU_25280","RecO","BSU_00310","HolB"
"BSU_00210","RecR","BSU_00310","HolB"
"BSU_00310","HolB","BSU_00040","RecF"
"BSU_00190","DnaX","BSU_00020","DnaN"
"BSU_00190","DnaX","BSU_25210","DnaG"
"BSU_00190","DnaX","BSU_28980","DnaI"
"BSU_00190","DnaX","BSU_22350","DnaD"
"BSU_00190","DnaX","BSU_40900","SsbA"
"BSU_29230","DnaE","BSU_00190","DnaX"
"BSU_00190","DnaX","BSU_15710","PriA"
"BSU_00190","DnaX","BSU_16940","RecA"
"BSU_00190","DnaX","BSU_25280","RecO"
"BSU_00190","DnaX","BSU_00210","RecR"
"BSU_00190","DnaX","BSU_00040","RecF"
"BSU_00020","DnaN","BSU_25210","DnaG"
"BSU_40440","DnaC","BSU_00020","DnaN"
"BSU_00020","DnaN","BSU_28980","DnaI"
"BSU_00020","DnaN","BSU_22350","DnaD"
"BSU_00020","DnaN","BSU_15710","PriA"
"BSU_28990","DnaB","BSU_00020","DnaN"
"BSU_00020","DnaN","BSU_16940","RecA"
"BSU_25280","RecO","BSU_00020","DnaN"
"BSU_00020","DnaN","BSU_00210","RecR"
"BSU_00010","DnaA","BSU_25210","DnaG"
"BSU_00020","DnaN","BSU_00040","RecF"
"BSU_40440","DnaC","BSU_00010","DnaA"
"BSU_40900","SsbA","BSU_25210","DnaG"
"BSU_00010","DnaA","BSU_28980","DnaI"
"BSU_15710","PriA","BSU_25210","DnaG"
"BSU_28990","DnaB","BSU_00010","DnaA"
"BSU_16940","RecA","BSU_25210","DnaG"
"BSU_25280","RecO","BSU_25210","DnaG"
"BSU_00210","RecR","BSU_25210","DnaG"
"BSU_00040","RecF","BSU_25210","DnaG"
"BSU_40440","DnaC","BSU_40900","SsbA"
"BSU_40440","DnaC","BSU_15710","PriA"
"BSU_40440","DnaC","BSU_16940","RecA"
"BSU_40440","DnaC","BSU_25280","RecO"
"BSU_40440","DnaC","BSU_00210","RecR"
"BSU_40440","DnaC","BSU_00040","RecF"
"BSU_40900","SsbA","BSU_28980","DnaI"
"BSU_29230","DnaE","BSU_28980","DnaI"
"BSU_28980","DnaI","BSU_15710","PriA"
"BSU_16940","RecA","BSU_28980","DnaI"
"BSU_25280","RecO","BSU_28980","DnaI"
"BSU_28980","DnaI","BSU_00210","RecR"
"BSU_28980","DnaI","BSU_00040","RecF"
"BSU_40900","SsbA","BSU_22350","DnaD"
"BSU_29230","DnaE","BSU_22350","DnaD"
"BSU_16940","RecA","BSU_22350","DnaD"
"BSU_25280","RecO","BSU_22350","DnaD"
"BSU_00210","RecR","BSU_22350","DnaD"
"BSU_22350","DnaD","BSU_00040","RecF"
"BSU_40900","SsbA","BSU_15710","PriA"
"BSU_28990","DnaB","BSU_40900","SsbA"
"BSU_40900","SsbA","BSU_16940","RecA"
"BSU_25280","RecO","BSU_40900","SsbA"
"BSU_40900","SsbA","BSU_00210","RecR"
"BSU_40900","SsbA","BSU_00040","RecF"
"BSU_40900","SsbA","BSU_40900","SsbA"
"BSU_29230","DnaE","BSU_15710","PriA"
"BSU_28990","DnaB","BSU_29230","DnaE"
"BSU_29230","DnaE","BSU_16940","RecA"
"BSU_29230","DnaE","BSU_25280","RecO"
"BSU_29230","DnaE","BSU_00210","RecR"
"BSU_29230","DnaE","BSU_00040","RecF"
"BSU_16940","RecA","BSU_15710","PriA"
"BSU_25280","RecO","BSU_15710","PriA"
"BSU_15710","PriA","BSU_00210","RecR"
"BSU_15710","PriA","BSU_00040","RecF"
"BSU_28990","DnaB","BSU_16940","RecA"
"BSU_28990","DnaB","BSU_25280","RecO"
"BSU_28990","DnaB","BSU_00210","RecR"
"BSU_28990","DnaB","BSU_00040","RecF"
"BSU_25280","RecO","BSU_16940","RecA"
"BSU_16940","RecA","BSU_00210","RecR"
"BSU_16940","RecA","BSU_00040","RecF"
"BSU_25280","RecO","BSU_00210","RecR"
"BSU_25280","RecO","BSU_00040","RecF"
"BSU_00210","RecR","BSU_00040","RecF"
"BSU_25560","HolA","BSU_16580","PolC"
"BSU_00310","HolB","BSU_16580","PolC"
"BSU_00190","DnaX","BSU_16580","PolC"
"BSU_00020","DnaN","BSU_16580","PolC"
"BSU_25210","DnaG","BSU_16580","PolC"
"BSU_40440","DnaC","BSU_16580","PolC"
"BSU_28980","DnaI","BSU_16580","PolC"
"BSU_22350","DnaD","BSU_16580","PolC"
"BSU_40900","SsbA","BSU_16580","PolC"
"BSU_15710","PriA","BSU_16580","PolC"
"BSU_28990","DnaB","BSU_16580","PolC"
"BSU_16940","RecA","BSU_16580","PolC"
"BSU_25280","RecO","BSU_16580","PolC"
"BSU_00210","RecR","BSU_16580","PolC"
"BSU_00040","RecF","BSU_16580","PolC"
"BSU_00020","DnaN","BSU_25560","HolA"
"BSU_25560","HolA","BSU_25210","DnaG"
"BSU_40440","DnaC","BSU_25560","HolA"
"BSU_28980","DnaI","BSU_25560","HolA"
"BSU_22350","DnaD","BSU_25560","HolA"
"BSU_40900","SsbA","BSU_25560","HolA"
"BSU_15710","PriA","BSU_25560","HolA"
"BSU_28990","DnaB","BSU_25560","HolA"
"BSU_16940","RecA","BSU_25560","HolA"
"BSU_25280","RecO","BSU_25560","HolA"
"BSU_00210","RecR","BSU_25560","HolA"
"BSU_27960","RplU","BSU_01180","RplW"
"BSU_01320","RplR","BSU_01350","RplO"
"BSU_01310","RplF","BSU_01400","RpmJ"
"BSU_40500","RplI","BSU_28860","RpmI"
"BSU_01030","RplA","BSU_01160","RplC"
"BSU_01230","RplP","BSU_01020","RplK"
"BSU_00990","RpmGB","BSU_01230","RplP"
"BSU_27960","RplU","BSU_01090","RplGB"
"BSU_01030","RplA","BSU_01270","RplX"
"BSU_01170","RplD","BSU_01230","RplP"
"BSU_24900","RpmGA","BSU_01050","RplL"
"BSU_01090","RplGB","BSU_01280","RplE"
"BSU_01350","RplO","BSU_01230","RplP"
"BSU_01280","RplE","BSU_01400","RpmJ"
"BSU_01170","RplD","BSU_01400","RpmJ"
"BSU_01310","RplF","BSU_01320","RplR"
"BSU_01270","RplX","BSU_41060","RpmH"
"BSU_27960","RplU","BSU_01020","RplK"
"BSU_01260","RplN","BSU_00520","Ctc"
"BSU_01190","RplB","BSU_01320","RplR"
"BSU_37070","RpmE","BSU_01160","RplC"
"BSU_01310","RplF","BSU_01210","RplV"
"BSU_27960","RplU","BSU_01490","RplM"
"BSU_01240","RpmC","BSU_01180","RplW"
"BSU_01340","RpmD","BSU_01400","RpmJ"
"BSU_01030","RplA","BSU_01210","RplV"
"BSU_01240","RpmC","BSU_01230","RplP"
"BSU_01240","RpmC","BSU_01340","RpmD"
"BSU_01230","RplP","BSU_01210","RplV"
"BSU_01030","RplA","BSU_15820","RpmB"
"BSU_27960","RplU","BSU_41060","RpmH"
"BSU_28850","RplT","BSU_01400","RpmJ"
"BSU_27960","RplU","BSU_24900","RpmGA"
"BSU_16040","RplS","BSU_01280","RplE"
"BSU_01180","RplW","BSU_15820","RpmB"
"BSU_37070","RpmE","BSU_28850","RplT"
"BSU_27940","RpmA","BSU_41060","RpmH"
"BSU_15820","RpmB","BSU_01210","RplV"
"BSU_01190","RplB","BSU_01400","RpmJ"
"BSU_01400","RpmJ","BSU_01020","RplK"
"BSU_00520","Ctc","BSU_01180","RplW"
"BSU_27960","RplU","BSU_01030","RplA"
"BSU_01490","RplM","BSU_01280","RplE"
"BSU_01270","RplX","BSU_01190","RplB"
"BSU_01310","RplF","BSU_01340","RpmD"
"BSU_16040","RplS","BSU_01350","RplO"
"BSU_15820","RpmB","BSU_01350","RplO"
"BSU_41060","RpmH","BSU_01280","RplE"
"BSU_01030","RplA","BSU_01050","RplL"
"BSU_01170","RplD","BSU_15080","RpmF"
"BSU_37070","RpmE","BSU_01310","RplF"
"BSU_27960","RplU","BSU_15820","RpmB"
"BSU_28860","RpmI","BSU_01280","RplE"
"BSU_01270","RplX","BSU_01320","RplR"
"BSU_01260","RplN","BSU_01210","RplV"
"BSU_30700","RpmEB","BSU_01280","RplE"
"BSU_28850","RplT","BSU_01320","RplR"
"BSU_01170","RplD","BSU_01280","RplE"
"BSU_01440","RplQ","BSU_01090","RplGB"
"BSU_01240","RpmC","BSU_30700","RpmEB"
"BSU_01350","RplO","BSU_30700","RpmEB"
"BSU_15080","RpmF","BSU_01230","RplP"
"BSU_37070","RpmE","BSU_01210","RplV"
"BSU_01260","RplN","BSU_01230","RplP"
"BSU_16040","RplS","BSU_24900","RpmGA"
"BSU_00990","RpmGB","BSU_01020","RplK"
"BSU_27940","RpmA","new_2477758_2477958_c","RpmGC"
"BSU_41060","RpmH","BSU_01160","RplC"
"BSU_27960","RplU","BSU_01320","RplR"
"BSU_27960","RplU","BSU_01350","RplO"
"BSU_01310","RplF","BSU_01270","RplX"
"BSU_37070","RpmE","BSU_16040","RplS"
"new_2477758_2477958_c","RpmGC","BSU_01320","RplR"
"BSU_01280","RplE","BSU_01210","RplV"
"BSU_01440","RplQ","BSU_01320","RplR"
"BSU_27960","RplU","BSU_01240","RpmC"
"BSU_37070","RpmE","BSU_15820","RpmB"
"BSU_01210","RplV","BSU_01400","RpmJ"
"BSU_40500","RplI","BSU_01400","RpmJ"
"BSU_15080","RpmF","BSU_24900","RpmGA"
"BSU_01440","RplQ","BSU_01190","RplB"
"BSU_24900","RpmGA","BSU_01020","RplK"
"new_2477758_2477958_c","RpmGC","BSU_28850","RplT"
"BSU_28860","RpmI","BSU_01050","RplL"
"BSU_27960","RplU","BSU_01230","RplP"
"BSU_00520","Ctc","BSU_28850","RplT"
"BSU_30700","RpmEB","BSU_01160","RplC"
"BSU_01350","RplO","BSU_01280","RplE"
"BSU_01170","RplD","BSU_16040","RplS"
"BSU_24900","RpmGA","BSU_01400","RpmJ"
"BSU_01040","RplJ","BSU_01340","RpmD"
"BSU_01240","RpmC","BSU_01320","RplR"
"BSU_16040","RplS","BSU_01190","RplB"
"BSU_30700","RpmEB","BSU_41060","RpmH"
"BSU_01090","RplGB","BSU_15820","RpmB"
"BSU_01340","RpmD","BSU_01350","RplO"
"BSU_00520","Ctc","BSU_40500","RplI"
"BSU_01210","RplV","BSU_01160","RplC"
"BSU_01040","RplJ","BSU_30700","RpmEB"
"BSU_01320","RplR","BSU_01400","RpmJ"
"BSU_27960","RplU","BSU_40500","RplI"
"BSU_01240","RpmC","BSU_40500","RplI"
"BSU_01230","RplP","BSU_01160","RplC"
"BSU_01310","RplF","BSU_15080","RpmF"
"BSU_24900","RpmGA","BSU_24900","RpmGA"
"BSU_01170","RplD","BSU_00990","RpmGB"
"BSU_01280","RplE","BSU_01160","RplC"
"BSU_01440","RplQ","BSU_16040","RplS"
"BSU_01270","RplX","BSU_01400","RpmJ"
"BSU_01170","RplD","BSU_01090","RplGB"
"BSU_27940","RpmA","BSU_28850","RplT"
"BSU_01190","RplB","BSU_01160","RplC"
"BSU_15820","RpmB","BSU_01050","RplL"
"BSU_01170","RplD","BSU_01190","RplB"
"BSU_01040","RplJ","BSU_01160","RplC"
"BSU_01310","RplF","BSU_01020","RplK"
"BSU_01240","RpmC","new_2477758_2477958_c","RpmGC"
"new_2477758_2477958_c","RpmGC","BSU_00990","RpmGB"
"BSU_01180","RplW","BSU_01020","RplK"
"BSU_37070","RpmE","BSU_00520","Ctc"
"BSU_15080","RpmF","BSU_01280","RplE"
"BSU_01440","RplQ","BSU_01020","RplK"
"BSU_40500","RplI","BSU_01280","RplE"
"BSU_37070","RpmE","BSU_01320","RplR"
"new_2477758_2477958_c","RpmGC","BSU_01160","RplC"
"BSU_37070","RpmE","BSU_40500","RplI"
"BSU_27960","RplU","BSU_01400","RpmJ"
"BSU_01320","RplR","BSU_24900","RpmGA"
"BSU_01030","RplA","BSU_01240","RpmC"
"BSU_28860","RpmI","BSU_30700","RpmEB"
"BSU_15820","RpmB","BSU_01160","RplC"
"BSU_01170","RplD","BSU_01340","RpmD"
"BSU_01170","RplD","BSU_01490","RplM"
"BSU_01350","RplO","BSU_01400","RpmJ"
"BSU_01490","RplM","BSU_01350","RplO"
"BSU_01180","RplW","BSU_15080","RpmF"
"BSU_37070","RpmE","BSU_01240","RpmC"
"BSU_01490","RplM","BSU_01400","RpmJ"
"BSU_28860","RpmI","BSU_28850","RplT"
"BSU_16040","RplS","BSU_15820","RpmB"
"BSU_01350","RplO","BSU_01050","RplL"
"BSU_15080","RpmF","BSU_01190","RplB"
"BSU_28850","RplT","BSU_15080","RpmF"
"BSU_15080","RpmF","BSU_41060","RpmH"
"BSU_00520","Ctc","BSU_01040","RplJ"
"BSU_00990","RpmGB","BSU_01350","RplO"
"BSU_00520","Ctc","BSU_01210","RplV"
