tf_id	target_id	tf_name	target_name	activate/repress	pubmed	source	tf_uniprot_id	target_uniprot_id
AT1G06160	AT5G44420	ORA59	PDF1.2	A	18467450;21246258	atrm	Q9LND1	Q9FI23
AT1G07640	AT2G22330	OBP2	CYP79B3	A	16740150	atrm	Q8L9V6	Q501D8
AT1G07640	AT3G56970	OBP2	ORG2	A	16740149	atrm	Q8L9V6	Q9M1K1
AT1G07640	AT3G56980	OBP2	ORG3	A	16740149	atrm	Q8L9V6	Q9M1K0
AT1G07640	AT4G31500	OBP2	CYP83B1	A	16740150	atrm	Q8L9V6	O65782
AT1G07640	AT4G39950	OBP2	CYP79B2	A	16740150	atrm	Q8L9V6	O81346
AT1G07640	AT5G23010	OBP2	MAM1	A	16740150	atrm	Q8L9V6	Q9FG67
AT1G09530	AT1G01060	PIF3	LHY	A	12574129;10995393;12679534;10797009;12096092;11402169;12509533	atrm	O80536	Q6R0H1
AT1G09530	AT1G29930	PIF3	CAB1	A	12427998	atrm	O80536	P04778
AT1G09530	AT1G44446	PIF3	CH1	A	19376934;15505214	atrm	O80536	Q9MBA1
AT1G09530	AT2G18790	PIF3	PHYB	A	18252845;18245378	atrm	O80536	P14713
AT1G09530	AT2G30570	PIF3	PSBW	A	18245378	atrm	O80536	Q39194
AT1G09530	AT2G46830	PIF3	CCA1	A	12574129;12679534;14563930;12096092;12119373;11402169;12509533;12805602	atrm	O80536	P92973
AT1G09530	AT3G51240	PIF3	TT6	A	17319847	atrm	O80536	Q9S818
AT1G09530	AT4G14690	PIF3	ELIP2	A	18245378	atrm	O80536	Q94K66
AT1G09530	AT4G22880	PIF3	LDOX	A	17319847	atrm	O80536	Q96323
AT1G09530	AT5G13630	PIF3	GUN5	A	19376934;15505214	atrm	O80536	Q9FNB0
AT1G09530	AT5G13930	PIF3	TT4	A	18245378	atrm	O80536	P13114
AT1G09530	AT5G42800	PIF3	DFR	A	17319847	atrm	O80536	P51102
AT1G09770	AT1G62360	CDC5	BUM1	A	17768399	atrm	P92948	Q38874
AT1G09770	AT1G75820	CDC5	CLV1	A	17768399	atrm	P92948	Q9SYQ8
AT1G09770	AT2G17950	CDC5	WUS	A	17768399	atrm	P92948	Q9SB92
AT1G09770	AT2G27250	CDC5	CLV3	A	17768399	atrm	P92948	Q9XF04
AT1G09770	AT3G54180	CDC5	CDKB1;1	A	17768399	atrm	P92948	P25859
AT1G09770	AT4G16890	CDC5	SNC1	A	17575050	atrm	P92948	O23530
AT1G10170	AT1G74710	ATNFXL1	EDS16	R	18069941	atrm	Q9SY59	Q9S7H8
AT1G10170	AT2G14610	ATNFXL1	PR1	R	18069941	atrm	Q9SY59	P33154
AT1G10170	AT4G39030	ATNFXL1	EDS5	R	18069941	atrm	Q9SY59	Q945F0
AT1G12610	AT1G50960	DDF1	GA2OX7	A	19043067;18643985	atrm	Q9LN86	Q9C6I4
AT1G12610	AT2G42540	DDF1	COR15A	A	18643985	atrm	Q9LN86	Q42512
AT1G12610	AT5G17490	DDF1	RGL3	A	18643985	atrm	Q9LN86	Q9LF53
AT1G12610	AT5G52310	DDF1	LTI78	R	14871311;18643985	atrm	Q9LN86	Q06738
AT1G12860	AT5G53210	SCRM2	SPCH	A	18641265	atrm	Q9LPW3	Q700C7
AT1G12980	AT2G17950	ESR1	WUS	A	12615942	atrm	Q9SAD4	Q9SB92
AT1G12980	AT2G27250	ESR1	CLV3	A	12615942	atrm	Q9SAD4	Q9XF04
AT1G13960	AT2G14610	WRKY4	PR1	R	18570649	atrm	Q9XI90	P33154
AT1G14350	AT3G54180	FLP	CDKB1;1	R	20675570	atrm	Q94FL6	P25859
AT1G14350	AT4G34160	FLP	CYCD3;1	A	12509523	atrm	Q94FL6	P42753
AT1G14920	AT1G15550	GAI	GA3OX1	R	10517835;9701576	atrm	Q9LQT8	Q39103
AT1G14920	AT2G04240	GAI	XERICO	A	18941053	atrm	Q9LQT8	Q9SI09
AT1G14920	AT2G36270	GAI	ABI5	A	18941053	atrm	Q9LQT8	Q9SJN0
AT1G14920	AT3G27920	GAI	GL1	R	16679458	atrm	Q9LQT8	P27900
AT1G14920	AT4G25420	GAI	GA20OX1	R	10517835	atrm	Q9LQT8	Q39110
AT1G14920	AT5G61850	GAI	LFY	A	9836739	atrm	Q9LQT8	Q00958
AT1G15360	AT1G01120	SHN1	KCS1	A	17449808	atrm	Q9XI33	Q9MAM3
AT1G15360	AT1G02205	SHN1	CER1	A	17449808;16415209	atrm	Q9XI33	F4HVY0
AT1G15360	AT4G24510	SHN1	CER2	A	17449808	atrm	Q9XI33	Q39048
AT1G16490	AT1G15950	MYB58	ATCCR1	A	19122102	atrm	Q9SA47	Q9S9N9
AT1G16490	AT1G51680	MYB58	4CL1	A	19122102	atrm	Q9SA47	Q42524
AT1G16490	AT2G30490	MYB58	C4H	A	19122102	atrm	Q9SA47	P92994
AT1G16490	AT2G37040	MYB58	PAL1	A	19122102	atrm	Q9SA47	P35510
AT1G16490	AT2G38080	MYB58	IRX12	A	19122102	atrm	Q9SA47	O80434
AT1G16490	AT2G40890	MYB58	CYP98A3	A	19122102	atrm	Q9SA47	O22203
AT1G16490	AT4G34050	MYB58	CCoAOMT1	A	19122102	atrm	Q9SA47	O49499
AT1G16490	AT4G37970	MYB58	CAD6	A	19122102	atrm	Q9SA47	O65621
AT1G16490	AT5G48930	MYB58	HCT	A	19122102	atrm	Q9SA47	Q9FI78
AT1G16490	AT5G54160	MYB58	ATOMT1	A	19122102	atrm	Q9SA47	Q9FK25
AT1G18570	AT1G74100	MYB51	SOT16	A	17461791	atrm	O49782	Q9C9D0
AT1G18570	AT2G22330	MYB51	CYP79B3	A	17461791	atrm	O49782	Q501D8
AT1G18570	AT4G31500	MYB51	CYP83B1	A	17616737;17461791	atrm	O49782	O65782
AT1G18570	AT4G39950	MYB51	CYP79B2	A	17461791	atrm	O49782	O81346
