protein_1_locus	protein_2_locus	evidence	source	protein_1_alt_name	protein_1_name	protein_2_alt_name	protein_2_name
BSU_00640	BSU_00660	experimental	string-db	SpoIIE	SpoIIE	YabT	YabT
BSU_00640	BSU_14400	experimental	string-db	SpoIIE	SpoIIE	FruA	FruA
BSU_00650	BSU_06710	experimental	string-db	YabS	YabS	SwrC	SwrC
BSU_00660	BSU_09920	experimental	string-db	YabT	YabT	SbcE	SbcE
BSU_00660	BSU_11400	experimental	string-db	YabT	YabT	AppC	AppC
BSU_00660	BSU_33500	experimental	string-db	YabT	YabT	CopA	CopA
BSU_00660	BSU_26030	experimental	string-db	YabT	YabT	YqbO	YqbO
BSU_00660	BSU_07800	experimental	string-db	YabT	YabT	TreP	TreP
BSU_00660	BSU_15770	experimental	string-db	YabT	YabT	PrkC	PrkC
BSU_00660	BSU_31600	experimental	string-db	YabT	YabT	MrpA	MrpA
BSU_00660	BSU_16210	experimental	string-db	YabT	YabT	FliF	FliF
BSU_00660	BSU_02030	experimental	string-db	YabT	YabT	PrkD	YbdM
BSU_00660	BSU_26150	experimental	string-db	YabT	YabT	YqbD	YqbD
BSU_00660	BSU_14850	experimental	string-db	YabT	YabT	FtsW	FtsW
BSU_00660	BSU_10160	experimental	string-db	YabT	YabT	YhgE	YhgE
BSU_00660	BSU_04690	experimental	string-db	YabT	YabT	RsbT	RsbT
BSU_00660	BSU_01070	experimental	string-db	YabT	YabT	RpoB	RpoB
BSU_00660	BSU_07010	experimental	string-db	YabT	YabT	RhgR	YesS
BSU_00660	BSU_25770	experimental	string-db	YabT	YabT	SpoIVCA	SpoIVCA
BSU_00660	BSU_12790	experimental	string-db	YabT	YabT	XhlA	XhlA
BSU_00660	BSU_36250	experimental	string-db	YabT	YabT	PtkA	PtkA
BSU_00660	BSU_35500	textmined	string-db	YabT	YabT	DegS	DegS
BSU_00660	BSU_23590	experimental	string-db	YabT	YabT	AnsR	AnsR
BSU_00660	BSU_13390	experimental	string-db	YabT	YabT	YkoT	YkoT
BSU_00660	BSU_04360	experimental	string-db	YabT	YabT	MntH	MntH
BSU_00660	BSU_39230	experimental	string-db	YabT	YabT	WapA	WapA
BSU_00660	BSU_37030	experimental	string-db	YabT	YabT	RacA	RacA
BSU_00660	BSU_33420	experimental	string-db	YabT	YabT	NhaK	NhaK
BSU_00660	BSU_25330	experimental	string-db	YabT	YabT	YqfF	YqfF
BSU_00660	BSU_14370	experimental	string-db	YabT	YabT	YknZ	YknZ
BSU_00660	BSU_36240	experimental	string-db	YabT	YabT	PtpZ	YwqE
BSU_00660	BSU_00640	experimental	string-db	YabT	YabT	SpoIIE	SpoIIE
BSU_00660	BSU_02760	experimental	string-db	YabT	YabT	NatB	NatB
BSU_00660	BSU_36260	experimental	string-db	YabT	YabT	TkmA	YwqC
BSU_00660	BSU_14400	experimental	string-db	YabT	YabT	FruA	FruA
BSU_00660	BSU_01730	experimental	string-db	YabT	YabT	SigW	SigW
BSU_00660	BSU_03740	experimental	string-db	YabT	YabT	YclI	YclI
BSU_00660	BSU_27990	experimental	string-db	YabT	YabT	MinD	MinD
BSU_00660	BSU_34360	experimental	string-db	YabT	YabT	EpsB	EpsB
BSU_00660	BSU_23460	experimental	string-db	YabT	YabT	SpoIIAB	SpoIIAB
