regulator_locus	regulator_name	mode	gene_locus	gene_name	link	source
BSU_35490	degU	repression	BSU_16180	flgB	224308.BSU35490/224308.BSU16180	subtiwiki
BSU_35490	degU	repression	BSU_16310	fliM	224308.BSU35490/224308.BSU16310	subtiwiki
BSU_35490	degU	repression	BSU_16300	fliL	224308.BSU35490/224308.BSU16300	subtiwiki
BSU_35490	degU	repression	BSU_16320	fliY	224308.BSU35490/224308.BSU16320	subtiwiki
BSU_35490	degU	repression	BSU_16330	cheY	224308.BSU35490/224308.BSU16330	subtiwiki
BSU_35490	degU	repression	BSU_16299	swrD	224308.BSU35490/224308.BSU16299	subtiwiki
BSU_35490	degU	repression	BSU_16480	swrB	224308.BSU35490/224308.BSU16480	subtiwiki
BSU_35490	degU	repression	BSU_16240	fliI	224308.BSU35490/224308.BSU16240	subtiwiki
BSU_35490	degU	repression	BSU_16270	fliK	224308.BSU35490/224308.BSU16270	subtiwiki
BSU_35490	degU	repression	BSU_16230	fliH	224308.BSU35490/224308.BSU16230	subtiwiki
BSU_35490	degU	repression	BSU_16250	fliJ	224308.BSU35490/224308.BSU16250	subtiwiki
BSU_35490	degU	repression	BSU_16380	flhB	224308.BSU35490/224308.BSU16380	subtiwiki
BSU_35490	degU	repression	BSU_16430	cheA	224308.BSU35490/224308.BSU16430	subtiwiki
BSU_35490	degU	repression	BSU_16350	fliP	224308.BSU35490/224308.BSU16350	subtiwiki
BSU_35490	degU	repression	BSU_16470	sigD	224308.BSU35490/224308.BSU16470	subtiwiki
BSU_35490	degU	repression	BSU_16200	fliE	224308.BSU35490/224308.BSU16200	subtiwiki
BSU_35490	degU	repression	BSU_16280	flgD	224308.BSU35490/224308.BSU16280	subtiwiki
BSU_35490	degU	repression	BSU_16440	cheW	224308.BSU35490/224308.BSU16440	subtiwiki
BSU_35490	degU	repression	BSU_16220	fliG	224308.BSU35490/224308.BSU16220	subtiwiki
BSU_35490	degU	repression	BSU_16390	flhA	224308.BSU35490/224308.BSU16390	subtiwiki
BSU_35490	degU	repression	BSU_16370	fliR	224308.BSU35490/224308.BSU16370	subtiwiki
BSU_35490	degU	repression	BSU_16360	fliQ	224308.BSU35490/224308.BSU16360	subtiwiki
BSU_35490	degU	repression	BSU_16420	cheB	224308.BSU35490/224308.BSU16420	subtiwiki
BSU_35490	degU	repression	BSU_16400	flhF	224308.BSU35490/224308.BSU16400	subtiwiki
BSU_35490	degU	repression	BSU_16460	cheD	224308.BSU35490/224308.BSU16460	subtiwiki
BSU_35490	degU	repression	BSU_16340	fliO	224308.BSU35490/224308.BSU16340	subtiwiki
BSU_35490	degU	repression	BSU_16190	flgC	224308.BSU35490/224308.BSU16190	subtiwiki
BSU_35490	degU	repression	BSU_16410	flhG	224308.BSU35490/224308.BSU16410	subtiwiki
BSU_35490	degU	repression	BSU_16290	flgE	224308.BSU35490/224308.BSU16290	subtiwiki
BSU_35490	degU	repression	BSU_16450	cheC	224308.BSU35490/224308.BSU16450	subtiwiki
BSU_35490	degU	repression	BSU_16260	ylxF	224308.BSU35490/224308.BSU16260	subtiwiki
BSU_35490	degU	repression	BSU_16210	fliF	224308.BSU35490/224308.BSU16210	subtiwiki
NA	L-box	RNA switch	BSU_28470	lysC	224308.NA/224308.BSU28470	subtiwiki
BSU_04730	sigB	sigma factor	BSU_39050	katE	224308.BSU04730/224308.BSU39050	subtiwiki
BSU_04730	sigB	sigma factor	BSU_39040	yxiS	224308.BSU04730/224308.BSU39040	subtiwiki
NA	S-box	RNA switch	BSU_30550	metK	224308.NA/224308.BSU30550	subtiwiki
BSU_25200	sigA	sigma factor	BSU_34040	lutB	224308.BSU25200/224308.BSU34040	subtiwiki
BSU_25200	sigA	sigma factor	BSU_34030	lutC	224308.BSU25200/224308.BSU34030	subtiwiki
BSU_25200	sigA	sigma factor	BSU_34050	lutA	224308.BSU25200/224308.BSU34050	subtiwiki
BSU_24610	sinR	repression	BSU_34040	lutB	224308.BSU24610/224308.BSU34040	subtiwiki
BSU_24610	sinR	repression	BSU_34030	lutC	224308.BSU24610/224308.BSU34030	subtiwiki
BSU_24610	sinR	repression	BSU_34050	lutA	224308.BSU24610/224308.BSU34050	subtiwiki
BSU_34180	lutR	repression	BSU_34040	lutB	224308.BSU34180/224308.BSU34040	subtiwiki
BSU_34180	lutR	repression	BSU_34030	lutC	224308.BSU34180/224308.BSU34030	subtiwiki
BSU_34180	lutR	repression	BSU_34050	lutA	224308.BSU34180/224308.BSU34050	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12930	dppB	224308.BSU25200/224308.BSU12930	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12950	dppD	224308.BSU25200/224308.BSU12950	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12960	dppE	224308.BSU25200/224308.BSU12960	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12920	dppA	224308.BSU25200/224308.BSU12920	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12940	dppC	224308.BSU25200/224308.BSU12940	subtiwiki
BSU_16170	codY	repression	BSU_12930	dppB	224308.BSU16170/224308.BSU12930	subtiwiki
BSU_16170	codY	repression	BSU_12950	dppD	224308.BSU16170/224308.BSU12950	subtiwiki
BSU_16170	codY	repression	BSU_12960	dppE	224308.BSU16170/224308.BSU12960	subtiwiki
BSU_16170	codY	repression	BSU_12920	dppA	224308.BSU16170/224308.BSU12920	subtiwiki
BSU_16170	codY	repression	BSU_12940	dppC	224308.BSU16170/224308.BSU12940	subtiwiki
BSU_14240	rok	repression	BSU_40580	yybN	224308.BSU14240/224308.BSU40580	subtiwiki
BSU_14240	rok	repression	BSU_40620	yybJ	224308.BSU14240/224308.BSU40620	subtiwiki
BSU_14240	rok	repression	BSU_40610	yybK	224308.BSU14240/224308.BSU40610	subtiwiki
BSU_14240	rok	repression	BSU_40590	yybM	224308.BSU14240/224308.BSU40590	subtiwiki
BSU_14240	rok	repression	BSU_40600	yybL	224308.BSU14240/224308.BSU40600	subtiwiki
BSU_00010	dnaA	repression	BSU_40580	yybN	224308.BSU00010/224308.BSU40580	subtiwiki
BSU_00010	dnaA	repression	BSU_40620	yybJ	224308.BSU00010/224308.BSU40620	subtiwiki
BSU_00010	dnaA	repression	BSU_40610	yybK	224308.BSU00010/224308.BSU40610	subtiwiki
BSU_00010	dnaA	repression	BSU_40590	yybM	224308.BSU00010/224308.BSU40590	subtiwiki
BSU_00010	dnaA	repression	BSU_40600	yybL	224308.BSU00010/224308.BSU40600	subtiwiki
BSU_15320	sigE	sigma factor	BSU_27310	pbpI	224308.BSU15320/224308.BSU27310	subtiwiki
BSU_15320	sigE	sigma factor	BSU_27300	yrrS	224308.BSU15320/224308.BSU27300	subtiwiki
BSU_23450	sigF	sigma factor	BSU_27310	pbpI	224308.BSU23450/224308.BSU27310	subtiwiki
BSU_23450	sigF	sigma factor	BSU_27300	yrrS	224308.BSU23450/224308.BSU27300	subtiwiki
BSU_00370	abrB	repression	BSU_09710	bmrC	224308.BSU00370/224308.BSU09710	subtiwiki
BSU_00370	abrB	repression	BSU_09720	bmrD	224308.BSU00370/224308.BSU09720	subtiwiki
BSU_00370	abrB	repression	new_1045199_1045317	bmrX	224308.BSU00370/224308.new10451991045317	subtiwiki
BSU_00370	abrB	repression	BSU_09700	bmrB	224308.BSU00370/224308.BSU09700	subtiwiki
BSU_09700	bmrB	attenuation	BSU_09710	bmrC	224308.BSU09700/224308.BSU09710	subtiwiki
BSU_09700	bmrB	attenuation	BSU_09720	bmrD	224308.BSU09700/224308.BSU09720	subtiwiki
BSU_09700	bmrB	attenuation	new_1045199_1045317	bmrX	224308.BSU09700/224308.new10451991045317	subtiwiki
BSU_09700	bmrB	attenuation	BSU_09700	bmrB	224308.BSU09700/224308.BSU09700	subtiwiki
BSU_23120	resD	activation	BSU_14900	ctaD	224308.BSU23120/224308.BSU14900	subtiwiki
BSU_23120	resD	activation	BSU_14920	ctaF	224308.BSU23120/224308.BSU14920	subtiwiki
BSU_23120	resD	activation	BSU_14890	ctaC	224308.BSU23120/224308.BSU14890	subtiwiki
BSU_23120	resD	activation	BSU_14880	ctaB	224308.BSU23120/224308.BSU14880	subtiwiki
BSU_23120	resD	activation	BSU_14930	ctaG	224308.BSU23120/224308.BSU14930	subtiwiki
BSU_23120	resD	activation	BSU_14910	ctaE	224308.BSU23120/224308.BSU14910	subtiwiki
BSU_14480	abh	repression	BSU_14900	ctaD	224308.BSU14480/224308.BSU14900	subtiwiki
BSU_14480	abh	repression	BSU_14920	ctaF	224308.BSU14480/224308.BSU14920	subtiwiki
BSU_14480	abh	repression	BSU_14890	ctaC	224308.BSU14480/224308.BSU14890	subtiwiki
BSU_14480	abh	repression	BSU_14880	ctaB	224308.BSU14480/224308.BSU14880	subtiwiki
BSU_14480	abh	repression	BSU_14930	ctaG	224308.BSU14480/224308.BSU14930	subtiwiki
BSU_14480	abh	repression	BSU_14910	ctaE	224308.BSU14480/224308.BSU14910	subtiwiki
BSU_29740	ccpA	repression	BSU_14900	ctaD	224308.BSU29740/224308.BSU14900	subtiwiki
BSU_29740	ccpA	repression	BSU_14920	ctaF	224308.BSU29740/224308.BSU14920	subtiwiki
BSU_29740	ccpA	repression	BSU_14890	ctaC	224308.BSU29740/224308.BSU14890	subtiwiki
BSU_29740	ccpA	repression	BSU_14880	ctaB	224308.BSU29740/224308.BSU14880	subtiwiki
BSU_29740	ccpA	repression	BSU_14930	ctaG	224308.BSU29740/224308.BSU14930	subtiwiki
BSU_29740	ccpA	repression	BSU_14910	ctaE	224308.BSU29740/224308.BSU14910	subtiwiki
BSU_00370	abrB	repression	BSU_14900	ctaD	224308.BSU00370/224308.BSU14900	subtiwiki
BSU_00370	abrB	repression	BSU_14920	ctaF	224308.BSU00370/224308.BSU14920	subtiwiki
BSU_00370	abrB	repression	BSU_14890	ctaC	224308.BSU00370/224308.BSU14890	subtiwiki
BSU_00370	abrB	repression	BSU_14880	ctaB	224308.BSU00370/224308.BSU14880	subtiwiki
BSU_00370	abrB	repression	BSU_14930	ctaG	224308.BSU00370/224308.BSU14930	subtiwiki
BSU_00370	abrB	repression	BSU_14910	ctaE	224308.BSU00370/224308.BSU14910	subtiwiki
BSU_33790	sdpR	activation	BSU_32830	fadA	224308.BSU33790/224308.BSU32830	subtiwiki
BSU_33790	sdpR	activation	BSU_32840	fadN	224308.BSU33790/224308.BSU32840	subtiwiki
BSU_33790	sdpR	activation	BSU_32820	fadE	224308.BSU33790/224308.BSU32820	subtiwiki
BSU_25200	sigA	sigma factor	BSU_32830	fadA	224308.BSU25200/224308.BSU32830	subtiwiki
BSU_25200	sigA	sigma factor	BSU_32840	fadN	224308.BSU25200/224308.BSU32840	subtiwiki
BSU_25200	sigA	sigma factor	BSU_32820	fadE	224308.BSU25200/224308.BSU32820	subtiwiki
BSU_28550	fadR	repression	BSU_32830	fadA	224308.BSU28550/224308.BSU32830	subtiwiki
BSU_28550	fadR	repression	BSU_32840	fadN	224308.BSU28550/224308.BSU32840	subtiwiki
BSU_28550	fadR	repression	BSU_32820	fadE	224308.BSU28550/224308.BSU32820	subtiwiki
BSU_29740	ccpA	repression	BSU_32830	fadA	224308.BSU29740/224308.BSU32830	subtiwiki
BSU_29740	ccpA	repression	BSU_32840	fadN	224308.BSU29740/224308.BSU32840	subtiwiki
BSU_29740	ccpA	repression	BSU_32820	fadE	224308.BSU29740/224308.BSU32820	subtiwiki
BSU_34200	sigL	sigma factor	BSU_40340	rocD	224308.BSU34200/224308.BSU40340	subtiwiki
BSU_34200	sigL	sigma factor	BSU_40330	rocE	224308.BSU34200/224308.BSU40330	subtiwiki
BSU_34200	sigL	sigma factor	BSU_40320	rocF	224308.BSU34200/224308.BSU40320	subtiwiki
BSU_24220	spo0A	repression	BSU_40340	rocD	224308.BSU24220/224308.BSU40340	subtiwiki
BSU_24220	spo0A	repression	BSU_40330	rocE	224308.BSU24220/224308.BSU40330	subtiwiki
BSU_24220	spo0A	repression	BSU_40320	rocF	224308.BSU24220/224308.BSU40320	subtiwiki
BSU_24250	ahrC	activation	BSU_40340	rocD	224308.BSU24250/224308.BSU40340	subtiwiki
BSU_24250	ahrC	activation	BSU_40330	rocE	224308.BSU24250/224308.BSU40330	subtiwiki
BSU_24250	ahrC	activation	BSU_40320	rocF	224308.BSU24250/224308.BSU40320	subtiwiki
BSU_16170	codY	repression	BSU_40340	rocD	224308.BSU16170/224308.BSU40340	subtiwiki
BSU_16170	codY	repression	BSU_40330	rocE	224308.BSU16170/224308.BSU40330	subtiwiki
BSU_16170	codY	repression	BSU_40320	rocF	224308.BSU16170/224308.BSU40320	subtiwiki
BSU_40350	rocR	activation	BSU_40340	rocD	224308.BSU40350/224308.BSU40340	subtiwiki
BSU_40350	rocR	activation	BSU_40330	rocE	224308.BSU40350/224308.BSU40330	subtiwiki
BSU_40350	rocR	activation	BSU_40320	rocF	224308.BSU40350/224308.BSU40320	subtiwiki
NA	G-box	RNA switch	BSU_39020	nupG	224308.NA/224308.BSU39020	subtiwiki
BSU_24220	spo0A	activation	BSU_24600	sinI	224308.BSU24220/224308.BSU24600	subtiwiki
BSU_24220	spo0A	activation	BSU_24610	sinR	224308.BSU24220/224308.BSU24610	subtiwiki
BSU_25200	sigA	sigma factor	BSU_24600	sinI	224308.BSU25200/224308.BSU24600	subtiwiki
BSU_25200	sigA	sigma factor	BSU_24610	sinR	224308.BSU25200/224308.BSU24610	subtiwiki
BSU_24610	sinR	repression	BSU_24600	sinI	224308.BSU24610/224308.BSU24600	subtiwiki
BSU_24610	sinR	repression	BSU_24610	sinR	224308.BSU24610/224308.BSU24610	subtiwiki
BSU_00370	abrB	repression	BSU_24600	sinI	224308.BSU00370/224308.BSU24600	subtiwiki
BSU_00370	abrB	repression	BSU_24610	sinR	224308.BSU00370/224308.BSU24610	subtiwiki
BSU_09990	scoC	repression	BSU_24600	sinI	224308.BSU09990/224308.BSU24600	subtiwiki
BSU_09990	scoC	repression	BSU_24610	sinR	224308.BSU09990/224308.BSU24610	subtiwiki
NA	yybP-ykoY motif	RNA switch	BSU_40560	yybP	224308.NA/224308.BSU40560	subtiwiki
BSU_25200	sigA	sigma factor	BSU_34460	levB	224308.BSU25200/224308.BSU34460	subtiwiki
BSU_25200	sigA	sigma factor	BSU_34450	sacB	224308.BSU25200/224308.BSU34450	subtiwiki
BSU_35490	degU	activation	BSU_34460	levB	224308.BSU35490/224308.BSU34460	subtiwiki
BSU_35490	degU	activation	BSU_34450	sacB	224308.BSU35490/224308.BSU34450	subtiwiki
BSU_38420	sacY	antitermination	BSU_34460	levB	224308.BSU38420/224308.BSU34460	subtiwiki
BSU_38420	sacY	antitermination	BSU_34450	sacB	224308.BSU38420/224308.BSU34450	subtiwiki
BSU_25200	sigA	sigma factor	BSU_misc_RNA_2	scr	224308.BSU25200/224308.BSUmiscRNA2	subtiwiki
BSU_25200	sigA	sigma factor	BSU_00180	yaaJ	224308.BSU25200/224308.BSU00180	subtiwiki
BSU_25200	sigA	sigma factor	BSU_03940	ycnI	224308.BSU25200/224308.BSU03940	subtiwiki
BSU_25200	sigA	sigma factor	BSU_03960	ycnK	224308.BSU25200/224308.BSU03960	subtiwiki
BSU_25200	sigA	sigma factor	BSU_03950	ycnJ	224308.BSU25200/224308.BSU03950	subtiwiki
BSU_03960	ycnK	repression	BSU_03940	ycnI	224308.BSU03960/224308.BSU03940	subtiwiki
BSU_03960	ycnK	repression	BSU_03960	ycnK	224308.BSU03960/224308.BSU03960	subtiwiki
BSU_03960	ycnK	repression	BSU_03950	ycnJ	224308.BSU03960/224308.BSU03950	subtiwiki
BSU_00370	abrB	repression	BSU_03940	ycnI	224308.BSU00370/224308.BSU03940	subtiwiki
BSU_00370	abrB	repression	BSU_03960	ycnK	224308.BSU00370/224308.BSU03960	subtiwiki
BSU_00370	abrB	repression	BSU_03950	ycnJ	224308.BSU00370/224308.BSU03950	subtiwiki
BSU_28410	gerE	repression	BSU_30860	ytcA	224308.BSU28410/224308.BSU30860	subtiwiki
BSU_28410	gerE	repression	BSU_30880	ytcC	224308.BSU28410/224308.BSU30880	subtiwiki
BSU_28410	gerE	repression	BSU_30870	ytcB	224308.BSU28410/224308.BSU30870	subtiwiki
BSU_25760	sigK	sigma factor	BSU_30860	ytcA	224308.BSU25760/224308.BSU30860	subtiwiki
BSU_25760	sigK	sigma factor	BSU_30880	ytcC	224308.BSU25760/224308.BSU30880	subtiwiki
BSU_25760	sigK	sigma factor	BSU_30870	ytcB	224308.BSU25760/224308.BSU30870	subtiwiki
BSU_16170	codY	repression	BSU_21770	ilvA	224308.BSU16170/224308.BSU21770	subtiwiki
BSU_16170	codY	repression	BSU_21760	ypmP	224308.BSU16170/224308.BSU21760	subtiwiki
BSU_01730	sigW	sigma factor	BSU_06270	ydjO	224308.BSU01730/224308.BSU06270	subtiwiki
BSU_01730	sigW	sigma factor	BSU_06280	ydjP	224308.BSU01730/224308.BSU06280	subtiwiki
BSU_01730	sigW	sigma factor	BSU_06290	yeaA	224308.BSU01730/224308.BSU06290	subtiwiki
BSU_15320	sigE	sigma factor	BSU_06270	ydjO	224308.BSU15320/224308.BSU06270	subtiwiki
BSU_15320	sigE	sigma factor	BSU_06280	ydjP	224308.BSU15320/224308.BSU06280	subtiwiki
BSU_15320	sigE	sigma factor	BSU_06290	yeaA	224308.BSU15320/224308.BSU06290	subtiwiki
BSU_29740	ccpA	repression	BSU_38810	msmX	224308.BSU29740/224308.BSU38810	subtiwiki
BSU_29740	ccpA	repression	BSU_38820	yxkF	224308.BSU29740/224308.BSU38820	subtiwiki
BSU_14240	rok	repression	BSU_21440	bdbB	224308.BSU14240/224308.BSU21440	subtiwiki
BSU_14240	rok	repression	BSU_21480	sunA	224308.BSU14240/224308.BSU21480	subtiwiki
BSU_14240	rok	repression	BSU_21470	sunT	224308.BSU14240/224308.BSU21470	subtiwiki
BSU_14240	rok	repression	BSU_21450	sunS	224308.BSU14240/224308.BSU21450	subtiwiki
BSU_14240	rok	repression	BSU_21460	bdbA	224308.BSU14240/224308.BSU21460	subtiwiki
BSU_14480	abh	activation	BSU_21440	bdbB	224308.BSU14480/224308.BSU21440	subtiwiki
BSU_14480	abh	activation	BSU_21480	sunA	224308.BSU14480/224308.BSU21480	subtiwiki
BSU_14480	abh	activation	BSU_21470	sunT	224308.BSU14480/224308.BSU21470	subtiwiki
BSU_14480	abh	activation	BSU_21450	sunS	224308.BSU14480/224308.BSU21450	subtiwiki
BSU_14480	abh	activation	BSU_21460	bdbA	224308.BSU14480/224308.BSU21460	subtiwiki
BSU_00010	dnaA	repression	BSU_21440	bdbB	224308.BSU00010/224308.BSU21440	subtiwiki
BSU_00010	dnaA	repression	BSU_21480	sunA	224308.BSU00010/224308.BSU21480	subtiwiki
BSU_00010	dnaA	repression	BSU_21470	sunT	224308.BSU00010/224308.BSU21470	subtiwiki
BSU_00010	dnaA	repression	BSU_21450	sunS	224308.BSU00010/224308.BSU21450	subtiwiki
BSU_00010	dnaA	repression	BSU_21460	bdbA	224308.BSU00010/224308.BSU21460	subtiwiki
BSU_33221	yvrHb	activation	BSU_21440	bdbB	224308.BSU33221/224308.BSU21440	subtiwiki
BSU_33221	yvrHb	activation	BSU_21480	sunA	224308.BSU33221/224308.BSU21480	subtiwiki
BSU_33221	yvrHb	activation	BSU_21470	sunT	224308.BSU33221/224308.BSU21470	subtiwiki
BSU_33221	yvrHb	activation	BSU_21450	sunS	224308.BSU33221/224308.BSU21450	subtiwiki
BSU_33221	yvrHb	activation	BSU_21460	bdbA	224308.BSU33221/224308.BSU21460	subtiwiki
BSU_00370	abrB	repression	BSU_21440	bdbB	224308.BSU00370/224308.BSU21440	subtiwiki
BSU_00370	abrB	repression	BSU_21480	sunA	224308.BSU00370/224308.BSU21480	subtiwiki
BSU_00370	abrB	repression	BSU_21470	sunT	224308.BSU00370/224308.BSU21470	subtiwiki
BSU_00370	abrB	repression	BSU_21450	sunS	224308.BSU00370/224308.BSU21450	subtiwiki
BSU_00370	abrB	repression	BSU_21460	bdbA	224308.BSU00370/224308.BSU21460	subtiwiki
BSU_25200	sigA	sigma factor	BSU_39270	bglP	224308.BSU25200/224308.BSU39270	subtiwiki
BSU_25200	sigA	sigma factor	BSU_39250	yxiE	224308.BSU25200/224308.BSU39250	subtiwiki
BSU_25200	sigA	sigma factor	BSU_39260	bglH	224308.BSU25200/224308.BSU39260	subtiwiki
BSU_29740	ccpA	repression	BSU_39270	bglP	224308.BSU29740/224308.BSU39270	subtiwiki
BSU_29740	ccpA	repression	BSU_39250	yxiE	224308.BSU29740/224308.BSU39250	subtiwiki
BSU_29740	ccpA	repression	BSU_39260	bglH	224308.BSU29740/224308.BSU39260	subtiwiki
BSU_39080	licT	anti-termination	BSU_39270	bglP	224308.BSU39080/224308.BSU39270	subtiwiki
BSU_39080	licT	anti-termination	BSU_39250	yxiE	224308.BSU39080/224308.BSU39250	subtiwiki
BSU_39080	licT	anti-termination	BSU_39260	bglH	224308.BSU39080/224308.BSU39260	subtiwiki
BSU_23450	sigF	sigma factor	BSU_29500	gerW	224308.BSU23450/224308.BSU29500	subtiwiki
BSU_23450	sigF	sigma factor	BSU_29510	ytfI	224308.BSU23450/224308.BSU29510	subtiwiki
NA	T-box	RNA switch	BSU_28250	leuD	224308.NA/224308.BSU28250	subtiwiki
NA	T-box	RNA switch	BSU_28270	leuB	224308.NA/224308.BSU28270	subtiwiki
NA	T-box	RNA switch	BSU_28280	leuA	224308.NA/224308.BSU28280	subtiwiki
NA	T-box	RNA switch	BSU_28300	ilvH	224308.NA/224308.BSU28300	subtiwiki
NA	T-box	RNA switch	BSU_28260	leuC	224308.NA/224308.BSU28260	subtiwiki
NA	T-box	RNA switch	BSU_28310	ilvB	224308.NA/224308.BSU28310	subtiwiki
NA	T-box	RNA switch	BSU_28290	ilvC	224308.NA/224308.BSU28290	subtiwiki
BSU_25200	sigA	sigma factor	BSU_28250	leuD	224308.BSU25200/224308.BSU28250	subtiwiki
BSU_25200	sigA	sigma factor	BSU_28270	leuB	224308.BSU25200/224308.BSU28270	subtiwiki
BSU_25200	sigA	sigma factor	BSU_28280	leuA	224308.BSU25200/224308.BSU28280	subtiwiki
BSU_25200	sigA	sigma factor	BSU_28300	ilvH	224308.BSU25200/224308.BSU28300	subtiwiki
BSU_25200	sigA	sigma factor	BSU_28260	leuC	224308.BSU25200/224308.BSU28260	subtiwiki
BSU_25200	sigA	sigma factor	BSU_28310	ilvB	224308.BSU25200/224308.BSU28310	subtiwiki
BSU_25200	sigA	sigma factor	BSU_28290	ilvC	224308.BSU25200/224308.BSU28290	subtiwiki
BSU_13310	tnrA	repression	BSU_28250	leuD	224308.BSU13310/224308.BSU28250	subtiwiki
BSU_13310	tnrA	repression	BSU_28270	leuB	224308.BSU13310/224308.BSU28270	subtiwiki
BSU_13310	tnrA	repression	BSU_28280	leuA	224308.BSU13310/224308.BSU28280	subtiwiki
BSU_13310	tnrA	repression	BSU_28300	ilvH	224308.BSU13310/224308.BSU28300	subtiwiki
BSU_13310	tnrA	repression	BSU_28260	leuC	224308.BSU13310/224308.BSU28260	subtiwiki
BSU_13310	tnrA	repression	BSU_28310	ilvB	224308.BSU13310/224308.BSU28310	subtiwiki
BSU_13310	tnrA	repression	BSU_28290	ilvC	224308.BSU13310/224308.BSU28290	subtiwiki
BSU_16170	codY	repression	BSU_28250	leuD	224308.BSU16170/224308.BSU28250	subtiwiki
BSU_16170	codY	repression	BSU_28270	leuB	224308.BSU16170/224308.BSU28270	subtiwiki
BSU_16170	codY	repression	BSU_28280	leuA	224308.BSU16170/224308.BSU28280	subtiwiki
BSU_16170	codY	repression	BSU_28300	ilvH	224308.BSU16170/224308.BSU28300	subtiwiki
BSU_16170	codY	repression	BSU_28260	leuC	224308.BSU16170/224308.BSU28260	subtiwiki
BSU_16170	codY	repression	BSU_28310	ilvB	224308.BSU16170/224308.BSU28310	subtiwiki
BSU_16170	codY	repression	BSU_28290	ilvC	224308.BSU16170/224308.BSU28290	subtiwiki
BSU_29740	ccpA	activation	BSU_28250	leuD	224308.BSU29740/224308.BSU28250	subtiwiki
BSU_29740	ccpA	activation	BSU_28270	leuB	224308.BSU29740/224308.BSU28270	subtiwiki
BSU_29740	ccpA	activation	BSU_28280	leuA	224308.BSU29740/224308.BSU28280	subtiwiki
BSU_29740	ccpA	activation	BSU_28300	ilvH	224308.BSU29740/224308.BSU28300	subtiwiki
BSU_29740	ccpA	activation	BSU_28260	leuC	224308.BSU29740/224308.BSU28260	subtiwiki
BSU_29740	ccpA	activation	BSU_28310	ilvB	224308.BSU29740/224308.BSU28310	subtiwiki
BSU_29740	ccpA	activation	BSU_28290	ilvC	224308.BSU29740/224308.BSU28290	subtiwiki
BSU_misc_RNA_11	Thi-box	RNA switch	BSU_13210	thiX	224308.BSUmiscRNA11/224308.BSU13210	subtiwiki
BSU_misc_RNA_11	Thi-box	RNA switch	BSU_13240	thiU	224308.BSUmiscRNA11/224308.BSU13240	subtiwiki
BSU_misc_RNA_11	Thi-box	RNA switch	BSU_13230	thiV	224308.BSUmiscRNA11/224308.BSU13230	subtiwiki
BSU_misc_RNA_11	Thi-box	RNA switch	BSU_13220	thiW	224308.BSUmiscRNA11/224308.BSU13220	subtiwiki
BSU_25200	sigA	sigma factor	BSU_38030	ywdA	224308.BSU25200/224308.BSU38030	subtiwiki
BSU_25200	sigA	sigma factor	BSU_38040	sacA	224308.BSU25200/224308.BSU38040	subtiwiki
BSU_25200	sigA	sigma factor	BSU_38050	sacP	224308.BSU25200/224308.BSU38050	subtiwiki
BSU_38070	sacT	antitermination	BSU_38030	ywdA	224308.BSU38070/224308.BSU38030	subtiwiki
BSU_38070	sacT	antitermination	BSU_38040	sacA	224308.BSU38070/224308.BSU38040	subtiwiki
BSU_38070	sacT	antitermination	BSU_38050	sacP	224308.BSU38070/224308.BSU38050	subtiwiki
BSU_29740	ccpA	repression	BSU_38030	ywdA	224308.BSU29740/224308.BSU38030	subtiwiki
BSU_29740	ccpA	repression	BSU_38040	sacA	224308.BSU29740/224308.BSU38040	subtiwiki
BSU_29740	ccpA	repression	BSU_38050	sacP	224308.BSU29740/224308.BSU38050	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12320	yjmC	224308.BSU25200/224308.BSU12320	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12310	yjmB	224308.BSU25200/224308.BSU12310	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12300	uxaC	224308.BSU25200/224308.BSU12300	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12370	exuR	224308.BSU25200/224308.BSU12370	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12360	exuT	224308.BSU25200/224308.BSU12360	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12340	uxuA	224308.BSU25200/224308.BSU12340	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12380	uxaB	224308.BSU25200/224308.BSU12380	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12350	yjmF	224308.BSU25200/224308.BSU12350	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12330	yjmD	224308.BSU25200/224308.BSU12330	subtiwiki
BSU_25200	sigA	sigma factor	BSU_12390	uxaA	224308.BSU25200/224308.BSU12390	subtiwiki
BSU_12370	exuR	repression	BSU_12320	yjmC	224308.BSU12370/224308.BSU12320	subtiwiki
BSU_12370	exuR	repression	BSU_12310	yjmB	224308.BSU12370/224308.BSU12310	subtiwiki
BSU_12370	exuR	repression	BSU_12300	uxaC	224308.BSU12370/224308.BSU12300	subtiwiki
BSU_12370	exuR	repression	BSU_12370	exuR	224308.BSU12370/224308.BSU12370	subtiwiki
BSU_12370	exuR	repression	BSU_12360	exuT	224308.BSU12370/224308.BSU12360	subtiwiki
