regulator_locus	regulator_name	mode	gene_locus	gene_name	link	source
BSU_16170	codY	repression	BSU_24060	lpdV	224308.BSU16170/224308.BSU24060	subtiwiki
BSU_16170	codY	repression	BSU_24030	bkdB	224308.BSU16170/224308.BSU24030	subtiwiki
BSU_16170	codY	repression	BSU_24070	buk	224308.BSU16170/224308.BSU24070	subtiwiki
BSU_16170	codY	repression	BSU_24050	bkdAA	224308.BSU16170/224308.BSU24050	subtiwiki
BSU_16170	codY	repression	BSU_24040	bkdAB	224308.BSU16170/224308.BSU24040	subtiwiki
BSU_16170	codY	repression	BSU_24080	bcd	224308.BSU16170/224308.BSU24080	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00600	yabP	224308.BSU09520/224308.BSU00600	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00610	shfA	224308.BSU09520/224308.BSU00610	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00580	yabN	224308.BSU09520/224308.BSU00580	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00630	yabR	224308.BSU09520/224308.BSU00630	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00590	rqcP	224308.BSU09520/224308.BSU00590	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00570	yabM	224308.BSU09520/224308.BSU00570	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00620	divIC	224308.BSU09520/224308.BSU00620	subtiwiki
BSU_15320	sigE	sigma factor	BSU_00600	yabP	224308.BSU15320/224308.BSU00600	subtiwiki
BSU_15320	sigE	sigma factor	BSU_00610	shfA	224308.BSU15320/224308.BSU00610	subtiwiki
BSU_15320	sigE	sigma factor	BSU_00580	yabN	224308.BSU15320/224308.BSU00580	subtiwiki
BSU_15320	sigE	sigma factor	BSU_00630	yabR	224308.BSU15320/224308.BSU00630	subtiwiki
BSU_15320	sigE	sigma factor	BSU_00590	rqcP	224308.BSU15320/224308.BSU00590	subtiwiki
BSU_15320	sigE	sigma factor	BSU_00570	yabM	224308.BSU15320/224308.BSU00570	subtiwiki
BSU_15320	sigE	sigma factor	BSU_00620	divIC	224308.BSU15320/224308.BSU00620	subtiwiki
BSU_01730	sigW	sigma factor	BSU_00600	yabP	224308.BSU01730/224308.BSU00600	subtiwiki
BSU_01730	sigW	sigma factor	BSU_00610	shfA	224308.BSU01730/224308.BSU00610	subtiwiki
BSU_01730	sigW	sigma factor	BSU_00580	yabN	224308.BSU01730/224308.BSU00580	subtiwiki
BSU_01730	sigW	sigma factor	BSU_00630	yabR	224308.BSU01730/224308.BSU00630	subtiwiki
BSU_01730	sigW	sigma factor	BSU_00590	rqcP	224308.BSU01730/224308.BSU00590	subtiwiki
BSU_01730	sigW	sigma factor	BSU_00570	yabM	224308.BSU01730/224308.BSU00570	subtiwiki
BSU_01730	sigW	sigma factor	BSU_00620	divIC	224308.BSU01730/224308.BSU00620	subtiwiki
BSU_16470	sigD	sigma factor	BSU_00600	yabP	224308.BSU16470/224308.BSU00600	subtiwiki
BSU_16470	sigD	sigma factor	BSU_00610	shfA	224308.BSU16470/224308.BSU00610	subtiwiki
BSU_16470	sigD	sigma factor	BSU_00580	yabN	224308.BSU16470/224308.BSU00580	subtiwiki
BSU_16470	sigD	sigma factor	BSU_00630	yabR	224308.BSU16470/224308.BSU00630	subtiwiki
BSU_16470	sigD	sigma factor	BSU_00590	rqcP	224308.BSU16470/224308.BSU00590	subtiwiki
BSU_16470	sigD	sigma factor	BSU_00570	yabM	224308.BSU16470/224308.BSU00570	subtiwiki
BSU_16470	sigD	sigma factor	BSU_00620	divIC	224308.BSU16470/224308.BSU00620	subtiwiki
BSU_23100	sigX	sigma factor	BSU_00600	yabP	224308.BSU23100/224308.BSU00600	subtiwiki
BSU_23100	sigX	sigma factor	BSU_00610	shfA	224308.BSU23100/224308.BSU00610	subtiwiki
