GENE_PRODUCT_ID	FB_ID
A0A0B4K692	FBgn0027570
A0A0B4K753	FBgn0262823
A0A0B4K7J2	FBgn0039302
A0A0B4K859	FBgn0033766
A0A0B4KEE4	FBgn0265003
A0A0B4KGY6	FBgn0261552
A0A0B4LFY9	FBgn0033453
A0A0B7P9G0	FBgn0262124
A0A0U1QT59	FBgn0267796
A0A126GUP6	FBgn0027930
A0A1F4	FBgn0031414
A1A708	FBgn0039563
A1YK02	FBgn0034310
A1Z6E0	FBgn0026238
A1Z6H7	FBgn0266580
A1Z6J5	FBgn0033055
A1Z6K7	FBgn0033069
A1Z6L1	FBgn0033074
A1Z6M6	FBgn0266518
A1Z6S7	FBgn0022960
A1Z6W3	FBgn0003090
A1Z713	FBgn0033194
A1Z746	FBgn0000337
A1Z7A6	FBgn0050372
A1Z7A8	FBgn0033265
A1Z7G7	FBgn0033313
A1Z7K9	FBgn0033352
A1Z7L1	FBgn0033354
A1Z7R6	FBgn0033388
A1Z7T0	FBgn0020621
A1Z7U3	FBgn0053774
A1Z7Z9	FBgn0033447
A1Z877	FBgn0026403
A1Z897	FBgn0033523
A1Z8D0	FBgn0263510
A1Z8E9	FBgn0033578
A1Z8J0	FBgn0033615
A1Z8N1	FBgn0050035
A1Z8P9	FBgn0013756
A1Z8R8	FBgn0033672
A1Z8X3	FBgn0266111
A1Z9A2	FBgn0033810
A1Z9A8	FBgn0033816
A1Z9E2	FBgn0033846
A1Z9G2	FBgn0033859
A1Z9J4	FBgn0033885
A1Z9L3	FBgn0086895
A1Z9P3	FBgn0085408
A1Z9R4	FBgn0284250
A1Z9S1	FBgn0050077
A1Z9X0	FBgn0261854
A1ZA47	FBgn0265991
A1ZA55	FBgn0034047
A1ZA92	FBgn0034073
A1ZAB5	FBgn0034087
A1ZAG4	FBgn0034129
A1ZAI3	FBgn0034143
A1ZAI5	FBgn0034145
A1ZAJ2	FBgn0267002
A1ZAK1	FBgn0289323
A1ZAU8	FBgn0263197
A1ZAV1	FBgn0263113
A1ZAW0	FBgn0034246
A1ZAW5	FBgn0029079
A1ZAX0	FBgn0050106
A1ZAX1	FBgn0034258
A1ZAY1	FBgn0034264
A1ZB42	FBgn0260401
A1ZB62	FBgn0040735
A1ZB63	FBgn0040734
A1ZB64	FBgn0040733
A1ZB86	FBgn0261477
A1ZB91	FBgn0034352
A1ZBD6	FBgn0034389
A1ZBE8	FBgn0034400
A1ZBR5	FBgn0034483
A1ZBT5	FBgn0034503
A1ZBW7	FBgn0034529
A1ZBY1	FBgn0034542
A2VEI2	FBgn0031893
A2VEY9	FBgn0260941
A3RLR0	FBgn0259732
A3RLR1	FBgn0259733
A4VCL2	FBgn0051145
A6MHQ4	FBgn0085442
A8DYE2	FBgn0265194
A8DYH2	FBgn0085220
A8DYP0	FBgn0053519
A8DYP7	FBgn0050424
A8DYY5	FBgn0085212
A8DYY6	FBgn0032221
A8JNV4	FBgn0085284
A8JQ65	FBgn0085413
A8JQX3	FBgn0261808
A8JR14	FBgn0026737
A8JUP7	FBgn0030925
A8JUV0	FBgn0265630
A8MPH9	FBgn0001297
B4F7L9	FBgn0267449
B5A5T4	FBgn0260499
B6JUP5	FBgn0283440
B6VQA1	FBgn0023091
B7TB45	FBgn0261526
B7YZT2	FBgn0039969
B7YZU2	FBgn0286782
B7YZV4	FBgn0264815
B7Z031	FBgn0031969
B7Z073	FBgn0259720
B7Z0I7	FBgn0259199
B7Z0K8	FBgn0259244
B7Z0W9	FBgn0259150
C0HJH3	FBgn0266492
C0HJH4	FBgn0266491
C0HJX4	FBgn0259730
C0HJX5	FBgn0259731
C0HK92	FBgn0266446
C0HK94	FBgn0266448
C0HK95	FBgn0266451
C0HK98	FBgn0043576
C0HK99	FBgn0033327
C0HKA0	FBgn0004403
C0HKA1	FBgn0004404
C0HKA2	FBgn0010358
C0HKA3	FBgn0010359
C0HKA4	FBgn0050031
C0HKF7	FBgn0003356
C0HKF8	FBgn0003357
C0HKQ7	FBgn0000276
C0HKQ8	FBgn0000277
C0HL62	FBgn0020644
C0HL63	FBgn0020643
C0HL64	FBgn0020638
C0HL65	FBgn0020637
C0HL66	FBgn0014857
C0HL67	FBgn0004828
C0HLZ9	FBgn0053470
C0HM00	FBgn0288447
C4NYP8	FBgn0260484
D5SHR0	FBgn0034636
E1JH25	FBgn0285892
E1JI63	FBgn0035815
E1JIB2	FBgn0286980
E1JIT7	FBgn0051158
E9NA96	FBgn0031634
F0JAI6	FBgn0028952
F3YDF1	FBgn0034792
G5CKU5	FBgn0085512
M9MRD1	FBgn0261836
M9MRD5	FBgn0261683
M9MRI4	FBgn0051721
M9MSG8	FBgn0264953
M9NDE3	FBgn0031571
M9NE38	FBgn0263973
M9NEY8	FBgn0263392
M9PBE2	FBgn0032812
M9PD06	FBgn0036913
M9PE65	FBgn0262870
M9PFN0	FBgn0036556
M9PGC5	FBgn0037098
O01346	FBgn0001404
O01352	FBgn0019828
O01367	FBgn0264491
O01382	FBgn0019972
O01404	FBgn0283509
O01666	FBgn0020235
O01668	FBgn0019940
O01939	FBgn0020272
O02002	FBgn0010501
O02193	FBgn0014340
O02194	FBgn0284421
O02195	FBgn0015834
O02372	FBgn0020277
O02373	FBgn0261445
O02649	FBgn0015245
O15943	FBgn0015609
O15945	FBgn0264075
O16011	FBgn0265487
O16102	FBgn0023395
O16129	FBgn0275436
O16130	FBgn0023170
O16797	FBgn0020910
O16810	FBgn0286788
O16829	FBgn0000279
O16844	FBgn0000352
O16867	FBgn0015550
O16868	FBgn0001084
O17444	FBgn0270928
O17445	FBgn0028697
O17468	FBgn0022786
O18333	FBgn0014009
O18334	FBgn0015797
O18373	FBgn0261270
O18381	FBgn0005558
O18388	FBgn0262743
O18391	FBgn0020545
O18400	FBgn0020912
O18404	FBgn0021765
O18405	FBgn0019925
O18408	FBgn0020506
O18412	FBgn0011596
O18413	FBgn0020369
O18475	FBgn0002905
O18640	FBgn0020618
O44081	FBgn0259937
O44252	FBgn0011705
O44342	FBgn0004003
O44386	FBgn0286785
O44424	FBgn0023506
O44437	FBgn0023167
O44783	FBgn0014388
O46036	FBgn0020496
O46037	FBgn0004397
O46040	FBgn0053548
O46043	FBgn0023216
O46051	FBgn0023541
O46054	FBgn0015036
O46072	FBgn0001330
O46077	FBgn0023523
O46080	FBgn0023520
O46084	FBgn0023517
O46089	FBgn0023513
O46098	FBgn0013432
O46101	FBgn0024361
O46102	FBgn0024360
O46106	FBgn0014366
O46107	FBgn0023496
O46108	FBgn0023495
O46197	FBgn0015583
O46199	FBgn0015584
O46200	FBgn0015585
O46201	FBgn0263597
O46202	FBgn0020509
O46203	FBgn0023415
O46227	FBgn0267327
O46339	FBgn0001235
O46341	FBgn0023130
O61231	FBgn0024733
O61267	FBgn0019686
O61305	FBgn0024804
O61307	FBgn0004449
O61345	FBgn0015527
O61365	FBgn0024319
O61366	FBgn0024232
O61443	FBgn0024846
O61491	FBgn0024754
O61492	FBgn0264078
O61613	FBgn0020392
