GENE_PRODUCT_ID	FB_ID
O61643	FBgn0024913
O61661	FBgn0261278
O61722	FBgn0024734
O61734	FBgn0023094
O61735	FBgn0023076
O62589	FBgn0000808
O62618	FBgn0015765
O62619	FBgn0267385
O62621	FBgn0025724
O76206	FBgn0014930
O76324	FBgn0002413
O76454	FBgn0024841
O76460	FBgn0002989
O76464	FBgn0024945
O76511	FBgn0024920
O76742	FBgn0015795
O76767	FBgn0267330
O76878	FBgn0024985
O76879	FBgn0000092
O76902	FBgn0025381
O76906	FBgn0000376
O76908	FBgn0283545
O76922	FBgn0000146
O76924	FBgn0025186
O76927	FBgn0015521
O76932	FBgn0023177
O77051	FBgn0024371
O77059	FBgn0025680
O77086	FBgn0259228
O77150	FBgn0025583
O77215	FBgn0024184
O77237	FBgn0025574
O77263	FBgn0025629
O77264	FBgn0025630
O77277	FBgn0025615
O77286	FBgn0025558
O77410	FBgn0025582
O77438	FBgn0027343
O77459	FBgn0011236
O77460	FBgn0016687
O77475	FBgn0025335
O96433	FBgn0025455
O96539	FBgn0025720
O96553	FBgn0020385
O96651	FBgn0026015
O96690	FBgn0023178
O96827	FBgn0028737
O96838	FBgn0028741
O96860	FBgn0026141
O96863	FBgn0026136
O97067	FBgn0026566
O97069	FBgn0026565
O97125	FBgn0001230
O97143	FBgn0026371
O97148	FBgn0023000
O97159	FBgn0262519
O97172	FBgn0028746
O97176	FBgn0002578
O97177	FBgn0002592
O97178	FBgn0002732
O97179	FBgn0002632
O97394	FBgn0021764
O97420	FBgn0026088
O97422	FBgn0066114
O97477	FBgn0025885
P00334	FBgn0000055
P00399	FBgn0013674
P00408	FBgn0013675
P00417	FBgn0013676
P00522	FBgn0000017
P00528	FBgn0262733
P00850	FBgn0013672
P00967	FBgn0000053
P02255	FBgn0001195
P02255	FBgn0051617
P02255	FBgn0053804
P02255	FBgn0053810
P02255	FBgn0053813
P02255	FBgn0053816
P02255	FBgn0053819
P02255	FBgn0053822
P02255	FBgn0053825
P02255	FBgn0053828
P02255	FBgn0053831
P02255	FBgn0053837
P02255	FBgn0053840
P02255	FBgn0053843
P02255	FBgn0053846
P02255	FBgn0053849
P02255	FBgn0053852
P02255	FBgn0053864
P02283	FBgn0001198
P02283	FBgn0061209
P02283	FBgn0053868
P02283	FBgn0053870
P02283	FBgn0053872
P02283	FBgn0053874
P02283	FBgn0053876
P02283	FBgn0053878
P02283	FBgn0053880
P02283	FBgn0053882
P02283	FBgn0053884
P02283	FBgn0053886
P02283	FBgn0053888
P02283	FBgn0053890
P02283	FBgn0053892
P02283	FBgn0053894
P02283	FBgn0053896
P02283	FBgn0053898
P02283	FBgn0053900
P02283	FBgn0053902
P02283	FBgn0053904
P02283	FBgn0053906
P02283	FBgn0053908
P02283	FBgn0053910
P02299	FBgn0001199
P02299	FBgn0051613
P02299	FBgn0053803
P02299	FBgn0053806
P02299	FBgn0053809
P02299	FBgn0053812
P02299	FBgn0053815
P02299	FBgn0053818
P02299	FBgn0053821
P02299	FBgn0053824
P02299	FBgn0053827
P02299	FBgn0053830
P02299	FBgn0053833
P02299	FBgn0053836
P02299	FBgn0053839
P02299	FBgn0053842
P02299	FBgn0053845
P02299	FBgn0053848
P02299	FBgn0053851
P02299	FBgn0053854
P02299	FBgn0053857
P02299	FBgn0053860
P02299	FBgn0053863
P02299	FBgn0053866
P02515	FBgn0001223
P02516	FBgn0001224
P02517	FBgn0001225
P02518	FBgn0001226
P02572	FBgn0000043
P02574	FBgn0000045
P02825	FBgn0013276
P02828	FBgn0001233
P02833	FBgn0260642
P02835	FBgn0001077
P02836	FBgn0000577
P02839	FBgn0002531
P02840	FBgn0003373
P02841	FBgn0003377
P02842	FBgn0003378
P02843	FBgn0004045
P02844	FBgn0005391
P03896	FBgn0013680
P04052	FBgn0003277
P04146	FBgn0013437
P04197	FBgn0002914
P04323	FBgn0014453
P04357	FBgn0002868
P04359	FBgn0002626
P04388	FBgn0003206
P04412	FBgn0003731
P04657	FBgn0086907
P04755	FBgn0000038
P04814	FBgn0003863
P04950	FBgn0003249
P05031	FBgn0000422
P05049	FBgn0003450
P05084	FBgn0001180
P05130	FBgn0003091
P05205	FBgn0003607
P05303	FBgn0000557
P05389	FBgn0003274
P05527	FBgn0001269
P05552	FBgn0284249
P05623	FBgn0003034
P05661	FBgn0264695
P05709	FBgn0004666
P05812	FBgn0001227
P05990	FBgn0003189
P06002	FBgn0002940
P06601	FBgn0003145
P06602	FBgn0000606
P06603	FBgn0003884
P06604	FBgn0003886
P06605	FBgn0003885
P06606	FBgn0087040
P06607	FBgn0004047
P06742	FBgn0002772
P06754	FBgn0003721
P07140	FBgn0000024
P07182	FBgn0000359
P07183	FBgn0000360
P07184	FBgn0000357
P07185	FBgn0000355
P07186	FBgn0000358
P07187	FBgn0002533
P07188	FBgn0002534
P07189	FBgn0002535
P07190	FBgn0002570
P07191	FBgn0002569
P07192	FBgn0002571
P07207	FBgn0004647
P07247	FBgn0001325
P07486	FBgn0001091
P07487	FBgn0001092
P07548	FBgn0000439
P07663	FBgn0003068
P07664	FBgn0003512
P07665	FBgn0003511
P07666	FBgn0003510
P07668	FBgn0000303
P07701	FBgn0003375
P07713	FBgn0000490
P07764	FBgn0000064
P07909	FBgn0001215
P08044	FBgn0003448
P08099	FBgn0003248
P08111	FBgn0002121
P08120	FBgn0000299
P08144	FBgn0000079
P08155	FBgn0266450
P08171	FBgn0000592
P08175	FBgn0002862
P08181	FBgn0264492
P08182	FBgn0000259
P08255	FBgn0003250
P08266	FBgn0262955
P08510	FBgn0003380
P08570	FBgn0002593
P08630	FBgn0003502
P08645	FBgn0004636
P08646	FBgn0003205
P08736	FBgn0284245
P08761	FBgn0000565
P08841	FBgn0003888
P08879	FBgn0000150
P08928	FBgn0002525
P08953	FBgn0262473
P08970	FBgn0003567
P08985	FBgn0001197
P09040	FBgn0000500
P09052	FBgn0283442
P09077	FBgn0003339
P09081	FBgn0000166
P09082	FBgn0001148
P09083	FBgn0001147
P09085	FBgn0000251
P09087	FBgn0000015
P09089	FBgn0004053
P09090	FBgn0004054
P09180	FBgn0003279
P09208	FBgn0283499
P09478	FBgn0000036
P09491	FBgn0004117
P09615	FBgn0284084
P09774	FBgn0002561
P09775	FBgn0000137
P09956	FBgn0004050
P09957	FBgn0004034
P0C919	FBgn0260229
P0CG69	FBgn0003943
P0DKM0	FBgn0261353
P10035	FBgn0001170
P10040	FBgn0259685
P10041	FBgn0000463
P10083	FBgn0000022
P10084	FBgn0004170
P10090	FBgn0003996
P10105	FBgn0002522
P10180	FBgn0004198
P10181	FBgn0003267
P10333	FBgn0002855
P10334	FBgn0002856
P10351	FBgn0003308
P10379	FBgn0004055
P10383	FBgn0003023
P10394	FBgn0043847
P10401	FBgn0014966
P10552	FBgn0000715
P10627	FBgn0003900
P10674	FBgn0285925
P10676	FBgn0002938
P10734	FBgn0001320
P10735	FBgn0003714
P10981	FBgn0000046
P10987	FBgn0000042
P11046	FBgn0261800
P11146	FBgn0001217
P11147	FBgn0266599
P11346	FBgn0003079
P11420	FBgn0267821
P11449	FBgn0003979
P11450	FBgn0000644
P11455	FBgn0003683
P11536	FBgn0000567
P11584	FBgn0004657
P11596	FBgn0003741
P11612	FBgn0003140
P11929	FBgn0000228
P11956	FBgn0002869
P11995	FBgn0002562
P11996	FBgn0002563
P11997	FBgn0002564
P12024	FBgn0267435
P12080	FBgn0001250
P12252	FBgn0000479
P12258	FBgn0014191
P12297	FBgn0003638
P12370	FBgn0000273
P12426	FBgn0000109
P12428	FBgn0000241
P12613	FBgn0003676
P12646	FBgn0004057
P12881	FBgn0250843
P12982	FBgn0004103
P13002	FBgn0259211
P13008	FBgn0261597
P13054	FBgn0001323
P13055	FBgn0000568
P13060	FBgn0000559
P13095	FBgn0002629
P13096	FBgn0002631
P13097	FBgn0002633
P13098	FBgn0000591
P13217	FBgn0262738
P13238	FBgn0003980
P13360	FBgn0004618
P13368	FBgn0003366
P13395	FBgn0250789
P13468	FBgn0000810
P13469	FBgn0002780
P13496	FBgn0001108
P13582	FBgn0000533
P13607	FBgn0002921
P13677	FBgn0004784
P13678	FBgn0003093
P13706	FBgn0001128
P13709	FBgn0004656
P14003	FBgn0001168
P14083	FBgn0266129
P14199	FBgn0003231
P14318	FBgn0002789
P14484	FBgn0003046
P14599	FBgn0000108
P14734	FBgn0000659
P14773	FBgn0263782
P14785	FBgn0000404
P14956	FBgn0000278
P15007	FBgn0000579
P15215	FBgn0267348
P15278	FBgn0000636
P15330	FBgn0260632
P15348	FBgn0284220
P15357	FBgn0003942
P15364	FBgn0000071
P15370	FBgn0000560
P15372	FBgn0000120
P15425	FBgn0002936
P15619	FBgn0005642
P16163	FBgn0003961
P16241	FBgn0086680
P16320	FBgn0044029
P16371	FBgn0001139
P16375	FBgn0003651
P16376	FBgn0003651
P16378	FBgn0001122
P16395	FBgn0000037
P16423	FBgn0016699
P16424	FBgn0044825
P16425	FBgn0044824
P16548	FBgn0002863
P16554	FBgn0002973
P16568	FBgn0000183
P16620	FBgn0014007
P16621	FBgn0000464
P16905	FBgn0259243
P16909	FBgn0086915
P16911	FBgn0000274
P16912	FBgn0000489
P16914	FBgn0260400
P17133	FBgn0016978
P17207	FBgn0003358
P17210	FBgn0001308
P17276	FBgn0001208
P17336	FBgn0000261
P17644	FBgn0000039
P17671	FBgn0000568
P17672	FBgn0000568
P17704	FBgn0005533
P17719	FBgn0004087
P17789	FBgn0003870
P17886	FBgn0000377
P17917	FBgn0005655
P17970	FBgn0262593
P17971	FBgn0005564
P17972	FBgn0003386
P18053	FBgn0261394
P18091	FBgn0000667
P18101	FBgn0003941
P18102	FBgn0003720
P18105	FBgn0002948
P18106	FBgn0000723
P18167	FBgn0000594
P18168	FBgn0004197
P18169	FBgn0000427
P18170	FBgn0000427
P18171	FBgn0000427
P18173	FBgn0001112
P18289	FBgn0001291
P18431	FBgn0003371
P18432	FBgn0002773
P18459	FBgn0005626
P18475	FBgn0003733
P18486	FBgn0000075
P18487	FBgn0002036
P18488	FBgn0000576
P18489	FBgn0003660
P18490	FBgn0003048
P18491	FBgn0000575
P18502	FBgn0003892
P18537	FBgn0001085
P18824	FBgn0000117
P18929	FBgn0013679
P18930	FBgn0013681
P18931	FBgn0262952
P18932	FBgn0013684
P18933	FBgn0013685
P18934	FBgn0013683
P18935	FBgn0013678
P19018	FBgn0003742
P19107	FBgn0000121
P19109	FBgn0003261
P19334	FBgn0003861
P19339	FBgn0264270
P19351	FBgn0004169
P19538	FBgn0004859
P19889	FBgn0000100
P19967	FBgn0000406
P20007	FBgn0003067
P20009	FBgn0000157
P20028	FBgn0003278
P20105	FBgn0000567
P20153	FBgn0003964
P20193	FBgn0003598
P20227	FBgn0003687
P20228	FBgn0004516
P20232	FBgn0010422
P20240	FBgn0266420
P20241	FBgn0264975
P20348	FBgn0001280
P20349	FBgn0001281
P20350	FBgn0004635
P20351	FBgn0003965
P20353	FBgn0001104
P20354	FBgn0001123
P20385	FBgn0000286
P20432	FBgn0001149
P20439	FBgn0000405
P20477	FBgn0001142
P20478	FBgn0001145
P20480	FBgn0002924
P20482	FBgn0262975
P20483	FBgn0003525
P20659	FBgn0003862
P20825	FBgn0027622
P20905	FBgn0004573
P21187	FBgn0265297
P21328	FBgn0015952
P21330	FBgn0020297
P21461	FBgn0003410
P21519	FBgn0002643
P21520	FBgn0003326
P21521	FBgn0004242
P21525	FBgn0001297
P21663	FBgn0000094
P21750	FBgn0003313
P21914	FBgn0014028
P22058	FBgn0000412
P22265	FBgn0003866
P22270	FBgn0004514
P22293	FBgn0003575
P22464	FBgn0000083
P22465	FBgn0000084
P22468	FBgn0001099
P22469	FBgn0004052
P22700	FBgn0263006
P22711	FBgn0004110
P22745	FBgn0000158
P22769	FBgn0004066
P22807	FBgn0002941
P22808	FBgn0261930
P22809	FBgn0004862
P22810	FBgn0004102
P22812	FBgn0003882
P22813	FBgn0001222
P22814	FBgn0003300
P22815	FBgn0000206
P22816	FBgn0002922
P22817	FBgn0001247
P22977	FBgn0000356
P22978	FBgn0001228
P22979	FBgn0001229
P23023	FBgn0000504
P23128	FBgn0004419
P23226	FBgn0002645
P23257	FBgn0260639
P23380	FBgn0262736
P23487	FBgn0004228
P23488	FBgn0004414
P23572	FBgn0004106
P23573	FBgn0004107
P23625	FBgn0004435
P23645	FBgn0000180
P23647	FBgn0001079
P23654	FBgn0004108
P23696	FBgn0004177
P23757	FBgn0003129
P23758	FBgn0003130
P23779	FBgn0004629
P23792	FBgn0000459
P23803	FBgn0002985
P23938	FBgn0002933
P24014	FBgn0264089
P24156	FBgn0002031
P24350	FBgn0000028
P24492	FBgn0004240
P24785	FBgn0002774
P25007	FBgn0004432
P25008	FBgn0004597
P25028	FBgn0000927
P25123	FBgn0004244
P25153	FBgn0004436
P25157	FBgn0000384
P25158	FBgn0003015
P25159	FBgn0003520
P25160	FBgn0000115
P25161	FBgn0261396
P25162	FBgn0004118
P25167	FBgn0004463
P25171	FBgn0002638
P25172	FBgn0265623
P25228	FBgn0005586
P25439	FBgn0000212
P25455	FBgn0004611
P25722	FBgn0024230
P25723	FBgn0003719
P25724	FBgn0002962
P25822	FBgn0003165
P25823	FBgn0003891
P25843	FBgn0000308
P25867	FBgn0011217
P25931	FBgn0004842
P25932	FBgn0287768
P25991	FBgn0003559
P25992	FBgn0005596
P26016	FBgn0004509
P26017	FBgn0003042
P26019	FBgn0259113
P26023	FBgn0003086
P26270	FBgn0002787
P26308	FBgn0001105
P26675	FBgn0001965
P26686	FBgn0004587
P26802	FBgn0004556
P27091	FBgn0024234
P27398	FBgn0003464
P27619	FBgn0003392
P27716	FBgn0004646
P27779	FBgn0000551
P27780	FBgn0000552
P27781	FBgn0004554
P27864	FBgn0004584
P28159	FBgn0004837
P28166	FBgn0004606
P28167	FBgn0004607
P28285	FBgn0004168
P28286	FBgn0263116
P28465	FBgn0004360
P28466	FBgn0010194
P28518	FBgn0004832
P28668	FBgn0005674
P28750	FBgn0000615
P29052	FBgn0004915
P29310	FBgn0004907
P29327	FBgn0261592
P29349	FBgn0000382
P29413	FBgn0005585
P29503	FBgn0002932
P29555	FBgn0000014
P29613	FBgn0086355
P29615	FBgn0004429
P29617	FBgn0004595
P29673	FBgn0267978
P29681	FBgn0001254
P29742	FBgn0000319
P29746	FBgn0001090
P29747	FBgn0004396
P29774	FBgn0005658
P29775	FBgn0005659
P29776	FBgn0005660
P29829	FBgn0004623
P29843	FBgn0001216
P29844	FBgn0001218
P29845	FBgn0001220
P29993	FBgn0010051
P30052	FBgn0003345
P30189	FBgn0004924
P30430	FBgn0004509
P30432	FBgn0004598
P30974	FBgn0004841
P30975	FBgn0004622
P31007	FBgn0001624
P31009	FBgn0004867
P31264	FBgn0051481
P31368	FBgn0085424
P31369	FBgn0004394
P31396	FBgn0000448
P31409	FBgn0005671
P32023	FBgn0000721
P32027	FBgn0014143
P32028	FBgn0004897
P32029	FBgn0004898
P32030	FBgn0003430
P32031	FBgn0004567
P32100	FBgn0005593
P32234	FBgn0010339
P32392	FBgn0262716
P32748	FBgn0000447
P32845	FBgn0004143
P32865	FBgn0260798
P32866	FBgn0261988
P32870	FBgn0003301
P33085	FBgn0085387
P33244	FBgn0001078
P33269	FBgn0005670
P33270	FBgn0000473
P33438	FBgn0001114
P33450	FBgn0001075
P34021	FBgn0000546
P34082	FBgn0000635
P34739	FBgn0002542
P35004	FBgn0010357
P35005	FBgn0010425
P35122	FBgn0010288
P35128	FBgn0000173
P35220	FBgn0010215
P35381	FBgn0011211
P35415	FBgn0003149
P35416	FBgn0003149
P35421	FBgn0000052
P35500	FBgn0285944
P35554	FBgn0005633
P35600	FBgn0004913
P35820	FBgn0005624
P35832	FBgn0004369
P35875	FBgn0010247
P35992	FBgn0004370
P36179	FBgn0260439
P36188	FBgn0283471
P36192	FBgn0010385
P36193	FBgn0010388
P36241	FBgn0285950
P36872	FBgn0004889
P36951	FBgn0011770
P36958	FBgn0004855
P36975	FBgn0011288
P37159	FBgn0004428
P37160	FBgn0004430
P37161	FBgn0004431
P37193	FBgn0011769
P37236	FBgn0030897
P37276	FBgn0261797
P38040	FBgn0004921
P38979	FBgn0003517
P39018	FBgn0010412
P39205	FBgn0000316
P39413	FBgn0005694
P39572	FBgn0001150
P39736	FBgn0004856
P39768	FBgn0003002
P39769	FBgn0004861
P39770	FBgn0261648
P40139	FBgn0010294
P40140	FBgn0010295
P40141	FBgn0010296
P40301	FBgn0086134
P40304	FBgn0002284
P40320	FBgn0005278
P40417	FBgn0003256
P40421	FBgn0265959
P40423	FBgn0003514
P40427	FBgn0000611
P40589	FBgn0010453
P40656	FBgn0005612
P40657	FBgn0005613
P40688	FBgn0003655
P40689	FBgn0003867
P40791	FBgn0011656
P40792	FBgn0010333
P40793	FBgn0010341
P40794	FBgn0004389
P40795	FBgn0000719
P40796	FBgn0011638
P40797	FBgn0013726
P40798	FBgn0001978
P40807	FBgn0013307
P40808	FBgn0013308
P40809	FBgn0045843
P40945	FBgn0013749
P40946	FBgn0013750
P41042	FBgn0011284
P41043	FBgn0010226
P41044	FBgn0004580
P41046	FBgn0010313
P41073	FBgn0004401
P41092	FBgn0285948
P41093	FBgn0010409
P41094	FBgn0010411
P41126	FBgn0011272
P41374	FBgn0261609
P41375	FBgn0004926
P41572	FBgn0004654
P41596	FBgn0011582
P41894	FBgn0263118
P41900	FBgn0010421
P41964	FBgn0283461
P42003	FBgn0011648
P42124	FBgn0000629
P42207	FBgn0011710
P42271	FBgn0010097
P42278	FBgn0011555
P42279	FBgn0011554
P42280	FBgn0011556
P42281	FBgn0010387
P42282	FBgn0003870
P42283	FBgn0283521
P42284	FBgn0283521
P42286	FBgn0003701
P42287	FBgn0001137
P42325	FBgn0013303
P42519	FBgn0003310
P42570	FBgn0003114
P42787	FBgn0004648
P43125	FBgn0003218
P43248	FBgn0015546
P43332	FBgn0003449
P45437	FBgn0008635
P45447	FBgn0004865
P45594	FBgn0011726
P45843	FBgn0003515
P45884	FBgn0012042
P45888	FBgn0011742
P45889	FBgn0011745
P45890	FBgn0011741
P45891	FBgn0011743
P45975	FBgn0263755
P46150	FBgn0011661
P46222	FBgn0013325
P46223	FBgn0014026
P46415	FBgn0011768
P46461	FBgn0000346
P46824	FBgn0010235
P46863	FBgn0004378
P46867	FBgn0004381
P47825	FBgn0010280
P47938	FBgn0011761
P47947	FBgn0013348
P47948	FBgn0010423
P47949	FBgn0010424
P47980	FBgn0011837
P48148	FBgn0014020
P48149	FBgn0010198
P48159	FBgn0010078
P48375	FBgn0013954
P48423	FBgn0004390
P48451	FBgn0010014
P48456	FBgn0010015
P48461	FBgn0003134
P48462	FBgn0000711
P48554	FBgn0014011
P48555	FBgn0015286
P48588	FBgn0086472
P48591	FBgn0011703
P48592	FBgn0011704
P48593	FBgn0004910
P48596	FBgn0003162
P48598	FBgn0015218
P48601	FBgn0015282
P48602	FBgn0265262
P48603	FBgn0011570
P48604	FBgn0014877
P48605	FBgn0015019
P48607	FBgn0003495
P48608	FBgn0011202
P48609	FBgn0013762
P48610	FBgn0000116
P48611	FBgn0003141
P48612	FBgn0011207
P48613	FBgn0003710
P48809	FBgn0004838
P48810	FBgn0004237
P48987	FBgn0010433
P48994	FBgn0005614
P49021	FBgn0014396
P49028	FBgn0002736
P49071	FBgn0013987
P49258	FBgn0011273
P49283	FBgn0011672
P49415	FBgn0010415
P49455	FBgn0003721
P49630	FBgn0002579
P49657	FBgn0259168
P49735	FBgn0014861
P49762	FBgn0265998
P49846	FBgn0010356
P49847	FBgn0010417
P49858	FBgn0000339
P49866	FBgn0004914
P49869	FBgn0014859
P49905	FBgn0011290
P49906	FBgn0011291
P49963	FBgn0015298
P50245	FBgn0015011
P50445	FBgn0003302
P50534	FBgn0005616
P50535	FBgn0005617
P50536	FBgn0002775
P50882	FBgn0015756
P50887	FBgn0015288
P51023	FBgn0003118
P51123	FBgn0010355
P51140	FBgn0000499
P51406	FBgn0010292
P51521	FBgn0003028
P51592	FBgn0002431
P51905	FBgn0010414
P52029	FBgn0003074
P52034	FBgn0003071
P52168	FBgn0003117
P52172	FBgn0003507
P52295	FBgn0287720
P52302	FBgn0002440
P52304	FBgn0003124
P52485	FBgn0015320
P52486	FBgn0015321
P52487	FBgn0017456
P52654	FBgn0011289
P52656	FBgn0013347
P52905	FBgn0015001
P53034	FBgn0260985
P53403	FBgn0015230
P53501	FBgn0000044
P53624	FBgn0259170
P53777	FBgn0259209
P53997	FBgn0014879
P54185	FBgn0011294
P54191	FBgn0011279
P54192	FBgn0011280
P54193	FBgn0011281
P54194	FBgn0011282
P54195	FBgn0011283
P54269	FBgn0015919
P54350	FBgn0011737
P54351	FBgn0266464
P54352	FBgn0000536
P54353	FBgn0015379
