Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf	source
Rac2	FBgn0014011	mbc	FBgn0015513	suppressible	FBrf0105287	flybase
N	FBgn0004647	rn	FBgn0267337	enhanceable	FBrf0052914	flybase
N	FBgn0004647	Drp1	FBgn0026479	suppressible	FBrf0223692	flybase
sl	FBgn0003416	Itpr	FBgn0010051	enhanceable	FBrf0216849	flybase
Pink1	FBgn0029891	AGO1	FBgn0262739	suppressible	FBrf0229600	flybase
dpp	FBgn0000490	Med	FBgn0288966	enhanceable	FBrf0079237	flybase
hid	FBgn0003997	spen	FBgn0016977	suppressible	FBrf0215879	flybase
nito	FBgn0027548	spen	FBgn0016977	suppressible	FBrf0215879	flybase
CycG	FBgn0039858	wrd	FBgn0042693	suppressible	FBrf0232706	flybase
osa	FBgn0261885	tara	FBgn0040071	enhanceable	FBrf0155711	flybase
α-Spec	FBgn0250789	bsk	FBgn0000229	enhanceable	FBrf0216904	flybase
l(2)gl	FBgn0002121	Stat92E	FBgn0016917	suppressible	FBrf0233362	flybase
dpn	FBgn0010109	eag	FBgn0000535	suppressible	FBrf0230150	flybase
egr	FBgn0033483	Mkk4	FBgn0024326	suppressible	FBrf0209260	flybase
Pp2B-14D	FBgn0011826	gl	FBgn0004618	suppressible	FBrf0149012	flybase
DAAM	FBgn0025641	ena	FBgn0000578	suppressible	FBrf0206320	flybase
REPTOR	FBgn0039209	Akt	FBgn0010379	suppressible	FBrf0257286	flybase
Marf	FBgn0029870	asrij	FBgn0034793	enhanceable	FBrf0249569	flybase
Poxn	FBgn0003130	sv	FBgn0005561	suppressible	FBrf0138373	flybase
Pink1	FBgn0029891	fwd	FBgn0004373	suppressible	FBrf0247076	flybase
Raf	FBgn0003079	Mkp3	FBgn0036844	suppressible	FBrf0167896	flybase
trp	FBgn0003861	Calx	FBgn0013995	suppressible	FBrf0190947	flybase
csw	FBgn0000382	pnt	FBgn0003118	suppressible	FBrf0190828	flybase
rl	FBgn0003256	corto	FBgn0010313	suppressible	FBrf0213310	flybase
sd	FBgn0003345	yki	FBgn0034970	enhanceable	FBrf0204632	flybase
Ras85D	FBgn0003205	14-3-3ε	FBgn0020238	suppressible	FBrf0131405	flybase
Prosβ6	FBgn0002284	Atg2	FBgn0044452	suppressible	FBrf0237484	flybase
