Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf	source
N	FBgn0004647	Sox100B	FBgn0024288	suppressible	FBrf0245798	flybase
kn	FBgn0001319	ct	FBgn0004198	enhanceable	FBrf0202055	flybase
ptc	FBgn0003892	Su(fu)	FBgn0005355	suppressible	FBrf0132285	flybase
Ras85D	FBgn0003205	Polr1B	FBgn0003278	suppressible	FBrf0220369	flybase
kuz	FBgn0259984	N	FBgn0004647	enhanceable	FBrf0096030	flybase
Dronc	FBgn0026404	Usp8	FBgn0038862	enhanceable	FBrf0236959	flybase
Txl	FBgn0035631	Rpn11	FBgn0028694	suppressible	FBrf0237791	flybase
foxo	FBgn0038197	whd	FBgn0261862	suppressible	FBrf0246161	flybase
Marcal1	FBgn0031655	Su(z)2	FBgn0265623	suppressible	FBrf0234417	flybase
ct	FBgn0004198	AstC-R2	FBgn0036789	enhanceable	FBrf0233726	flybase
lncRNA:flam	FBgn0267704	AstC-R2	FBgn0036789	enhanceable	FBrf0233726	flybase
Dad1	FBgn0263852	bsk	FBgn0000229	suppressible	FBrf0234005	flybase
ctrip	FBgn0260794	Med	FBgn0288966	suppressible	FBrf0257848	flybase
Nf-YA	FBgn0035993	sev	FBgn0003366	suppressible	FBrf0220141	flybase
tRNA:iMet-CAT-1-3	FBgn0052482	RpS3	FBgn0002622	suppressible	FBrf0217359	flybase
Ras85D	FBgn0003205	aop	FBgn0000097	enhanceable	FBrf0087493	flybase
PolA1	FBgn0259113	CycA	FBgn0000404	suppressible	FBrf0200561	flybase
mei-41	FBgn0004367	CycA	FBgn0000404	suppressible	FBrf0200561	flybase
Ype	FBgn0288857	svr	FBgn0004648	suppressible	unattributed	flybase
rdgA	FBgn0261549	wun2	FBgn0041087	enhanceable	FBrf0202553	flybase
chico	FBgn0024248	foxo	FBgn0038197	suppressible	FBrf0162177	flybase
Ras85D	FBgn0003205	Timp	FBgn0025879	suppressible	FBrf0192291	flybase
Ras85D	FBgn0003205	Reck	FBgn0036463	suppressible	FBrf0192291	flybase
scrib	FBgn0263289	Timp	FBgn0025879	suppressible	FBrf0192291	flybase
scrib	FBgn0263289	Reck	FBgn0036463	suppressible	FBrf0192291	flybase
LanA	FBgn0002526	scb	FBgn0286785	enhanceable	FBrf0149077	flybase
LanA	FBgn0002526	sli	FBgn0264089	enhanceable	FBrf0149077	flybase
Uvrag	FBgn0032499	Stat92E	FBgn0016917	suppressible	FBrf0232241	flybase
Nsf2	FBgn0266464	GS14505	FBgn0086294	suppressible	FBrf0187645	flybase
Cln7	FBgn0035767	Dad	FBgn0020493	suppressible	FBrf0243919	flybase
brm	FBgn0000212	trx	FBgn0003862	enhanceable	FBrf0144898	flybase
tara	FBgn0040071	trx	FBgn0003862	enhanceable	FBrf0144898	flybase
Ras85D	FBgn0003205	Dsor1	FBgn0010269	suppressible	FBrf0131405	flybase
sd	FBgn0003345	bi	FBgn0000179	enhanceable	FBrf0006100	flybase
dom	FBgn0020306	Atg6	FBgn0264325	enhanceable	FBrf0221645	flybase
l(2)gl	FBgn0002121	baz	FBgn0000163	enhanceable	FBrf0206088	flybase
LamC	FBgn0010397	S6k	FBgn0283472	suppressible	FBrf0241206	flybase
hpo	FBgn0261456	RtGEF	FBgn0015803	enhanceable	FBrf0227228	flybase
hpo	FBgn0261456	Git	FBgn0033539	enhanceable	FBrf0227228	flybase
mamo	FBgn0267033	Trf2	FBgn0261793	enhanceable	FBrf0247674	flybase
robo1	FBgn0005631	Abl::Hsap\ABL1::Hsap\BCR	FBgn0026609	enhanceable	FBrf0162201	flybase
lqfR	FBgn0261279	arm	FBgn0000117	enhanceable	FBrf0219532	flybase
rt	FBgn0003292	tw	FBgn0086368	enhanceable	FBrf0204214	flybase
mir-210	FBgn0262433	AcCoAS	FBgn0012034	suppressible	FBrf0247981	flybase
Pi3K92E	FBgn0015279	Rho1	FBgn0014020	suppressible	FBrf0241775	flybase
btl::Egfr	FBgn0022739	Rho1	FBgn0014020	suppressible	FBrf0241775	flybase
kibra	FBgn0262127	CycE	FBgn0010382	suppressible	FBrf0152035	flybase
rictor	FBgn0031006	mora	FBgn0029503	suppressible	FBrf0224492	flybase
Hsc70-5	FBgn0001220	Atg101	FBgn0030960	suppressible	FBrf0251563	flybase
Pink1	FBgn0029891	Marf	FBgn0029870	suppressible	FBrf0257463	flybase
svp	FBgn0003651	Egfr	FBgn0003731	suppressible	FBrf0078827	flybase
fz	FBgn0001085	fz::fz2	FBgn0042640	suppressible	FBrf0130057	flybase
Smox	FBgn0025800	Oseg5	FBgn0032891	suppressible	FBrf0235445	flybase
Rac1	FBgn0010333	Rgk1	FBgn0264753	suppressible	FBrf0235693	flybase
mei-41	FBgn0004367	twe	FBgn0002673	suppressible	FBrf0249387	flybase
velo	FBgn0035713	lwr	FBgn0010602	suppressible	FBrf0218602	flybase
hop	FBgn0004864	Gαf	FBgn0010223	suppressible	FBrf0210131	flybase
Ras85D	FBgn0003205	Taf4	FBgn0010280	suppressible	FBrf0091161	flybase
Uba5	FBgn0030305	Atg9	FBgn0034110	suppressible	FBrf0256328	flybase
rl	FBgn0003256	step	FBgn0086779	enhanceable	FBrf0221826	flybase
sev	FBgn0003366	Dab	FBgn0000414	enhanceable	FBrf0103310	flybase
Smox	FBgn0025800	Cluap1	FBgn0031196	suppressible	FBrf0235445	flybase
en	FBgn0000577	exd	FBgn0000611	suppressible	FBrf0155722	flybase
trx	FBgn0003862	scf	FBgn0025682	enhanceable	FBrf0201605	flybase
Ras85D	FBgn0003205	puc	FBgn0243512	suppressible	FBrf0194142	flybase
scrib	FBgn0263289	puc	FBgn0243512	suppressible	FBrf0194142	flybase
skd	FBgn0003415	sxc	FBgn0261403	enhanceable	FBrf0238882	flybase
Ace	FBgn0000024	SLC22A	FBgn0037140	suppressible	FBrf0232255	flybase
Kap-α1	FBgn0024889	Cse1	FBgn0022213	suppressible	FBrf0204254	flybase
rdgB	FBgn0003218	trp	FBgn0003861	suppressible	FBrf0107054	flybase
Dp	FBgn0011763	ksh-18	FBgn0028629	enhanceable	FBrf0111491	flybase
E2f1	FBgn0011766	ksh-18	FBgn0028629	enhanceable	FBrf0111491	flybase
Snr1	FBgn0011715	pdm2	FBgn0004394	suppressible	FBrf0241270	flybase
hiw	FBgn0030600	Dscam1	FBgn0033159	suppressible	FBrf0221817	flybase
kcc	FBgn0261794	Rdl	FBgn0004244	suppressible	FBrf0192588	flybase
Seipin	FBgn0040336	Cds	FBgn0010350	enhanceable	FBrf0213596	flybase
robo1	FBgn0005631	Rho1	FBgn0014020	enhanceable	FBrf0155484	flybase
Sema1a	FBgn0011259	if	FBgn0001250	enhanceable	FBrf0219528	flybase
Csk	FBgn0262081	bsk	FBgn0000229	suppressible	FBrf0225132	flybase
Dora	FBgn0085430	Abi	FBgn0020510	suppressible	FBrf0254181	flybase
erm	FBgn0031375	trx	FBgn0003862	suppressible	FBrf0226697	flybase
Nsf2	FBgn0266464	CCT7	FBgn0037632	suppressible	FBrf0187645	flybase
peb	FBgn0003053	bsk	FBgn0000229	suppressible	FBrf0146989	flybase
ap	FBgn0267978	fng	FBgn0011591	suppressible	FBrf0138371	flybase
Apc2	FBgn0026598	arm	FBgn0000117	suppressible	FBrf0223614	flybase
brat	FBgn0010300	arm	FBgn0000117	suppressible	FBrf0223614	flybase
sdt	FBgn0261873	l(2)gl	FBgn0002121	suppressible	FBrf0155997	flybase
bs	FBgn0004101	shot	FBgn0013733	suppressible	FBrf0247233	flybase
yki	FBgn0034970	Ntan1	FBgn0034371	suppressible	FBrf0239793	flybase
cmet	FBgn0040232	Spc105R	FBgn0037025	suppressible	FBrf0229919	flybase
sd	FBgn0003345	tara	FBgn0040071	suppressible	FBrf0235922	flybase
puc	FBgn0243512	pan	FBgn0085432	suppressible	FBrf0242372	flybase
ld	FBgn0002541	opht	FBgn0003005	enhanceable	FBrf0026168	flybase
ZnT86D	FBgn0037875	ZnT35C	FBgn0028516	enhanceable	FBrf0227521	flybase
Nadk1a	FBgn0033853	CLS	FBgn0039360	suppressible	FBrf0252285	flybase
sev	FBgn0003366	kis	FBgn0266557	suppressible	FBrf0105879	flybase
Ras85D	FBgn0003205	kis	FBgn0266557	suppressible	FBrf0105879	flybase
Myc	FBgn0262656	Atg8a	FBgn0052672	suppressible	FBrf0222430	flybase
Rac1	FBgn0010333	chic	FBgn0000308	suppressible	FBrf0179220	flybase
Hsc70-5	FBgn0001220	Atg5	FBgn0029943	suppressible	FBrf0251563	flybase
park	FBgn0041100	TP53INP	FBgn0035542	suppressible	FBrf0248882	flybase
SerT	FBgn0010414	Pi3K92E	FBgn0015279	suppressible	FBrf0245916	flybase
CG42709	FBgn0261674	CycE	FBgn0010382	suppressible	FBrf0152035	flybase
up	FBgn0004169	Mhc	FBgn0264695	suppressible	FBrf0201976	flybase
pum	FBgn0003165	hid	FBgn0003997	suppressible	FBrf0232646	flybase
Myc	FBgn0262656	sgg	FBgn0003371	enhanceable	FBrf0249344	flybase
Nak	FBgn0015772	Chc	FBgn0000319	enhanceable	FBrf0216477	flybase
nej	FBgn0261617	fru	FBgn0004652	suppressible	FBrf0244085	flybase
Kr	FBgn0001325	l(3)neo39	FBgn0011472	suppressible	FBrf0104417	flybase
Ras85D	FBgn0003205	S	FBgn0003310	suppressible	FBrf0127348	flybase
Tom40	FBgn0016041	Atg5	FBgn0029943	suppressible	FBrf0239838	flybase
trx	FBgn0003862	Hsc70-4	FBgn0266599	enhanceable	FBrf0135926	flybase
peb	FBgn0003053	unch	FBgn0015559	suppressible	FBrf0180294	flybase
Bub3	FBgn0025457	dome	FBgn0043903	suppressible	FBrf0230914	flybase
Strip	FBgn0035437	egr	FBgn0033483	suppressible	FBrf0242779	flybase
Cubn	FBgn0052702	G6pd	FBgn0004057	suppressible	FBrf0258759	flybase
smo	FBgn0003444	Stat92E	FBgn0016917	suppressible	FBrf0230033	flybase
dom	FBgn0020306	pum	FBgn0003165	enhanceable	FBrf0221645	flybase
lwr	FBgn0010602	dl	FBgn0260632	suppressible	FBrf0190102	flybase
Nsf2	FBgn0266464	wech	FBgn0259745	suppressible	FBrf0187645	flybase
hiw	FBgn0030600	p38b	FBgn0024846	suppressible	FBrf0222265	flybase
MnM	FBgn0035410	Mhc	FBgn0264695	suppressible	FBrf0247640	flybase
Egfr	FBgn0003731	RasGAP1	FBgn0004390	enhanceable	FBrf0134572	flybase
Antp	FBgn0260642	Dsp1	FBgn0278608	suppressible	FBrf0132331	flybase
trx	FBgn0003862	E(z)	FBgn0000629	enhanceable	FBrf0129826	flybase
brm	FBgn0000212	E(z)	FBgn0000629	enhanceable	FBrf0129826	flybase
RhoGAP92B	FBgn0038747	Cip4	FBgn0035533	suppressible	FBrf0212218	flybase
miple1	FBgn0027111	Egfr	FBgn0003731	suppressible	FBrf0221349	flybase
brm	FBgn0000212	Delta	FBgn0000463	enhanceable	FBrf0187627	flybase
aop	FBgn0000097	EY2-8	FBgn0040330	enhanceable	FBrf0125429	flybase
E(spl)m8-HLH	FBgn0000591	ato	FBgn0010433	suppressible	FBrf0208367	flybase
Sh	FBgn0003380	eag	FBgn0000535	enhanceable	FBrf0130151	flybase
N	FBgn0004647	Psn	FBgn0284421	enhanceable	FBrf0111379	flybase
sli	FBgn0264089	elav	FBgn0260400	suppressible	FBrf0193348	flybase
PlexA	FBgn0025741	Mical	FBgn0053208	suppressible	FBrf0214846	flybase
hop	FBgn0004864	Stat92E	FBgn0016917	suppressible	FBrf0086692	flybase
grim	FBgn0015946	Dronc	FBgn0026404	suppressible	FBrf0187988	flybase
Dsor1	FBgn0010269	ER2-1	FBgn0016638	suppressible	FBrf0087493	flybase
phyl	FBgn0013725	lilli	FBgn0041111	suppressible	FBrf0134581	flybase
egr	FBgn0033483	Rac1	FBgn0010333	suppressible	FBrf0231848	flybase
shot	FBgn0013733	koi	FBgn0265003	suppressible	FBrf0242585	flybase
S6k	FBgn0283472	raptor	FBgn0029840	suppressible	FBrf0202023	flybase
ZnT86D	FBgn0037875	Catsup	FBgn0002022	suppressible	FBrf0227521	flybase
mam	FBgn0002643	sno	FBgn0265630	enhanceable	FBrf0138541	flybase
PRL-1	FBgn0024734	Akt	FBgn0010379	suppressible	FBrf0242247	flybase
Atg9	FBgn0034110	S6k	FBgn0283472	suppressible	FBrf0237308	flybase
Delta	FBgn0000463	Su(Delta)F116	FBgn0010088	suppressible	FBrf0057610	flybase
Gr22e	FBgn0045497	Gr59c	FBgn0041235	suppressible	FBrf0237278	flybase
Vps60	FBgn0036740	N	FBgn0004647	suppressible	FBrf0225356	flybase
pnr	FBgn0003117	EP1113	FBgn0062700	enhanceable	FBrf0147055	flybase
Ire1	FBgn0261984	Atg7	FBgn0034366	suppressible	FBrf0243839	flybase
cact	FBgn0000250	Dif	FBgn0011274	suppressible	FBrf0228918	flybase
pbl	FBgn0003041	Pitslre	FBgn0016696	suppressible	FBrf0199094	flybase
fz	FBgn0001085	dco	FBgn0002413	suppressible	FBrf0191849	flybase
MYPT-75D	FBgn0036801	Tm1	FBgn0003721	enhanceable	FBrf0180501	flybase
Nsf2	FBgn0266464	CG42450	FBgn0259927	suppressible	FBrf0187645	flybase
wek	FBgn0001990	tub	FBgn0003882	enhanceable	FBrf0193565	flybase
N	FBgn0004647	N::tor	FBgn0015771	suppressible	FBrf0108309	flybase
bsk	FBgn0000229	Hsp26	FBgn0001225	suppressible	FBrf0221168	flybase
Pten	FBgn0026379	Pi3K92E	FBgn0015279	suppressible	FBrf0127089	flybase
Asx	FBgn0261823	trx	FBgn0003862	enhanceable	FBrf0108941	flybase
arm	FBgn0000117	bi	FBgn0000179	suppressible	FBrf0227821	flybase
Ras85D	FBgn0003205	Mkp3	FBgn0036844	suppressible	FBrf0206542	flybase
btl::Egfr	FBgn0022739	sty	FBgn0014388	suppressible	FBrf0111472	flybase
dsh	FBgn0000499	CG15283	FBgn0028844	enhanceable	FBrf0218210	flybase
Klp61F	FBgn0004378	ncd	FBgn0002924	suppressible	FBrf0180385	flybase
robo1	FBgn0005631	kuz	FBgn0259984	enhanceable	FBrf0211121	flybase
atos	FBgn0033638	Tsc1	FBgn0026317	suppressible	FBrf0253729	flybase
gig	FBgn0005198	Dronc	FBgn0026404	suppressible	FBrf0210758	flybase
Rbf	FBgn0015799	Dronc	FBgn0026404	suppressible	FBrf0210758	flybase
tefu	FBgn0045035	stg	FBgn0003525	suppressible	FBrf0204663	flybase
wrd	FBgn0042693	RhoGAP100F	FBgn0039883	suppressible	FBrf0225402	flybase
cindr	FBgn0027598	sinah	FBgn0259794	suppressible	FBrf0237191	flybase
enc	FBgn0004875	Ubc2	FBgn0015320	enhanceable	FBrf0167518	flybase
Khc::Ggal\MLCK	FBgn0016674	sli	FBgn0264089	enhanceable	FBrf0127081	flybase
kn	FBgn0001319	hh	FBgn0004644	enhanceable	FBrf0109132	flybase
Ras85D	FBgn0003205	ksr	FBgn0015402	suppressible	FBrf0086035	flybase
egr	FBgn0033483	Diap1	FBgn0260635	enhanceable	FBrf0148977	flybase
Klp61F	FBgn0004378	ncd	FBgn0002924	suppressible	FBrf0234675	flybase
numb	FBgn0002973	H	FBgn0001169	enhanceable	FBrf0099728	flybase
Egfr	FBgn0003731	CSN5	FBgn0027053	enhanceable	FBrf0151933	flybase
Snr1	FBgn0011715	CG44836	FBgn0266099	suppressible	FBrf0241270	flybase
H	FBgn0001169	kay	FBgn0001297	enhanceable	FBrf0190751	flybase
gcm	FBgn0014179	Hr39	FBgn0261239	suppressible	FBrf0234072	flybase
Sarm	FBgn0262579	Myd88	FBgn0033402	enhanceable	FBrf0235455	flybase
Daxx	FBgn0031820	hep	FBgn0010303	enhanceable	FBrf0221314	flybase
robo1	FBgn0005631	Cdc42	FBgn0010341	suppressible	FBrf0155484	flybase
pk	FBgn0003090	CG18858	FBgn0042175	enhanceable	FBrf0218210	flybase
LIMK1	FBgn0283712	Rho1	FBgn0014020	suppressible	FBrf0180582	flybase
p53	FBgn0039044	mir-285	FBgn0262401	enhanceable	FBrf0235164	flybase
cry	FBgn0025680	per	FBgn0003068	suppressible	FBrf0191431	flybase
CycE	FBgn0010382	S(CycE<up>JP</up>)42S33	FBgn0082622	suppressible	FBrf0180291	flybase
Pc	FBgn0003042	Abd-B	FBgn0000015	enhanceable	FBrf0146943	flybase
Pc	FBgn0003042	chm	FBgn0028387	enhanceable	FBrf0146943	flybase
Pi3K92E	FBgn0015279	E-3c4	FBgn0084254	enhanceable	FBrf0190712	flybase
nopo	FBgn0034314	Uev1A	FBgn0035601	suppressible	FBrf0217390	flybase
Lpt	FBgn0263667	ash2	FBgn0000139	suppressible	FBrf0218263	flybase
feo	FBgn0030241	sip2	FBgn0031878	enhanceable	FBrf0241925	flybase
ds	FBgn0284247	ft	FBgn0001075	enhanceable	FBrf0211889	flybase
ph-p	FBgn0004861	Hsc70-4	FBgn0266599	enhanceable	FBrf0135926	flybase
kst	FBgn0004167	trio	FBgn0024277	enhanceable	FBrf0213021	flybase
Pkc53E	FBgn0003091	norpA	FBgn0262738	enhanceable	FBrf0256886	flybase
aos	FBgn0004569	SM3-6	FBgn0041616	suppressible	FBrf0127348	flybase
Tm1	FBgn0003721	E(To)1	FBgn0046125	enhanceable	FBrf0137253	flybase
foxo	FBgn0038197	Xbp1	FBgn0021872	suppressible	FBrf0250195	flybase
Noc1	FBgn0036124	grnd	FBgn0032682	suppressible	FBrf0257978	flybase
ZnT63C	FBgn0035432	ZnT33D	FBgn0051860	suppressible	FBrf0220942	flybase
Zip42C.1	FBgn0033096	ZnT33D	FBgn0051860	suppressible	FBrf0220942	flybase
Pi3K68D	FBgn0015278	drk	FBgn0004638	suppressible	FBrf0167897	flybase
Ret	FBgn0011829	bon	FBgn0023097	enhanceable	FBrf0190765	flybase
mir-9a	FBgn0262373	Bx	FBgn0265598	suppressible	FBrf0209786	flybase
Delta	FBgn0000463	E(z)	FBgn0000629	suppressible	FBrf0191239	flybase
lola	FBgn0283521	E(z)	FBgn0000629	suppressible	FBrf0191239	flybase
psq	FBgn0263102	E(z)	FBgn0000629	suppressible	FBrf0191239	flybase
Arlr	FBgn0030251	EndoU	FBgn0038381	suppressible	FBrf0257726	flybase
Alg3	FBgn0011297	egr	FBgn0033483	enhanceable	FBrf0239133	flybase
p53	FBgn0039044	lok	FBgn0019686	enhanceable	FBrf0152305	flybase
Lrpprc2	FBgn0027794	Vps35	FBgn0034708	suppressible	FBrf0232044	flybase
cact	FBgn0000250	Adgf-A	FBgn0036752	suppressible	FBrf0188209	flybase
Rac1	FBgn0010333	fra	FBgn0011592	enhanceable	FBrf0200818	flybase
csw	FBgn0000382	bs	FBgn0004101	enhanceable	FBrf0190828	flybase
Bx	FBgn0265598	fng	FBgn0011591	enhanceable	FBrf0202749	flybase
hid	FBgn0003997	mats	FBgn0038965	suppressible	FBrf0183777	flybase
Pak3	FBgn0044826	Pak	FBgn0267698	enhanceable	FBrf0210918	flybase
Raf	FBgn0003079	ksr	FBgn0015402	enhanceable	FBrf0087493	flybase
baz	FBgn0000163	zip	FBgn0287873	enhanceable	FBrf0210666	flybase
htl	FBgn0010389	btl::Egfr	FBgn0022739	suppressible	FBrf0105885	flybase
Rbf	FBgn0015799	dap	FBgn0010316	suppressible	FBrf0144826	flybase
piwi	FBgn0004872	l(3)99Ea	FBgn0002410	suppressible	FBrf0167655	flybase
Su(var)205	FBgn0003607	htt	FBgn0027655	suppressible	FBrf0227101	flybase
Scr	FBgn0003339	skd	FBgn0003415	suppressible	FBrf0066905	flybase
N	FBgn0004647	Abl	FBgn0000017	suppressible	FBrf0213493	flybase
brm	FBgn0000212	pont	FBgn0040078	enhanceable	FBrf0204282	flybase
upd1	FBgn0004956	sqh	FBgn0003514	suppressible	FBrf0209348	flybase
Ser	FBgn0004197	hop	FBgn0004864	suppressible	FBrf0187397	flybase
smo	FBgn0003444	Trs20	FBgn0266724	enhanceable	FBrf0188528	flybase
PGRP-SD	FBgn0035806	Ldh	FBgn0001258	suppressible	FBrf0240738	flybase
mei-9	FBgn0002707	tws	FBgn0004889	enhanceable	FBrf0235005	flybase
aPKC	FBgn0261854	sgg	FBgn0003371	enhanceable	FBrf0213424	flybase
aPKC	FBgn0261854	arm	FBgn0000117	enhanceable	FBrf0213424	flybase
pnr	FBgn0003117	lin-28	FBgn0035626	enhanceable	FBrf0147055	flybase
htl	FBgn0010389	yki	FBgn0034970	suppressible	FBrf0252497	flybase
ato	FBgn0010433	dos	FBgn0016794	suppressible	FBrf0127389	flybase
Hrs	FBgn0031450	lilli	FBgn0041111	suppressible	FBrf0194654	flybase
dsh	FBgn0000499	hid	FBgn0003997	enhanceable	FBrf0191282	flybase
arm	FBgn0000117	N::tor	FBgn0015771	suppressible	FBrf0187464	flybase
robo1	FBgn0005631	Abl	FBgn0000017	enhanceable	FBrf0128391	flybase
sli	FBgn0264089	Abl	FBgn0000017	enhanceable	FBrf0128391	flybase
Ras85D	FBgn0003205	Pten	FBgn0026379	enhanceable	FBrf0234055	flybase
egr	FBgn0033483	Rho1	FBgn0014020	enhanceable	FBrf0231848	flybase
r	FBgn0003189	e(r)	FBgn0011586	enhanceable	FBrf0184981	flybase
LamC	FBgn0010397	Atg8a	FBgn0052672	suppressible	FBrf0238857	flybase
Eaat1	FBgn0026439	bsk	FBgn0000229	suppressible	FBrf0243117	flybase
Pink1	FBgn0029891	Opa1	FBgn0261276	enhanceable	FBrf0202793	flybase
mei-41	FBgn0004367	bsk	FBgn0000229	suppressible	FBrf0227621	flybase
Pi3K92E	FBgn0015279	HDAC3	FBgn0025825	suppressible	FBrf0220745	flybase
Mterf4	FBgn0031419	mtDNA-helicase	FBgn0032154	suppressible	FBrf0258753	flybase
eas	FBgn0000536	su(eas)7	FBgn0084638	suppressible	FBrf0187640	flybase
sev	FBgn0003366	brm	FBgn0000212	suppressible	FBrf0105879	flybase
Ras85D	FBgn0003205	brm	FBgn0000212	suppressible	FBrf0105879	flybase
shg	FBgn0003391	rept	FBgn0040075	suppressible	FBrf0132031	flybase
dsh	FBgn0000499	msn	FBgn0010909	suppressible	FBrf0111453	flybase
rl	FBgn0003256	krz	FBgn0040206	enhanceable	FBrf0211995	flybase
N	FBgn0004647	sAM16	FBgn0019657	suppressible	FBrf0090844	flybase
ey	FBgn0005558	so	FBgn0003460	enhanceable	FBrf0160839	flybase
eya	FBgn0000320	so	FBgn0003460	enhanceable	FBrf0160839	flybase
dpp	FBgn0000490	so	FBgn0003460	enhanceable	FBrf0160839	flybase
E2f1	FBgn0011766	Su(z)2	FBgn0265623	enhanceable	FBrf0220353	flybase
Efa6	FBgn0051158	γTub23C	FBgn0260639	suppressible	FBrf0251443	flybase
fj	FBgn0000658	Ser	FBgn0004197	enhanceable	FBrf0138378	flybase
nanos	FBgn0002962	pum	FBgn0003165	enhanceable	FBrf0187383	flybase
cic	FBgn0262582	mnb	FBgn0259168	suppressible	FBrf0246880	flybase
comt	FBgn0000346	E(comt<up>6</up>)E32	FBgn0265514	enhanceable	FBrf0220224	flybase
ap	FBgn0267978	Pcif1	FBgn0037021	suppressible	FBrf0202749	flybase
Bx	FBgn0265598	Pcif1	FBgn0037021	suppressible	FBrf0202749	flybase
fz::smo	FBgn0069240	cos	FBgn0000352	suppressible	FBrf0160613	flybase
sev	FBgn0003366	Rap1	FBgn0004636	suppressible	FBrf0217658	flybase
Dcp-1	FBgn0010501	Cth	FBgn0000566	enhanceable	FBrf0209948	flybase
Pi3K21B	FBgn0020622	Myc	FBgn0262656	suppressible	FBrf0174581	flybase
lncRNA:SMRG	FBgn0286868	sc	FBgn0004170	enhanceable	FBrf0241584	flybase
Pink1	FBgn0029891	Creld	FBgn0031217	suppressible	FBrf0254168	flybase
yki	FBgn0034970	cact	FBgn0000250	suppressible	FBrf0230801	flybase
ry	FBgn0003308	ZnT41F	FBgn0025693	suppressible	FBrf0228429	flybase
norpA	FBgn0262738	Arr2	FBgn0000121	suppressible	FBrf0131242	flybase
rl	FBgn0003256	Gp93	FBgn0039562	enhanceable	FBrf0234960	flybase
Tsp	FBgn0031850	if	FBgn0001250	enhanceable	FBrf0201519	flybase
Tcs3	FBgn0283681	Hsc70-3	FBgn0001218	suppressible	FBrf0234987	flybase
H	FBgn0001169	Su(H)	FBgn0004837	suppressible	FBrf0243123	flybase
Sdc	FBgn0010415	ttv	FBgn0265974	enhanceable	FBrf0208423	flybase
hid	FBgn0003997	Ras85D	FBgn0003205	enhanceable	FBrf0105264	flybase
cindr	FBgn0027598	park	FBgn0041100	enhanceable	FBrf0237191	flybase
egr	FBgn0033483	ben	FBgn0000173	suppressible	FBrf0224023	flybase
Dys	FBgn0260003	Delta	FBgn0000463	suppressible	FBrf0205440	flybase
Zip71B	FBgn0036461	ZnT86D	FBgn0037875	enhanceable	FBrf0227521	flybase
Dg	FBgn0034072	gcm	FBgn0014179	enhanceable	FBrf0205440	flybase
Fmr1	FBgn0028734	Drep2	FBgn0028408	suppressible	FBrf0226773	flybase
fz	FBgn0001085	numb	FBgn0002973	enhanceable	FBrf0132423	flybase
upd3	FBgn0053542	Stat92E	FBgn0016917	enhanceable	FBrf0226899	flybase
Pink1	FBgn0029891	APP-BP1	FBgn0261112	suppressible	FBrf0218287	flybase
Lam	FBgn0002525	rl	FBgn0003256	suppressible	FBrf0222010	flybase
babo	FBgn0011300	Mad	FBgn0011648	suppressible	FBrf0205031	flybase
Src64B	FBgn0262733	Egfr	FBgn0003731	suppressible	FBrf0228263	flybase
LIMK1	FBgn0283712	br	FBgn0283451	enhanceable	FBrf0174477	flybase
lola	FBgn0283521	Tbh	FBgn0010329	suppressible	FBrf0237414	flybase
norpA	FBgn0262738	lace	FBgn0002524	suppressible	FBrf0157218	flybase
arm	FBgn0000117	CtBP	FBgn0020496	enhanceable	FBrf0213805	flybase
Pink1	FBgn0029891	Pyk	FBgn0267385	suppressible	FBrf0249425	flybase
ftz-f1	FBgn0001078	ftz-f1::Hsap\NR5A1	FBgn0044349	suppressible	FBrf0134590	flybase
tkv	FBgn0003716	puc	FBgn0243512	enhanceable	FBrf0108559	flybase
TrpA1	FBgn0035934	Sod2	FBgn0010213	suppressible	FBrf0247066	flybase
mir-ban	FBgn0262451	Myc	FBgn0262656	suppressible	FBrf0216584	flybase
Hipk	FBgn0035142	ci	FBgn0004859	suppressible	FBrf0237780	flybase
nej	FBgn0261617	RhoGAP93B	FBgn0038853	suppressible	FBrf0190701	flybase
egr	FBgn0033483	puc	FBgn0243512	suppressible	FBrf0207529	flybase
fra::robo1	FBgn0027347	ena	FBgn0000578	suppressible	FBrf0128391	flybase
wg	FBgn0284084	da	FBgn0267821	suppressible	FBrf0151912	flybase
egr	FBgn0033483	Mtl	FBgn0039532	suppressible	FBrf0231848	flybase
egr	FBgn0033483	Rac1	FBgn0010333	suppressible	FBrf0231848	flybase
egr	FBgn0033483	Rac2	FBgn0014011	suppressible	FBrf0231848	flybase
p53	FBgn0039044	Scox	FBgn0262467	enhanceable	FBrf0228685	flybase
spict	FBgn0032451	wit	FBgn0024179	suppressible	FBrf0194450	flybase
Pink1	FBgn0029891	Sin1	FBgn0033935	enhanceable	FBrf0220987	flybase
Dora	FBgn0085430	dia	FBgn0011202	suppressible	FBrf0254181	flybase
y	FBgn0004034	su(Hw)	FBgn0003567	suppressible	FBrf0109352	flybase
ph-p	FBgn0004861	su(Hw)	FBgn0003567	suppressible	FBrf0109352	flybase
HDAC4	FBgn0041210	Mef2	FBgn0011656	suppressible	FBrf0248761	flybase
w	FBgn0003996	ph-p	FBgn0004861	suppressible	FBrf0135809	flybase
Scm	FBgn0003334	ph-p	FBgn0004861	suppressible	FBrf0135809	flybase
