Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf
Raf	FBgn0003079	Mkp3	FBgn0036844	suppressible	FBrf0167896
trp	FBgn0003861	Calx	FBgn0013995	suppressible	FBrf0190947
csw	FBgn0000382	pnt	FBgn0003118	suppressible	FBrf0190828
rl	FBgn0003256	corto	FBgn0010313	suppressible	FBrf0213310
sd	FBgn0003345	yki	FBgn0034970	enhanceable	FBrf0204632
Ras85D	FBgn0003205	14-3-3ε	FBgn0020238	suppressible	FBrf0131405
Prosβ6	FBgn0002284	Atg2|mask	FBgn0044452|FBgn0043884	suppressible	FBrf0237484
osk	FBgn0003015	vas	FBgn0283442	suppressible	FBrf0090859
dpp	FBgn0000490	Lpt	FBgn0263667	enhanceable	FBrf0222012
Rac1	FBgn0010333	Diap1	FBgn0260635	suppressible	FBrf0179220
Su(H)	FBgn0004837	H	FBgn0001169	enhanceable	FBrf0132042
Sdc	FBgn0010415	robo2	FBgn0002543	enhanceable	FBrf0174474
tkv	FBgn0003716	Snoo	FBgn0085450	suppressible	FBrf0200635
btl|stumps	FBgn0285896|FBgn0020299	EP1200	FBgn0083244	suppressible	FBrf0187664
shg	FBgn0003391	arm	FBgn0000117	enhanceable	FBrf0132031
Myb|lin-52	FBgn0002914|FBgn0029800	mip130	FBgn0023509	suppressible	FBrf0219063
dpp	FBgn0000490	tld	FBgn0003719	enhanceable	FBrf0079237
Mkp3	FBgn0036844	rl	FBgn0003256	suppressible	FBrf0160889
ct	FBgn0004198	Nipped-B	FBgn0026401	enhanceable	FBrf0203143
arr	FBgn0000119	Usp12-46	FBgn0039025	suppressible	FBrf0257735
N	FBgn0004647	Kap-α3	FBgn0027338	enhanceable	FBrf0222099
Dcr-1	FBgn0039016	Myc	FBgn0262656	suppressible	FBrf0210816
Apc|Apc2	FBgn0015589|FBgn0026598	shg	FBgn0003391	enhanceable	FBrf0221572
ptc	FBgn0003892	vn	FBgn0003984	suppressible	FBrf0123237
Pld	FBgn0286511	Vps35	FBgn0034708	suppressible	FBrf0234086
Egfr	FBgn0003731	dac	FBgn0005677	suppressible	FBrf0075101
fog	FBgn0000719	tsl	FBgn0003867	suppressible	FBrf0235984
rdgA	FBgn0261549	trp|trpl	FBgn0003861|FBgn0005614	suppressible	FBrf0127286
nerfin-1	FBgn0028999	N	FBgn0004647	suppressible	FBrf0235264
sc	FBgn0004170	sens	FBgn0002573	suppressible	FBrf0129996
Gbp1	FBgn0034199	Gbp2	FBgn0034200	enhanceable	FBrf0231170
Chi	FBgn0013764	tup	FBgn0003896	enhanceable	FBrf0190092
Lsd-2	FBgn0030608	HDAC6	FBgn0026428	suppressible	FBrf0236910
upd1	FBgn0004956	dind	FBgn0286828	suppressible	FBrf0252589
Pc	FBgn0003042	mor	FBgn0002783	suppressible	FBrf0094223
Pp2B-14D	FBgn0011826	CE3-3	FBgn0063643	enhanceable	FBrf0149012
lz	FBgn0002576	e(w<up>e</up>)	FBgn0000608	suppressible	FBrf0048208
pnt	FBgn0003118	Jra	FBgn0001291	suppressible	FBrf0204109
Eogt|Dcr-2	FBgn0264672|FBgn0034246	N	FBgn0004647	suppressible	FBrf0221543
park	FBgn0041100	Marf	FBgn0029870	suppressible	FBrf0223874
N	FBgn0004647	E(spl)m8-HLH::E(spl)mδ-HLH	FBgn0040399	enhanceable	FBrf0111441
dlg1	FBgn0001624	Myd88	FBgn0033402	enhanceable	FBrf0224358
dsh	FBgn0000499	Rho1	FBgn0014020	suppressible	FBrf0103240
fru	FBgn0004652	ap	FBgn0267978	enhanceable	FBrf0213400
dpp	FBgn0000490	hep	FBgn0010303	enhanceable	FBrf0108559
Pc	FBgn0003042	e(y)3|Bap170	FBgn0087008|FBgn0042085	suppressible	FBrf0205136
B-H1	FBgn0011758	aop	FBgn0000097	enhanceable	FBrf0104448
jub	FBgn0030530	shg	FBgn0003391	enhanceable	FBrf0240259
bw	FBgn0000241	His3.3B	FBgn0004828	suppressible	FBrf0211786
Delta	FBgn0000463	emc	FBgn0000575	suppressible	FBrf0055045
Ser	FBgn0004197	N	FBgn0004647	suppressible	FBrf0128542
Ras85D	FBgn0003205	Rho1	FBgn0014020	suppressible	FBrf0211181
Yif1	FBgn0288631	N	FBgn0004647	suppressible	FBrf0251682
Pc	FBgn0003042	lolal	FBgn0022238	suppressible	FBrf0155961
Tm1	FBgn0003721	E(To)12	FBgn0046123	suppressible	FBrf0137253
Vap33	FBgn0029687	mTor	FBgn0021796	suppressible	FBrf0226712
Hsc70-5	FBgn0001220	Atg1	FBgn0260945	enhanceable	FBrf0251563
ath	FBgn0032194	p53	FBgn0039044	suppressible	FBrf0253197
Ret	FBgn0011829	l(3)S090114	FBgn0084421	enhanceable	FBrf0190765
klar	FBgn0001316	Msp300	FBgn0261836	enhanceable	FBrf0210479
N	FBgn0004647	ct	FBgn0004198	suppressible	FBrf0220848
elav	FBgn0260400	robo1	FBgn0005631	suppressible	FBrf0193348
