Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf
arm	FBgn0000117	lgs	FBgn0039907	suppressible	FBrf0235074
w	FBgn0003996	RpLP0	FBgn0000100	suppressible	FBrf0105827
Grx1	FBgn0036820	Ctr1A	FBgn0062413	enhanceable	FBrf0233027
Dys	FBgn0260003	wun	FBgn0016078	suppressible	FBrf0220147
fra	FBgn0011592	Abl::Hsap\ABL1::Hsap\BCR	FBgn0026609	enhanceable	FBrf0210365
Antp	FBgn0260642	al	FBgn0000061	enhanceable	FBrf0031706
Rab5	FBgn0014010	Dronc	FBgn0026404	suppressible	FBrf0226083
E2f2	FBgn0024371	E2f1	FBgn0011766	suppressible	FBrf0138394
pbl	FBgn0003041	CycH	FBgn0022936	suppressible	FBrf0199094
peb	FBgn0003053	DCTN2-p50	FBgn0021825	suppressible	FBrf0180294
Ras85D	FBgn0003205	aop	FBgn0000097	enhanceable	FBrf0131405
Delta	FBgn0000463	brm	FBgn0000212	enhanceable	FBrf0187627
cav	FBgn0026257	tefu	FBgn0045035	enhanceable	FBrf0194327
Nsf2	FBgn0266464	CG3603	FBgn0029648	suppressible	FBrf0187645
Lsd-1	FBgn0039114	Diap1	FBgn0260635	suppressible	FBrf0232186
Lkb1	FBgn0038167	sqh	FBgn0003514	suppressible	FBrf0201353
Ras85D|scrib	FBgn0003205|FBgn0263289	Mad	FBgn0011648	suppressible	FBrf0258292
ato	FBgn0010433	rho	FBgn0004635	suppressible	FBrf0148967
par-1	FBgn0260934	14-3-3ε	FBgn0020238	enhanceable	FBrf0151902
mys	FBgn0004657	sli	FBgn0264089	enhanceable	FBrf0149077
upd1	FBgn0004956	BHD	FBgn0261111	suppressible	FBrf0194250
Chc	FBgn0000319	N	FBgn0004647	enhanceable	FBrf0207263
gbb	FBgn0024234	dpp	FBgn0000490	enhanceable	FBrf0192202
Atg12	FBgn0036255	sqa	FBgn0259678	suppressible	FBrf0213047
br	FBgn0283451	Rho1	FBgn0014020	enhanceable	FBrf0174477
park	FBgn0041100	ref(2)P	FBgn0003231	enhanceable	FBrf0249408
sha	FBgn0003382	in	FBgn0001259	enhanceable	FBrf0190766
Sod1	FBgn0003462	SdhBL	FBgn0030975	suppressible	FBrf0256673
Apc|p53|Ras85D|Pten	FBgn0015589|FBgn0039044|FBgn0003205|FBgn0026379	TkR99D	FBgn0004622	suppressible	FBrf0258216
DCTN1-p150	FBgn0001108	Lis-1	FBgn0015754	enhanceable	FBrf0129938
caz	FBgn0285954	lncRNA:Hsrω	FBgn0001234	suppressible	FBrf0235340
yki	FBgn0034970	GlyRS	FBgn0027088	suppressible	FBrf0244980
fru	FBgn0004652	Fmr1	FBgn0028734	enhanceable	FBrf0213400
Abl|Khc	FBgn0000017|FBgn0001308	ena	FBgn0000578	suppressible	FBrf0188046
Gyc89Db	FBgn0038436	Gyc89Da	FBgn0038435	suppressible	FBrf0214366
sgg|arm	FBgn0003371|FBgn0000117	aPKC	FBgn0261854	enhanceable	FBrf0213424
E(spl)mα-BFM	FBgn0002732	N	FBgn0004647	enhanceable	FBrf0111325
gcm	FBgn0014179	osa	FBgn0261885	enhanceable	FBrf0220515
sli	FBgn0264089	Abl	FBgn0000017	enhanceable	FBrf0152273
mir-279	FBgn0262448	pros	FBgn0004595	suppressible	FBrf0216631
Iswi	FBgn0011604	E(bx)	FBgn0000541	enhanceable	FBrf0211659
GckIII	FBgn0266465	Nsf2	FBgn0266464	suppressible	FBrf0221823
gbb	FBgn0024234	sax	FBgn0003317	enhanceable	FBrf0194511
Cftr	FBgn0039207	mir-bft	FBgn0263107	suppressible	FBrf0245682
aurA	FBgn0000147	Wdr62	FBgn0031374	enhanceable	FBrf0236106
Dp|E2f1	FBgn0011763|FBgn0011766	ebi	FBgn0263933	enhanceable	FBrf0131258
Sema5c	FBgn0284221	PlexA	FBgn0025741	suppressible	FBrf0241779
zip	FBgn0287873	par-6	FBgn0026192	enhanceable	FBrf0210666
Csk	FBgn0262081	ena	FBgn0000578	suppressible	FBrf0225132
Dora	FBgn0085430	sha	FBgn0003382	suppressible	FBrf0254181
elav	FBgn0260400	fne	FBgn0086675	suppressible	FBrf0229345
kar	FBgn0001296	red	FBgn0285913	enhanceable	FBrf0033152
Nsf2	FBgn0266464	CG1806	FBgn0030360	suppressible	FBrf0187645
pnr	FBgn0003117	CG12084	FBgn0043458	enhanceable	FBrf0147055
crb	FBgn0259685	shg	FBgn0003391	suppressible	FBrf0230708
Delta	FBgn0000463	jp	FBgn0032129	suppressible	FBrf0237781
Dcp-1	FBgn0010501	Acn	FBgn0263198	suppressible	FBrf0226558
egr	FBgn0033483	bsk	FBgn0000229	suppressible	FBrf0217390
ND-42	FBgn0019957	Wwox	FBgn0031972	suppressible	FBrf0229860
Abl	FBgn0000017	robo2	FBgn0002543	enhanceable	FBrf0152273
Bar	FBgn0000154	ap::Chi	FBgn0029096	suppressible	FBrf0179395
Rab2	FBgn0014009	Rab7	FBgn0015795	suppressible	FBrf0235994
cnc	FBgn0262975	ref(2)P	FBgn0003231	suppressible	FBrf0258830
α-Spec	FBgn0250789	Miro	FBgn0039140	suppressible	FBrf0216904
Pp2B-14D	FBgn0011826	sty	FBgn0014388	suppressible	FBrf0149012
H	FBgn0001169	Diap1	FBgn0260635	enhanceable	FBrf0190751
IKKε	FBgn0086657	ctp	FBgn0011760	suppressible	FBrf0212985
spen	FBgn0016977	N	FBgn0004647	suppressible	FBrf0240884
sisRNA:4	FBgn0285969	dpn	FBgn0010109	suppressible	FBrf0235195
Mtl	FBgn0039532	Cdc42	FBgn0010341	enhanceable	FBrf0200938
dpp	FBgn0000490	scw	FBgn0005590	enhanceable	FBrf0079237
tkv	FBgn0003716	CG3632	FBgn0030735	enhanceable	FBrf0220364
Raf	FBgn0003079	Rac1	FBgn0010333	suppressible	FBrf0131402
ninaE	FBgn0002940	Traf4	FBgn0026319	suppressible	FBrf0224179
S	FBgn0003310	shg	FBgn0003391	enhanceable	FBrf0167498
SREBP	FBgn0261283	out	FBgn0259834	suppressible	FBrf0237138
numb	FBgn0002973	spdo	FBgn0260440	suppressible	FBrf0160755
trn	FBgn0010452	caps::trn	FBgn0086257	suppressible	FBrf0193895
egr	FBgn0033483	ebi	FBgn0263933	enhanceable	FBrf0218464
Su(H)	FBgn0004837	H	FBgn0001169	suppressible	FBrf0241550
yki	FBgn0034970	pnut	FBgn0013726	enhanceable	FBrf0238801
Rbf	FBgn0015799	Rheb	FBgn0041191	suppressible	FBrf0211700
chem	FBgn0002175	crb	FBgn0259685	suppressible	FBrf0234100
ord	FBgn0003009	pch2	FBgn0051453	suppressible	FBrf0211491
ena	FBgn0000578	robo1	FBgn0005631	enhanceable	FBrf0128391
tko	FBgn0003714	mRpL14	FBgn0040389	suppressible	FBrf0209036
pyd	FBgn0262614	hry	FBgn0001168	enhanceable	FBrf0052925
hng1	FBgn0034599	wg	FBgn0284084	suppressible	FBrf0224045
Atg13	FBgn0261108	Atg1	FBgn0260945	suppressible	FBrf0207848
psq	FBgn0263102	tor	FBgn0003733	suppressible	FBrf0213010
shot	FBgn0013733	Efa6	FBgn0051158	suppressible	FBrf0244169
Bx	FBgn0265598	fng	FBgn0011591	suppressible	FBrf0128576
numb	FBgn0002973	Caf1-55	FBgn0263979	enhanceable	FBrf0257033
aurA	FBgn0000147	aurB	FBgn0024227	enhanceable	FBrf0253227
rpr	FBgn0011706	CG3251	FBgn0031622	enhanceable	FBrf0230214
Pi3K92E|btl::Egfr	FBgn0015279|FBgn0022739	Hex-A	FBgn0001186	suppressible	FBrf0247146
Rtca	FBgn0025630	Pten	FBgn0026379	suppressible	FBrf0228534
smo	FBgn0003444	Trs20	FBgn0266724	enhanceable	FBrf0188527
crb	FBgn0259685	Schip1	FBgn0032221	suppressible	FBrf0231239
E2f1	FBgn0011766	bel	FBgn0263231	suppressible	FBrf0203170
Dhpr	FBgn0035964	park	FBgn0041100	suppressible	FBrf0243587
Diap1	FBgn0260635	pcm	FBgn0020261	suppressible	FBrf0228467
uif	FBgn0031879	dx	FBgn0000524	enhanceable	FBrf0218242
park	FBgn0041100	Pink1	FBgn0029891	enhanceable	FBrf0225286
sev|Ras85D	FBgn0003366|FBgn0003205	l(3)06265	FBgn0026218	suppressible	FBrf0105879
ths	FBgn0033652	pyr	FBgn0033649	suppressible	FBrf0208713
Sh	FBgn0003380	eag	FBgn0000535	suppressible	FBrf0190710
bwk	FBgn0004884	Shark	FBgn0015295	enhanceable	FBrf0167514
Delta	FBgn0000463	N	FBgn0004647	suppressible	FBrf0137014
Pink1	FBgn0029891	Itpr	FBgn0010051	suppressible	FBrf0257349
Ire1|scrib	FBgn0261984|FBgn0263289	Dronc	FBgn0026404	suppressible	FBrf0258210
Traf4	FBgn0026319	park	FBgn0041100	suppressible	FBrf0188253
Alu	FBgn0000070	ds	FBgn0284247	enhanceable	unattributed
Bar	FBgn0000154	oro	FBgn0020263	enhanceable	FBrf0093093
gogo	FBgn0052227	Ilp5	FBgn0044048	suppressible	FBrf0217291
Vps35	FBgn0034708	Rab5	FBgn0014010	enhanceable	FBrf0236506
Dcp-1	FBgn0010501	bchs	FBgn0043362	suppressible	FBrf0209948
pbl	FBgn0003041	Rac1	FBgn0010333	suppressible	FBrf0219752
CycB	FBgn0000405	Sse	FBgn0035627	suppressible	FBrf0183929
Sry-δ	FBgn0003512	bcd	FBgn0000166	suppressible	FBrf0105919
H	FBgn0001169	Rac2	FBgn0014011	enhanceable	FBrf0190751
yki	FBgn0034970	zfh2	FBgn0004607	enhanceable	FBrf0257974
N	FBgn0004647	Hip1	FBgn0036309	suppressible	FBrf0205766
porin	FBgn0004363	Marf	FBgn0029870	suppressible	FBrf0212060
numb	FBgn0002973	Myc|HUWE1	FBgn0262656|FBgn0030674	suppressible	FBrf0235708
aop	FBgn0000097	alph	FBgn0086361	enhanceable	FBrf0190087
anne	FBgn0052000	HDAC6	FBgn0026428	suppressible	FBrf0241154
smo	FBgn0003444	E(smoDN)O	FBgn0083249	enhanceable	FBrf0188528
RhoGAP19D	FBgn0031118	aPKC	FBgn0261854	suppressible	FBrf0248225
Axud1	FBgn0261647	bsk	FBgn0000229	suppressible	FBrf0207344
gro	FBgn0001139	CG12299	FBgn0032295	enhanceable	FBrf0209726
Vhl	FBgn0041174	ago	FBgn0041171	suppressible	FBrf0221195
grau	FBgn0001133	cort	FBgn0000351	enhanceable	FBrf0125162
Rab8	FBgn0262518	Tak1	FBgn0026323	suppressible	FBrf0227926
Ubx	FBgn0003944	hth	FBgn0001235	suppressible	FBrf0111139
Pink1|trc	FBgn0029891|FBgn0003744	Marf	FBgn0029870	suppressible	FBrf0220987
orb	FBgn0004882	Plp	FBgn0086690	suppressible	FBrf0253893
rpr	FBgn0011706	Dronc	FBgn0026404	suppressible	FBrf0236959
mio	FBgn0031399	mei-P22	FBgn0016036	suppressible	FBrf0174551
Pvr	FBgn0032006	Dlc90F	FBgn0024432	enhanceable	FBrf0187664
Rbf	FBgn0015799	Hrs	FBgn0031450	enhanceable	FBrf0232331
sog	FBgn0003463	Smurf	FBgn0029006	enhanceable	FBrf0141457
Mmp2	FBgn0033438	frac	FBgn0035798	suppressible	FBrf0213409
sgg	FBgn0003371	tws	FBgn0004889	enhanceable	FBrf0174550
ap	FBgn0267978	sr	FBgn0003499	enhanceable	FBrf0131298
Pink1	FBgn0029891	Dhpr	FBgn0035964	enhanceable	FBrf0243587
Pink1	FBgn0029891	TP53INP	FBgn0035542	enhanceable	FBrf0248882
RYBP	FBgn0034763	Pc	FBgn0003042	enhanceable	FBrf0187978
Osbp	FBgn0020626	Rab10	FBgn0015789	suppressible	FBrf0217992
H	FBgn0001169	emc	FBgn0000575	suppressible	FBrf0149093
mthl5	FBgn0037960	Pka-C1	FBgn0000273	suppressible	FBrf0248835
Abd-B	FBgn0000015	abd-A	FBgn0000014	suppressible	FBrf0083977
ft	FBgn0001075	rho	FBgn0004635	enhanceable	FBrf0184134
Ppt1	FBgn0030057	gbb	FBgn0024234	suppressible	FBrf0211567
Rel	FBgn0014018	Dredd	FBgn0020381	enhanceable	FBrf0210269
Pc	FBgn0003042	Nsf2	FBgn0266464	suppressible	FBrf0048952
Antp	FBgn0260642	exd	FBgn0000611	suppressible	FBrf0205311
Dop2R	FBgn0053517	Gad1	FBgn0004516	suppressible	FBrf0241811
Hr39	FBgn0261239	ftz-f1	FBgn0001078	enhanceable	FBrf0212642
ci|rdx	FBgn0004859|FBgn0264493	grim	FBgn0015946	suppressible	FBrf0257252
cindr	FBgn0027598	CG7376	FBgn0035689	enhanceable	FBrf0237191
mir-252	FBgn0262323	mbt	FBgn0025743	suppressible	FBrf0242444
flw	FBgn0000711	zip	FBgn0287873	suppressible	FBrf0213586
Rho1	FBgn0014020	Rok	FBgn0026181	suppressible	FBrf0206881
Slik	FBgn0035001	Raf	FBgn0003079	suppressible	FBrf0167985
gcm	FBgn0014179	repo	FBgn0011701	enhanceable	FBrf0220515
brm	FBgn0000212	Polr2A	FBgn0003277	enhanceable	FBrf0187627
Src42A	FBgn0264959	Ras85D	FBgn0003205	suppressible	FBrf0107534
H	FBgn0001169	Imp	FBgn0285926	suppressible	FBrf0190751
qed	FBgn0027627	nej	FBgn0261617	enhanceable	FBrf0109188
caz	FBgn0285954	TER94	FBgn0286784	suppressible	FBrf0225234
Dad	FBgn0020493	Rho1	FBgn0014020	suppressible	FBrf0207672
Rala	FBgn0015286	msn	FBgn0010909	suppressible	FBrf0194568
peb	FBgn0003053	px	FBgn0003175	suppressible	FBrf0180294
Ptp69D	FBgn0014007	Ptp52F	FBgn0034085	enhanceable	FBrf0139642
kon	FBgn0032683	Wnt5	FBgn0010194	suppressible	FBrf0248077
ro	FBgn0003267	E(ro<up>DOM</up>)3222	FBgn0043592	enhanceable	FBrf0131272
vn	FBgn0003984	rho	FBgn0004635	suppressible	FBrf0226552
sina	FBgn0003410	ttk	FBgn0003870	suppressible	FBrf0138359
csw	FBgn0000382	S	FBgn0003310	suppressible	FBrf0190828
Rho1	FBgn0014020	dia	FBgn0011202	enhanceable	FBrf0204461
Atg1	FBgn0260945	Diap1	FBgn0260635	enhanceable	FBrf0258830
Snr1	FBgn0011715	brm	FBgn0000212	enhanceable	FBrf0155665
lap	FBgn0086372	EP3303	FBgn0044461	enhanceable	FBrf0194564
sc	FBgn0004170	ed	FBgn0000547	enhanceable	FBrf0167521
Pi3K59F	FBgn0015277	Buffy	FBgn0040491	suppressible	FBrf0233893
Ubqn	FBgn0031057	ATP6AP2	FBgn0037671	suppressible	FBrf0241650
H	FBgn0001169	N	FBgn0004647	enhanceable	FBrf0055045
gcm	FBgn0014179	upd3	FBgn0053542	suppressible	FBrf0208351
y	FBgn0004034	mod(mdg4)	FBgn0002781	suppressible	FBrf0205475
cindr	FBgn0027598	Arp3	FBgn0262716	suppressible	FBrf0204348
CycE	FBgn0010382	S(CycE<up>JP</up>)1S3	FBgn0082636	suppressible	FBrf0180291
hkb	FBgn0261434	fzr	FBgn0262699	suppressible	FBrf0258777
red	FBgn0285913	kar	FBgn0001296	enhanceable	FBrf0033152
brm	FBgn0000212	Snr1	FBgn0011715	enhanceable	FBrf0187627
if	FBgn0001250	by	FBgn0000244	enhanceable	FBrf0160724
Egfr	FBgn0003731	pico	FBgn0261811	suppressible	FBrf0206242
Pdk1	FBgn0020386	S6k	FBgn0283472	suppressible	FBrf0216911
y	FBgn0004034	mod(mdg4)	FBgn0002781	suppressible	FBrf0191177
foxo|wdb	FBgn0038197|FBgn0027492	mts	FBgn0004177	suppressible	FBrf0206002
brm	FBgn0000212	osa	FBgn0261885	enhanceable	FBrf0124978
hid	FBgn0003997	Diap1	FBgn0260635	suppressible	FBrf0125392
hh	FBgn0004644	ptc	FBgn0003892	enhanceable	FBrf0076485
bnl	FBgn0014135	btl::tor	FBgn0014948	suppressible	FBrf0091184
btl|stumps	FBgn0285896|FBgn0020299	Isha	FBgn0034598	suppressible	FBrf0187664
InR	FBgn0283499	Pi3K92E	FBgn0015279	suppressible	FBrf0249396
svp	FBgn0003651	Raf	FBgn0003079	suppressible	FBrf0076133
Antp	FBgn0260642	tna	FBgn0026160	suppressible	FBrf0155711
crol	FBgn0020309	Axn	FBgn0026597	suppressible	FBrf0207008
stumps	FBgn0020299	Ras85D	FBgn0003205	suppressible	FBrf0105337
MAN1	FBgn0034962	dpp	FBgn0000490	suppressible	FBrf0210050
ro	FBgn0003267	Dfd::ro	FBgn0020180	suppressible	FBrf0058990
ato	FBgn0010433	ptc	FBgn0003892	enhanceable	FBrf0127389
upd1	FBgn0004956	heca	FBgn0010113	suppressible	FBrf0167623
Src42A	FBgn0264959	Egfr	FBgn0003731	suppressible	FBrf0228263
NT1|spz5	FBgn0261526|FBgn0035379	spz	FBgn0003495	enhanceable	FBrf0206302
Ras85D	FBgn0003205	by	FBgn0000244	suppressible	FBrf0257168
pnr	FBgn0003117	Hr4	FBgn0264562	enhanceable	FBrf0147055
slmb	FBgn0283468	cnc	FBgn0262975	suppressible	FBrf0246444
Appl	FBgn0000108	APP-BP1	FBgn0261112	suppressible	FBrf0200549
mir-276a	FBgn0266076	nej	FBgn0261617	suppressible	FBrf0254930
Rok	FBgn0026181	Ras85D	FBgn0003205	enhanceable	FBrf0221420
Drl-2	FBgn0033791	Wnt5	FBgn0010194	suppressible	FBrf0228474
Ret	FBgn0011829	Pp1-87B	FBgn0004103	enhanceable	FBrf0190765
nanos	FBgn0002962	Tao	FBgn0031030	enhanceable	FBrf0200950
NetB	FBgn0015774	fra	FBgn0011592	suppressible	FBrf0102605
yki	FBgn0034970	sqh	FBgn0003514	suppressible	FBrf0239850
kon	FBgn0032683	Fak	FBgn0020440	suppressible	FBrf0248077
Stat92E	FBgn0016917	dome	FBgn0043903	enhanceable	FBrf0141438
foxo	FBgn0038197	futsch	FBgn0259108	suppressible	FBrf0217391
mew	FBgn0004456	bs	FBgn0004101	enhanceable	FBrf0104793
Nf1	FBgn0015269	Dsor1	FBgn0010269	suppressible	FBrf0223429
peb	FBgn0003053	ms(3)neo94	FBgn0013671	suppressible	FBrf0180294
bw	FBgn0000241	Rm62	FBgn0003261	suppressible	FBrf0211786
ato	FBgn0010433	Delta	FBgn0000463	enhanceable	FBrf0127389
H	FBgn0001169	Su(dx)	FBgn0003557	enhanceable	FBrf0105825
egr|CtBP	FBgn0033483|FBgn0020496	mirr	FBgn0014343	enhanceable	FBrf0238208
H	FBgn0001169	cnk	FBgn0286070	enhanceable	FBrf0190751
hiw	FBgn0030600	raptor	FBgn0029840	suppressible	FBrf0229723
ninaE	FBgn0002940	Gαq|Arr2	FBgn0004435|FBgn0000121	suppressible	FBrf0174855
Ret	FBgn0011829	l(3)06906	FBgn0010904	suppressible	FBrf0190765
bam	FBgn0000158	E2f1	FBgn0011766	suppressible	FBrf0203121
w	FBgn0003996	su(w<up>a</up>)	FBgn0003638	suppressible	unattributed
pths	FBgn0032919	p53	FBgn0039044	suppressible	FBrf0253197
tim	FBgn0014396	per	FBgn0003068	enhanceable	FBrf0108911
pbl	FBgn0003041	zip	FBgn0287873	enhanceable	FBrf0158812
Delta	FBgn0000463	smo	FBgn0003444	enhanceable	FBrf0221556
aurA	FBgn0000147	Wdr62	FBgn0031374	suppressible	FBrf0236106
Ras85D	FBgn0003205	Tak1	FBgn0026323	suppressible	FBrf0209242
Ras85D	FBgn0003205	EY2-6	FBgn0040331	enhanceable	FBrf0125429
grim	FBgn0015946	mir-278	FBgn0262403	suppressible	FBrf0190148
msk	FBgn0026252	rl	FBgn0003256	suppressible	FBrf0190305
para	FBgn0285944	pum	FBgn0003165	suppressible	FBrf0234659
robo1	FBgn0005631	comm	FBgn0010105	enhanceable	FBrf0132431
rad50	FBgn0034728	tefu	FBgn0045035	enhanceable	FBrf0194855
cno	FBgn0259212	ena	FBgn0000578	enhanceable	FBrf0213894
vtd	FBgn0260987	dl	FBgn0260632	enhanceable	FBrf0230345
Delta	FBgn0000463	Su(dx)	FBgn0003557	enhanceable	FBrf0108684
Egfr	FBgn0003731	vn	FBgn0003984	enhanceable	FBrf0052884
upd1	FBgn0004956	Lamp1	FBgn0032949	suppressible	FBrf0190752
Dscam1	FBgn0033159	robo1	FBgn0005631	enhanceable	FBrf0234009
tsg|sog	FBgn0003865|FBgn0003463	tld	FBgn0003719	suppressible	FBrf0162076
Drp1	FBgn0026479	Marf	FBgn0029870	suppressible	FBrf0258913
hop	FBgn0004864	Socs36E	FBgn0041184	suppressible	FBrf0151456
Dref	FBgn0015664	osa	FBgn0261885	suppressible	FBrf0215889
SH3PX1	FBgn0040475	shi	FBgn0003392	suppressible	FBrf0242427
grim	FBgn0015946	Psn	FBgn0284421	suppressible	FBrf0167712
Tg	FBgn0031975	Pink1	FBgn0029891	suppressible	FBrf0227806
htl::tor	FBgn0014854	vap	FBgn0003969	enhanceable	FBrf0179968
l(2)gl	FBgn0002121	Myc	FBgn0262656	suppressible	FBrf0210873
PlexB	FBgn0025740	Sema2a	FBgn0011260	enhanceable	FBrf0193827
Pi3K92E	FBgn0015279	ebi	FBgn0263933	enhanceable	FBrf0190712
Fmr1	FBgn0028734	Dscam1	FBgn0033159	suppressible	FBrf0221678
wts	FBgn0011739	CycA	FBgn0000404	suppressible	FBrf0107344
slbo	FBgn0005638	aop	FBgn0000097	enhanceable	FBrf0187480
ush	FBgn0003963	srp	FBgn0003507	suppressible	FBrf0201267
aos	FBgn0004569	rb	FBgn0003210	enhanceable	FBrf0214287
if	FBgn0001250	how	FBgn0264491	enhanceable	FBrf0104793
CycE	FBgn0010382	hh	FBgn0004644	enhanceable	FBrf0180291
Bar	FBgn0000154	su(Hw)	FBgn0003567	suppressible	FBrf0020044
Dcp-1	FBgn0010501	aop	FBgn0000097	suppressible	FBrf0209948
C3G	FBgn0259228	rl	FBgn0003256	suppressible	FBrf0106038
p115	FBgn0040087	Grasp65	FBgn0036919	enhanceable	FBrf0235585
DAAM	FBgn0025641	Rho1	FBgn0014020	enhanceable	FBrf0190308
so	FBgn0003460	nej	FBgn0261617	suppressible	FBrf0180303
Debcl	FBgn0029131	slmb	FBgn0283468	enhanceable	FBrf0226227
hpo	FBgn0261456	wts	FBgn0011739	suppressible	FBrf0222652
par-1	FBgn0260934	Lkb1	FBgn0038167	enhanceable	FBrf0193064
Syx17	FBgn0035540	Dsor1	FBgn0010269	suppressible	FBrf0242427
lola|psq|Delta	FBgn0283521|FBgn0263102|FBgn0000463	Tctp	FBgn0037874	enhanceable	FBrf0241681
sev|Ras85D	FBgn0003366|FBgn0003205	eRF1	FBgn0036974	suppressible	FBrf0105879
w	FBgn0003996	E(w<up>a</up>)	FBgn0000607	enhanceable	FBrf0048200
phyl	FBgn0013725	tal	FBgn0087003	enhanceable	FBrf0214307
B-H1	FBgn0011758	Ras85D	FBgn0003205	enhanceable	FBrf0104448
lace	FBgn0002524	Dscam1	FBgn0033159	suppressible	FBrf0241573
p120ctn	FBgn0260799	α-Cat	FBgn0010215	enhanceable	FBrf0202887
Z600	FBgn0004052	CycE	FBgn0010382	suppressible	FBrf0202415
Myc	FBgn0262656	Desat1	FBgn0086687	suppressible	FBrf0221712
Delta	FBgn0000463	jp	FBgn0032129	enhanceable	FBrf0237781
ND-42	FBgn0019957	Sln	FBgn0033657	suppressible	FBrf0237138
Smox	FBgn0025800	myo	FBgn0026199	suppressible	FBrf0246232
Dg	FBgn0034072	kek1	FBgn0015399	enhanceable	FBrf0205440
scrib	FBgn0263289	scrib::α-Cat	FBgn0289727	suppressible	FBrf0256305
msi|sina	FBgn0011666|FBgn0003410	ttk	FBgn0003870	suppressible	FBrf0209609
fng	FBgn0011591	Delta	FBgn0000463	enhanceable	FBrf0167947
Poxm	FBgn0003129	CycE	FBgn0010382	suppressible	FBrf0138373
CycE	FBgn0010382	rux	FBgn0003302	suppressible	FBrf0103367
sl	FBgn0003416	Pkc53E	FBgn0003091	enhanceable	FBrf0216849
Prosβ6	FBgn0002284	Vha68-2|mask	FBgn0263598|FBgn0043884	suppressible	FBrf0237484
shg	FBgn0003391	dsh	FBgn0000499	enhanceable	FBrf0123026
ftz	FBgn0001077	E(ftz)1819	FBgn0082687	enhanceable	FBrf0180288
Pink1	FBgn0029891	Uch|Trim9	FBgn0010288|FBgn0051721	suppressible	FBrf0249425
rux	FBgn0003302	S	FBgn0003310	enhanceable	FBrf0074608
Nuak	FBgn0262617	stv	FBgn0086708	enhanceable	FBrf0245454
sfl	FBgn0020251	Hsepi	FBgn0033087	enhanceable	FBrf0223375
w	FBgn0003996	Wow|Low	FBgn0014893|FBgn0011646	suppressible	FBrf0104408
htl	FBgn0010389	Egfr	FBgn0003731	enhanceable	FBrf0132430
brm	FBgn0000212	Spn43Ab	FBgn0024293	suppressible	FBrf0241270
Su(H)	FBgn0004837	Mnr	FBgn0052521	suppressible	FBrf0251975
Pink1	FBgn0029891	GstO2	FBgn0035906	suppressible	FBrf0222368
fng	FBgn0011591	Sik3	FBgn0262103	enhanceable	FBrf0245956
Pten	FBgn0026379	Tsc1|gig	FBgn0026317|FBgn0005198	suppressible	FBrf0222076
CalpA	FBgn0012051	ttm50	FBgn0250874	suppressible	FBrf0248591
Stim	FBgn0045073	Rala	FBgn0015286	suppressible	FBrf0234791
Cdc16	FBgn0025781	Nek2	FBgn0029970	suppressible	FBrf0234480
btl|stumps	FBgn0285896|FBgn0020299	NFAT	FBgn0030505	suppressible	FBrf0187664
Abl	FBgn0000017	Ptp61F	FBgn0267487	enhanceable	FBrf0215460
scrib	FBgn0263289	hep	FBgn0010303	suppressible	FBrf0188278
PNUTS	FBgn0053526	RpL27A	FBgn0285948	suppressible	FBrf0223236
E2f1	FBgn0011766	mir-11	FBgn0262434	suppressible	FBrf0225736
pk	FBgn0003090	Rab23	FBgn0037364	enhanceable	FBrf0210720
pan	FBgn0085432	puc	FBgn0243512	suppressible	FBrf0128573
Cpes	FBgn0025335	norpA	FBgn0262738	suppressible	FBrf0240164
ph-p	FBgn0004861	ph-d	FBgn0004860	suppressible	FBrf0076487
Ret	FBgn0011829	l(3)S019203	FBgn0028200	enhanceable	FBrf0190765
sd	FBgn0003345	vg	FBgn0003975	enhanceable	FBrf0105294
Csas	FBgn0052220	SiaT	FBgn0035050	enhanceable	FBrf0222206
CheB42a	FBgn0053348	tra	FBgn0003741	suppressible	FBrf0195097
elav	FBgn0260400	sli	FBgn0264089	enhanceable	FBrf0193348
dpp	FBgn0000490	tkv	FBgn0003716	enhanceable	FBrf0199087
egr	FBgn0033483	Xbp1	FBgn0021872	enhanceable	FBrf0258210
rdgB	FBgn0003218	CG11426	FBgn0037166	enhanceable	FBrf0191316
Tcs5	FBgn0035590	Rac1	FBgn0010333	suppressible	FBrf0253823
Mhc	FBgn0264695	Tm2	FBgn0004117	suppressible	FBrf0174798
Atg8a	FBgn0052672	ref(2)P	FBgn0003231	suppressible	FBrf0258830
O-fut1	FBgn0033901	rumi	FBgn0086253	enhanceable	FBrf0227107
Ras85D	FBgn0003205	Rgl	FBgn0026376	enhanceable	FBrf0155960
Snr1	FBgn0011715	N	FBgn0004647	suppressible	FBrf0174517
Apc2|Apc	FBgn0026598|FBgn0015589	Diap1	FBgn0260635	suppressible	FBrf0231058
bw	FBgn0000241	mir-ban	FBgn0262451	suppressible	FBrf0211786
Rbf	FBgn0015799	ptc	FBgn0003892	suppressible	FBrf0149123
sei	FBgn0003353	cac	FBgn0263111	suppressible	FBrf0212405
tum	FBgn0086356	Cdc42	FBgn0010341	suppressible	FBrf0131402
tub	FBgn0003882	tor::tub	FBgn0015557	suppressible	FBrf0080037
Syx7	FBgn0267849	Moe	FBgn0011661	suppressible	FBrf0225816
