From	To
Q9XW70	WBGene00003892
O18214	WBGene00003100
Q22235	WBGene00011480
H2KYX5	WBGene00016022
O61830	WBGene00016025
Q22886	WBGene00015218
Q19191	WBGene00008572
Q19119	WBGene00006960
Q8I7F8	WBGene00003851
O16420	WBGene00020242
G5EDU6	WBGene00003033
P90757	WBGene00000490
O02213	WBGene00004777
Q18917	WBGene00017014
G5EEQ5	WBGene00004334
D2YW11	WBGene00012306
P17511	WBGene00003473
Q19809	WBGene00017835
Q93377	WBGene00008093
P12845	WBGene00003514
Q20712	WBGene00018742
Q6A5A0	WBGene00016022
A5PEW5	WBGene00004364
Q23049	WBGene00000244
G5ECA8	WBGene00001841
Q22250	WBGene00011524
P32756	WBGene00000481
Q23610	WBGene00022827
V6CLP5	WBGene00004130
Q8MQ56	WBGene00009580
Q19733	WBGene00004006
H2L041	WBGene00018607
Q9U345	WBGene00012306
G5EE86	WBGene00006654
G5ED37	WBGene00003885
Q18510	WBGene00000193
Q93833	WBGene00000492
Q09609	WBGene00011081
P41935	WBGene00000435
G5EE74	WBGene00003829
G5EDF6	WBGene00003886
Q9U9Y8	WBGene00003048
Q5TYL4	WBGene00019751
P05690	WBGene00006926
Q19021	WBGene00008449
Q09306	WBGene00006655
P34579	WBGene00006783
P34663	WBGene00000446
Q22830	WBGene00003883
Q19640	WBGene00000242
Q9U333	WBGene00002116
Q19076	WBGene00004020
Q17381	WBGene00004013
Q9Y194	WBGene00004981
G5EDX1	WBGene00002181
P91423	WBGene00020192
Q22555	WBGene00003634
H2L0N8	WBGene00021349
D2YW10	WBGene00012306
H2KYR7	WBGene00004104
O16364	WBGene00019839
A0A2C9C306	WBGene00016022
A0A0K3ATW3	WBGene00016022
Q21266	WBGene00019477
Q19005	WBGene00017073
Q9NL87	WBGene00004130
Q20411	WBGene00005037
Q20303	WBGene00001244
Q10014	WBGene00020803
H2KYH7	WBGene00002140
H2KYX6	WBGene00016022
F1LIN3	WBGene00008711
Q22709	WBGene00011974
Q9U344	WBGene00012306
Q19188	WBGene00008571
Q21516	WBGene00010870
Q9XVQ7	WBGene00008711
Q9NEZ7	WBGene00000241
Q21511	WBGene00010864
P17512	WBGene00003474
P41936	WBGene00000445
G5EDB7	WBGene00006762
Q21626	WBGene00010974
Q2V4U7	WBGene00006600
C0P284	WBGene00008711
H2L042	WBGene00018607
G5EGF0	WBGene00000484
A8WFH5	WBGene00018607
Q04457	WBGene00001578
Q19807	WBGene00017814
Q21361	WBGene00000220
Q23390	WBGene00004174
Q21494	WBGene00019751
O17583	WBGene00002999
Q8MQD3	WBGene00015946
P06581	WBGene00002018
Q9XVE1	WBGene00007565
Q8IA87	WBGene00018427
X5MK26	WBGene00021765
Q9XTR1	WBGene00000406
O16577	WBGene00016337
