From	To
G5ECJ5	WBGene00000250
B7WN78	WBGene00175035
G2HK05	WBGene00012126
Q19104	WBGene00008503
Q9XUU4	WBGene00010581
O01482	WBGene00004380
Q86NH2	WBGene00009335
Q21816	WBGene00019938
O62323	WBGene00010980
Q9NLD1	WBGene00002000
Q8WTK0	WBGene00021771
Q7YTG8	WBGene00009336
Q9N2X3	WBGene00022357
C0RSI9	WBGene00302978
O44643	WBGene00005956
Q9Y041	WBGene00001843
O17753	WBGene00008488
Q95QU1	WBGene00043156
Q03565	WBGene00000235
P35603	WBGene00001082
Q23378	WBGene00022515
Q21408	WBGene00004951
H2KYE2	WBGene00017834
P91156	WBGene00016601
H2KMJ3	WBGene00003085
Q8T874	WBGene00000165
Q965Q1	WBGene00021248
P91453	WBGene00020558
H2KYQ1	WBGene00016562
Q23088	WBGene00022812
H2FLM3	WBGene00007752
Q23312	WBGene00004476
Q10923	WBGene00003825
G5EGE8	WBGene00012389
H2KZT8	WBGene00017900
Q23458	WBGene00013966
A0A0K3AUL9	WBGene00019284
Q18241	WBGene00007761
Q9XVA3	WBGene00008577
P48154	WBGene00004470
Q95ZV7	WBGene00017381
H2L016	WBGene00019664
G5EDV4	WBGene00007154
P34320	WBGene00007405
Q7YTL0	WBGene00011309
P90860	WBGene00009454
Q19007	WBGene00017075
Q27511	WBGene00019947
Q95XP9	WBGene00021460
O76407	WBGene00020389
A0A061AJJ3	WBGene00017979
Q19974	WBGene00017989
G5EBL3	WBGene00004746
Q20681	WBGene00009945
Q94056	WBGene00011768
Q95Q25	WBGene00004297
Q17784	WBGene00007412
Q9N4K6	WBGene00016881
Q9N4E2	WBGene00022260
Q6BER5	WBGene00009180
A3RMS7	WBGene00016511
A5A8R4	WBGene00045393
O61826	WBGene00001432
Q22718	WBGene00011976
E8MDW0	WBGene00013807
O61749	WBGene00018159
G5EG38	WBGene00001281
Q18853	WBGene00000869
Q18695	WBGene00008165
Q19132	WBGene00008547
Q22134	WBGene00011407
G5EG11	WBGene00001396
Q09444	WBGene00006724
G5EDY1	WBGene00011720
Q1XFY9	WBGene00004493
G5EEU1	WBGene00043064
Q9GYT3	WBGene00018052
O17643	WBGene00007942
Q22435	WBGene00011738
Q19989	WBGene00018017
Q9XTZ5	WBGene00007680
O45864	WBGene00012094
Q21752	WBGene00019900
Q8WT46	WBGene00020094
P91223	WBGene00017210
Q9GYT0	WBGene00020347
Q95X39	WBGene00015025
G5EF51	WBGene00003089
H2KZC6	WBGene00019057
H2KZK5	WBGene00019466
A8W7V8	WBGene00021337
Q17402	WBGene00000724
O18235	WBGene00000763
Q9U1S3	WBGene00013551
G5ECI4	WBGene00020282
Q9U3J2	WBGene00044322
G5EFZ3	WBGene00012458
O61879	WBGene00019099
Q7YTH5	WBGene00006390
Q22056	WBGene00011319
Q21006	WBGene00003627
B7WNA5	WBGene00008446
Q27493	WBGene00008781
P91469	WBGene00020612
G5EES3	WBGene00000105
B5U8P4	WBGene00011624
P34447	WBGene00006975
Q20870	WBGene00000935
P34460	WBGene00018846
H2KZX4	WBGene00020481
P52819	WBGene00004434
O18005	WBGene00011268
Q09348	WBGene00011509
O45068	WBGene00015701
Q93560	WBGene00003847
Q22190	WBGene00004862
Q20318	WBGene00003034
Q21898	WBGene00006910
Q9U2E7	WBGene00012912
Q93830	WBGene00010325
Q20298	WBGene00018317
H2L056	WBGene00018586
A9IHM9	WBGene00077453
D9N147	WBGene00010727
Q05036	WBGene00016250
P91477	WBGene00003950
Q9N5N3	WBGene00019178
G5EG87	WBGene00017702
Q21633	WBGene00006713
Q9N598	WBGene00022460
P53703	WBGene00011527
G5ECF4	WBGene00000257
Q21444	WBGene00000585
Q95ZM7	WBGene00015856
Q9GRZ5	WBGene00013339
O01868	WBGene00004436
P34335	WBGene00015754
O18650	WBGene00004488
O16313	WBGene00015463
Q20647	WBGene00004439
Q9NF14	WBGene00013689
Q18282	WBGene00016178
P41988	WBGene00000377
Q9U3M2	WBGene00001163
Q19967	WBGene00001303
Q9U358	WBGene00012099
Q4PIS7	WBGene00044545
Q93569	WBGene00009120
Q8MXI7	WBGene00018144
O44443	WBGene00015328
Q4R133	WBGene00044542
Q23130	WBGene00012203
Q9XWV4	WBGene00012558
Q9XVT0	WBGene00007617
Q18164	WBGene00016103
Q19278	WBGene00017301
O01299	WBGene00008622
G5EF43	WBGene00004910
O16588	WBGene00017668
Q95Y24	WBGene00021506
Q19673	WBGene00009001
N1NVB6	WBGene00008915
H2KZJ8	WBGene00017074
Q9N3Q4	WBGene00000227
A0A168HAJ0	WBGene00021482
G5EEH9	WBGene00003796
Q95XT1	WBGene00022124
Q8MPP5	WBGene00012807
O44440	WBGene00015251
Q17438	WBGene00001019
H2L0A6	WBGene00019199
O16310	WBGene00001563
H2KY75	WBGene00015145
G5ED89	WBGene00000938
P46502	WBGene00004503
V6CL71	WBGene00021681
Q19877	WBGene00004492
P91136	WBGene00016508
Q95XS2	WBGene00021427
C0HKD7	WBGene00006946
Q20898	WBGene00004132
Q18235	WBGene00002068
O62390	WBGene00012185
H2KYH6	WBGene00206364
Q7YX14	WBGene00009848
P91493	WBGene00004924
A0A0K3AWP2	WBGene00021547
Q9N3T6	WBGene00021640
P34331	WBGene00004042
Q95X44	WBGene00006917
A0A0K3AT22	WBGene00021735
C6S3M1	WBGene00194689
O02237	WBGene00008446
Q17849	WBGene00002023
Q9N416	WBGene00021441
G5EEX9	WBGene00194896
G5EEX9	WBGene00206511
P34254	WBGene00015124
Q27494	WBGene00009054
Q9GYI1	WBGene00017925
H2L049	WBGene00018522
Q9XUC0	WBGene00012134
Q22170	WBGene00002071
Q9BJK5	WBGene00003687
Q23045	WBGene00001182
E0AHC7	WBGene00007722
O44983	WBGene00019324
O16216	WBGene00017534
A0A1D3PD11	WBGene00303019
Q18616	WBGene00008085
A0A0K3AS47	WBGene00018975
Q9N5L0	WBGene00019241
O01258	WBGene00006931
Q7YX96	WBGene00007449
D7SFP5	WBGene00012208
B3CKG1	WBGene00185048
Q21743	WBGene00001757
P10567	WBGene00006754
Q21481	WBGene00000991
O16960	WBGene00003648
A8XQE0	WBGene00013676
Q20364	WBGene00009654
Q9N336	WBGene00021959
Q86FS9	WBGene00019464
Q20585	WBGene00004463
Q17557	WBGene00015297
O16887	WBGene00016234
Q21025	WBGene00019087
P29691	WBGene00001167
F5GUD9	WBGene00206464
Q22089	WBGene00011349
Q45EK1	WBGene00044605
Q9U3F2	WBGene00001016
Q9GPA0	WBGene00018604
V6CKN0	WBGene00021329
Q3S1I8	WBGene00009126
Q8MYM5	WBGene00012698
O45110	WBGene00018932
Q9BKQ9	WBGene00022053
Q23121	WBGene00004698
Q17958	WBGene00007561
Q9XUN6	WBGene00011852
Q9XVE9	WBGene00004426
Q9U3N0	WBGene00008017
P04630	WBGene00000285
P50140	WBGene00002025
D2N112	WBGene00008932
Q9XWP7	WBGene00012738
Q95PZ2	WBGene00013462
P91276	WBGene00002073
V6CLE4	WBGene00016598
O01685	WBGene00016333
Q20637	WBGene00009915
A0A0K3AVJ9	WBGene00009908
A6ZJ71	WBGene00009587
Q17829	WBGene00007445
A0A0K3AR23	WBGene00302971
Q20678	WBGene00018703
Q18225	WBGene00016138
Q23670	WBGene00010785
B3CJ34	WBGene00021697
Q9U2K8	WBGene00012714
Q09346	WBGene00020095
O17851	WBGene00009226
Q9XTQ5	WBGene00001649
O44553	WBGene00019429
H2KY90	WBGene00015171
P34657	WBGene00014019
O62479	WBGene00012888
Q93695	WBGene00001760
I2HAK2	WBGene00021512
Q93838	WBGene00010337
Q9N582	WBGene00022466
Q86NC2	WBGene00020417
Q22461	WBGene00020486
Q9U2C4	WBGene00012934
P34477	WBGene00006704
G5EDT2	WBGene00007670
Q21558	WBGene00010891
Q95Y04	WBGene00004497
H2L0A4	WBGene00019199
Q18936	WBGene00008366
C7IVR4	WBGene00004128
O62193	WBGene00009287
O01524	WBGene00017605
Q20546	WBGene00009829
C0Z3L9	WBGene00185102
A0A0K3AWP8	WBGene00003060
G5EEN6	WBGene00004298
O44992	WBGene00019595
Q94216	WBGene00001029
O61799	WBGene00016350
Q65XX5	WBGene00021443
O01620	WBGene00021079
Q20774	WBGene00001031
Q9U3H0	WBGene00009330
H2KYN0	WBGene00016643
Q09499	WBGene00002147
O16586	WBGene00017667
Q9N5U1	WBGene00020696
Q8MYM7	WBGene00012695
C9IY21	WBGene00014207
A3FPJ5	WBGene00045276
Q09643	WBGene00013920
G5ED15	WBGene00019609
Q9XWX8	WBGene00012812
Q19020	WBGene00000962
Q9XW26	WBGene00012735
P34461	WBGene00004933
O16425	WBGene00003647
A0A0K3AV08	WBGene00003374
Q9XTV3	WBGene00010409
E0R7L3	WBGene00013735
Q93968	WBGene00011353
A0A1I6CMA5	WBGene00302982
G5ECN2	WBGene00008925
P90866	WBGene00000409
Q9N5G9	WBGene00019686
Q19826	WBGene00017830
P34653	WBGene00014015
Q93353	WBGene00007993
P53016	WBGene00004340
U4PDW0	WBGene00013189
O44637	WBGene00017512
Q19211	WBGene00008586
E6N0U7	WBGene00206372
Q17602	WBGene00003800
A5HU97	WBGene00020869
Q4W5M1	WBGene00044435
B1V8J7	WBGene00077684
Q21216	WBGene00001653
Q09537	WBGene00001708
H9G2T2	WBGene00002214
Q9TZI4	WBGene00019130
C0Z3L6	WBGene00185067
Q8MYM9	WBGene00012693
Q8IA55	WBGene00017789
Q4W5R0	WBGene00044349
Q21389	WBGene00010716
H2KZJ7	WBGene00017070
Q9XWR9	WBGene00013726
U4PF68	WBGene00022300
Q23663	WBGene00014142
P49808	WBGene00004345
P91441	WBGene00020427
Q27GQ5	WBGene00009877
Q9BL34	WBGene00022170
Q09223	WBGene00015063
H2L0B3	WBGene00019318
Q09930	WBGene00016911
Q27514	WBGene00011672
Q9U3C8	WBGene00010428
V6CL91	WBGene00021215
Q20413	WBGene00009713
Q9NAI9	WBGene00012600
G5EDD1	WBGene00012158
P49181	WBGene00004450
P91239	WBGene00017255
Q19123	WBGene00000157
H2KZA2	WBGene00018161
Q19207	WBGene00017268
Q9NA69	WBGene00013256
Q09606	WBGene00011076
O44441	WBGene00015248
A0A2K5ATY5	WBGene00007348
O44413	WBGene00001338
Q9NAA5	WBGene00013160
P34433	WBGene00018417
A5JYT9	WBGene00009508
Q9XVH6	WBGene00012187
Q93638	WBGene00009266
O76447	WBGene00001829
P50432	WBGene00003214
G5EEN3	WBGene00000419
H2KYC9	WBGene00015280
Q21643	WBGene00019827
Q23083	WBGene00022501
Q19775	WBGene00006460
Q9XVS2	WBGene00045383
Q9UAV5	WBGene00018491
O18282	WBGene00014177
Q688C0	WBGene00023487
Q95QN4	WBGene00008488
Q7JP47	WBGene00002095
Q95Y15	WBGene00003794
Q23120	WBGene00004699
Q18452	WBGene00016397
Q93841	WBGene00010339
Q20489	WBGene00018523
Q9XUE0	WBGene00010125
P34334	WBGene00004433
G5EF11	WBGene00001161
Q21209	WBGene00000265
P29355	WBGene00004774
G3MU47	WBGene00007213
Q7YXD6	WBGene00013604
Q8WQD7	WBGene00011017
P52872	WBGene00000896
Q9XXI9	WBGene00003154
Q1ZXU7	WBGene00044784
Q9U2F6	WBGene00012903
G5EE53	WBGene00004510
Q1XFY5	WBGene00044796
P91269	WBGene00017675
Q21763	WBGene00011038
Q20059	WBGene00009441
Q19643	WBGene00017642
Q20448	WBGene00009772
Q23539	WBGene00014001
P48166	WBGene00004454
Q20814	WBGene00005241
Q19972	WBGene00017990
D9N139	WBGene00008345
Q27518	WBGene00011676
B6VQ94	WBGene00012356
Q9BIF4	WBGene00001224
P91352	WBGene00018908
Q7JLH5	WBGene00004152
P54412	WBGene00008920
H9G305	WBGene00009978
P34358	WBGene00000421
Q18140	WBGene00016087
P34349	WBGene00016238
Q9XWC9	WBGene00013577
Q23357	WBGene00013917
H2L2G0	WBGene00219283
G5EG65	WBGene00001844
H2KZI9	WBGene00000101
Q95Y71	WBGene00022493
Q9BL43	WBGene00022178
Q4W4Y7	WBGene00044341
Q9GYJ7	WBGene00016730
G5ECV3	WBGene00007284
Q9XX31	WBGene00012524
Q9XZI6	WBGene00006751
O18068	WBGene00001867
Q9XW78	WBGene00013561
Q18963	WBGene00008403
O16208	WBGene00017913
E8MDV8	WBGene00012600
Q09219	WBGene00007044
Q20760	WBGene00010044
O17953	WBGene00010794
O45643	WBGene00010531
Q9GT24	WBGene00006988
G5EGM7	WBGene00003979
Q19819	WBGene00017826
O02642	WBGene00017759
Q09272	WBGene00008050
Q9XVA1	WBGene00002120
O02106	WBGene00021095
Q19873	WBGene00009211
K8ESD7	WBGene00004182
Q9XUY2	WBGene00010115
O16929	WBGene00017797
Q8IA89	WBGene00018426
Q22322	WBGene00020322
H2L048	WBGene00018522
Q9N3R5	WBGene00002144
Q19936	WBGene00017954
X5M5W2	WBGene00012121
Q9XWX6	WBGene00012813
I2HAE5	WBGene00008503
Q9U267	WBGene00013075
O16259	WBGene00019983
I2HAK9	WBGene00007394
P48996	WBGene00001086
O45678	WBGene00010758
Q18605	WBGene00008081
G5ECW9	WBGene00004375
Q22949	WBGene00017261
G5EFW7	WBGene00000906
Q9XW03	WBGene00013213
Q18425	WBGene00007918
Q19818	WBGene00003598
P50439	WBGene00018732
Q17541	WBGene00015279
D7SFN6	WBGene00008345
O01902	WBGene00019126
Q6A597	WBGene00023432
G5EC40	WBGene00006607
D3DEL9	WBGene00194913
Q9U1Q6	WBGene00013593
O01933	WBGene00018704
Q20680	WBGene00009944
A0A0K3AXB5	WBGene00044677
U4PRS4	WBGene00022310
Q9U1W0	WBGene00001047
Q22849	WBGene00012136
Q9N358	WBGene00021934
P34652	WBGene00000567
H2KYJ5	WBGene00018395
Q9N4H6	WBGene00001791
O02639	WBGene00004431
O62219	WBGene00009366
B4E3X6	WBGene00012909
Q8MYM6	WBGene00012696
Q8IFZ8	WBGene00019831
Q17598	WBGene00007267
Q22842	WBGene00012117
Q23342	WBGene00022620
B6VQ83	WBGene00007693
O17869	WBGene00009650
U4PEX8	WBGene00022314
Q9NAL8	WBGene00013662
Q8ITV3	WBGene00021295
H2L0E0	WBGene00022310
O62437	WBGene00012766
Q18231	WBGene00004499
O44768	WBGene00003499
O44760	WBGene00004147
H2KYX3	WBGene00003593
P91277	WBGene00017816
Q09617	WBGene00014127
P34399	WBGene00017357
Q95Y51	WBGene00004891
P34686	WBGene00000293
O45380	WBGene00006603
A0A061ACH4	WBGene00013379
Q8MNV0	WBGene00016045
P0DM42	WBGene00000065
Q9BKU9	WBGene00021346
Q21322	WBGene00004385
Q9U3B7	WBGene00002002
G3MU72	WBGene00010793
Q20822	WBGene00010097
Q09419	WBGene00011077
Q09974	WBGene00015916
Q6A598	WBGene00018426
Q20684	WBGene00002265
H2KY56	WBGene00015501
Q9TXK1	WBGene00018823
Q9U2U6	WBGene00013803
Q23644	WBGene00006489
Q9NES9	WBGene00012666
Q9U2M1	WBGene00001087
Q9NHZ6	WBGene00022748
A4UVM2	WBGene00021333
P34526	WBGene00019680
Q95X94	WBGene00015466
G5ED07	WBGene00003964
O18000	WBGene00003982
Q09931	WBGene00010502
Q9N3W5	WBGene00021583
A5JYX8	WBGene00011488
O44632	WBGene00017506
Q22845	WBGene00012119
G5EEZ3	WBGene00001593
H2KZH9	WBGene00022609
O16487	WBGene00015075
H2KYA0	WBGene00021295
Q9NLD3	WBGene00010244
Q95XV3	WBGene00021956
P52018	WBGene00000887
Q21624	WBGene00000768
Q23097	WBGene00012165
O61820	WBGene00001228
G5EDQ2	WBGene00001977
G5EGF1	WBGene00009574
Q19266	WBGene00004034
H2FLG5	WBGene00010840
Q9BKU6	WBGene00021350
Q9GUN8	WBGene00022067
U4PR86	WBGene00021012
A0A0K3ARX5	WBGene00012658
Q9NES3	WBGene00013356
Q9TYK1	WBGene00022046
Q23122	WBGene00000196
Q21747	WBGene00019888
Q9GYK8	WBGene00020234
Q20500	WBGene00009801
Q20748	WBGene00010015
A0A1X7RBP0	WBGene00022014
W6RQZ9	WBGene00249815
Q20797	WBGene00006373
Q19229	WBGene00008594
O17854	WBGene00009229
O18259	WBGene00012420
Q22898	WBGene00015859
Q9XWS4	WBGene00004444
G5EC14	WBGene00007030
Q23089	WBGene00002078
Q18969	WBGene00004286
Q09387	WBGene00019944
B3GWA1	WBGene00017778
Q21430	WBGene00010776
O02136	WBGene00015750
P34600	WBGene00014218
Q17827	WBGene00007443
Q17590	WBGene00007259
P90945	WBGene00011220
P46769	WBGene00004469
G5EGI8	WBGene00009781
I2HAD9	WBGene00009335
O18229	WBGene00013301
D9N138	WBGene00008345
Q9XXF2	WBGene00012781
Q17474	WBGene00007143
Q8I0Z8	WBGene00012701
Q95QM5	WBGene00006839
O61851	WBGene00018898
Q18786	WBGene00004917
H2L025	WBGene00018316
Q18515	WBGene00008019
Q1HAZ9	WBGene00009975
Q09474	WBGene00016201
Q27512	WBGene00003589
Q9XU15	WBGene00010416
O18172	WBGene00012268
Q18286	WBGene00016188
D5MCN2	WBGene00020097
Q95XS1	WBGene00021420
X5MBH0	WBGene00021763
Q21642	WBGene00019830
P52652	WBGene00012000
Q21380	WBGene00019554
U4PRX8	WBGene00021506
Q9U3S3	WBGene00007195
Q20263	WBGene00018270
H8ESI3	WBGene00013461
P34684	WBGene00003024
Q17427	WBGene00001646
P91124	WBGene00004368
O16997	WBGene00021004
O16786	WBGene00020647
O17277	WBGene00005324
P91128	WBGene00004425
O16198	WBGene00001781
Q95008	WBGene00003926
Q9U2F1	WBGene00012908
A0A0K3ARV6	WBGene00020106
G4SGU1	WBGene00019747
Q93903	WBGene00001583
V6CJ81	WBGene00021689
Q9NA40	WBGene00013518
O45012	WBGene00020915
P45972	WBGene00011639
P91020	WBGene00015565
P48150	WBGene00004483
G5ECU5	WBGene00009691
G5ECU5	WBGene00009692
G5EE80	WBGene00009012
Q8MXU9	WBGene00019537
Q9U3H4	WBGene00009294
O62012	WBGene00007162
Q94986	WBGene00004267
Q93780	WBGene00010009
O45430	WBGene00009319
D3NQB9	WBGene00013465
P34556	WBGene00000405
Q93594	WBGene00009141
Q8IG54	WBGene00015517
Q20751	WBGene00002065
O62477	WBGene00012887
A0A061AEB7	WBGene00255457
G5EFJ9	WBGene00006830
Q22360	WBGene00001874
G4SF15	WBGene00021467
V6CLU7	WBGene00021329
F5GUC6	WBGene00004060
Q09543	WBGene00003901
D3NQA6	WBGene00013639
Q17921	WBGene00015713
O17645	WBGene00002029
P30644	WBGene00011145
Q18032	WBGene00015803
Q18528	WBGene00016529
Q9TYX1	WBGene00001058
Q93690	WBGene00009499
G5EFS1	WBGene00002069
Q09349	WBGene00006734
O45069	WBGene00015702
Q20947	WBGene00010199
G5EEL2	WBGene00006481
Q09660	WBGene00000375
Q8IFZ9	WBGene00019831
Q9TYV7	WBGene00304811
Q22135	WBGene00011408
P27604	WBGene00019322
Q20332	WBGene00009632
H2KYW0	WBGene00015976
Q9U1W1	WBGene00006565
P41932	WBGene00003920
Q9N533	WBGene00021316
Q8T3E3	WBGene00008777
G5ECQ3	WBGene00004762
Q9BL83	WBGene00021334
Q9U1U4	WBGene00006714
P34476	WBGene00010230
P17329	WBGene00001684
Q966L2	WBGene00017084
Q7JNC1	WBGene00017676
Q09265	WBGene00016313
Q23135	WBGene00020967
Q9BL17	WBGene00001816
G5EFV5	WBGene00000408
O61804	WBGene00019186
G5ECW8	WBGene00003733
Q9XVI3	WBGene00011945
O44192	WBGene00020435
Q9U380	WBGene00011532
A0A061AD48	WBGene00021461
Q20655	WBGene00001502
Q20626	WBGene00009888
Q09641	WBGene00013919
Q19480	WBGene00001389
P90895	WBGene00001553
Q10653	WBGene00000865
Q18546	WBGene00008035
Q93235	WBGene00007646
O44577	WBGene00022805
Q20011	WBGene00003762
A8WHN6	WBGene00050947
Q9XXK1	WBGene00010419
P34401	WBGene00017358
Q9U2A9	WBGene00012978
Q9NAC1	WBGene00013156
Q21115	WBGene00010496
Q86S66	WBGene00022042
O45948	WBGene00012885
O02328	WBGene00001226
Q22800	WBGene00006463
Q9N3I5	WBGene00021781
Q966J4	WBGene00018259
Q95QQ1	WBGene00001026
Q95Q12	WBGene00013307
H2L0J4	WBGene00020311
I2HAG8	WBGene00007675
Q965S2	WBGene00022393
Q20193	WBGene00018202
U4PBA8	WBGene00043705
Q22703	WBGene00001061
Q8WQA8	WBGene00004489
Q17460	WBGene00000599
O17389	WBGene00006649
H2KZ83	WBGene00016494
Q9XTI0	WBGene00007122
O44445	WBGene00015327
Q968A5	WBGene00008237
Q95QH4	WBGene00017971
Q22638	WBGene00011890
G5ECH7	WBGene00000407
Q9TYS7	WBGene00017239
Q95QI7	WBGene00000899
P30653	WBGene00014038
Q93576	WBGene00009119
O44955	WBGene00016393
Q93717	WBGene00009666
O01592	WBGene00019962
D9PTP0	WBGene00012813
A0A0K3AYA6	WBGene00021600
Q9XVL3	WBGene00010684
F5GUG4	WBGene00077693
Q20871	WBGene00018966
A0A061ADV3	WBGene00011951
L8E6I4	WBGene00235102
O45244	WBGene00003392
Q9XXD4	WBGene00012964
Q9N439	WBGene00021366
U4PBT1	WBGene00021423
Q03600	WBGene00002081
Q86D17	WBGene00007898
Q9BL76	WBGene00021682
Q93537	WBGene00008976
Q75KS1	WBGene00021388
H2L0H5	WBGene00019953
Q6LCK7	WBGene00017567
Q22006	WBGene00004185
P90849	WBGene00000371
Q95XN2	WBGene00022159
A3KFE6	WBGene00015819
Q20716	WBGene00009966
Q9U263	WBGene00013106
Q9U329	WBGene00012354
Q21112	WBGene00019294
P34703	WBGene00001259
Q9XUS5	WBGene00010665
P91344	WBGene00018894
E0DBK9	WBGene00021601
G5EGK8	WBGene00002363
Q19910	WBGene00017934
O17754	WBGene00001189
Q965R9	WBGene00022401
P48156	WBGene00004477
Q22720	WBGene00001515
Q8MPS7	WBGene00022705
O16362	WBGene00018413
Q8MPR4	WBGene00022648
O17329	WBGene00017108
O01878	WBGene00022576
P41956	WBGene00003225
Q5WRU4	WBGene00015107
Q19633	WBGene00002222
Q9NA32	WBGene00013532
P91341	WBGene00018891
Q09278	WBGene00016676
G5ED52	WBGene00014171
P27798	WBGene00000802
P91862	WBGene00009305
O62276	WBGene00010264
Q2V4Y0	WBGene00044677
P91155	WBGene00000382
Q9GYK4	WBGene00020866
Q9XWI6	WBGene00001225
Q17676	WBGene00007348
Q65ZG6	WBGene00003480
Q20713	WBGene00018743
Q9U2Y2	WBGene00013765
O45494	WBGene00009553
Q20228	WBGene00004478
Q9BI71	WBGene00001329
Q20183	WBGene00006415
Q09603	WBGene00001153
Q23609	WBGene00022826
P91125	WBGene00016323
Q7YTN4	WBGene00005788
Q23256	WBGene00013862
G5EGI1	WBGene00011729
O18040	WBGene00006124
H2L0K3	WBGene00003599
A5Z2T6	WBGene00008385
O01959	WBGene00016155
G5EFV3	WBGene00012972
O44871	WBGene00019914
Q93726	WBGene00009744
Q18232	WBGene00016148
Q8WT52	WBGene00001335
G5EFM6	WBGene00013636
G5EFM6	WBGene00013637
D6VPA0	WBGene00020326
Q2V068	WBGene00044699
O45542	WBGene00009888
G4SPY0	WBGene00022134
Q22494	WBGene00020507
Q8I0P7	WBGene00008443
Q95YF1	WBGene00015581
P10299	WBGene00001749
O02343	WBGene00014138
G5EGC1	WBGene00008440
Q17582	WBGene00000637
P17656	WBGene00000593
Q09EF7	WBGene00018051
H1ZUX2	WBGene00020377
Q19545	WBGene00007050
Q9BIB7	WBGene00020936
O62185	WBGene00004706
A0A2K5ATY7	WBGene00015621
Q95ZX6	WBGene00007914
Q10929	WBGene00015146
O45577	WBGene00000774
A0A1X7RBP7	WBGene00012363
O18104	WBGene00005291
Q18493	WBGene00007965
O01617	WBGene00020587
Q95YE6	WBGene00002986
G5EDU3	WBGene00004040
Q19300	WBGene00017349
K8ESC5	WBGene00013595
Q22716	WBGene00004446
Q9U386	WBGene00011194
G5EG51	WBGene00011333
D9N129	WBGene00007428
Q21550	WBGene00006429
Q95Y83	WBGene00022470
Q9XUU9	WBGene00010579
Q9N584	WBGene00002804
A8WFN7	WBGene00050944
Q20531	WBGene00018547
H2KZX5	WBGene00018614
P91243	WBGene00001027
Q17525	WBGene00015217
H2FLL6	WBGene00011688
O76578	WBGene00019483
Q9XW15	WBGene00012476
Q9XWQ4	WBGene00013695
Q22128	WBGene00020194
Q22469	WBGene00011758
Q9U1Z2	WBGene00013362
Q9N4J9	WBGene00018785
Q8MQ10	WBGene00010597
Q09410	WBGene00019630
Q09292	WBGene00008348
O01526	WBGene00017607
Q09261	WBGene00007859
Q9XW02	WBGene00013215
Q09373	WBGene00001511
Q23451	WBGene00013924
P90829	WBGene00008645
P91240	WBGene00017245
P91425	WBGene00020190
O01583	WBGene00006437
H2KYR1	WBGene00006924
O16628	WBGene00019341
O18131	WBGene00012037
O45418	WBGene00001431
G5EFD7	WBGene00009784
Q8IG33	WBGene00017293
U4PLI6	WBGene00019664
Q968Z0	WBGene00021915
G5EEJ2	WBGene00000517
Q9GUM5	WBGene00022269
