uniprotID1,uniprotID2,link,source
Q1JQE7,Q5EAQ1,26190107,psicquic
Q1L921,B8JKM0,20802085,psicquic
Q1LVM8,Q5EAQ1,26190107,psicquic
Q29RC0,A0A8M2BEY1,24626987,psicquic
Q29RC0,B8A5J4,24626987,psicquic
Q29RC0,Q9DGG9,24626987,psicquic
Q2HPG2,Q2HPG2,20802085,psicquic
Q2YDS1,Q9DE36,19109893,psicquic
Q32SK9,Q4V9H3,26190107,psicquic
Q3Y6S4,A8DZ85,18296487,psicquic
Q49BB0,A0A0B5JK74,20097902,psicquic
Q49BB0,O42140,26190107,psicquic
Q49BB0,Q6IYD1,26190107,psicquic
Q4V9H3,A0A0B5JK74,26190107,psicquic
Q4V9H3,O42140,26190107,psicquic
Q4V9H3,O95631,26190107,psicquic
Q4V9H3,Q32SK9,20097902,psicquic
Q502U6,B8JKM0,26190107,psicquic
Q502U6,Q9W767,19765300,psicquic
Q58EG3,A0A4W4,19765300,psicquic
Q58EG3,A4JYL6,19765300,psicquic
Q58EG3,B8A507,20802085,psicquic
Q58EG3,F1QHI8,26190107,psicquic
Q58EG3,O73874,19765300,psicquic
Q58EG3,Q1L921,19765300,psicquic
Q58EG3,Q90413,20802085,psicquic
Q58EG3,Q90Z00,20802085,psicquic
Q58EG3,Q90Z31,19765300,psicquic
Q58EG3,Q9DE36,19765300,psicquic
Q5BL20,A8DZ86,19765300,psicquic
Q5BL20,A9JR35,19765300,psicquic
Q5BL20,F1QHI8,19765300,psicquic
Q5BL20,Q9DE49,19765300,psicquic
Q5EAQ1,Q1JQE7,19765300,psicquic
Q5EAQ1,Q1LVM8,26190107,psicquic
Q5EAQ1,Q5EAQ1,23286197,psicquic
Q5J1R8,A0A0B5JW41,23286197,psicquic
Q5J1R9,A0A0B5JW41,24626987,psicquic
Q5J1R9,A4JYL6,18296487,psicquic
Q5J1R9,B3DH85,18296487,psicquic
Q5J1R9,B7ZV58,20802085,psicquic
Q5J1R9,F1QHI8,18296487,psicquic
Q5J1R9,Q5J1R9,18296487,psicquic
Q5J1R9,Q6NW92,18296487,psicquic
Q5J1R9,Q7SX76,18296487,psicquic
Q5K373,A0A8M9PLL4,19765300,psicquic
Q5K373,A4JYL6,18296487,psicquic
Q5K373,A4QN31,20802085,psicquic
