From	To
Q6P2U7	nherf1a
Q98867	thraa
Q6DHB6	fa97a07
B0S789	STAT
Q800E7	si:bz1d10.3
Q8AX99	fb95c03
Q7SZK7	ofd1
Q6P3J6	zgc:77672
Q9W6A6	opn1mw4
Q7ZYZ7	pcgf1
Q5SQE1	si:ch211-194d6.2
Q9W6A5	opn1mw1
Q7ZYZ9	zgc:64059
Q9PUS3	PSMB9A
Q6ZM24	wu:fb96b08
Q1LWY1	psmb10
F1R3X8	cacna2d3
Q6DRM1	nkapl
Q7ZZ04	fj55e05
Q9PUS6	psmb11
Q8AYM7	opn1mw3
F1QUA1	zgc:56547
Q6TLH9	fc30d10
Q7T368	wu:fc76a05
Q6PE34	fj33a08
A3QK15	aacs
Q6AZB2	oxct1
B0S6P6	ddx3
A0A2R8QT05	gata1
Q567Y7	zgc:110642
Q9I9L0	hey2
Q6NSN6	wu:fc04c08
Q1L8Y5	pdcd4-2
Q6PGZ3	traf3ip1
Q6DG11	zgc:91927
Q9W7K3	dmrt2
B3DKP1	VEGFR1
F1QUS9	usp7
Q5SPR8	esco2
F1QUS3	zgc:152728
Q9PUT2	iclp1
Q803I4	rnf2
B0S687	wu:fb48f05
Q9PVD7	AANAT2
F1QSJ2	wu:fb34e11
Q5U9X3	gprc6a
F1QQW7	ccdc101
A0A8M2B990	nfe2
Q90ZZ7	aldh3d1
Q6DHE8	rhoad
B3DLG5	ednra
F1QWX4	fj86h06
Q90XR2	cldnc
E7F8D4	nradd
Q6DBV8	zgc:91856
F1QVC6	zgc:77449
Q6PBL4	zgc:73351
Q6P0Z4	sox4
F1QTT7	fb70b04
B8JIA4	fc12c04
B0UY88	zgc:112151
Q5RGX8	cb765
Q7ZUP9	fzr1
Q7SXI6	ndel1a
F1QDL2	fb34b10
F1QDK4	Dp71
Q6DHP9	rxrgb
Q7T2E3	csnk1da
F1QK08	gdf5
O73715	ldb1a
F1QJD4	epha4l
Q6TGU2	seh1l
Q6P125	cirh1a
O73736	acvr1
Q1AMT3	fabp1a
Q66L58	vac14
A0A8M2B201	syk
B3DJ34	LOC560360
Q6DEL8	zgc:101026
Q5TZ16	si:dkey-77b17.3
Q6DRD1	atp5o
Q561Y1	psmd4
F1QE38	RPTP[a]
Q803L5	zgc:55572
Q7ZW02	chpt1
B8A5N7	cdc25
B8A668	si:dkey-121b10.6
Q567B1	yod1
Q803J3	cb75
E7F1D9	syt9a
Q5RIC5	MCM3z
A0A2R8Q924	rpl3
Q803J2	ube2n
Q7ZVN7	med15
Q7T1A1	drd2c
Q7ZUH1	rtraf
Q7ZVD4	zgc:56097
Q7T314	wu:fb68h07
Q90275	cdh2
Q6ZM34	bZ34G2.3
F1QIB2	wu:fa99c02
C1JIE2	si:ch211-152c2.1
Q6NYD6	zgc:76978
Q6NZZ9	rbm22
Q7ZUZ7	arf1l
Q6PC93	nmnat2
Q6NYY9	vmp1
Q561X2	sb:cb294
Q9I879	bmal1a
Q568P9	henmt1
A0A8M1PAP8	fi61g08
Q6NX08	wdr12
Q6EHI4	hif1a
Q6NZ31	cb438
Q9YH92	cldn7b
Q7ZV93	zgc:77689
Q566N0	enpp4
Q6PBX8	zgc:73198
A2BGI0	zgc:114132
F1RDT4	LOC108179059
Q6PEH5	ube2v2
Q6PFT1	fbp1
Q68EH4	Blimp-1
Q90415	rxrab
B3DJT0	sart3
Q6VEU3	pno1
Q6P0G6	myl1
Q8QGU1	fd07f12
F1R0M9	TDRD2
Q9DDU1	hoxa11b
E7EXK9	LOC100001620
A8WH97	il-12rb2.a
Q7ZVS6	gats
Q7ZVA2	GEM
Q6PFL0	med27
Q5XJQ5	exosc9
Q6DG22	ada
Q90XF2	prkci
Q4ZJI3	mip2
F6PD98	errg
Q7SZX9	SI:zK13A21.8
Q6PUR7	smcr8b
Q90479	nadl1.2
A0A8M1NE02	fj45h06
Q7SXS7	setd3
Q5RGV8	im:7145278
Q6TLE4	mmgt1
Q7ZU20	PA28-gamma
Q6TLH8	C9orf72
Q29RD8	glcel
Q7ZUQ0	wu:fk93e03
Q6NYF7	atp5j
P43446	wnt10a
Q568M9	gabra4
Q6IQU8	wu:fb76c01
Q6DGL9	si:dkey-1f1.2
Q6P025	gnb3
Q66I22	srrt
B3DI78	si:ch211-125m10.3
A0A8M1NI50	si:ch73-170d1.2
Q6IQ59	uqcrc2
Q7T2F6	wsb1
Q803N7	ck2a1
B8JMZ1	si:ch73-233a22.2
Q7ZUI0	Rpl5
Q5TZH0	si:dkey-244b23.1
Q6PW01	cyth1
