ID,Type,Experiment,Participants/0/InteractorRef,Participants/1/InteractorRef
681,physical association,682,1,2
683,physical association,684,7,8
685,physical association,686,14,7
687,physical association,688,19,20
689,physical association,690,26,25
691,physical association,692,31,32
693,physical association,694,32,37
695,physical association,696,37,44
697,physical association,698,37,49
699,physical association,700,55,37
701,physical association,702,37,61
703,physical association,704,37,68
705,physical association,706,37,73
707,physical association,708,79,37
709,physical association,710,85,31
711,physical association,712,91,61
713,physical association,714,91,73
715,physical association,716,91,103
717,physical association,718,110,103
719,physical association,720,61,110
721,physical association,722,121,61
723,physical association,724,73,121
725,physical association,726,55,79
727,physical association,728,140,68
729,physical association,730,79,140
731,physical association,732,152,55
733,physical association,734,2,140
735,physical association,736,163,32
737,physical association,738,170,37
739,physical association,740,175,37
741,physical association,742,181,44
743,physical association,744,188,181
745,physical association,746,68,110
747,physical association,748,199,200
749,physical association,750,205,199
751,physical association,752,1,175
753,physical association,754,121,121
755,physical association,756,463,463
757,physical association,758,469,469
759,physical association,760,475,475
761,physical association,762,481,481
763,physical association,764,487,487
765,physical association,766,217,494
767,physical association,768,494,218
769,physical association,770,505,217
771,physical association,772,218,505
773,physical association,774,223,518
775,physical association,776,523,524
777,physical association,778,529,32
779,physical association,780,535,31
781,physical association,782,541,542
783,physical association,784,200,103
785,physical association,786,200,49
787,physical association,788,559,200
789,physical association,790,565,205
791,physical association,792,524,49
793,physical association,794,565,578
795,physical association,796,188,584
797,physical association,798,49,578
799,physical association,800,1,188
600,physical association,601,1,2
602,physical association,603,2,8
604,physical association,605,13,14
606,physical association,607,19,20
608,physical association,609,25,19
610,physical association,611,31,32
612,physical association,613,37,19
614,physical association,615,13,44
616,physical association,617,13,50
618,physical association,619,55,56
620,physical association,621,56,62
622,physical association,623,67,62
624,physical association,625,73,74
626,physical association,627,19,80
628,physical association,629,19,86
630,physical association,631,19,92
632,physical association,633,97,98
634,physical association,635,103,98
636,physical association,637,103,50
638,physical association,639,73,31
640,physical association,641,103,73
642,physical association,643,127,73
644,physical association,645,97,14
646,physical association,647,139,14
648,physical association,649,14,103
650,physical association,651,127,14
652,physical association,653,103,2
654,physical association,655,127,2
656,physical association,657,103,170
658,physical association,659,175,103
660,physical association,661,31,92
662,physical association,663,92,103
664,physical association,665,127,92
666,physical association,667,31,2
668,physical association,669,127,98
670,physical association,671,73,212
672,physical association,673,20,13
674,physical association,675,139,20
676,physical association,677,127,13
678,physical association,679,8,31
680,physical association,681,44,1
682,physical association,683,44,8
684,physical association,685,13,14
686,physical association,687,19,20
688,physical association,689,25,19
690,physical association,691,37,19
692,physical association,693,31,32
694,physical association,695,13,44
696,physical association,697,50,13
698,physical association,699,31,2
700,physical association,701,98,127
702,physical association,703,212,73
704,physical association,705,13,20
706,physical association,707,139,20
708,physical association,709,13,127
710,physical association,711,31,8
712,physical association,713,44,1
714,physical association,715,44,8
716,physical association,717,92,92
718,physical association,719,355,355
720,physical association,721,175,175
722,physical association,723,13,13
724,physical association,725,373,373
726,physical association,727,1,1
728,physical association,729,8,8
730,physical association,731,391,392
732,physical association,733,397,398
734,physical association,735,398,373
736,physical association,737,409,410
738,physical association,739,13,175
740,physical association,741,1,13
742,physical association,743,8,13
744,physical association,745,398,92
746,physical association,747,409,398
748,physical association,749,445,13
