uniprotID1,uniprotID2,source,evidence,link
A4QN31,Q5K373,psicquic,experimental,20802085
A4QN31,Q8UVD6,psicquic,experimental,20802085;20802085
A4QN31,Q9IAR4,psicquic,experimental,19765300;26190107
A8DZ85,B0CM15,psicquic,experimental,18296487;20802085
A8DZ85,Q8AXB3,psicquic,experimental,20802085;20802085
A8DZ85,Q9DE36,psicquic,experimental,20802085
A9JR35,A0A8M9PLL4,psicquic,experimental,19765300;19765300
A9JR35,B8A507,psicquic,experimental,19765300;19765300
A9JR35,F1QF54,psicquic,experimental,19765300
A9JRD6,A0A8M9QKN6,psicquic,experimental,26190107;26190107
A9JRH0,Q503I7,psicquic,experimental,19765300;19765300
A9XP97,Q8JI14,psicquic,experimental,26190107;23565095
B0CLV1,B0CLV1,psicquic,experimental,20802085
B0CLV3,B0CLV6,psicquic,experimental,20802085;26190107;24626987
B0CLV3,Q6PFK4,psicquic,experimental,20802085
B0CLV6,B0CLV3,psicquic,experimental,20802085;26190107;24626987
B0CLV6,B0CLV6,psicquic,experimental,20802085
B0CLV6,Q9DE49,psicquic,experimental,20802085
B0CLW6,A1L2D6,psicquic,experimental,20802085
B0CLW6,Q2YDQ1,psicquic,experimental,20802085
B0CLY0,B0CLY0,psicquic,experimental,20802085
B0UXI4,A2A121,psicquic,experimental,26190107;20097902
B0V0E5,A8DZ85,psicquic,experimental,18296487;20802085
B0V0E5,Q5K373,psicquic,experimental,18296487;20802085
B2XCL9,Q7ZVP2,psicquic,experimental,18455989;18455989
B3DH85,Q5J1R9,psicquic,experimental,18296487;18296487
B3DIH3,A4JYN2,psicquic,experimental,19765300;26190107
B7ZV58,A0A4W4,psicquic,experimental,18296487;18296487
B7ZV58,A0A8M1P182,psicquic,experimental,26190107;26190107;26190107;26190107
B7ZV58,A4JYK9,psicquic,experimental,18296487
B7ZV58,B7ZV58,psicquic,experimental,18296487;18296487;19765300;26190107;26190107
B7ZV58,B8JKM0,psicquic,experimental,19765300;19765300
B7ZV58,F1QHI8,psicquic,experimental,19765300;19765300;26190107
B7ZV58,F1QUK5,psicquic,experimental,20802085
B7ZV58,O42140,psicquic,experimental,26190107;26190107
B7ZV58,O73878,psicquic,experimental,26190107;26190107
B7ZV58,Q642G9,psicquic,experimental,19765300;26190107
B7ZV58,Q6GMI5,psicquic,experimental,19765300;26190107
B7ZV58,Q6NW92,psicquic,experimental,19765300;26190107;26190107;26190107
B7ZV58,Q90Z70,psicquic,experimental,19765300;26190107
B8A507,B8A507,psicquic,experimental,20802085
B8A507,Q5K373,psicquic,experimental,20802085
B8A5J4,Q29RC0,psicquic,experimental,26190107;24626987;26190107;24626987;26190107;24626987
B8A5J4,Q9DGG9,psicquic,experimental,26190107;24626987
B8JKM0,A0A4W4,psicquic,experimental,20802085;20802085
B8JKM0,A0A8M1P5N0,psicquic,experimental,20802085;20802085
B8JKM0,A4JYL6,psicquic,experimental,20802085;20802085
B8JKM0,B7ZV58,psicquic,experimental,19765300;26190107
B8JKM0,B8JKM0,psicquic,experimental,19765300
B8JKM0,F1QHI8,psicquic,experimental,20802085;19765300;19765300
B8JKM0,Q1L921,psicquic,experimental,20802085
B8JKM0,Q502U6,psicquic,experimental,19765300;26190107
B8JKM0,Q5J1R9,psicquic,experimental,19765300;26190107;19765300;26190107
B8JKM0,Q6GMI5,psicquic,experimental,20802085;19765300;26190107;19765300;26190107
B8JKM0,Q6NW92,psicquic,experimental,20802085
B8JKM0,Q7SX76,psicquic,experimental,19765300
B8JKM0,Q8AXB3,psicquic,experimental,20802085;20802085
B8JKM0,Q9W767,psicquic,experimental,19765300;26190107
C3PTE8,Q7T1S3,psicquic,experimental,26190107;19879840
E7F6E8,A0A0B5JK74,psicquic,experimental,26190107;20097902;26190107;23565095
E7F6E8,O42140,psicquic,experimental,26190107;20097902
E7F6E8,Q32SK9,psicquic,experimental,26190107;20097902
E9QDQ3,A9JRH0,psicquic,experimental,19765300;19765300;26190107
E9QDQ3,E9QDQ3,psicquic,experimental,20802085
E9QDQ3,O73874,psicquic,experimental,19765300;26190107
E9QDQ3,Q90Z31,psicquic,experimental,19765300;26190107
F1Q534,Q8AXB3,psicquic,experimental,20802085
F1QE54,F1QE54,psicquic,experimental,18296487;18296487
F1QE54,O42140,psicquic,experimental,26190107;20097902
F1QF54,A9JR35,psicquic,experimental,19765300
F1QHI8,A0A4W4,psicquic,experimental,20802085
F1QHI8,B7ZV58,psicquic,experimental,19765300;19765300;19765300;26190107
F1QHI8,B8A507,psicquic,experimental,20802085
F1QHI8,B8JKM0,psicquic,experimental,20802085;19765300;19765300
F1QHI8,F1QHI8,psicquic,experimental,18296487;20802085;20802085;19765300;19765300
F1QHI8,F1QSA4,psicquic,experimental,18296487;20802085
F1QHI8,Q5J1R9,psicquic,experimental,18296487;20802085;18296487;20802085;20802085;20802085;20802085;19765300;26190107;26190107
F1QHI8,Q5K373,psicquic,experimental,20802085
F1QHI8,Q6NW92,psicquic,experimental,18296487;20802085
F1QHI8,Q803T1,psicquic,experimental,20802085
F1QHI8,Q8AXB3,psicquic,experimental,20802085;20802085
F1QHI8,Q8UVD6,psicquic,experimental,18296487;20802085;19765300;19765300
F1QHI8,NA,psicquic,experimental,20097902
F1QSA4,A4JYR2,psicquic,experimental,20802085
F1QSA4,A8BB59,psicquic,experimental,18296487;20802085
F1QSA4,F1QSA4,psicquic,experimental,18296487;18296487
F1QUK5,B7ZV58,psicquic,experimental,20802085
F1QUK5,B8A507,psicquic,experimental,20802085
F1QUK5,Q15JE7,psicquic,experimental,20802085;20802085;20802085;20802085;17110339;17110339;17110339
F1QUK5,Q5J1R9,psicquic,experimental,20802085;20802085
F1R0N0,F1R0N0,psicquic,experimental,20802085
F1RCV3,Q98SW4,psicquic,experimental,20802085
O13146,A0A8M1NF77,psicquic,experimental,26190107
O13146,O73874,psicquic,experimental,26190107;26190107;26190107
O13146,P79727,psicquic,experimental,26190107;20097902
