"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","source","sourceLink","intType","species"
"P00561","P0A850","ThrA","Tig","thrA","P0A850","AK1H_ECOLI","TIG_ECOLI","string-db","511145.b0436/511145.b0002","physical","txid511145"
"P00561","P08660","ThrA","LysC","thrA","lysC","AK1H_ECOLI","AK3_ECOLI","string-db","511145.b4024/511145.b0002","physical","txid511145"
"P00561","P0ACB0","ThrA","DnaB","thrA","P0ACB0","AK1H_ECOLI","DNAB_ECOLI","string-db","511145.b4052/511145.b0002","physical","txid511145"
"P00561","P00562","ThrA","MetL","thrA","metL","AK1H_ECOLI","AK2H_ECOLI","string-db","511145.b3940/511145.b0002","physical","txid511145"
"P00561","P16256","ThrA","PanF","thrA","P16256","AK1H_ECOLI","PANF_ECOLI","string-db","511145.b3258/511145.b0002","physical","txid511145"
"P16256","P00562","PanF","MetL","P16256","metL","PANF_ECOLI","AK2H_ECOLI","string-db","511145.b3940/511145.b3258","physical","txid511145"
"P0A850","P69828","Tig","GatA","P0A850","gatA","TIG_ECOLI","PTKA_ECOLI","string-db","511145.b2094/511145.b0436","physical","txid511145"
"P0A850","P0A7P5","Tig","RpmH","P0A850","rpmH","TIG_ECOLI","RL34_ECOLI","string-db","511145.b3703/511145.b0436","physical","txid511145"
"P0A850","P0A6K3","Tig","Def","P0A850","P0A6K3","TIG_ECOLI","DEF_ECOLI","string-db","511145.b3287/511145.b0436","physical","txid511145"
"P0A850","P06987","Tig","HisB","P0A850","P06987","TIG_ECOLI","HIS7_ECOLI","string-db","511145.b2022/511145.b0436","physical","txid511145"
"P0A850","P0A7W1","Tig","RpsE","P0A850","rpsE","TIG_ECOLI","RS5_ECOLI","string-db","511145.b3303/511145.b0436","physical","txid511145"
"P0A850","P0A910","Tig","OmpA","P0A850","ompA","TIG_ECOLI","OMPA_ECOLI","string-db","511145.b0957/511145.b0436","physical","txid511145"
"P0A850","P32664","Tig","NudC","P0A850","nudC","TIG_ECOLI","NUDC_ECOLI","string-db","511145.b3996/511145.b0436","physical","txid511145"
"P0A850","P18335","Tig","ArgD","P0A850","argD","TIG_ECOLI","ARGD_ECOLI","string-db","511145.b3359/511145.b0436","physical","txid511145"
"P0A850","P39280","Tig","EpmB","P0A850","P39280","TIG_ECOLI","EPMB_ECOLI","string-db","511145.b4146/511145.b0436","physical","txid511145"
"P0A850","P0A8T7","Tig","RpoC","P0A850","P0A8T7","TIG_ECOLI","RPOC_ECOLI","string-db","511145.b3988/511145.b0436","physical","txid511145"
"P0A850","P23003","Tig","TrmA","P0A850","P23003","TIG_ECOLI","TRMA_ECOLI","string-db","511145.b3965/511145.b0436","physical","txid511145"
"P0A850","Q46893","Tig","IspD","P0A850","ispD","TIG_ECOLI","ISPD_ECOLI","string-db","511145.b2747/511145.b0436","physical","txid511145"
"P0A850","P23331","Tig","Tdk","P0A850","P23331","TIG_ECOLI","KITH_ECOLI","string-db","511145.b1238/511145.b0436","physical","txid511145"
"P0A850","P0AG59","Tig","RpsN","P0A850","rpsN","TIG_ECOLI","RS14_ECOLI","string-db","511145.b3307/511145.b0436","physical","txid511145"
"P0A850","P0A7K2","Tig","RplL","P0A850","P0A7K2","TIG_ECOLI","RL7_ECOLI","string-db","511145.b3986/511145.b0436","physical","txid511145"
"P0A850","P0A7J3","Tig","RplJ","P0A850","P0A7J3","TIG_ECOLI","RL10_ECOLI","string-db","511145.b3985/511145.b0436","physical","txid511145"
"P0A850","P0A7Z4","Tig","RpoA","P0A850","P0A7Z4","TIG_ECOLI","RPOA_ECOLI","string-db","511145.b3295/511145.b0436","physical","txid511145"
"P0A850","P0A7S3","Tig","RpsL","P0A850","P0A7S3","TIG_ECOLI","RS12_ECOLI","string-db","511145.b3342/511145.b0436","physical","txid511145"
"P0A850","P62399","Tig","RplE","P0A850","rplE","TIG_ECOLI","RL5_ECOLI","string-db","511145.b3308/511145.b0436","physical","txid511145"
"P0A850","P0AFG6","Tig","SucB","P0A850","sucB","TIG_ECOLI","ODO2_ECOLI","string-db","511145.b0727/511145.b0436","physical","txid511145"
"P0A850","P0A7T7","Tig","RpsR","P0A850","P0A7T7","TIG_ECOLI","RS18_ECOLI","string-db","511145.b4202/511145.b0436","physical","txid511145"
"P0A850","P0A7M9","Tig","RpmE","P0A850","rpmE","TIG_ECOLI","RL31_ECOLI","string-db","511145.b3936/511145.b0436","physical","txid511145"
"P0A850","P60422","Tig","RplB","P0A850","P60422","TIG_ECOLI","RL2_ECOLI","string-db","511145.b3317/511145.b0436","physical","txid511145"
"P0A850","P0A6V8","Tig","Glk","P0A850","glk","TIG_ECOLI","GLK_ECOLI","string-db","511145.b2388/511145.b0436","physical","txid511145"
"P0A850","P45425","Tig","NanK","P0A850","nanK","TIG_ECOLI","NANK_ECOLI","string-db","511145.b3222/511145.b0436","physical","txid511145"
"P0A850","P0A998","Tig","FtnA","P0A850","ftnA","TIG_ECOLI","FTNA_ECOLI","string-db","511145.b1905/511145.b0436","physical","txid511145"
"P0A850","P0AG51","Tig","RpmD","P0A850","rpmD","TIG_ECOLI","RL30_ECOLI","string-db","511145.b3302/511145.b0436","physical","txid511145"
"P0A850","P45578","Tig","LuxS","P0A850","luxS","TIG_ECOLI","LUXS_ECOLI","string-db","511145.b2687/511145.b0436","physical","txid511145"
"P0A850","P69741","Tig","HybO","P0A850","hybO","TIG_ECOLI","MBHT_ECOLI","string-db","511145.b2997/511145.b0436","physical","txid511145"
"P0A850","P0AG63","Tig","RpsQ","P0A850","P0AG63","TIG_ECOLI","RS17_ECOLI","string-db","511145.b3311/511145.b0436","physical","txid511145"
"P0A850","P60723","Tig","RplD","P0A850","rplD","TIG_ECOLI","RL4_ECOLI","string-db","511145.b3319/511145.b0436","physical","txid511145"
"P0A850","P0A7M6","Tig","RpmC","P0A850","P0A7M6","TIG_ECOLI","RL29_ECOLI","string-db","511145.b3312/511145.b0436","physical","txid511145"
"P0A850","P0A6S0","Tig","FlgH","P0A850","P0A6S0","TIG_ECOLI","FLGH_ECOLI","string-db","511145.b1079/511145.b0436","physical","txid511145"
"P0A850","P0A7Q6","Tig","RpmJ","P0A850","rpmJ","TIG_ECOLI","RL36_ECOLI","string-db","511145.b3299/511145.b0436","physical","txid511145"
"P0A850","P0ADZ0","Tig","RplW","P0A850","P0ADZ0","TIG_ECOLI","RL23_ECOLI","string-db","511145.b3318/511145.b0436","physical","txid511145"
"P0A850","P0A817","Tig","MetK","P0A850","metK","TIG_ECOLI","METK_ECOLI","string-db","511145.b2942/511145.b0436","physical","txid511145"
"P0A850","P36659","Tig","CbpA","P0A850","cbpA","TIG_ECOLI","CBPA_ECOLI","string-db","511145.b1000/511145.b0436","physical","txid511145"
"P0A850","P0A6F5","Tig","GroL","P0A850","P0A6F5","TIG_ECOLI","CH60_ECOLI","string-db","511145.b4143/511145.b0436","physical","txid511145"
"P0A850","P0AG30","Tig","Rho","P0A850","rho","TIG_ECOLI","RHO_ECOLI","string-db","511145.b3783/511145.b0436","physical","txid511145"
"P0A850","P60438","Tig","RplC","P0A850","P60438","TIG_ECOLI","RL3_ECOLI","string-db","511145.b3320/511145.b0436","physical","txid511145"
"P0A850","P0A6Q3","Tig","FabA","P0A850","fabA","TIG_ECOLI","FABA_ECOLI","string-db","511145.b0954/511145.b0436","physical","txid511145"
"P0A850","P05523","Tig","MutM","P0A850","mutM","TIG_ECOLI","FPG_ECOLI","string-db","511145.b3635/511145.b0436","physical","txid511145"
"P0A850","NA","Tig","YifL","P0A850","NA","TIG_ECOLI","NA","string-db","511145.b3888/511145.b0436","physical","txid511145"
"P0A850","P0ADY7","Tig","RplP","P0A850","P0ADY7","TIG_ECOLI","RL16_ECOLI","string-db","511145.b3313/511145.b0436","physical","txid511145"
"P0A850","P0A9S3","Tig","GatD","P0A850","gatD","TIG_ECOLI","GATD_ECOLI","string-db","511145.b2091/511145.b0436","physical","txid511145"
"P0A850","P0A9X4","Tig","MreB","P0A850","mreB","TIG_ECOLI","MREB_ECOLI","string-db","511145.b3251/511145.b0436","physical","txid511145"
"P0A850","P0AFI7","Tig","PdxH","P0A850","P0AFI7","TIG_ECOLI","PDXH_ECOLI","string-db","511145.b1638/511145.b0436","physical","txid511145"
"P0A850","P0A7Q1","Tig","RpmI","P0A850","rpmI","TIG_ECOLI","RL35_ECOLI","string-db","511145.b1717/511145.b0436","physical","txid511145"
"P0A850","P09053","Tig","AvtA","P0A850","avtA","TIG_ECOLI","AVTA_ECOLI","string-db","511145.b3572/511145.b0436","physical","txid511145"
"P0A850","P0C8J8","Tig","GatZ","P0A850","P0C8J8","TIG_ECOLI","GATZ_ECOLI","string-db","511145.b2095/511145.b0436","physical","txid511145"
"P0A850","P0AG55","Tig","RplF","P0A850","rplF","TIG_ECOLI","RL6_ECOLI","string-db","511145.b3305/511145.b0436","physical","txid511145"
"P0A850","P06612","Tig","TopA","P0A850","topA","TIG_ECOLI","TOP1_ECOLI","string-db","511145.b1274/511145.b0436","physical","txid511145"
"P0A850","P02358","Tig","RpsF","P0A850","rpsF","TIG_ECOLI","RS6_ECOLI","string-db","511145.b4200/511145.b0436","physical","txid511145"
"P0A850","P0A7U3","Tig","RpsS","P0A850","P0A7U3","TIG_ECOLI","RS19_ECOLI","string-db","511145.b3316/511145.b0436","physical","txid511145"
"P0A850","P0A7X3","Tig","RpsI","P0A850","rpsI","TIG_ECOLI","RS9_ECOLI","string-db","511145.b3230/511145.b0436","physical","txid511145"
"P0A850","P0AG82","Tig","PstS","P0A850","pstS","TIG_ECOLI","PSTS_ECOLI","string-db","511145.b3728/511145.b0436","physical","txid511145"
"P0A850","P0AG44","Tig","RplQ","P0A850","P0AG44","TIG_ECOLI","RL17_ECOLI","string-db","511145.b3294/511145.b0436","physical","txid511145"
"P0A850","P0A7V3","Tig","RpsC","P0A850","P0A7V3","TIG_ECOLI","RS3_ECOLI","string-db","511145.b3314/511145.b0436","physical","txid511145"
"P0A850","P0A7Y0","Tig","Rnc","P0A850","P0A7Y0","TIG_ECOLI","RNC_ECOLI","string-db","511145.b2567/511145.b0436","physical","txid511145"
"P0A850","P0A7R5","Tig","RpsJ","P0A850","P0A7R5","TIG_ECOLI","RS10_ECOLI","string-db","511145.b3321/511145.b0436","physical","txid511145"
"P0A850","P68919","Tig","RplY","P0A850","rplY","TIG_ECOLI","RL25_ECOLI","string-db","511145.b2185/511145.b0436","physical","txid511145"
"P0A850","P77791","Tig","Maa","P0A850","P77791","TIG_ECOLI","MAA_ECOLI","string-db","511145.b0459/511145.b0436","physical","txid511145"
"P0A850","P0A7W7","Tig","RpsH","P0A850","rpsH","TIG_ECOLI","RS8_ECOLI","string-db","511145.b3306/511145.b0436","physical","txid511145"
"P0A850","P0A6J5","Tig","DadA","P0A850","dadA","TIG_ECOLI","DADA_ECOLI","string-db","511145.b1189/511145.b0436","physical","txid511145"
"P0A850","P0C018","Tig","RplR","P0A850","rplR","TIG_ECOLI","RL18_ECOLI","string-db","511145.b3304/511145.b0436","physical","txid511145"
"P0A850","P0A7N9","Tig","RpmG","P0A850","P0A7N9","TIG_ECOLI","RL33_ECOLI","string-db","511145.b3636/511145.b0436","physical","txid511145"
"P0A850","P0A7M2","Tig","RpmB","P0A850","P0A7M2","TIG_ECOLI","RL28_ECOLI","string-db","511145.b3637/511145.b0436","physical","txid511145"
"P0A850","P0A7T3","Tig","RpsP","P0A850","P0A7T3","TIG_ECOLI","RS16_ECOLI","string-db","511145.b2609/511145.b0436","physical","txid511145"
"P0A850","P0AG67","Tig","RpsA","P0A850","rpsA","TIG_ECOLI","RS1_ECOLI","string-db","511145.b0911/511145.b0436","physical","txid511145"
"P0A850","P0AC41","Tig","SdhA","P0A850","sdhA","TIG_ECOLI","SDHA_ECOLI","string-db","511145.b0723/511145.b0436","physical","txid511145"
"P0A850","P0A9S5","Tig","GldA","P0A850","P0A9S5","TIG_ECOLI","GLDA_ECOLI","string-db","511145.b3945/511145.b0436","physical","txid511145"
"P0A850","P61175","Tig","RplV","P0A850","P61175","TIG_ECOLI","RL22_ECOLI","string-db","511145.b3315/511145.b0436","physical","txid511145"
