"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","altId1","altId2","source","sourceLink","intType","species"
"P03004","P0A988","DnaA","P0A988","dnaA","dnaN","DNAA_ECOLI","P0A988","P03004","P0A988","regulonDB","","regulates","txid511145"
"P03004","P0DPC4","DnaA","P0DPC4","dnaA","ytiC","DNAA_ECOLI","P0DPC4","P03004","P0DPC4","regulonDB","","regulates","txid511145"
"P03004","P04079","DnaA","GuaA","dnaA","guaA","DNAA_ECOLI","GUAA_ECOLI","P03004","P04079","regulonDB","","regulates","txid511145"
"P03004","P69924","DnaA","NrdB","dnaA","nrdB","DNAA_ECOLI","RIR2_ECOLI","P03004","P69924","regulonDB","","regulates","txid511145"
"P03004","P25553","DnaA","AldA","dnaA","aldA","DNAA_ECOLI","ALDA_ECOLI","P03004","P25553","regulonDB","","regulates","txid511145"
"P03004","P0DPC6","DnaA","P0DPC6","dnaA","idlP","DNAA_ECOLI","P0DPC6","P03004","P0DPC6","regulonDB","","regulates","txid511145"
"P03004","P39375","DnaA","IraD","dnaA","iraD","DNAA_ECOLI","IRAD_ECOLI","P03004","P39375","regulonDB","","regulates","txid511145"
"P03004","P0ADG7","DnaA","GuaB","dnaA","guaB","DNAA_ECOLI","IMDH_ECOLI","P03004","P0ADG7","regulonDB","","regulates","txid511145"
"P03004","P00452","DnaA","P00452","dnaA","nrdA","DNAA_ECOLI","P00452","P03004","P00452","regulonDB","","regulates","txid511145"
"P03004","P0A7H0","DnaA","RecF","dnaA","recF","DNAA_ECOLI","RECF_ECOLI","P03004","P0A7H0","regulonDB","","regulates","txid511145"
"P03004","P0ABW3","DnaA","YfaE","dnaA","yfaE","DNAA_ECOLI","YFAE_ECOLI","P03004","P0ABW3","regulonDB","","regulates","txid511145"
"P03004","C1P621","DnaA","C1P621","dnaA","yjeV","DNAA_ECOLI","C1P621","P03004","C1P621","regulonDB","","regulates","txid511145"
"P03004","P0DPC5","DnaA","P0DPC5","dnaA","ytiD","DNAA_ECOLI","P0DPC5","P03004","P0DPC5","regulonDB","","regulates","txid511145"
"P03004","P00582","DnaA","PolA","dnaA","polA","DNAA_ECOLI","DPO1_ECOLI","P03004","P00582","regulonDB","","regulates","txid511145"
"P03004","P0A8F8","DnaA","UvrB","dnaA","uvrB","DNAA_ECOLI","UVRB_ECOLI","P03004","P0A8F8","regulonDB","","regulates","txid511145"
"P0AG67","P69801","RpsA","ManY","rpsA","manY","RS1_ECOLI","PTNC_ECOLI","P0AG67","P69801","regulonDB","","regulates","txid511145"
"P60723","P0A853","RplD","TnaA","rplD","tnaA","RL4_ECOLI","TNAA_ECOLI","P60723","P0A853","regulonDB","","regulates","txid511145"
"P0A6X3","P23909","Hfq","MutS","hfq","mutS","HFQ_ECOLI","MUTS_ECOLI","P0A6X3","P23909","regulonDB","","regulates","txid511145"
"P0A6X3","P23843","Hfq","OppA","hfq","oppA","HFQ_ECOLI","OPPA_ECOLI","P0A6X3","P23843","regulonDB","","regulates","txid511145"
"P0A6X3","P17315","Hfq","CirA","hfq","cirA","HFQ_ECOLI","CIRA_ECOLI","P0A6X3","P17315","regulonDB","","regulates","txid511145"
"P0A6X3","P69797","Hfq","ManX","hfq","manX","HFQ_ECOLI","PTNAB_ECOLI","P0A6X3","P69797","regulonDB","","regulates","txid511145"
