"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","altId1","altId2","source","sourceLink","intType","species"
"BSU_00010","BSU_40610","DnaA","BSU_40610","dnaA","yybK","DnaA","BSU_40610","BSU_00010","BSU_40610","subtiwiki","224308.BSU00010/224308.BSU40610","repression","txid224308"
"BSU_00010","BSU_40580","DnaA","BSU_40580","dnaA","yybN","DnaA","BSU_40580","BSU_00010","BSU_40580","subtiwiki","224308.BSU00010/224308.BSU40580","repression","txid224308"
"BSU_00010","BSU_40600","DnaA","BSU_40600","dnaA","yybL","DnaA","BSU_40600","BSU_00010","BSU_40600","subtiwiki","224308.BSU00010/224308.BSU40600","repression","txid224308"
"BSU_00010","BSU_40620","DnaA","BSU_40620","dnaA","yybJ","DnaA","BSU_40620","BSU_00010","BSU_40620","subtiwiki","224308.BSU00010/224308.BSU40620","repression","txid224308"
"BSU_00010","BSU_40590","DnaA","BSU_40590","dnaA","yybM","DnaA","BSU_40590","BSU_00010","BSU_40590","subtiwiki","224308.BSU00010/224308.BSU40590","repression","txid224308"
"BSU_00010","BSU_21450","DnaA","BSU_21450","dnaA","sunS","DnaA","BSU_21450","BSU_00010","BSU_21450","subtiwiki","224308.BSU00010/224308.BSU21450","repression","txid224308"
"BSU_00010","BSU_21470","DnaA","BSU_21470","dnaA","sunT","DnaA","BSU_21470","BSU_00010","BSU_21470","subtiwiki","224308.BSU00010/224308.BSU21470","repression","txid224308"
"BSU_00010","BSU_21460","DnaA","BSU_21460","dnaA","bdbA","DnaA","BSU_21460","BSU_00010","BSU_21460","subtiwiki","224308.BSU00010/224308.BSU21460","repression","txid224308"
"BSU_00010","BSU_21480","DnaA","BSU_21480","dnaA","sunA","DnaA","BSU_21480","BSU_00010","BSU_21480","subtiwiki","224308.BSU00010/224308.BSU21480","repression","txid224308"
"BSU_00010","BSU_21440","DnaA","BSU_21440","dnaA","bdbB","DnaA","BSU_21440","BSU_00010","BSU_21440","subtiwiki","224308.BSU00010/224308.BSU21440","repression","txid224308"
"BSU_00010","BSU_39940","DnaA","YxaL","dnaA","yxaL","DnaA","YxaL","BSU_00010","BSU_39940","subtiwiki","224308.BSU00010/224308.BSU39940","repression","txid224308"
"BSU_00010","BSU_39950","DnaA","BSU_39950","dnaA","yxaJ","DnaA","BSU_39950","BSU_00010","BSU_39950","subtiwiki","224308.BSU00010/224308.BSU39950","repression","txid224308"
"BSU_00010","BSU_41000","DnaA","BSU_41000","dnaA","gidB","DnaA","BSU_41000","BSU_00010","BSU_41000","subtiwiki","224308.BSU00010/224308.BSU41000","repression","txid224308"
"BSU_00010","BSU_41010","DnaA","TrmF","dnaA","gidA","DnaA","GidA","BSU_00010","BSU_41010","subtiwiki","224308.BSU00010/224308.BSU41010","repression","txid224308"
"BSU_00010","BSU_41020","DnaA","MnmE","dnaA","thdF","DnaA","ThdF","BSU_00010","BSU_41020","subtiwiki","224308.BSU00010/224308.BSU41020","repression","txid224308"
"BSU_00010","BSU_40990","DnaA","BSU_40990","dnaA","noc","DnaA","BSU_40990","BSU_00010","BSU_40990","subtiwiki","224308.BSU00010/224308.BSU40990","repression","txid224308"
"BSU_00010","BSU_38070","DnaA","SacT","dnaA","sacT","DnaA","SacT","BSU_00010","BSU_38070","subtiwiki","224308.BSU00010/224308.BSU38070","repression","txid224308"
"BSU_00010","BSU_25690","DnaA","Sda","dnaA","sda","DnaA","Sda","BSU_00010","BSU_25690","subtiwiki","224308.BSU00010/224308.BSU25690","activation","txid224308"
"BSU_00010","BSU_38080","DnaA","BSU_38080","dnaA","ywcI","DnaA","BSU_38080","BSU_00010","BSU_38080","subtiwiki","224308.BSU00010/224308.BSU38080","repression","txid224308"
"BSU_00010","BSU_38090","DnaA","BSU_38090","dnaA","vpr","DnaA","BSU_38090","BSU_00010","BSU_38090","subtiwiki","224308.BSU00010/224308.BSU38090","repression","txid224308"
"BSU_00010","BSU_36950","DnaA","TsaC","dnaA","tsaC","DnaA","TsaC","BSU_00010","BSU_36950","subtiwiki","224308.BSU00010/224308.BSU36950","repression","txid224308"
"BSU_00010","BSU_40230","DnaA","BSU_40230","dnaA","rlmH","DnaA","BSU_40230","BSU_00010","BSU_40230","subtiwiki","224308.BSU00010/224308.BSU40230","repression","txid224308"
"BSU_29740","BSU_39340","CcpA","HutP","ccpA","hutP","CcpA","HutP","BSU_29740","BSU_39340","subtiwiki","224308.BSU29740/224308.BSU39340","repression","txid224308"
"BSU_29740","BSU_06970","CcpA","RhiL","ccpA","rhiL","CcpA","RhiL","BSU_29740","BSU_06970","subtiwiki","224308.BSU29740/224308.BSU06970","repression","txid224308"
"BSU_29740","BSU_07010","CcpA","YesS","ccpA","rhgR","CcpA","RhgR","BSU_29740","BSU_07010","subtiwiki","224308.BSU29740/224308.BSU07010","repression","txid224308"
"BSU_29740","BSU_06990","CcpA","RhiG","ccpA","rhiG","CcpA","RhiG","BSU_29740","BSU_06990","subtiwiki","224308.BSU29740/224308.BSU06990","repression","txid224308"
"BSU_29740","BSU_06980","CcpA","RhiF","ccpA","rhiF","CcpA","RhiF","BSU_29740","BSU_06980","subtiwiki","224308.BSU29740/224308.BSU06980","repression","txid224308"
"BSU_29740","BSU_07080","CcpA","RhgZ","ccpA","yesZ","CcpA","YesZ","BSU_29740","BSU_07080","subtiwiki","224308.BSU29740/224308.BSU07080","repression","txid224308"
"BSU_29740","BSU_07050","CcpA","RhgW","ccpA","yesW","CcpA","RhgW","BSU_29740","BSU_07050","subtiwiki","224308.BSU29740/224308.BSU07050","repression","txid224308"
"BSU_29740","BSU_07040","CcpA","BSU_07040","ccpA","yesV","CcpA","BSU_07040","BSU_29740","BSU_07040","subtiwiki","224308.BSU29740/224308.BSU07040","repression","txid224308"
"BSU_29740","BSU_07020","CcpA","BSU_07020","ccpA","yesT","CcpA","BSU_07020","BSU_29740","BSU_07020","subtiwiki","224308.BSU29740/224308.BSU07020","repression","txid224308"
"BSU_29740","new_1056384_1056537","CcpA","RosA","ccpA","rosA","CcpA","RosA","BSU_29740","new_1056384_1056537","subtiwiki","224308.BSU29740/224308.new10563841056537","repression","txid224308"
"BSU_29740","BSU_07030","CcpA","BSU_07030","ccpA","yesU","CcpA","BSU_07030","BSU_29740","BSU_07030","subtiwiki","224308.BSU29740/224308.BSU07030","repression","txid224308"
"BSU_29740","BSU_07070","CcpA","BSU_07070","ccpA","yesY","CcpA","BSU_07070","BSU_29740","BSU_07070","subtiwiki","224308.BSU29740/224308.BSU07070","repression","txid224308"
"BSU_29740","BSU_07000","CcpA","BSU_07000","ccpA","rhiN","CcpA","BSU_07000","BSU_29740","BSU_07000","subtiwiki","224308.BSU29740/224308.BSU07000","repression","txid224308"
"BSU_29740","BSU_07060","CcpA","RhgX","ccpA","yesX","CcpA","RhgX","BSU_29740","BSU_07060","subtiwiki","224308.BSU29740/224308.BSU07060","repression","txid224308"
"BSU_29740","BSU_23070","CcpA","SerA","ccpA","serA","CcpA","SerA","BSU_29740","BSU_23070","subtiwiki","224308.BSU29740/224308.BSU23070","activation","txid224308"
"BSU_29740","BSU_29670","CcpA","TyrS","ccpA","tyrS","CcpA","TyrS","BSU_29740","BSU_29670","subtiwiki","224308.BSU29740/224308.BSU29670","repression","txid224308"
"BSU_29740","BSU_34140","CcpA","GanQ","ccpA","ganQ","CcpA","GanQ","BSU_29740","BSU_34140","subtiwiki","224308.BSU29740/224308.BSU34140","repression","txid224308"
"BSU_29740","BSU_34120","CcpA","GanB","ccpA","ganB","CcpA","GanB","BSU_29740","BSU_34120","subtiwiki","224308.BSU29740/224308.BSU34120","repression","txid224308"
"BSU_29740","BSU_34160","CcpA","CycB","ccpA","ganS","CcpA","GanS","BSU_29740","BSU_34160","subtiwiki","224308.BSU29740/224308.BSU34160","repression","txid224308"
"BSU_29740","BSU_34150","CcpA","GanP","ccpA","ganP","CcpA","GanP","BSU_29740","BSU_34150","subtiwiki","224308.BSU29740/224308.BSU34150","repression","txid224308"
"BSU_29740","BSU_34130","CcpA","GanA","ccpA","ganA","CcpA","GanA","BSU_29740","BSU_34130","subtiwiki","224308.BSU29740/224308.BSU34130","repression","txid224308"
"BSU_29740","BSU_06940","CcpA","BSU_06940","ccpA","yesL","CcpA","BSU_06940","BSU_29740","BSU_06940","subtiwiki","224308.BSU29740/224308.BSU06940","repression","txid224308"
"BSU_29740","BSU_06960","CcpA","RhgL","ccpA","rhgL","CcpA","RhgL","BSU_29740","BSU_06960","subtiwiki","224308.BSU29740/224308.BSU06960","repression","txid224308"
"BSU_29740","BSU_22570","CcpA","BSU_22570","ccpA","ypiF","CcpA","BSU_22570","BSU_29740","BSU_22570","subtiwiki","224308.BSU29740/224308.BSU22570","repression","txid224308"
"BSU_29740","BSU_06950","CcpA","YesM","ccpA","rhgK","CcpA","RhgK","BSU_29740","BSU_06950","subtiwiki","224308.BSU29740/224308.BSU06950","repression","txid224308"
"BSU_29740","BSU_19410","CcpA","CwlS","ccpA","cwlS","CcpA","CwlS","BSU_29740","BSU_19410","subtiwiki","224308.BSU29740/224308.BSU19410","repression","txid224308"
"BSU_29740","BSU_20850","CcpA","AimP","ccpA","aimP","CcpA","AimP","BSU_29740","BSU_20850","subtiwiki","224308.BSU29740/224308.BSU20850","repression","txid224308"
"BSU_29740","BSU_08180","CcpA","MalA","ccpA","malA","CcpA","MalA","BSU_29740","BSU_08180","subtiwiki","224308.BSU29740/224308.BSU08180","repression","txid224308"
"BSU_29740","BSU_39420","CcpA","BSU_39420","ccpA","dra","CcpA","BSU_39420","BSU_29740","BSU_39420","subtiwiki","224308.BSU29740/224308.BSU39420","repression","txid224308"
"BSU_29740","BSU_08190","CcpA","BSU_08190","ccpA","glvR","CcpA","BSU_08190","BSU_29740","BSU_08190","subtiwiki","224308.BSU29740/224308.BSU08190","repression","txid224308"
"BSU_29740","BSU_08200","CcpA","MalP","ccpA","malP","CcpA","MalP","BSU_29740","BSU_08200","subtiwiki","224308.BSU29740/224308.BSU08200","repression","txid224308"
"BSU_29740","BSU_39400","CcpA","Pdp","ccpA","pdp","CcpA","Pdp","BSU_29740","BSU_39400","subtiwiki","224308.BSU29740/224308.BSU39400","repression","txid224308"
"BSU_29740","BSU_08100","CcpA","AcoR","ccpA","acoR","CcpA","AcoR","BSU_29740","BSU_08100","subtiwiki","224308.BSU29740/224308.BSU08100","repression","txid224308"
"BSU_29740","BSU_39410","CcpA","BSU_39410","ccpA","nupC","CcpA","BSU_39410","BSU_29740","BSU_39410","subtiwiki","224308.BSU29740/224308.BSU39410","repression","txid224308"
"BSU_29740","BSU_23500","CcpA","Drm","ccpA","drm","CcpA","Drm","BSU_29740","BSU_23500","subtiwiki","224308.BSU29740/224308.BSU23500","repression","txid224308"
"BSU_29740","BSU_23490","CcpA","PupG","ccpA","pupG","CcpA","PupG","BSU_29740","BSU_23490","subtiwiki","224308.BSU29740/224308.BSU23490","repression","txid224308"
"BSU_29740","BSU_29140","CcpA","CitZ","ccpA","citZ","CcpA","CitZ","BSU_29740","BSU_29140","subtiwiki","224308.BSU29740/224308.BSU29140","repression","txid224308"
"BSU_29740","BSU_28710","CcpA","CstA","ccpA","cstA","CcpA","CstA","BSU_29740","BSU_28710","subtiwiki","224308.BSU29740/224308.BSU28710","repression","txid224308"
"BSU_29740","BSU_28700","CcpA","YsfE","ccpA","ysfE","CcpA","YsfE","BSU_29740","BSU_28700","subtiwiki","224308.BSU29740/224308.BSU28700","repression","txid224308"
"BSU_29740","BSU_38570","CcpA","LicA","ccpA","licA","CcpA","LicA","BSU_29740","BSU_38570","subtiwiki","224308.BSU29740/224308.BSU38570","repression","txid224308"
"BSU_29740","BSU_38580","CcpA","LicC","ccpA","licC","CcpA","LicC","BSU_29740","BSU_38580","subtiwiki","224308.BSU29740/224308.BSU38580","repression","txid224308"
"BSU_29740","BSU_38560","CcpA","BSU_38560","ccpA","licH","CcpA","BSU_38560","BSU_29740","BSU_38560","subtiwiki","224308.BSU29740/224308.BSU38560","repression","txid224308"
"BSU_29740","BSU_38590","CcpA","LicB","ccpA","licB","CcpA","LicB","BSU_29740","BSU_38590","subtiwiki","224308.BSU29740/224308.BSU38590","repression","txid224308"
"BSU_29740","BSU_03040","CcpA","AmyE","ccpA","amyE","CcpA","AmyE","BSU_29740","BSU_03040","subtiwiki","224308.BSU29740/224308.BSU03040","repression","txid224308"
"BSU_29740","BSU_17580","CcpA","BSU_17580","ccpA","xynB","CcpA","BSU_17580","BSU_29740","BSU_17580","subtiwiki","224308.BSU29740/224308.BSU17580","repression","txid224308"
"BSU_29740","BSU_17610","CcpA","BSU_17610","ccpA","xylB","CcpA","BSU_17610","BSU_29740","BSU_17610","subtiwiki","224308.BSU29740/224308.BSU17610","repression","txid224308"
"BSU_29740","BSU_17570","CcpA","BSU_17570","ccpA","xynP","CcpA","BSU_17570","BSU_29740","BSU_17570","subtiwiki","224308.BSU29740/224308.BSU17570","repression","txid224308"
"BSU_29740","BSU_17600","CcpA","BSU_17600","ccpA","xylA","CcpA","BSU_17600","BSU_29740","BSU_17600","subtiwiki","224308.BSU29740/224308.BSU17600","repression","txid224308"
"BSU_29740","BSU_10770","CcpA","WprA","ccpA","wprA","CcpA","WprA","BSU_29740","BSU_10770","subtiwiki","224308.BSU29740/224308.BSU10770","repression","txid224308"
"BSU_29740","BSU_29700","CcpA","AcuB","ccpA","acuB","CcpA","AcuB","BSU_29740","BSU_29700","subtiwiki","224308.BSU29740/224308.BSU29700","repression","txid224308"
"BSU_29740","BSU_29690","CcpA","AcuA","ccpA","acuA","CcpA","AcuA","BSU_29740","BSU_29690","subtiwiki","224308.BSU29740/224308.BSU29690","repression","txid224308"
"BSU_29740","BSU_29710","CcpA","BSU_29710","ccpA","acuC","CcpA","BSU_29710","BSU_29740","BSU_29710","subtiwiki","224308.BSU29740/224308.BSU29710","repression","txid224308"
"BSU_29740","BSU_39690","CcpA","BSU_39690","ccpA","iolH","CcpA","BSU_39690","BSU_29740","BSU_39690","subtiwiki","224308.BSU29740/224308.BSU39690","repression","txid224308"
"BSU_29740","BSU_39680","CcpA","BSU_39680","ccpA","iolI","CcpA","BSU_39680","BSU_29740","BSU_39680","subtiwiki","224308.BSU29740/224308.BSU39680","repression","txid224308"
"BSU_29740","BSU_39700","CcpA","IolG","ccpA","iolG","CcpA","IolG","BSU_29740","BSU_39700","subtiwiki","224308.BSU29740/224308.BSU39700","repression","txid224308"
