"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","altId1","altId2","source","sourceLink","intType","species"
"BSU_29090","BSU_39940","PolA","YxaL","polA","yxaL","PolA","YxaL","BSU_29090","BSU_39940","string-db","224308.BSU39940/224308.BSU29090","physical","txid224308"
"BSU_29090","BSU_36240","PolA","YwqE","polA","ptpZ","PolA","PtpZ","BSU_29090","BSU_36240","string-db","224308.BSU36240/224308.BSU29090","physical","txid224308"
"BSU_29090","BSU_00020","PolA","DnaN","polA","dnaN","PolA","DnaN","BSU_29090","BSU_00020","subtiwiki","224308.BSU29090/224308.BSU00020","physical","txid224308"
"BSU_40440","BSU_29230","DnaC","DnaE","BSU_40440","dnaE","DnaC","DnaE","BSU_40440","BSU_29230","subtiwiki","224308.BSU40440/224308.BSU29230","physical","txid224308"
"BSU_40440","BSU_25280","DnaC","RecO","BSU_40440","recO","DnaC","RecO","BSU_40440","BSU_25280","subtiwiki","224308.BSU40440/224308.BSU25280","physical","txid224308"
"BSU_40440","BSU_16940","DnaC","RecA","BSU_40440","recA","DnaC","RecA","BSU_40440","BSU_16940","subtiwiki","224308.BSU40440/224308.BSU16940","physical","txid224308"
"BSU_40440","BSU_40900","DnaC","SsbA","BSU_40440","ssbA","DnaC","SsbA","BSU_40440","BSU_40900","subtiwiki","224308.BSU40440/224308.BSU40900","physical","txid224308"
"BSU_40440","BSU_00210","DnaC","RecR","BSU_40440","BSU_00210","DnaC","RecR","BSU_40440","BSU_00210","subtiwiki","224308.BSU40440/224308.BSU00210","physical","txid224308"
"BSU_40440","BSU_00040","DnaC","RecF","BSU_40440","recF","DnaC","RecF","BSU_40440","BSU_00040","subtiwiki","224308.BSU40440/224308.BSU00040","physical","txid224308"
"BSU_40440","BSU_00310","DnaC","HolB","BSU_40440","BSU_00310","DnaC","HolB","BSU_40440","BSU_00310","subtiwiki","224308.BSU40440/224308.BSU00310","physical","txid224308"
"BSU_40440","BSU_25560","DnaC","HolA","BSU_40440","BSU_25560","DnaC","HolA","BSU_40440","BSU_25560","subtiwiki","224308.BSU40440/224308.BSU25560","physical","txid224308"
"BSU_28990","BSU_33690","DnaB","YvaQ","BSU_28990","yvaQ","DnaB","YvaQ","BSU_28990","BSU_33690","string-db","224308.BSU33690/224308.BSU28990","physical","txid224308"
