"protein1","protein2"
"P00561","P16256"
"P00561","P0A850"
"P00968","P0A850"
"P0A6F1","P0A850"
"P0A7U7","P0A850"
"P0ACP1","P0A850"
"P0A7V0","P0A850"
"P07464","P0A850"
"P00634","P0A850"
"P0A6Y8","P0ACB0"
"P00561","P0ACB0"
"P21189","P0ACB0"
"P0AFG8","P0ACB0"
"P10443","P0ACB0"
"P03007","P0ACB0"
"P0ACF4","P0ACB0"
"P23862","P0ACB0"
"P06710-1","P0ACB0"
"P28630","P0ACB0"
"P0ABT2","P0ACB0"
"P0AAZ4","P0ACB0"
"P28631","P0ACB0"
"P16525","P0ACB0"
"P0AC33","P0ACB0"
"P0ABS8","P0ACB0"
"P0A812","P0ACB0"
"P0A809","P0ACB0"
"P77732","P0ACB0"
"P69931","P0ACB0"
"P0A9J8","P0ACB0"
"P0ABS5","P0ACB0"
"P66817","P0ACB0"
"P60422","P0ACB0"
"P10121","P0ACB0"
"P24230","P0ACB0"
"P03004","P0ACB0"
"P0A988-1","P0ACB0"
"P09980","P0ACB0"
"P03018","P0ACB0"
"P15043","P0ACB0"
"P17888","P0ACB0"
"P0ACF0","P0ACB0"
"P00561","P00562"
"P16256","P00562"
"P00561","P08660"
"P00562","P08660"
"P00934","P38104"
"P68644","P26266"
"P0A8I3","P26266"
"P0A870","P16703"
"P75745","P16703"
"P0AAI1","P16703"
"P77737","P16703"
"P0A870","P0A867"
"P0A6P9","P0AA25"
"P02925","P0AA25"
"P0ABB4","P0AA25"
"P0ABB0","P0AA25"
"P0ACC7","P0AA25"
"P0A853","P0AA25"
"P0A800","P0AA25"
"P0AC62","P0AA25"
"P0A9X9","P0AA25"
"P0AA16","P0AA25"
"P0A9K9","P0AA25"
"P0A6M8","P0AA25"
"P0A9X4","P0AA25"
"P0A9V1","P0AA25"
"P31120","P0AA25"
"P42641","P0AA25"
"P69741","P0AA25"
"P0AB71","P0AA25"
"P30744","P0AA25"
"P0A870","P0AA25"
"P60566","P0AA25"
"P0A9A6","P0AA25"
"P36683","P0AA25"
"P0ABS1","P0AA25"
"P0A9D8","P0AA25"
"P0A7E9","P0AA25"
"P0A6P1","P0AA25"
"P0A6Q6","P0AA25"
"P00722","P0AA25"
"P0A8D0","P0AA25"
"P0A8E7","P0AA25"
"P0A6G7","P0AA25"
"P0ACF4","P0AA25"
"P0A6Z3","P0AA25"
"P0A8J4","P0AA25"
"P0A9A9","P0AA25"
"P0AC41","P0AA25"
"P0AGE9","P0AA25"
"P0A836","P0AA25"
"P0A9P4","P0AA25"
"P02931","P0AA25"
"P0A910","P0AA25"
"P0A6Q3","P0AA25"
"P09546","P0AA25"
"P0AEK2","P0AA25"
"P08200","P0AA25"
"P23331","P0AA25"
"P0AEK4","P0AA25"
"P0A862","P0AA25"
"P22333","P0AA25"
"P0A9B2","P0AA25"
"P0ACY1","P0AA25"
"P23865","P0AA25"
"P33218","P0AA25"
"P21599","P0AA25"
"P39180","P0AA25"
"NA","P0AA25"
"P0AAG8","P0AA25"
"P33940","P0AA25"
"P06996","P0AA25"
"P0DMC7","P0AA25"
"P00452-1","P0AA25"
"P69783","P0AA25"
"P0A763","P0AA25"
"P0AGD7","P0AA25"
"P77475","P0AA25"
"P0A7G6","P0AA25"
"P16432","P0AA25"
"P17854","P0AA25"
"P0A867","P33570"
"P0A9B2","P33570"
"P21513","P33570"
"P0A870","P33570"
"P0A870","P30126"
"P0A870","P36938"
"P0A870","P0AE08"
"Q46948","P0AE08"
"P0A870","P0A9B2"
"P0A6Y8","P0A9B2"
"P05637","P0A9B2"
"P0A7E9","P0A9B2"
"Q46948","P0A9B2"
"P0ABW5","P0A9B2"
"P77539","P0A9B2"
"P0A870","P27302"
