"protein1","protein2"
"P0A9E0","P08203"
"P0A9E0","P0AE24"
"P0A9E0","P0AE26"
"P0A9E0","P39328"
"P0A9E0","Q6BEX0"
"P17410","P69795"
"P17410","P17411"
"P17410","P17334"
"P17410","P37794"
"P17410","P69791"
"P09377","P32170"
"P09377","P32169"
"P09377","P09378"
"P09377","P27125"
"P09377","P32171"
"P0A7C2","P64481"
"P0A7C2","P00579"
"P0A7C2","P39394"
"P0A7C2","P30177"
"P0A7C2","P33012"
"P0A7C2","P33596"
"P0A7C2","P04993"
"P0A7C2","P76257"
"P0A7C2","P05824"
"P0A7C2","P23840"
"P0A7C2","P0AGE0"
"P0A7C2","P0A812"
"P0A7C2","P05458"
"P0A7C2","P46889"
"P0A7C2","P0A698"
"P0A7C2","P28303"
"P0A7C2","P68679"
"P0A7C2","P08394"
"P0A7C2","P21189"
"P0A7C2","A5A627"
"P0A7C2","P0ABR1"
"P0A7C2","P0A8F8"
"P0A7C2","P0AFZ5"
"P0A7C2","P0ABS5"
"P0A7C2","P27296"
"P0A7C2","P0ACY9"
"P0A7C2","P0A7G6"
"P37338","P0ADD5"
"P37338","P52143"
"P37338","P0AAR5"
"P37338","P0AA49"
"P37338","P63201"
"P37338","P76012"
"P37338","P76136"
"P37338","P76135"
"P37338","P75857"
"P37338","P77260"
"P37338","P11289"
"P37338","P76073"
"P37338","P37195"
"P37338","P37050"
"P37338","P76001"
"P37338","P77396"
"P37338","P75874"
"P37338","P75859"
"P37338","P0ACC1"
"P37338","P0A8L7"
"P37338","P64548"
"P37338","P0ADU5"
"P37338","P0AF86"
"P37338","P27843"
"P37338","P0A712"
"P37338","P39333"
"P37338","P46139"
"P37338","P76484"
"P37338","P33355"
"P37338","P33344"
"P37338","Q46855"
"P37338","P37327"
"P37338","P39334"
"P37338","P76017"
"P37338","P0A8W8"
"P37338","P39163"
"P37338","P76345"
"P37338","P45420"
"P37338","P31801"
"P37338","P75860"
"P37338","P77716"
"P37338","P0A8X4"
"P37338","P28721"
"P37338","P67601"
"P37338","P0AB33"
"P37338","P37759"
"P37338","P42590"
"P37338","P76154"
"P37338","P0ADP9"
"P37338","P0A828"
"P37338","P76145"
"P37338","P0AEV1"
"P37338","P39286"
"P37338","Q46755"
"P37338","P0ADD7"
"P37338","P76234"
"P37338","P39208"
"P37338","P76498"
"P37338","P75995"
"P37338","A5A624"
"P37338","P0A9F6"
"P37338","P76227"
"P37338","Q6BEX5"
"P37338","P33129"
"P37338","P64550"
"P37338","P0A784"
"P37338","P39365"
"P37338","P76002"
"P37338","P76485"
"P37338","P0A9K1"
"P37338","P37908"
"P37338","P07017"
"P37338","P0ACL9"
"P37338","P0A715"
"P37338","P0AFL6"
"P37338","P02358"
"P37338","P23890"
"P37338","P04846"
"P37338","P23845"
"P37338","P69503"
"P37338","P16919"
"P37338","P23862"
"P37338","P0AAG8"
"P37338","P21888"
"P37338","P15993"
"P37338","P05847"
"P37338","P22256"
"P37338","P25527"
"P37338","P23869"
"P37338","P0AD65"
"P37338","P00370"
"P37338","P07639"
"P37338","P19624"
"P37338","P25526"
"P37338","P09996"
"P37338","P14375"
"P37338","P16869"
"P37338","P14900"
"P37338","P52095"
"P37338","P45463"
"P37338","P32134"
"P37338","P77625"
"P37338","P27294"
"P37338","P37639"
"P37338","P77148"
"P37338","P37351"
"P37338","P0ACE7"
"P37338","P39346"
"P37338","P77288"
"P37338","P30847"
"P37338","P0AFI0"
"P37338","P64461"
"P37338","P37339"
"P37338","P33343"
"P37338","P25396"
"P37338","P76621"
"P37338","Q46866"
"P37338","Q46901"
"P37338","P76100"
"P37338","P0AE63"
"P10151","P77234"
"P10151","Q46899"
"P10151","P0ADD7"
"P10151","P11988"
"P10151","Q46898"
"P10151","P76632"
"P10151","P28721"
"P10151","P45956"
"P10151","Q46901"
"P10151","P39404"
"P10151","P08722"
"P10151","Q46843"
"P10151","Q46897"
"P10151","Q46896"
"P10151","P64572"
"P10151","P11989"
"P69228","P76398"
"P69228","P77754"
"P69228","P24177"
"P69228","P36554"
"P69228","P30847"
"P69228","P76397"
"P69228","P76399"
"P0ACP1","P0AE95"
"P0ACP1","P27245"
"P0ACP1","P31660"
"P0ACP1","P21514"
"P0ACP1","P31675"
"P0ACP1","P0A991"
"P0ACP1","P77541"
"P0ACP1","P39173"
"P0ACP1","C1P5Z7"
"P0ACP1","P77495"
"P0ACP1","P0AB71"
"P0ACP1","P0A9I8"
"P0ACP1","P20966"
"P0ACP1","P0ABK2"
"P0ACP1","P0A9B2"
"P0ACP1","P0AE98"
"P0ACP1","P23538"
"P0ACP1","P0AC26"
"P0ACP1","P0ABJ9"
"P0ACP1","P30131"
"P0ACP1","P0A9P0"
"P0ACP1","P0A6P9"
"P0ACP1","P77243"
"P0ACP1","P0A955"
"P0ACP1","P22259"
"P0ACP1","P0ACL9"
"P0ACP1","P0A9G6"
"P0ACP1","P76231"
"P0ACP1","P0ACH5"
"P0ACP1","P15993"
"P0ACP1","P11071"
"P0ACP1","P37691"
"P0ACP1","P31121"
"P0ACP1","P08200"
"P0ACP1","P0ACJ8"
"P0ACP1","P0A6V8"
"P0ACP1","P08839"
"P0ACP1","P0AEW9"
"P0ACP1","P0AD61"
"P0ACP1","P00864"
"P0ACP1","P0A858"
"P0ACP1","P0ADF6"
"P0ACP1","P0A9Q7"
"P0ACP1","P08201"
"P0ACP1","P0A8M6"
"P0ACP1","P0AFG8"
"P0ACP1","P0A796"
"P0ACP1","P0A799"
"P0ACP1","P37690"
"P0ACP1","P0AEA2"
"P0ACP1","P69783"
"P0ACP1","P69811"
"P0ACP1","P0AEA8"
"P0ACP1","P0AA04"
"P0ACP1","P37773"
"P0ACP1","P06959"
"P0ACP1","P52106"
"P0ACP1","P37689"
"P0ACP1","P08997"
"P0ACP1","P0A9B6"
"P22186","P17952"
"P22186","P0A9A6"
"P22186","P14900"
"P22186","P22188"
"P22186","P0AD68"
"P22186","P0A6W3"
"P22186","P17443"
"P22186","P11880"
"P22186","P03817"
"P22186","P0ABG4"
"P22186","P0AEN4"
"P22186","P07862"
"P22186","P60390"
"P22186","P0ABH0"
"P22186","P06136"
"P22186","P0A725"
"P18811","P19642"
"P18811","P23256"
"P0ACL9","P0A6A8"
"P0ACL9","P0AEQ1"
"P0ACL9","P0AEA5"
"P0ACL9","P0AEP9"
"P0ACL9","P33231"
"P0ACL9","P0ABI8"
"P0ACL9","P0ABJ6"
"P0ACL9","P77598"
"P0ACL9","P64435"
"P0ACL9","P0AD68"
"P0ACL9","P06136"
"P0ACL9","P60390"
"P0ACL9","P0ABG4"
"P0ACL9","P0A8A4"
"P0ACL9","P00393"
"P0ACL9","P52073"
"P0ACL9","P0A6W3"
"P0ACL9","P17443"
"P0ACL9","P0AEN4"
"P0ACL9","P0A9P0"
"P0ACL9","P07862"
"P0ACL9","P22186"
"P0ACL9","P0A9A6"
"P0ACL9","P06959"
"P0ACL9","P17952"
"P0ACL9","P23538"
"P0ACL9","P0ACX5"
"P0ACL9","Q47146"
"P0ACL9","P0AFG8"
"P0ACL9","P68066"
"P0ACL9","P63224"
"P0ACL9","P14900"
"P0ACL9","P0A725"
"P0ACL9","P0ABJ3"
"P0ACL9","P22188"
"P0ACL9","P0ABJ1"
"P0ACL9","P52074"
"P0ACL9","Q46839"
"P0ACL9","P11880"
"P0ACL9","P37330"
"P0ACL9","P0ABH0"
"P05827","P05793"
"P0AFT5","P0A9P0"
"P0AFT5","P0A9Y6"
"P0AFT5","P28307"
"P0AFT5","P0AE98"
"P0AFT5","P64508"
"P0AFT5","P52107"
"P0AFT5","P61889"
"P0AFT5","P0ACL9"
"P0AFT5","P39396"
"P0AFT5","P0AFG8"
"P0AFT5","P0AEA2"
"P0AFT5","P52106"
"P0AFT5","P0ABK7"
"P0AFT5","P0AE95"
"P0AFT5","P06959"
"Q46864","P0AE98"
"Q46864","P0AE95"
"Q46864","P52106"
"Q46864","P0A968"
"Q46864","Q46865"
"Q46864","P0AEA2"
"Q46864","P13445"
"P0ACL5","P52073"
"P0ACL5","P0AEQ1"
"P0ACL5","P0AEP9"
"P0ACL5","Q46839"
"P0ACL5","P37330"
"P0ACL5","P52074"
"P07026","P0AFW2"
"P07026","P76204"
"P07026","P0A9A6"
"P07026","P06136"
"P07026","P0ABH0"
"P07026","P0AFX4"
"Q46855","Q46856"
"Q46855","Q46857"
"P0DMC7","P37639"
"P0DMC7","P0C0L2"
"P0DMC7","P0AGB6"
"P0DMC7","P0AFX7"
"P0DMC7","P77561"
"P0DMC7","P0A9A6"
"P0DMC7","P68191"
"P0DMC7","P46187"
"P0DMC7","P0AFX9"
"P0DMC7","P0DPC7"
"P0DMC7","P69908"
"P0DMC7","P0ABH0"
"P0DMC7","P76127"
"P0AE88","P0AE42"
"P0AE88","P0AD70"
"P0AE88","P0AEA2"
"P0AE88","P75954"
"P0AE88","P0ADY1"
"P0AE88","P52106"
"P0AE88","P31129"
"P0AE88","P31121"
"P0AE88","P76397"
"P0AE88","P0A9A2"
"P0AE88","P31801"
"P0AE88","P27550"
"P0AE88","P76399"
"P0AE88","P46187"
"P0AE88","P75901"
"P0AE88","P0AE95"
"P0AE88","P0AE85"
"P0AE88","P77754"
"P0AE88","P27245"
"P0AE88","P0AFX7"
"P0AE88","P76398"
"P0AE88","P12295"
"P0AE88","P0ACE3"
"P0AE88","P24183"
"P0AE88","P24177"
"P0AE88","P09348"
"P0AE88","P02942"
"P0AE88","P0AB98"
"P0AE88","P0ABC0"
"P0AE88","P06996"
"P0AE88","P0A6F1"
"P0AE88","P0AGF4"
"P0AE88","P07363-1"
"P0AE88","P00968"
"P0AE88","P0C0V0"
"P0AE88","P0AF06"
"P0AE88","P0AEG4"
"P0AE88","P02931"
"P0AE88","P0A964"
"P0AE88","P07363-2"
"P0AE88","P0AE82"
"P0AE88","P0AB91"
"P0AE88","P0AAC6"
"P0AE88","P0AGC3"
"P0AE88","P0AFL3"
"P0AE88","P22525"
"P0AE88","P0AGB6"
"P0AE88","P0AAR0"
"P0AE88","P0AFX9"
"P0AE88","P33218"
"P0AE88","P0AA63"
