protein_1_locus	protein_1_name	protein_2_locus	protein_2_name	evidence	source
BSU_00040	RecF	BSU_16940	RecA	textmined	string-db
BSU_00060	GyrB	BSU_33040	FumC	textmined	string-db
BSU_00060	GyrB	BSU_29790	MurC	textmined	string-db
BSU_00060	GyrB	BSU_29120	Mdh	textmined	string-db
BSU_00060	GyrB	BSU_36760	MurAA	textmined	string-db
BSU_00060	GyrB	BSU_18100	ParC	textmined	string-db
BSU_00060	GyrB	BSU_37100	MurAB	textmined	string-db
BSU_00060	GyrB	BSU_00070	GyrA	textmined	string-db
BSU_00070	GyrA	BSU_00060	GyrB	textmined	string-db
BSU_00070	GyrA	BSU_24300	XseA	experimental	string-db
BSU_00070	GyrA	BSU_31240	McpA	experimental	string-db
BSU_00070	GyrA	BSU_29740	CcpA	experimental	string-db
BSU_00070	GyrA	BSU_31250	TlpA	experimental	string-db
BSU_00070	GyrA	BSU_18100	ParC	database	string-db
BSU_00070	GyrA	BSU_29230	DnaE	experimental	string-db
BSU_00090	GuaB	BSU_29740	CcpA	experimental	string-db
BSU_00100	DacA	BSU_23480	DacF	database	string-db
BSU_00100	DacA	BSU_22320	PonA	database	string-db
BSU_00100	DacA	BSU_10110	PbpF	database	string-db
BSU_00100	DacA	BSU_01670	AmiE	database	string-db
BSU_00100	DacA	BSU_18350	DacC	database	string-db
BSU_00100	DacA	BSU_23190	DacB	database	string-db
BSU_00100	DacA	BSU_19620	YodJ	database	string-db
BSU_00110	PdxS	BSU_00120	PdxT	experimental	string-db
BSU_00110	PdxS	BSU_29740	CcpA	experimental	string-db
BSU_00120	PdxT	BSU_29740	CcpA	experimental	string-db
BSU_00120	PdxT	BSU_00110	PdxS	experimental	string-db
BSU_00140	Dck	BSU_07840	YfkN	database	string-db
BSU_00160	YaaH	BSU_17030	CotE	textmined	string-db
BSU_00160	YaaH	BSU_02600	CwlJ	textmined	string-db
BSU_00190	DnaX	BSU_16580	PolC	experimental	string-db
BSU_00190	DnaX	BSU_00310	HolB	experimental	string-db
BSU_00190	DnaX	BSU_40440	DnaC	experimental	string-db
BSU_00190	DnaX	BSU_30540	AsnB	textmined	string-db
BSU_00190	DnaX	BSU_16030	TrmD	textmined	string-db
BSU_00190	DnaX	BSU_00020	DnaN	database	string-db
BSU_00190	DnaX	BSU_20340	YorL	database	string-db
BSU_00190	DnaX	BSU_26150	YqbD	experimental	string-db
BSU_00190	DnaX	BSU_29230	DnaE	database	string-db
BSU_00190	DnaX	BSU_25560	HolA	experimental	string-db
BSU_00210	RecR	BSU_25280	RecO	textmined	string-db
BSU_00230	BofA	BSU_25530	SpoIIP	textmined	string-db
BSU_00230	BofA	BSU_36750	SpoIID	textmined	string-db
BSU_00230	BofA	BSU_27970	SpoIVFB	textmined	string-db
BSU_00310	HolB	BSU_29230	DnaE	database	string-db
BSU_00310	HolB	BSU_00020	DnaN	database	string-db
BSU_00310	HolB	BSU_20340	YorL	database	string-db
BSU_00310	HolB	BSU_25560	HolA	database	string-db
BSU_00310	HolB	BSU_29090	PolA	experimental	string-db
BSU_00310	HolB	BSU_00190	DnaX	experimental	string-db
BSU_00310	HolB	BSU_16580	PolC	database	string-db
BSU_00320	YaaT	BSU_14990	YlbF	textmined	string-db
BSU_00320	YaaT	BSU_17020	YmcA	textmined	string-db
BSU_00320	YaaT	BSU_09190	YhcR	experimental	string-db
BSU_00330	DnaH	BSU_29700	AcuB	experimental	string-db
BSU_00330	DnaH	BSU_31250	TlpA	experimental	string-db
BSU_00330	DnaH	BSU_40970	ParA	textmined	string-db
BSU_00330	DnaH	BSU_00020	DnaN	experimental	string-db
BSU_00330	DnaH	BSU_00010	DnaA	experimental	string-db
BSU_00330	DnaH	BSU_31240	McpA	experimental	string-db
BSU_00330	DnaH	BSU_05240	YdeL	experimental	string-db
BSU_00330	DnaH	BSU_39940	YxaL	experimental	string-db
BSU_00370	AbrB	BSU_14120	AbbA	experimental	string-db
BSU_00370	AbrB	BSU_01130	TufA	textmined	string-db
BSU_00380	MetS	BSU_19400	SodC	experimental	string-db
BSU_00380	MetS	BSU_23220	ScpA	experimental	string-db
BSU_00380	MetS	BSU_29740	CcpA	experimental	string-db
BSU_00410	RnmV	BSU_14530	RnjA	textmined	string-db
BSU_00410	RnmV	BSU_16960	Rny	textmined	string-db
BSU_00420	KsgA	BSU_35370	CsrA	textmined	string-db
BSU_00490	SpoVG	BSU_29740	CcpA	experimental	string-db
BSU_00510	Prs	BSU_29740	CcpA	experimental	string-db
BSU_00510	Prs	BSU_24290	XseB	experimental	string-db
BSU_00550	Mfd	BSU_35160	UvrA	textmined	string-db
BSU_00590	HslR	BSU_15640	YloA	experimental	string-db
BSU_00590	HslR	BSU_27940	RpmA	experimental	string-db
BSU_00590	HslR	BSU_16040	RplS	experimental	string-db
BSU_00590	HslR	BSU_01280	RplE	experimental	string-db
BSU_00590	HslR	BSU_15820	RpmB	experimental	string-db
BSU_00590	HslR	BSU_01240	RpmC	experimental	string-db
BSU_00590	HslR	BSU_28860	RpmI	experimental	string-db
BSU_00590	HslR	BSU_01230	RplP	experimental	string-db
