protein_1_locus	protein_1_name	protein_2_locus	protein_2_name	evidence	source
BSU_01180	RplW	BSU_01240	RpmC	experimental	string-db
BSU_01180	RplW	BSU_28860	RpmI	experimental	string-db
BSU_01180	RplW	BSU_01230	RplP	experimental	string-db
BSU_01180	RplW	BSU_01310	RplF	experimental	string-db
BSU_01180	RplW	BSU_01350	RplO	experimental	string-db
BSU_01180	RplW	BSU_01100	RpsL	experimental	string-db
BSU_01180	RplW	BSU_01160	RplC	experimental	string-db
BSU_01180	RplW	BSU_01190	RplB	experimental	string-db
BSU_01180	RplW	BSU_01340	RpmD	experimental	string-db
BSU_01180	RplW	BSU_16490	RpsB	experimental	string-db
BSU_01180	RplW	BSU_00950	MrnC	experimental	string-db
BSU_01180	RplW	BSU_01020	RplK	experimental	string-db
BSU_01180	RplW	BSU_28580	MutSB	experimental	string-db
BSU_01180	RplW	BSU_25550	RpsT	experimental	string-db
BSU_01180	RplW	BSU_27600	Rsh	experimental	string-db
BSU_01180	RplW	BSU_01210	RplV	experimental	string-db
BSU_01180	RplW	BSU_01200	RpsS	experimental	string-db
BSU_01180	RplW	BSU_05610	VmlR	experimental	string-db
BSU_01180	RplW	BSU_01420	RpsK	experimental	string-db
BSU_01180	RplW	BSU_16050	RbgA	experimental	string-db
BSU_01180	RplW	BSU_01330	RpsE	experimental	string-db
BSU_01180	RplW	BSU_01110	RpsG	experimental	string-db
BSU_01180	RplW	BSU_01250	RpsQ	experimental	string-db
BSU_01180	RplW	BSU_15820	RpmB	experimental	string-db
BSU_01180	RplW	BSU_01490	RplM	experimental	string-db
BSU_01180	RplW	BSU_27960	RplU	experimental	string-db
BSU_01180	RplW	BSU_01260	RplNA	experimental	string-db
BSU_01180	RplW	BSU_40500	RplI	experimental	string-db
BSU_01190	RplB	BSU_15980	Ffh	experimental	string-db
BSU_01190	RplB	BSU_01270	RplX	experimental	string-db
BSU_01190	RplB	BSU_15990	RpsP	experimental	string-db
BSU_01190	RplB	BSU_40890	RpsR	experimental	string-db
BSU_01190	RplB	BSU_25410	RpsU	experimental	string-db
BSU_01190	RplB	BSU_27940	RpmA	experimental	string-db
BSU_01190	RplB	BSU_01280	RplE	experimental	string-db
BSU_01190	RplB	BSU_16040	RplS	experimental	string-db
BSU_01190	RplB	BSU_29740	CcpA	experimental	string-db
BSU_01190	RplB	BSU_01500	RpsI	experimental	string-db
BSU_01190	RplB	BSU_40910	RpsF	experimental	string-db
BSU_01190	RplB	BSU_35310	Hpf	experimental	string-db
BSU_01190	RplB	BSU_15080	RpmF	experimental	string-db
BSU_01190	RplB	BSU_41060	RpmH	experimental	string-db
BSU_01190	RplB	BSU_01300	RpsH	experimental	string-db
BSU_01190	RplB	BSU_01040	RplJ	experimental	string-db
BSU_01190	RplB	BSU_01180	RplW	experimental	string-db
BSU_01190	RplB	BSU_16680	RpsO	experimental	string-db
BSU_01190	RplB	BSU_01170	RplD	experimental	string-db
BSU_01190	RplB	BSU_23880	MifM	experimental	string-db
BSU_01190	RplB	BSU_24900	RpmGA	experimental	string-db
BSU_01190	RplB	BSU_01320	RplR	experimental	string-db
BSU_01190	RplB	BSU_01310	RplF	experimental	string-db
BSU_01190	RplB	BSU_01350	RplO	experimental	string-db
BSU_01190	RplB	BSU_01160	RplC	experimental	string-db
BSU_01190	RplB	BSU_01100	RpsL	experimental	string-db
BSU_01190	RplB	BSU_15640	YloA	experimental	string-db
BSU_01190	RplB	BSU_01220	RpsC	experimental	string-db
BSU_01190	RplB	BSU_01290	RpsNA	experimental	string-db
BSU_01190	RplB	BSU_28860	RpmI	experimental	string-db
BSU_01190	RplB	BSU_01230	RplP	experimental	string-db
BSU_01190	RplB	BSU_01240	RpmC	experimental	string-db
BSU_01190	RplB	BSU_01410	RpsM	experimental	string-db
BSU_01190	RplB	BSU_01030	RplA	experimental	string-db
BSU_01190	RplB	BSU_37070	RpmEA	experimental	string-db
BSU_01190	RplB	BSU_28850	RplT	experimental	string-db
BSU_01190	RplB	BSU_01440	RplQ	experimental	string-db
BSU_01190	RplB	BSU_00590	HslR	experimental	string-db
BSU_01190	RplB	BSU_01150	RpsJ	experimental	string-db
BSU_01190	RplB	BSU_01400	RpmJ	experimental	string-db
BSU_01190	RplB	BSU_29660	RpsD	experimental	string-db
BSU_01190	RplB	BSU_01200	RpsS	experimental	string-db
BSU_01190	RplB	BSU_01420	RpsK	experimental	string-db
BSU_01190	RplB	BSU_05610	VmlR	experimental	string-db
BSU_01190	RplB	BSU_28580	MutSB	experimental	string-db
BSU_01190	RplB	BSU_01020	RplK	experimental	string-db
BSU_01190	RplB	BSU_25550	RpsT	experimental	string-db
BSU_01190	RplB	BSU_27600	Rsh	experimental	string-db
BSU_01190	RplB	BSU_01210	RplV	experimental	string-db
BSU_01190	RplB	BSU_16490	RpsB	experimental	string-db
BSU_01190	RplB	BSU_01340	RpmD	experimental	string-db
BSU_01190	RplB	BSU_00950	MrnC	experimental	string-db
BSU_01190	RplB	BSU_27960	RplU	experimental	string-db
BSU_01190	RplB	BSU_01490	RplM	experimental	string-db
BSU_01190	RplB	BSU_01260	RplNA	experimental	string-db
BSU_01190	RplB	BSU_40500	RplI	experimental	string-db
BSU_01190	RplB	BSU_15820	RpmB	experimental	string-db
BSU_01190	RplB	BSU_01110	RpsG	experimental	string-db
BSU_01190	RplB	BSU_01250	RpsQ	experimental	string-db
BSU_01190	RplB	BSU_01330	RpsE	experimental	string-db
BSU_01190	RplB	BSU_16050	RbgA	experimental	string-db
BSU_01200	RpsS	BSU_05610	VmlR	experimental	string-db
BSU_01200	RpsS	BSU_01420	RpsK	experimental	string-db
BSU_01200	RpsS	BSU_22880	RpfA	database	string-db
BSU_01200	RpsS	BSU_01340	RpmD	experimental	string-db
BSU_01200	RpsS	BSU_16490	RpsB	experimental	string-db
BSU_01200	RpsS	BSU_16020	RimM	experimental	string-db
BSU_01200	RpsS	BSU_01190	RplB	experimental	string-db
BSU_01200	RpsS	BSU_01210	RplV	experimental	string-db
BSU_01200	RpsS	BSU_27600	Rsh	experimental	string-db
BSU_01200	RpsS	BSU_25550	RpsT	experimental	string-db
BSU_01200	RpsS	BSU_01020	RplK	experimental	string-db
BSU_01200	RpsS	BSU_28580	MutSB	experimental	string-db
BSU_01200	RpsS	BSU_15820	RpmB	experimental	string-db
BSU_01200	RpsS	BSU_40500	RplI	experimental	string-db
BSU_01200	RpsS	BSU_01260	RplNA	experimental	string-db
BSU_01200	RpsS	BSU_01490	RplM	experimental	string-db
BSU_01200	RpsS	BSU_27960	RplU	experimental	string-db
BSU_01200	RpsS	BSU_00630	YabR	database	string-db
BSU_01200	RpsS	BSU_01330	RpsE	experimental	string-db
BSU_01200	RpsS	BSU_01250	RpsQ	experimental	string-db
BSU_01200	RpsS	BSU_01110	RpsG	experimental	string-db
BSU_01200	RpsS	BSU_01280	RplE	experimental	string-db
BSU_01200	RpsS	BSU_16040	RplS	experimental	string-db
BSU_01200	RpsS	BSU_27940	RpmA	experimental	string-db
BSU_01200	RpsS	BSU_25410	RpsU	experimental	string-db
BSU_01200	RpsS	BSU_40890	RpsR	experimental	string-db
BSU_01200	RpsS	BSU_15990	RpsP	experimental	string-db
BSU_01200	RpsS	BSU_01270	RplX	experimental	string-db
BSU_01200	RpsS	BSU_15980	Ffh	experimental	string-db
BSU_01200	RpsS	BSU_24900	RpmGA	experimental	string-db
BSU_01200	RpsS	BSU_01320	RplR	experimental	string-db
BSU_01200	RpsS	BSU_23880	MifM	experimental	string-db
BSU_01200	RpsS	BSU_01170	RplD	experimental	string-db
BSU_01200	RpsS	BSU_16680	RpsO	experimental	string-db
BSU_01200	RpsS	BSU_01180	RplW	experimental	string-db
BSU_01200	RpsS	BSU_01040	RplJ	experimental	string-db
BSU_01200	RpsS	BSU_01300	RpsH	experimental	string-db
BSU_01200	RpsS	BSU_41060	RpmH	experimental	string-db
BSU_01200	RpsS	BSU_15080	RpmF	experimental	string-db
BSU_01200	RpsS	BSU_35310	Hpf	experimental	string-db
BSU_01200	RpsS	BSU_40910	RpsF	experimental	string-db
BSU_01200	RpsS	BSU_01500	RpsI	experimental	string-db
BSU_01200	RpsS	BSU_01240	RpmC	experimental	string-db
BSU_01200	RpsS	BSU_28860	RpmI	experimental	string-db
BSU_01200	RpsS	BSU_01230	RplP	experimental	string-db
BSU_01200	RpsS	BSU_01290	RpsNA	experimental	string-db
BSU_01200	RpsS	BSU_01220	RpsC	experimental	string-db
BSU_01200	RpsS	BSU_01100	RpsL	experimental	string-db
BSU_01200	RpsS	BSU_01160	RplC	experimental	string-db
BSU_01200	RpsS	BSU_01350	RplO	experimental	string-db
BSU_01200	RpsS	BSU_01310	RplF	experimental	string-db
BSU_01200	RpsS	BSU_29660	RpsD	experimental	string-db
BSU_01200	RpsS	BSU_01400	RpmJ	experimental	string-db
BSU_01200	RpsS	BSU_01150	RpsJ	experimental	string-db
BSU_01200	RpsS	BSU_01440	RplQ	experimental	string-db
BSU_01200	RpsS	BSU_28850	RplT	experimental	string-db
BSU_01200	RpsS	BSU_37070	RpmEA	experimental	string-db
BSU_01200	RpsS	BSU_01030	RplA	experimental	string-db
BSU_01200	RpsS	BSU_01410	RpsM	experimental	string-db
BSU_01210	RplV	BSU_01330	RpsE	experimental	string-db
BSU_01210	RplV	BSU_16050	RbgA	experimental	string-db
BSU_01210	RplV	BSU_01250	RpsQ	experimental	string-db
BSU_01210	RplV	BSU_01110	RpsG	experimental	string-db
BSU_01210	RplV	BSU_15820	RpmB	experimental	string-db
BSU_01210	RplV	BSU_01260	RplNA	experimental	string-db
BSU_01210	RplV	BSU_01490	RplM	experimental	string-db
BSU_01210	RplV	BSU_27960	RplU	experimental	string-db
BSU_01210	RplV	BSU_40500	RplI	experimental	string-db
BSU_01210	RplV	BSU_01190	RplB	experimental	string-db
BSU_01210	RplV	BSU_00950	MrnC	experimental	string-db
BSU_01210	RplV	BSU_16490	RpsB	experimental	string-db
BSU_01210	RplV	BSU_01340	RpmD	experimental	string-db
BSU_01210	RplV	BSU_25550	RpsT	experimental	string-db
BSU_01210	RplV	BSU_28580	MutSB	experimental	string-db
BSU_01210	RplV	BSU_01020	RplK	experimental	string-db
BSU_01210	RplV	BSU_27600	Rsh	experimental	string-db
BSU_01210	RplV	BSU_01200	RpsS	experimental	string-db
BSU_01210	RplV	BSU_01420	RpsK	experimental	string-db
BSU_01210	RplV	BSU_05610	VmlR	experimental	string-db
BSU_01210	RplV	BSU_00590	HslR	experimental	string-db
BSU_01210	RplV	BSU_29660	RpsD	experimental	string-db
BSU_01210	RplV	BSU_01150	RpsJ	experimental	string-db
BSU_01210	RplV	BSU_01400	RpmJ	experimental	string-db
BSU_01210	RplV	BSU_01410	RpsM	experimental	string-db
BSU_01210	RplV	BSU_28850	RplT	experimental	string-db
BSU_01210	RplV	BSU_01440	RplQ	experimental	string-db
BSU_01210	RplV	BSU_01030	RplA	experimental	string-db
BSU_01210	RplV	BSU_37070	RpmEA	experimental	string-db
BSU_01210	RplV	BSU_01230	RplP	experimental	string-db
BSU_01210	RplV	BSU_28860	RpmI	experimental	string-db
BSU_01210	RplV	BSU_01240	RpmC	experimental	string-db
BSU_01210	RplV	BSU_15640	YloA	experimental	string-db
BSU_01210	RplV	BSU_01220	RpsC	experimental	string-db
BSU_01210	RplV	BSU_01290	RpsNA	experimental	string-db
BSU_01210	RplV	BSU_01310	RplF	experimental	string-db
BSU_01210	RplV	BSU_01160	RplC	experimental	string-db
BSU_01210	RplV	BSU_01100	RpsL	experimental	string-db
BSU_01210	RplV	BSU_01350	RplO	experimental	string-db
BSU_01210	RplV	BSU_01040	RplJ	experimental	string-db
BSU_01210	RplV	BSU_01180	RplW	experimental	string-db
BSU_01210	RplV	BSU_16680	RpsO	experimental	string-db
BSU_01210	RplV	BSU_23880	MifM	experimental	string-db
BSU_01210	RplV	BSU_01320	RplR	experimental	string-db
BSU_01210	RplV	BSU_24900	RpmGA	experimental	string-db
BSU_01210	RplV	BSU_01170	RplD	experimental	string-db
BSU_01210	RplV	BSU_40910	RpsF	experimental	string-db
BSU_01210	RplV	BSU_35310	Hpf	experimental	string-db
BSU_01210	RplV	BSU_01500	RpsI	experimental	string-db
BSU_01210	RplV	BSU_15080	RpmF	experimental	string-db
BSU_01210	RplV	BSU_41060	RpmH	experimental	string-db
BSU_01210	RplV	BSU_01300	RpsH	experimental	string-db
BSU_01210	RplV	BSU_25410	RpsU	experimental	string-db
BSU_01210	RplV	BSU_01280	RplE	experimental	string-db
BSU_01210	RplV	BSU_16040	RplS	experimental	string-db
BSU_01210	RplV	BSU_27940	RpmA	experimental	string-db
BSU_01210	RplV	BSU_01270	RplX	experimental	string-db
BSU_01210	RplV	BSU_15980	Ffh	experimental	string-db
BSU_01210	RplV	BSU_15990	RpsP	experimental	string-db
BSU_01210	RplV	BSU_40890	RpsR	experimental	string-db
BSU_01220	RpsC	BSU_15820	RpmB	experimental	string-db
BSU_01220	RpsC	BSU_40500	RplI	experimental	string-db
BSU_01220	RpsC	BSU_27960	RplU	experimental	string-db
BSU_01220	RpsC	BSU_01490	RplM	experimental	string-db
BSU_01220	RpsC	BSU_01260	RplNA	experimental	string-db
BSU_01220	RpsC	BSU_01330	RpsE	experimental	string-db
BSU_01220	RpsC	BSU_15280	FtsA	experimental	string-db
BSU_01220	RpsC	BSU_00630	YabR	database	string-db
BSU_01220	RpsC	BSU_01110	RpsG	experimental	string-db
BSU_01220	RpsC	BSU_01250	RpsQ	experimental	string-db
BSU_01220	RpsC	BSU_19400	SodC	experimental	string-db
BSU_01220	RpsC	BSU_01420	RpsK	experimental	string-db
BSU_01220	RpsC	BSU_05610	VmlR	experimental	string-db
BSU_01220	RpsC	BSU_01200	RpsS	experimental	string-db
BSU_01220	RpsC	BSU_16490	RpsB	experimental	string-db
BSU_01220	RpsC	BSU_01340	RpmD	experimental	string-db
BSU_01220	RpsC	BSU_22880	RpfA	database	string-db
BSU_01220	RpsC	BSU_01190	RplB	experimental	string-db
BSU_01220	RpsC	BSU_27600	Rsh	experimental	string-db
BSU_01220	RpsC	BSU_01210	RplV	experimental	string-db
BSU_01220	RpsC	BSU_28580	MutSB	experimental	string-db
BSU_01220	RpsC	BSU_01020	RplK	experimental	string-db
BSU_01220	RpsC	BSU_25550	RpsT	experimental	string-db
BSU_01220	RpsC	BSU_01290	RpsNA	experimental	string-db
BSU_01220	RpsC	BSU_01230	RplP	experimental	string-db
BSU_01220	RpsC	BSU_28860	RpmI	experimental	string-db
BSU_01220	RpsC	BSU_01240	RpmC	experimental	string-db
BSU_01220	RpsC	BSU_01350	RplO	experimental	string-db
BSU_01220	RpsC	BSU_01160	RplC	experimental	string-db
BSU_01220	RpsC	BSU_01100	RpsL	experimental	string-db
BSU_01220	RpsC	BSU_01310	RplF	experimental	string-db
BSU_01220	RpsC	BSU_01150	RpsJ	experimental	string-db
BSU_01220	RpsC	BSU_01400	RpmJ	experimental	string-db
BSU_01220	RpsC	BSU_29660	RpsD	experimental	string-db
BSU_01220	RpsC	BSU_01030	RplA	experimental	string-db
BSU_01220	RpsC	BSU_37070	RpmEA	experimental	string-db
BSU_01220	RpsC	BSU_28850	RplT	experimental	string-db
BSU_01220	RpsC	BSU_01440	RplQ	experimental	string-db
BSU_01220	RpsC	BSU_01410	RpsM	experimental	string-db
BSU_01220	RpsC	BSU_27940	RpmA	experimental	string-db
BSU_01220	RpsC	BSU_01280	RplE	experimental	string-db
BSU_01220	RpsC	BSU_16040	RplS	experimental	string-db
BSU_01220	RpsC	BSU_25410	RpsU	experimental	string-db
BSU_01220	RpsC	BSU_40890	RpsR	experimental	string-db
BSU_01220	RpsC	BSU_15990	RpsP	experimental	string-db
BSU_01220	RpsC	BSU_15980	Ffh	experimental	string-db
BSU_01220	RpsC	BSU_40440	DnaC	experimental	string-db
BSU_01220	RpsC	BSU_01270	RplX	experimental	string-db
BSU_01220	RpsC	BSU_01170	RplD	experimental	string-db
BSU_01220	RpsC	BSU_23880	MifM	experimental	string-db
BSU_01220	RpsC	BSU_01320	RplR	experimental	string-db
BSU_01220	RpsC	BSU_24900	RpmGA	experimental	string-db
BSU_01220	RpsC	BSU_01180	RplW	experimental	string-db
BSU_01220	RpsC	BSU_01040	RplJ	experimental	string-db
BSU_01220	RpsC	BSU_16680	RpsO	experimental	string-db
BSU_01220	RpsC	BSU_15080	RpmF	experimental	string-db
BSU_01220	RpsC	BSU_41060	RpmH	experimental	string-db
BSU_01220	RpsC	BSU_01300	RpsH	experimental	string-db
BSU_01220	RpsC	BSU_29740	CcpA	experimental	string-db
BSU_01220	RpsC	BSU_01500	RpsI	experimental	string-db
BSU_01220	RpsC	BSU_40910	RpsF	experimental	string-db
BSU_01220	RpsC	BSU_35310	Hpf	experimental	string-db
BSU_01230	RplP	BSU_01200	RpsS	experimental	string-db
BSU_01230	RplP	BSU_05610	VmlR	experimental	string-db
BSU_01230	RplP	BSU_01420	RpsK	experimental	string-db
BSU_01230	RplP	BSU_28580	MutSB	experimental	string-db
BSU_01230	RplP	BSU_01020	RplK	experimental	string-db
BSU_01230	RplP	BSU_25550	RpsT	experimental	string-db
BSU_01230	RplP	BSU_27600	Rsh	experimental	string-db
BSU_01230	RplP	BSU_01210	RplV	experimental	string-db
BSU_01230	RplP	BSU_01190	RplB	experimental	string-db
BSU_01230	RplP	BSU_01340	RpmD	experimental	string-db
BSU_01230	RplP	BSU_16490	RpsB	experimental	string-db
BSU_01230	RplP	BSU_00950	MrnC	experimental	string-db
BSU_01230	RplP	BSU_27960	RplU	experimental	string-db
BSU_01230	RplP	BSU_01490	RplM	experimental	string-db
BSU_01230	RplP	BSU_01260	RplNA	experimental	string-db
BSU_01230	RplP	BSU_40500	RplI	experimental	string-db
BSU_01230	RplP	BSU_15820	RpmB	experimental	string-db
BSU_01230	RplP	BSU_01110	RpsG	experimental	string-db
BSU_01230	RplP	BSU_01250	RpsQ	experimental	string-db
BSU_01230	RplP	BSU_01330	RpsE	experimental	string-db
BSU_01230	RplP	BSU_15980	Ffh	experimental	string-db
BSU_01230	RplP	BSU_01270	RplX	experimental	string-db
BSU_01230	RplP	BSU_40890	RpsR	experimental	string-db
BSU_01230	RplP	BSU_15990	RpsP	experimental	string-db
BSU_01230	RplP	BSU_25410	RpsU	experimental	string-db
BSU_01230	RplP	BSU_27940	RpmA	experimental	string-db
BSU_01230	RplP	BSU_16040	RplS	experimental	string-db
BSU_01230	RplP	BSU_01280	RplE	experimental	string-db
BSU_01230	RplP	BSU_01500	RpsI	experimental	string-db
BSU_01230	RplP	BSU_40910	RpsF	experimental	string-db
BSU_01230	RplP	BSU_35310	Hpf	experimental	string-db
BSU_01230	RplP	BSU_41060	RpmH	experimental	string-db
BSU_01230	RplP	BSU_01300	RpsH	experimental	string-db
BSU_01230	RplP	BSU_15080	RpmF	experimental	string-db
BSU_01230	RplP	BSU_16680	RpsO	experimental	string-db
BSU_01230	RplP	BSU_01040	RplJ	experimental	string-db
BSU_01230	RplP	BSU_01180	RplW	experimental	string-db
BSU_01230	RplP	BSU_01170	RplD	experimental	string-db
BSU_01230	RplP	BSU_01320	RplR	experimental	string-db
BSU_01230	RplP	BSU_24900	RpmGA	experimental	string-db
BSU_01230	RplP	BSU_23880	MifM	experimental	string-db
BSU_01230	RplP	BSU_01310	RplF	experimental	string-db
BSU_01230	RplP	BSU_01350	RplO	experimental	string-db
BSU_01230	RplP	BSU_01100	RpsL	experimental	string-db
BSU_01230	RplP	BSU_01160	RplC	experimental	string-db
BSU_01230	RplP	BSU_15640	YloA	experimental	string-db
BSU_01230	RplP	BSU_01220	RpsC	experimental	string-db
BSU_01230	RplP	BSU_01290	RpsNA	experimental	string-db
BSU_01230	RplP	BSU_28860	RpmI	experimental	string-db
BSU_01230	RplP	BSU_01240	RpmC	experimental	string-db
BSU_01230	RplP	BSU_01410	RpsM	experimental	string-db
BSU_01230	RplP	BSU_01030	RplA	experimental	string-db
BSU_01230	RplP	BSU_37070	RpmEA	experimental	string-db
BSU_01230	RplP	BSU_01440	RplQ	experimental	string-db
BSU_01230	RplP	BSU_28850	RplT	experimental	string-db
BSU_01230	RplP	BSU_00590	HslR	experimental	string-db
BSU_01230	RplP	BSU_01400	RpmJ	experimental	string-db
BSU_01230	RplP	BSU_01150	RpsJ	experimental	string-db
BSU_01230	RplP	BSU_29660	RpsD	experimental	string-db
BSU_01240	RpmC	BSU_01200	RpsS	experimental	string-db
BSU_01240	RpmC	BSU_05610	VmlR	experimental	string-db
BSU_01240	RpmC	BSU_01420	RpsK	experimental	string-db
BSU_01240	RpmC	BSU_01190	RplB	experimental	string-db
BSU_01240	RpmC	BSU_01340	RpmD	experimental	string-db
BSU_01240	RpmC	BSU_16490	RpsB	experimental	string-db
BSU_01240	RpmC	BSU_00950	MrnC	experimental	string-db
BSU_01240	RpmC	BSU_28580	MutSB	experimental	string-db
BSU_01240	RpmC	BSU_01020	RplK	experimental	string-db
BSU_01240	RpmC	BSU_25550	RpsT	experimental	string-db
BSU_01240	RpmC	BSU_27600	Rsh	experimental	string-db
BSU_01240	RpmC	BSU_01210	RplV	experimental	string-db
BSU_01240	RpmC	BSU_15820	RpmB	experimental	string-db
BSU_01240	RpmC	BSU_01490	RplM	experimental	string-db
BSU_01240	RpmC	BSU_27960	RplU	experimental	string-db
BSU_01240	RpmC	BSU_01260	RplNA	experimental	string-db
BSU_01240	RpmC	BSU_40500	RplI	experimental	string-db
BSU_01240	RpmC	BSU_16050	RbgA	experimental	string-db
BSU_01240	RpmC	BSU_01330	RpsE	experimental	string-db
BSU_01240	RpmC	BSU_01110	RpsG	experimental	string-db
BSU_01240	RpmC	BSU_01250	RpsQ	experimental	string-db
BSU_01240	RpmC	BSU_25410	RpsU	experimental	string-db
BSU_01240	RpmC	BSU_27940	RpmA	experimental	string-db
BSU_01240	RpmC	BSU_01280	RplE	experimental	string-db
BSU_01240	RpmC	BSU_16040	RplS	experimental	string-db
BSU_01240	RpmC	BSU_15980	Ffh	experimental	string-db
BSU_01240	RpmC	BSU_01270	RplX	experimental	string-db
BSU_01240	RpmC	BSU_40890	RpsR	experimental	string-db
BSU_01240	RpmC	BSU_15990	RpsP	experimental	string-db
BSU_01240	RpmC	BSU_16680	RpsO	experimental	string-db
BSU_01240	RpmC	BSU_01040	RplJ	experimental	string-db
BSU_01240	RpmC	BSU_01180	RplW	experimental	string-db
BSU_01240	RpmC	BSU_01170	RplD	experimental	string-db
BSU_01240	RpmC	BSU_24900	RpmGA	experimental	string-db
BSU_01240	RpmC	BSU_01320	RplR	experimental	string-db
BSU_01240	RpmC	BSU_23880	MifM	experimental	string-db
BSU_01240	RpmC	BSU_01500	RpsI	experimental	string-db
BSU_01240	RpmC	BSU_40910	RpsF	experimental	string-db
BSU_01240	RpmC	BSU_35310	Hpf	experimental	string-db
BSU_01240	RpmC	BSU_41060	RpmH	experimental	string-db
BSU_01240	RpmC	BSU_01300	RpsH	experimental	string-db
BSU_01240	RpmC	BSU_15080	RpmF	experimental	string-db
BSU_01240	RpmC	BSU_01220	RpsC	experimental	string-db
BSU_01240	RpmC	BSU_15640	YloA	experimental	string-db
BSU_01240	RpmC	BSU_01290	RpsNA	experimental	string-db
BSU_01240	RpmC	BSU_01230	RplP	experimental	string-db
BSU_01240	RpmC	BSU_28860	RpmI	experimental	string-db
BSU_01240	RpmC	BSU_01310	RplF	experimental	string-db
BSU_01240	RpmC	BSU_01350	RplO	experimental	string-db
BSU_01240	RpmC	BSU_01100	RpsL	experimental	string-db
BSU_01240	RpmC	BSU_01160	RplC	experimental	string-db
BSU_01240	RpmC	BSU_00590	HslR	experimental	string-db
BSU_01240	RpmC	BSU_01400	RpmJ	experimental	string-db
BSU_01240	RpmC	BSU_01150	RpsJ	experimental	string-db
BSU_01240	RpmC	BSU_29660	RpsD	experimental	string-db
BSU_01240	RpmC	BSU_01410	RpsM	experimental	string-db
BSU_01240	RpmC	BSU_01030	RplA	experimental	string-db
BSU_01240	RpmC	BSU_37070	RpmEA	experimental	string-db
BSU_01240	RpmC	BSU_01440	RplQ	experimental	string-db
BSU_01240	RpmC	BSU_28850	RplT	experimental	string-db
BSU_01250	RpsQ	BSU_25550	RpsT	experimental	string-db
BSU_01250	RpsQ	BSU_01020	RplK	experimental	string-db
BSU_01250	RpsQ	BSU_28580	MutSB	experimental	string-db
BSU_01250	RpsQ	BSU_01210	RplV	experimental	string-db
BSU_01250	RpsQ	BSU_27600	Rsh	experimental	string-db
BSU_01250	RpsQ	BSU_01190	RplB	experimental	string-db
BSU_01250	RpsQ	BSU_22880	RpfA	database	string-db
BSU_01250	RpsQ	BSU_16490	RpsB	experimental	string-db
BSU_01250	RpsQ	BSU_01340	RpmD	experimental	string-db
BSU_01250	RpsQ	BSU_01200	RpsS	experimental	string-db
BSU_01250	RpsQ	BSU_01420	RpsK	experimental	string-db
BSU_01250	RpsQ	BSU_05610	VmlR	experimental	string-db
BSU_01250	RpsQ	BSU_01110	RpsG	experimental	string-db
BSU_01250	RpsQ	BSU_00630	YabR	database	string-db
BSU_01250	RpsQ	BSU_01330	RpsE	experimental	string-db
BSU_01250	RpsQ	BSU_01260	RplNA	experimental	string-db
BSU_01250	RpsQ	BSU_01490	RplM	experimental	string-db
BSU_01250	RpsQ	BSU_27960	RplU	experimental	string-db
BSU_01250	RpsQ	BSU_40500	RplI	experimental	string-db
BSU_01250	RpsQ	BSU_15820	RpmB	experimental	string-db
BSU_01250	RpsQ	BSU_35310	Hpf	experimental	string-db
BSU_01250	RpsQ	BSU_40910	RpsF	experimental	string-db
BSU_01250	RpsQ	BSU_01500	RpsI	experimental	string-db
BSU_01250	RpsQ	BSU_15080	RpmF	experimental	string-db
BSU_01250	RpsQ	BSU_01300	RpsH	experimental	string-db
BSU_01250	RpsQ	BSU_41060	RpmH	experimental	string-db
BSU_01250	RpsQ	BSU_01180	RplW	experimental	string-db
BSU_01250	RpsQ	BSU_01040	RplJ	experimental	string-db
BSU_01250	RpsQ	BSU_16680	RpsO	experimental	string-db
BSU_01250	RpsQ	BSU_23880	MifM	experimental	string-db
BSU_01250	RpsQ	BSU_01320	RplR	experimental	string-db
BSU_01250	RpsQ	BSU_24900	RpmGA	experimental	string-db
BSU_01250	RpsQ	BSU_01170	RplD	experimental	string-db
BSU_01250	RpsQ	BSU_01270	RplX	experimental	string-db
BSU_01250	RpsQ	BSU_15980	Ffh	experimental	string-db
BSU_01250	RpsQ	BSU_15990	RpsP	experimental	string-db
BSU_01250	RpsQ	BSU_40890	RpsR	experimental	string-db
BSU_01250	RpsQ	BSU_25410	RpsU	experimental	string-db
BSU_01250	RpsQ	BSU_16040	RplS	experimental	string-db
BSU_01250	RpsQ	BSU_01280	RplE	experimental	string-db
BSU_01250	RpsQ	BSU_27940	RpmA	experimental	string-db
BSU_01250	RpsQ	BSU_01410	RpsM	experimental	string-db
BSU_01250	RpsQ	BSU_28850	RplT	experimental	string-db
BSU_01250	RpsQ	BSU_01440	RplQ	experimental	string-db
BSU_01250	RpsQ	BSU_37070	RpmEA	experimental	string-db
BSU_01250	RpsQ	BSU_01030	RplA	experimental	string-db
BSU_01250	RpsQ	BSU_29660	RpsD	experimental	string-db
BSU_01250	RpsQ	BSU_01150	RpsJ	experimental	string-db
BSU_01250	RpsQ	BSU_01400	RpmJ	experimental	string-db
BSU_01250	RpsQ	BSU_01310	RplF	experimental	string-db
BSU_01250	RpsQ	BSU_01160	RplC	experimental	string-db
BSU_01250	RpsQ	BSU_01100	RpsL	experimental	string-db
BSU_01250	RpsQ	BSU_01350	RplO	experimental	string-db
BSU_01250	RpsQ	BSU_01240	RpmC	experimental	string-db
BSU_01250	RpsQ	BSU_28860	RpmI	experimental	string-db
BSU_01250	RpsQ	BSU_01230	RplP	experimental	string-db
