regulator_locus	regulator_name	mode	gene_locus	gene_name	link
BSU_36420	spoIIID	activation	BSU_36040	ywrJ	224308.BSU36420/224308.BSU36040
BSU_36420	spoIIID	activation	BSU_36060	cotH	224308.BSU36420/224308.BSU36060
BSU_25200	sigA	sigma factor	BSU_23250	ribH	224308.BSU25200/224308.BSU23250
BSU_25200	sigA	sigma factor	BSU_23280	ribD	224308.BSU25200/224308.BSU23280
BSU_25200	sigA	sigma factor	BSU_23270	ribE	224308.BSU25200/224308.BSU23270
BSU_25200	sigA	sigma factor	BSU_23240	ribT	224308.BSU25200/224308.BSU23240
BSU_25200	sigA	sigma factor	BSU_23260	ribA	224308.BSU25200/224308.BSU23260
NA	FMN-box	RNA switch	BSU_23250	ribH	224308.NA/224308.BSU23250
NA	FMN-box	RNA switch	BSU_23280	ribD	224308.NA/224308.BSU23280
NA	FMN-box	RNA switch	BSU_23270	ribE	224308.NA/224308.BSU23270
NA	FMN-box	RNA switch	BSU_23240	ribT	224308.NA/224308.BSU23240
NA	FMN-box	RNA switch	BSU_23260	ribA	224308.NA/224308.BSU23260
BSU_25200	sigA	sigma factor	BSU_15560	pyrE	224308.BSU25200/224308.BSU15560
BSU_25200	sigA	sigma factor	BSU_15550	pyrF	224308.BSU25200/224308.BSU15550
BSU_25200	sigA	sigma factor	BSU_15470	pyrR	224308.BSU25200/224308.BSU15470
BSU_25200	sigA	sigma factor	BSU_15480	pyrP	224308.BSU25200/224308.BSU15480
BSU_25200	sigA	sigma factor	BSU_15490	pyrB	224308.BSU25200/224308.BSU15490
BSU_25200	sigA	sigma factor	BSU_15530	pyrK	224308.BSU25200/224308.BSU15530
BSU_25200	sigA	sigma factor	BSU_15500	pyrC	224308.BSU25200/224308.BSU15500
BSU_25200	sigA	sigma factor	BSU_15520	pyrAB	224308.BSU25200/224308.BSU15520
BSU_25200	sigA	sigma factor	BSU_15540	pyrD	224308.BSU25200/224308.BSU15540
BSU_25200	sigA	sigma factor	BSU_15510	pyrAA	224308.BSU25200/224308.BSU15510
BSU_15470	pyrR	termination	BSU_15560	pyrE	224308.BSU15470/224308.BSU15560
BSU_15470	pyrR	termination	BSU_15550	pyrF	224308.BSU15470/224308.BSU15550
BSU_15470	pyrR	termination	BSU_15470	pyrR	224308.BSU15470/224308.BSU15470
BSU_15470	pyrR	termination	BSU_15480	pyrP	224308.BSU15470/224308.BSU15480
BSU_15470	pyrR	termination	BSU_15490	pyrB	224308.BSU15470/224308.BSU15490
BSU_15470	pyrR	termination	BSU_15530	pyrK	224308.BSU15470/224308.BSU15530
BSU_15470	pyrR	termination	BSU_15500	pyrC	224308.BSU15470/224308.BSU15500
BSU_15470	pyrR	termination	BSU_15520	pyrAB	224308.BSU15470/224308.BSU15520
BSU_15470	pyrR	termination	BSU_15540	pyrD	224308.BSU15470/224308.BSU15540
BSU_15470	pyrR	termination	BSU_15510	pyrAA	224308.BSU15470/224308.BSU15510
BSU_29740	ccpA	repression	BSU_39390	hutM	224308.BSU29740/224308.BSU39390
BSU_29740	ccpA	repression	BSU_39340	hutP	224308.BSU29740/224308.BSU39340
BSU_29740	ccpA	repression	BSU_39370	hutI	224308.BSU29740/224308.BSU39370
BSU_29740	ccpA	repression	BSU_39350	hutH	224308.BSU29740/224308.BSU39350
BSU_29740	ccpA	repression	BSU_39360	hutU	224308.BSU29740/224308.BSU39360
BSU_29740	ccpA	repression	BSU_39380	hutG	224308.BSU29740/224308.BSU39380
BSU_16170	codY	repression	BSU_39390	hutM	224308.BSU16170/224308.BSU39390
BSU_16170	codY	repression	BSU_39340	hutP	224308.BSU16170/224308.BSU39340
BSU_16170	codY	repression	BSU_39370	hutI	224308.BSU16170/224308.BSU39370
BSU_16170	codY	repression	BSU_39350	hutH	224308.BSU16170/224308.BSU39350
BSU_16170	codY	repression	BSU_39360	hutU	224308.BSU16170/224308.BSU39360
