protein1 protein2 homology experiments experiments_transferred database database_transferred textmining textmining_transferred combined_score
224308.BSU00060 224308.BSU25470 0 0 0 0 0 0 200 200
224308.BSU00070 224308.BSU00060 0 0 580 0 0 981 199 993
224308.BSU00070 224308.BSU24300 0 176 0 0 0 0 0 175
224308.BSU00070 224308.BSU41000 0 0 171 0 0 0 0 171
224308.BSU00070 224308.BSU35360 0 0 268 0 0 0 0 268
224308.BSU00070 224308.BSU31240 0 176 0 0 0 0 0 175
224308.BSU00070 224308.BSU20060 0 0 0 0 0 0 303 303
224308.BSU00070 224308.BSU27940 0 0 171 0 0 0 0 171
224308.BSU00070 224308.BSU35400 0 0 268 0 0 0 0 268
224308.BSU00070 224308.BSU29740 0 526 0 0 0 0 0 526
224308.BSU00070 224308.BSU31250 0 176 0 0 0 0 0 175
224308.BSU00070 224308.BSU35150 0 0 268 0 0 0 0 268
224308.BSU00070 224308.BSU15290 0 0 233 0 0 0 0 232
224308.BSU00070 224308.BSU18100 0 0 0 540 0 46 0 542
224308.BSU00070 224308.BSU29230 0 176 0 0 0 0 0 175
224308.BSU00070 224308.BSU01200 0 0 202 0 0 0 0 202
224308.BSU00070 224308.BSU14010 0 0 68 0 0 0 299 318
224308.BSU00070 224308.BSU16430 0 0 0 0 0 0 191 191
224308.BSU00070 224308.BSU18090 0 0 580 0 0 0 199 649
224308.BSU00080 224308.BSU38520 0 0 195 0 0 0 0 195
224308.BSU00080 224308.BSU15920 0 0 195 0 0 0 0 195
224308.BSU00080 224308.BSU17200 0 0 196 0 0 0 0 196
224308.BSU00080 224308.BSU17210 0 0 196 0 0 0 0 196
224308.BSU00080 224308.BSU17130 0 0 195 0 0 0 0 195
224308.BSU00080 224308.BSU23640 0 0 275 0 0 0 0 275
224308.BSU00080 224308.BSU17220 0 0 195 0 0 0 0 195
224308.BSU00080 224308.BSU03490 0 0 195 0 0 0 0 195
224308.BSU00080 224308.BSU11150 0 0 275 0 0 0 0 275
224308.BSU00080 224308.BSU03510 0 0 195 0 0 0 0 195
224308.BSU00080 224308.BSU31960 0 0 195 0 0 0 0 195
224308.BSU00080 224308.BSU17180 0 0 196 0 0 0 0 196
224308.BSU00090 224308.BSU35200 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU31220 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU28310 0 0 207 0 0 0 0 207
224308.BSU00090 224308.BSU06030 0 0 227 0 0 0 306 440
224308.BSU00090 224308.BSU01710 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU17210 0 0 214 0 0 0 0 214
224308.BSU00090 224308.BSU33190 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU39820 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU37720 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU07900 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU14150 0 0 213 0 0 0 0 213
224308.BSU00090 224308.BSU38290 0 0 203 0 0 0 0 203
224308.BSU00090 224308.BSU26530 0 0 250 0 0 0 0 250
224308.BSU00090 224308.BSU24060 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU31840 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU24460 0 0 448 0 0 0 0 448
224308.BSU00090 224308.BSU33910 0 0 331 0 0 0 0 331
224308.BSU00090 224308.BSU33590 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU14170 0 0 213 0 0 0 0 213
224308.BSU00090 224308.BSU37880 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU16450 0 0 314 0 0 0 0 313
224308.BSU00090 224308.BSU39850 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU21550 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU08370 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU22880 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU22140 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU28440 0 0 253 0 0 0 0 252
224308.BSU00090 224308.BSU17500 0 0 206 0 0 0 0 206
224308.BSU00090 224308.BSU33030 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU32000 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU34670 0 0 197 0 0 0 0 197
224308.BSU00090 224308.BSU30310 0 0 250 0 0 0 0 250
224308.BSU00090 224308.BSU05350 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU35340 0 0 355 0 0 0 0 355
224308.BSU00090 224308.BSU13080 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU10430 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU04340 0 0 207 0 0 0 0 207
224308.BSU00090 224308.BSU19010 0 0 206 0 0 0 0 206
224308.BSU00090 224308.BSU29630 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU35170 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU29680 0 0 213 0 0 0 0 213
224308.BSU00090 224308.BSU11710 0 0 226 0 0 0 0 225
224308.BSU00090 224308.BSU10400 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU35150 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU14770 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU30690 0 0 197 0 0 0 0 197
224308.BSU00090 224308.BSU05580 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU35410 0 0 355 0 0 0 0 355
224308.BSU00090 224308.BSU08090 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU12040 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU28550 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU39840 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU08650 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU06700 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU03850 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU38220 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU24540 0 0 250 0 0 0 0 250
224308.BSU00090 224308.BSU36010 0 0 207 0 0 0 0 207
224308.BSU00090 224308.BSU39990 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU17200 0 0 214 0 0 0 0 214
224308.BSU00090 224308.BSU29560 0 0 213 0 0 0 0 213
224308.BSU00090 224308.BSU27170 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU04210 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU38020 0 0 226 0 0 0 0 225
224308.BSU00090 224308.BSU06620 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU01480 0 0 190 0 0 0 0 190
224308.BSU00090 224308.BSU26510 0 0 250 0 0 0 0 250
224308.BSU00090 224308.BSU25200 0 0 247 0 0 0 0 246
224308.BSU00090 224308.BSU17180 0 0 258 0 0 0 0 258
224308.BSU00090 224308.BSU16870 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU15910 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU16320 0 0 314 0 0 0 0 313
224308.BSU00090 224308.BSU07735 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU03930 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU06860 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU17890 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU35400 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU21870 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU32910 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU29740 0 526 0 0 0 0 0 526
224308.BSU00090 224308.BSU17520 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU33470 0 0 203 0 0 0 0 203
224308.BSU00090 224308.BSU00720 0 0 203 0 0 0 0 203
224308.BSU00090 224308.BSU29420 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU27550 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU38970 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU13860 0 0 448 0 0 0 0 448
224308.BSU00090 224308.BSU19070 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU30940 0 0 0 0 0 0 211 211
224308.BSU00090 224308.BSU15710 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU40420 0 0 0 0 0 0 306 306
224308.BSU00090 224308.BSU13770 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU01310 0 0 260 0 0 0 0 260
224308.BSU00090 224308.BSU35660 0 0 213 0 0 0 0 213
224308.BSU00090 224308.BSU18530 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU01860 0 0 197 0 0 0 0 197
224308.BSU00090 224308.BSU17190 0 0 214 0 0 0 0 214
224308.BSU00090 224308.BSU09450 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU11890 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU10150 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU09950 0 0 203 0 0 0 0 203
224308.BSU00090 224308.BSU14060 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU02680 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU11660 0 0 203 0 0 0 0 203
224308.BSU00090 224308.BSU12350 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU37680 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU34480 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU21440 0 0 203 0 0 0 0 203
224308.BSU00090 224308.BSU11980 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU37150 0 0 56 0 0 0 306 316
224308.BSU00090 224308.BSU02830 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU32250 0 0 266 0 0 0 0 266
224308.BSU00090 224308.BSU21590 0 0 206 0 0 0 0 206
224308.BSU00090 224308.BSU14610 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU23250 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU01150 0 0 59 0 0 0 205 219
224308.BSU00090 224308.BSU32900 0 0 202 0 0 0 0 202
224308.BSU00090 224308.BSU23380 0 0 213 0 0 0 0 213
224308.BSU00090 224308.BSU37810 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU33580 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU41010 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU35360 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU25510 0 0 227 0 0 0 0 226
224308.BSU00090 224308.BSU05320 0 0 166 0 0 0 0 165
224308.BSU00090 224308.BSU26600 0 0 189 0 0 0 0 189
224308.BSU00090 224308.BSU04190 0 0 202 0 0 0 0 202
224308.BSU00100 224308.BSU23480 0 0 0 900 0 0 0 900
224308.BSU00100 224308.BSU22320 0 0 0 900 0 0 0 900
224308.BSU00100 224308.BSU10110 0 0 0 900 0 0 0 900
224308.BSU00100 224308.BSU01670 0 0 0 900 0 0 0 900
224308.BSU00100 224308.BSU18350 0 0 0 900 0 0 0 900
224308.BSU00100 224308.BSU23190 0 0 0 900 0 0 0 900
224308.BSU00100 224308.BSU19620 0 0 0 900 0 0 0 900
224308.BSU00110 224308.BSU00120 0 960 766 900 0 576 206 999
224308.BSU00110 224308.BSU29740 0 526 0 0 0 0 0 526
224308.BSU00110 224308.BSU30320 0 0 172 0 0 0 0 171
224308.BSU00120 224308.BSU29740 0 526 0 0 0 0 0 526
224308.BSU00120 224308.BSU00110 0 960 766 900 0 576 206 999
224308.BSU00130 224308.BSU03510 0 0 497 0 0 0 0 497
224308.BSU00130 224308.BSU15430 0 0 0 0 0 0 225 224
224308.BSU00130 224308.BSU02700 0 0 184 0 0 0 0 183
224308.BSU00130 224308.BSU00920 0 0 0 0 0 0 231 230
224308.BSU00130 224308.BSU15920 0 0 497 0 0 0 0 497
224308.BSU00130 224308.BSU00940 0 0 42 0 0 0 228 228
224308.BSU00130 224308.BSU31960 0 0 497 0 0 0 0 497
224308.BSU00130 224308.BSU03490 0 0 497 0 0 0 0 497
224308.BSU00130 224308.BSU01100 0 0 0 0 0 0 213 213
224308.BSU00130 224308.BSU37330 0 0 221 0 0 0 226 371
224308.BSU00130 224308.BSU06680 0 0 0 0 0 0 210 210
224308.BSU00130 224308.BSU17220 0 0 497 0 0 0 0 497
224308.BSU00130 224308.BSU17130 0 0 497 0 0 0 0 497
224308.BSU00130 224308.BSU08350 0 0 184 0 0 0 0 183
224308.BSU00130 224308.BSU27560 0 0 216 0 0 0 0 216
224308.BSU00130 224308.BSU17180 0 0 555 0 0 0 0 555
224308.BSU00130 224308.BSU30320 0 0 0 0 0 0 225 224
224308.BSU00130 224308.BSU29900 0 0 324 0 0 0 0 323
224308.BSU00130 224308.BSU38520 0 0 497 0 0 0 0 497
224308.BSU00130 224308.BSU17210 0 0 555 0 0 0 0 555
224308.BSU00130 224308.BSU17200 0 0 555 0 0 0 0 555
224308.BSU00140 224308.BSU06880 0 0 538 0 357 0 79 702
224308.BSU00140 224308.BSU03490 0 0 311 0 129 0 0 374
224308.BSU00140 224308.BSU37600 0 0 227 0 0 0 0 226
224308.BSU00140 224308.BSU10390 0 0 522 0 0 0 0 522
224308.BSU00140 224308.BSU31960 0 0 311 0 129 0 0 374
224308.BSU00140 224308.BSU14900 0 0 499 0 0 0 0 499
224308.BSU00140 224308.BSU17180 0 0 483 0 129 0 0 530
224308.BSU00140 224308.BSU38150 0 0 499 0 0 0 0 499
224308.BSU00140 224308.BSU38170 0 0 334 0 0 0 0 334
224308.BSU00140 224308.BSU38520 0 0 311 0 129 0 0 374
224308.BSU00140 224308.BSU17210 0 0 483 0 129 0 0 530
224308.BSU00140 224308.BSU17200 0 0 483 0 129 0 0 530
224308.BSU00140 224308.BSU16710 0 0 307 0 0 0 0 307
224308.BSU00140 224308.BSU22550 0 0 517 0 0 0 0 517
224308.BSU00140 224308.BSU10260 0 0 538 0 357 0 79 702
224308.BSU00140 224308.BSU38160 0 0 499 0 0 0 0 499
224308.BSU00140 224308.BSU07840 0 0 0 900 0 0 0 900
224308.BSU00140 224308.BSU17220 0 0 311 0 129 0 0 374
224308.BSU00140 224308.BSU37410 0 0 307 0 0 0 0 307
224308.BSU00140 224308.BSU16860 0 0 307 0 0 0 0 307
224308.BSU00140 224308.BSU16845 0 0 307 0 0 0 0 307
224308.BSU00140 224308.BSU03510 0 0 311 0 129 0 0 374
224308.BSU00140 224308.BSU05780 0 0 227 0 0 0 0 226
224308.BSU00140 224308.BSU22540 0 0 517 0 0 0 0 517
224308.BSU00140 224308.BSU14890 0 0 953 0 0 0 0 953
224308.BSU00140 224308.BSU15920 0 0 311 0 129 0 0 374
224308.BSU00140 224308.BSU14910 0 0 499 0 0 0 0 499
224308.BSU00140 224308.BSU17130 0 0 311 0 129 0 0 374
224308.BSU00140 224308.BSU22560 0 0 522 0 0 0 0 522
224308.BSU00140 224308.BSU37420 0 0 307 0 0 0 0 307
224308.BSU00150 224308.BSU38160 0 0 499 0 0 0 0 499
224308.BSU00150 224308.BSU16710 0 0 307 0 0 0 0 307
224308.BSU00150 224308.BSU17210 0 0 483 0 129 0 0 530
224308.BSU00150 224308.BSU17200 0 0 483 0 129 0 0 530
224308.BSU00150 224308.BSU22550 0 0 517 0 0 0 0 517
224308.BSU00150 224308.BSU10260 0 0 538 0 357 0 79 702
224308.BSU00150 224308.BSU38170 0 0 334 0 0 0 0 334
224308.BSU00150 224308.BSU38150 0 0 499 0 0 0 0 499
224308.BSU00150 224308.BSU38520 0 0 311 0 129 0 0 374
224308.BSU00150 224308.BSU17180 0 0 483 0 129 0 0 530
224308.BSU00150 224308.BSU31960 0 0 311 0 129 0 0 374
224308.BSU00150 224308.BSU14900 0 0 499 0 0 0 0 499
224308.BSU00150 224308.BSU10390 0 0 522 0 0 0 0 522
224308.BSU00150 224308.BSU06880 0 0 538 0 357 0 79 702
224308.BSU00150 224308.BSU03490 0 0 311 0 129 0 0 374
224308.BSU00150 224308.BSU37600 0 0 227 0 0 0 0 226
224308.BSU00150 224308.BSU37420 0 0 307 0 0 0 0 307
224308.BSU00150 224308.BSU17130 0 0 311 0 129 0 0 374
224308.BSU00150 224308.BSU22560 0 0 522 0 0 0 0 522
224308.BSU00150 224308.BSU15920 0 0 311 0 129 0 0 374
224308.BSU00150 224308.BSU14910 0 0 499 0 0 0 0 499
224308.BSU00150 224308.BSU14890 0 0 953 0 0 0 0 953
224308.BSU00150 224308.BSU22540 0 0 517 0 0 0 0 517
224308.BSU00150 224308.BSU16860 0 0 307 0 0 0 0 307
224308.BSU00150 224308.BSU05780 0 0 227 0 0 0 0 226
224308.BSU00150 224308.BSU16845 0 0 307 0 0 0 0 307
224308.BSU00150 224308.BSU03510 0 0 311 0 129 0 0 374
224308.BSU00150 224308.BSU37410 0 0 307 0 0 0 0 307
224308.BSU00150 224308.BSU17220 0 0 311 0 129 0 0 374
224308.BSU00160 224308.BSU17030 0 0 0 0 0 358 0 358
224308.BSU00160 224308.BSU02600 0 0 0 0 0 300 0 300
224308.BSU00190 224308.BSU16580 0 176 0 900 0 263 213 945
224308.BSU00190 224308.BSU22590 0 0 181 0 0 0 0 181
224308.BSU00190 224308.BSU00310 0 176 860 900 0 631 228 996
224308.BSU00190 224308.BSU07390 0 0 214 0 0 0 0 214
224308.BSU00190 224308.BSU13310 0 0 214 0 0 0 0 214
224308.BSU00190 224308.BSU40440 0 176 303 0 0 0 200 500
224308.BSU00190 224308.BSU16320 0 0 224 0 0 0 0 224
224308.BSU00190 224308.BSU17050 0 0 236 0 0 0 0 236
224308.BSU00190 224308.BSU08940 0 0 212 0 0 0 0 212
224308.BSU00190 224308.BSU07520 0 0 232 0 0 0 0 231
224308.BSU00190 224308.BSU40800 0 0 214 0 0 0 0 214
224308.BSU00190 224308.BSU27000 0 0 214 0 0 0 0 214
224308.BSU00190 224308.BSU17450 0 0 214 0 0 0 0 214
224308.BSU00190 224308.BSU36600 0 0 214 0 0 0 0 214
224308.BSU00190 224308.BSU36310 0 0 490 0 0 0 0 489
224308.BSU00190 224308.BSU30540 0 0 0 0 0 435 0 435
224308.BSU00190 224308.BSU06670 0 0 231 0 0 0 0 230
224308.BSU00190 224308.BSU09560 0 0 214 0 0 0 0 214
224308.BSU00190 224308.BSU16030 0 0 0 0 0 372 78 396
224308.BSU00190 224308.BSU00020 0 0 816 900 0 488 212 991
224308.BSU00190 224308.BSU20340 0 0 704 900 0 0 200 974
224308.BSU00190 224308.BSU05460 0 0 214 0 0 0 0 214
224308.BSU00190 224308.BSU26150 0 176 0 0 0 0 0 175
224308.BSU00190 224308.BSU29230 0 0 704 900 0 0 200 974
224308.BSU00190 224308.BSU25280 0 0 230 0 0 0 0 229
224308.BSU00190 224308.BSU20370 0 0 303 0 0 0 200 418
224308.BSU00190 224308.BSU15750 0 0 253 0 0 0 0 252
224308.BSU00190 224308.BSU26580 0 0 214 0 0 0 0 214
224308.BSU00190 224308.BSU25560 0 176 860 900 0 467 213 994
224308.BSU00190 224308.BSU10330 0 0 232 0 0 0 0 231
224308.BSU00190 224308.BSU00200 0 0 0 0 0 0 232 231
224308.BSU00190 224308.BSU37030 0 0 214 0 0 0 0 214
224308.BSU00190 224308.BSU24020 0 0 214 0 0 0 0 214
224308.BSU00190 224308.BSU22400 0 0 0 0 0 0 297 297
224308.BSU00190 224308.BSU40900 0 0 490 0 0 0 0 489
