protein1 protein2 homology experiments experiments_transferred database database_transferred textmining textmining_transferred combined_score
224308.BSU00010 224308.BSU40970 0 526 109 0 0 849 210 942
224308.BSU00010 224308.BSU00020 0 0 614 0 0 0 212 682
224308.BSU00010 224308.BSU12530 0 0 193 0 0 0 175 305
224308.BSU00010 224308.BSU20360 0 0 0 0 0 0 200 200
224308.BSU00010 224308.BSU25460 0 0 0 0 0 0 213 213
224308.BSU00010 224308.BSU25470 0 0 0 0 0 0 231 230
224308.BSU00010 224308.BSU41050 0 0 0 0 0 253 227 397
224308.BSU00010 224308.BSU29090 0 0 0 0 0 281 328 496
224308.BSU00010 224308.BSU40440 0 0 215 0 0 285 213 519
224308.BSU00010 224308.BSU28990 0 0 0 0 0 721 0 721
224308.BSU00010 224308.BSU40960 0 0 0 0 0 372 199 475
224308.BSU00010 224308.BSU21000 0 0 0 0 0 184 0 183
224308.BSU00010 224308.BSU20370 0 0 215 0 0 0 199 344
224308.BSU00010 224308.BSU26260 0 0 193 0 0 544 175 669
224308.BSU00010 224308.BSU18090 0 0 0 0 0 0 199 199
224308.BSU00010 224308.BSU01190 0 0 139 0 0 0 231 309
224308.BSU00010 224308.BSU00330 0 526 0 0 0 353 145 714
224308.BSU00010 224308.BSU24060 0 0 0 0 0 0 170 169
224308.BSU00010 224308.BSU17900 0 937 0 0 0 0 0 937
224308.BSU00010 224308.BSU02530 0 0 0 0 0 0 200 200
224308.BSU00010 224308.BSU16940 0 0 0 0 0 0 225 224
224308.BSU00010 224308.BSU40990 0 0 0 0 0 0 199 199
224308.BSU00010 224308.BSU25210 0 0 0 0 0 0 200 200
224308.BSU00010 224308.BSU01010 0 0 0 0 0 0 212 212
224308.BSU00010 224308.BSU24300 0 176 0 0 0 0 0 175
224308.BSU00010 224308.BSU22350 0 176 0 0 0 0 0 175
224308.BSU00010 224308.BSU00060 0 0 0 0 0 0 199 199
224308.BSU00010 224308.BSU14610 0 0 0 0 0 0 170 169
224308.BSU00010 224308.BSU22010 0 0 0 0 0 0 200 200
224308.BSU00010 224308.BSU13060 0 176 0 0 0 0 0 175
224308.BSU00010 224308.BSU26310 0 176 0 0 0 529 0 595
224308.BSU00010 224308.BSU08090 0 0 0 0 0 0 170 169
224308.BSU00010 224308.BSU28980 0 0 193 0 0 0 212 336
224308.BSU00020 224308.BSU20360 0 0 0 0 0 0 199 199
224308.BSU00020 224308.BSU20340 0 0 730 900 0 0 200 976
224308.BSU00020 224308.BSU00310 0 0 842 900 841 0 219 997
224308.BSU00020 224308.BSU16580 0 176 0 900 0 499 0 955
224308.BSU00020 224308.BSU28590 0 0 197 0 0 0 0 197
224308.BSU00020 224308.BSU13400 0 0 730 0 513 0 0 862
224308.BSU00020 224308.BSU35440 0 0 169 0 0 0 0 169
224308.BSU00020 224308.BSU29230 0 0 730 900 0 0 200 976
224308.BSU00020 224308.BSU04570 0 0 223 0 0 0 0 223
224308.BSU00020 224308.BSU29090 0 0 941 0 548 0 327 980
224308.BSU00020 224308.BSU27530 0 0 271 0 0 0 0 271
224308.BSU00020 224308.BSU40440 0 0 0 0 0 153 199 292
224308.BSU00020 224308.BSU06620 0 0 0 0 0 0 231 230
224308.BSU00020 224308.BSU41050 0 0 0 0 0 248 226 393
224308.BSU00020 224308.BSU00190 0 0 816 900 0 488 212 991
224308.BSU00020 224308.BSU20370 0 0 0 0 0 0 199 199
224308.BSU00020 224308.BSU18090 0 0 56 0 0 0 200 212
224308.BSU00020 224308.BSU40880 0 0 300 0 797 0 0 851
224308.BSU00020 224308.BSU18940 0 0 552 0 360 0 137 730
224308.BSU00020 224308.BSU24580 0 0 476 0 350 0 0 644
224308.BSU00020 224308.BSU34970 0 0 216 0 0 0 0 216
224308.BSU00020 224308.BSU00330 0 526 0 0 0 314 169 706
224308.BSU00020 224308.BSU27480 0 0 729 0 0 0 0 729
224308.BSU00020 224308.BSU17050 0 176 284 0 850 350 213 946
224308.BSU00020 224308.BSU29740 0 526 0 0 0 0 0 526
224308.BSU00020 224308.BSU06610 0 0 560 0 0 0 0 560
224308.BSU00020 224308.BSU25560 0 176 860 900 0 381 213 993
224308.BSU00020 224308.BSU16940 0 0 336 0 0 0 227 464
224308.BSU00020 224308.BSU17040 0 0 556 0 849 0 212 942
224308.BSU00020 224308.BSU23710 0 0 552 0 360 0 137 730
224308.BSU00020 224308.BSU21500 0 0 552 0 360 0 137 730
224308.BSU00020 224308.BSU25210 0 0 0 0 0 461 199 549
224308.BSU00020 224308.BSU08630 0 0 294 0 0 0 0 294
224308.BSU00020 224308.BSU16060 0 0 729 0 0 0 0 729
224308.BSU00020 224308.BSU22350 0 0 0 0 0 265 0 265
224308.BSU00020 224308.BSU37970 0 0 455 0 0 0 0 455
224308.BSU00020 224308.BSU20500 0 0 730 0 513 0 0 862
224308.BSU00020 224308.BSU00060 0 0 56 0 0 0 200 212
224308.BSU00020 224308.BSU19560 0 0 217 0 0 0 0 217
224308.BSU00020 224308.BSU36280 0 0 476 0 350 0 0 644
224308.BSU00020 224308.BSU18930 0 0 552 0 360 0 137 730
224308.BSU00020 224308.BSU11820 0 0 560 0 0 0 0 560
224308.BSU00020 224308.BSU23020 0 0 180 0 0 0 0 179
224308.BSU00020 224308.BSU23870 0 176 552 0 360 0 137 768
224308.BSU00020 224308.BSU00010 0 0 614 0 0 0 212 682
224308.BSU00020 224308.BSU22010 0 0 730 0 548 0 200 893
224308.BSU00020 224308.BSU19220 0 0 180 0 0 0 0 179
224308.BSU00040 224308.BSU41050 0 0 0 0 0 186 227 343
224308.BSU00040 224308.BSU27620 0 0 0 0 0 298 323 504
224308.BSU00040 224308.BSU28980 0 176 0 0 0 0 0 175
224308.BSU00040 224308.BSU15870 0 0 0 0 0 318 213 440
224308.BSU00040 224308.BSU25280 0 0 172 0 0 588 206 705
224308.BSU00040 224308.BSU31250 0 176 0 0 0 0 0 175
224308.BSU00040 224308.BSU20350 0 0 0 0 0 0 199 199
224308.BSU00040 224308.BSU16940 0 0 0 0 0 332 213 451
224308.BSU00040 224308.BSU00210 0 0 0 0 0 0 212 212
224308.BSU00060 224308.BSU15940 0 0 61 0 0 0 164 181
224308.BSU00060 224308.BSU00010 0 0 0 0 0 0 199 199
224308.BSU00060 224308.BSU33040 0 0 0 0 0 204 199 335
224308.BSU00060 224308.BSU19220 0 0 255 0 0 0 164 350
224308.BSU00060 224308.BSU21350 0 0 61 0 0 0 167 184
224308.BSU00060 224308.BSU29790 0 0 0 0 0 278 88 313
224308.BSU00060 224308.BSU36280 0 0 240 0 0 0 80 270
224308.BSU00060 224308.BSU23020 0 0 255 0 0 0 164 350
224308.BSU00060 224308.BSU01120 0 0 0 0 0 0 200 200
224308.BSU00060 224308.BSU29120 0 0 0 0 0 92 164 208
224308.BSU00060 224308.BSU33930 0 0 0 0 0 0 198 198
224308.BSU00060 224308.BSU20010 0 0 195 0 0 0 0 195
224308.BSU00060 224308.BSU36760 0 0 0 0 0 479 164 545
224308.BSU00060 224308.BSU10890 0 0 332 0 0 0 118 385
224308.BSU00060 224308.BSU40650 0 0 332 0 0 0 118 385
224308.BSU00060 224308.BSU16660 0 0 242 0 0 0 0 241
224308.BSU00060 224308.BSU16120 0 0 0 0 0 0 302 302
224308.BSU00060 224308.BSU16940 0 0 0 0 0 0 199 199
224308.BSU00060 224308.BSU18100 0 0 580 0 0 317 169 740
224308.BSU00060 224308.BSU23090 0 0 332 0 0 0 118 385
224308.BSU00060 224308.BSU24580 0 0 240 0 0 0 80 270
224308.BSU00060 224308.BSU37100 0 0 0 0 0 479 164 545
224308.BSU00060 224308.BSU33900 0 0 0 0 0 0 297 297
224308.BSU00060 224308.BSU17680 0 0 0 0 0 0 164 163
224308.BSU00060 224308.BSU34910 0 0 0 0 0 0 199 199
224308.BSU00060 224308.BSU00070 0 0 580 0 0 981 199 993
224308.BSU00060 224308.BSU03050 0 0 0 0 0 0 164 163
224308.BSU00060 224308.BSU06030 0 0 0 0 0 0 200 200
224308.BSU00060 224308.BSU21820 0 0 0 0 0 0 164 163
224308.BSU00060 224308.BSU00020 0 0 56 0 0 0 200 212
224308.BSU00060 224308.BSU00310 0 0 161 0 0 0 174 277
224308.BSU00060 224308.BSU17380 0 0 0 0 0 0 164 163
224308.BSU00060 224308.BSU04260 0 0 0 0 0 0 302 302
224308.BSU00060 224308.BSU20060 0 0 0 0 0 0 305 305
