protein_1_locus	protein_2_locus	evidence	source	protein_1_alt_name	protein_1_name	protein_2_alt_name	protein_2_name	link
BSU_00060	BSU_18100	textmined	string-db	GyrB	GyrB	ParC	ParC	224308.BSU00060/224308.BSU18100
BSU_00060	BSU_37100	textmined	string-db	GyrB	GyrB	MurAB	MurAB	224308.BSU00060/224308.BSU37100
BSU_00060	BSU_00070	textmined	string-db	GyrB	GyrB	GyrA	GyrA	224308.BSU00060/224308.BSU00070
BSU_00070	BSU_00060	textmined	string-db	GyrA	GyrA	GyrB	GyrB	224308.BSU00070/224308.BSU00060
BSU_00070	BSU_24300	experimental	string-db	GyrA	GyrA	XseA	XseA	224308.BSU00070/224308.BSU24300
BSU_00070	BSU_31240	experimental	string-db	GyrA	GyrA	McpA	McpA	224308.BSU00070/224308.BSU31240
BSU_00070	BSU_29740	experimental	string-db	GyrA	GyrA	CcpA	CcpA	224308.BSU00070/224308.BSU29740
BSU_00070	BSU_31250	experimental	string-db	GyrA	GyrA	TlpA	TlpA	224308.BSU00070/224308.BSU31250
BSU_00070	BSU_18100	database	string-db	GyrA	GyrA	ParC	ParC	224308.BSU00070/224308.BSU18100
BSU_00070	BSU_29230	experimental	string-db	GyrA	GyrA	DnaE	DnaE	224308.BSU00070/224308.BSU29230
BSU_00090	BSU_29740	experimental	string-db	GuaB	GuaB	CcpA	CcpA	224308.BSU00090/224308.BSU29740
BSU_00100	BSU_23480	database	string-db	DacA	DacA	DacF	DacF	224308.BSU00100/224308.BSU23480
BSU_00100	BSU_22320	database	string-db	DacA	DacA	PonA	PonA	224308.BSU00100/224308.BSU22320
BSU_00100	BSU_10110	database	string-db	DacA	DacA	PbpF	PbpF	224308.BSU00100/224308.BSU10110
BSU_00100	BSU_01670	database	string-db	DacA	DacA	AmiE	AmiE	224308.BSU00100/224308.BSU01670
BSU_00100	BSU_18350	database	string-db	DacA	DacA	DacC	DacC	224308.BSU00100/224308.BSU18350
BSU_00100	BSU_23190	database	string-db	DacA	DacA	DacB	DacB	224308.BSU00100/224308.BSU23190
BSU_00100	BSU_19620	database	string-db	DacA	DacA	YodJ	YodJ	224308.BSU00100/224308.BSU19620
BSU_00110	BSU_00120	experimental	string-db	PdxS	PdxS	PdxT	PdxT	224308.BSU00110/224308.BSU00120
BSU_00110	BSU_29740	experimental	string-db	PdxS	PdxS	CcpA	CcpA	224308.BSU00110/224308.BSU29740
BSU_00120	BSU_29740	experimental	string-db	PdxT	PdxT	CcpA	CcpA	224308.BSU00120/224308.BSU29740
BSU_00120	BSU_00110	experimental	string-db	PdxT	PdxT	PdxS	PdxS	224308.BSU00120/224308.BSU00110
BSU_00140	BSU_07840	database	string-db	Dck	Dck	YfkN	YfkN	224308.BSU00140/224308.BSU07840
BSU_00160	BSU_17030	textmined	string-db	YaaH	YaaH	CotE	CotE	224308.BSU00160/224308.BSU17030
BSU_00160	BSU_02600	textmined	string-db	YaaH	YaaH	CwlJ	CwlJ	224308.BSU00160/224308.BSU02600
BSU_00190	BSU_16580	experimental	string-db	DnaX	DnaX	PolC	PolC	224308.BSU00190/224308.BSU16580
BSU_00190	BSU_00310	experimental	string-db	DnaX	DnaX	HolB	HolB	224308.BSU00190/224308.BSU00310
BSU_00190	BSU_40440	experimental	string-db	DnaX	DnaX	DnaC	DnaC	224308.BSU00190/224308.BSU40440
BSU_00190	BSU_30540	textmined	string-db	DnaX	DnaX	AsnB	AsnB	224308.BSU00190/224308.BSU30540
BSU_00190	BSU_16030	textmined	string-db	DnaX	DnaX	TrmD	TrmD	224308.BSU00190/224308.BSU16030
BSU_00190	BSU_00020	database	string-db	DnaX	DnaX	DnaN	DnaN	224308.BSU00190/224308.BSU00020
BSU_00190	BSU_20340	database	string-db	DnaX	DnaX	YorL	YorL	224308.BSU00190/224308.BSU20340
BSU_00190	BSU_26150	experimental	string-db	DnaX	DnaX	YqbD	YqbD	224308.BSU00190/224308.BSU26150
BSU_00190	BSU_29230	database	string-db	DnaX	DnaX	DnaE	DnaE	224308.BSU00190/224308.BSU29230
BSU_00190	BSU_25560	experimental	string-db	DnaX	DnaX	HolA	HolA	224308.BSU00190/224308.BSU25560
BSU_00210	BSU_25280	textmined	string-db	RecR	RecR	RecO	RecO	224308.BSU00210/224308.BSU25280
BSU_00230	BSU_25530	textmined	string-db	BofA	BofA	SpoIIP	SpoIIP	224308.BSU00230/224308.BSU25530
BSU_00230	BSU_36750	textmined	string-db	BofA	BofA	SpoIID	SpoIID	224308.BSU00230/224308.BSU36750
BSU_00230	BSU_27970	textmined	string-db	BofA	BofA	SpoIVFB	SpoIVFB	224308.BSU00230/224308.BSU27970
BSU_00310	BSU_29230	database	string-db	HolB	HolB	DnaE	DnaE	224308.BSU00310/224308.BSU29230
BSU_00310	BSU_00020	database	string-db	HolB	HolB	DnaN	DnaN	224308.BSU00310/224308.BSU00020
BSU_00310	BSU_20340	database	string-db	HolB	HolB	YorL	YorL	224308.BSU00310/224308.BSU20340
BSU_00310	BSU_25560	database	string-db	HolB	HolB	HolA	HolA	224308.BSU00310/224308.BSU25560
BSU_00310	BSU_29090	experimental	string-db	HolB	HolB	PolA	PolA	224308.BSU00310/224308.BSU29090
BSU_00310	BSU_00190	experimental	string-db	HolB	HolB	DnaX	DnaX	224308.BSU00310/224308.BSU00190
BSU_00310	BSU_16580	database	string-db	HolB	HolB	PolC	PolC	224308.BSU00310/224308.BSU16580
BSU_00320	BSU_14990	textmined	string-db	RicT	YaaT	RicF	YlbF	224308.BSU00320/224308.BSU14990
BSU_00320	BSU_14990	textmined	string-db	RicT	YaaT	RicF	YlbF	224308.BSU00320/224308.BSU14990
BSU_00320	BSU_17020	textmined	string-db	RicT	YaaT	RicA	YmcA	224308.BSU00320/224308.BSU17020
BSU_00320	BSU_17020	textmined	string-db	RicT	YaaT	RicA	YmcA	224308.BSU00320/224308.BSU17020
BSU_00320	BSU_17020	textmined	string-db	RicT	YaaT	RicA	YmcA	224308.BSU00320/224308.BSU17020
BSU_00320	BSU_17020	textmined	string-db	RicT	YaaT	RicA	YmcA	224308.BSU00320/224308.BSU17020
BSU_00320	BSU_09190	experimental	string-db	RicT	YaaT	YhcR	YhcR	224308.BSU00320/224308.BSU09190
BSU_00320	BSU_09190	experimental	string-db	RicT	YaaT	YhcR	YhcR	224308.BSU00320/224308.BSU09190
BSU_00330	BSU_29700	experimental	string-db	YabA	DnaH	AcuB	AcuB	224308.BSU00330/224308.BSU29700
BSU_00330	BSU_29700	experimental	string-db	YabA	DnaH	AcuB	AcuB	224308.BSU00330/224308.BSU29700
BSU_00330	BSU_31250	experimental	string-db	YabA	DnaH	TlpA	TlpA	224308.BSU00330/224308.BSU31250
BSU_00330	BSU_31250	experimental	string-db	YabA	DnaH	TlpA	TlpA	224308.BSU00330/224308.BSU31250
BSU_00330	BSU_40970	textmined	string-db	YabA	DnaH	ParA	ParA	224308.BSU00330/224308.BSU40970
