"regulator_locus","regulator_name","mode","gene_locus","gene_name"
"BSU_34200","sigL","sigma factor","BSU_24030","bkdB"
"BSU_34200","sigL","sigma factor","BSU_24070","buk"
"BSU_34200","sigL","sigma factor","BSU_24050","bkdAA"
"BSU_34200","sigL","sigma factor","BSU_24040","bkdAB"
"BSU_34200","sigL","sigma factor","BSU_24080","bcd"
"BSU_24100","bkdR","activation","BSU_24090","ptb"
"BSU_24100","bkdR","activation","BSU_24060","lpdV"
"BSU_24100","bkdR","activation","BSU_24030","bkdB"
"BSU_24100","bkdR","activation","BSU_24070","buk"
"BSU_24100","bkdR","activation","BSU_24050","bkdAA"
"BSU_24100","bkdR","activation","BSU_24040","bkdAB"
"BSU_24100","bkdR","activation","BSU_24080","bcd"
"BSU_16170","codY","repression","BSU_24090","ptb"
"BSU_16170","codY","repression","BSU_24060","lpdV"
"BSU_16170","codY","repression","BSU_24030","bkdB"
"BSU_16170","codY","repression","BSU_24070","buk"
"BSU_16170","codY","repression","BSU_24050","bkdAA"
"BSU_16170","codY","repression","BSU_24040","bkdAB"
"BSU_16170","codY","repression","BSU_24080","bcd"
"BSU_09520","sigM","sigma factor","BSU_00600","yabP"
"BSU_09520","sigM","sigma factor","BSU_00610","shfA"
"BSU_09520","sigM","sigma factor","BSU_00580","yabN"
"BSU_09520","sigM","sigma factor","BSU_00630","yabR"
"BSU_09520","sigM","sigma factor","BSU_00590","rqcP"
"BSU_09520","sigM","sigma factor","BSU_00570","yabM"
"BSU_09520","sigM","sigma factor","BSU_00620","divIC"
"BSU_15320","sigE","sigma factor","BSU_00600","yabP"
"BSU_15320","sigE","sigma factor","BSU_00610","shfA"
"BSU_15320","sigE","sigma factor","BSU_00580","yabN"
"BSU_15320","sigE","sigma factor","BSU_00630","yabR"
"BSU_15320","sigE","sigma factor","BSU_00590","rqcP"
"BSU_15320","sigE","sigma factor","BSU_00570","yabM"
"BSU_15320","sigE","sigma factor","BSU_00620","divIC"
"BSU_01730","sigW","sigma factor","BSU_00600","yabP"
"BSU_01730","sigW","sigma factor","BSU_00610","shfA"
"BSU_01730","sigW","sigma factor","BSU_00580","yabN"
"BSU_01730","sigW","sigma factor","BSU_00630","yabR"
"BSU_01730","sigW","sigma factor","BSU_00590","rqcP"
"BSU_01730","sigW","sigma factor","BSU_00570","yabM"
"BSU_01730","sigW","sigma factor","BSU_00620","divIC"
"BSU_16470","sigD","sigma factor","BSU_00600","yabP"
"BSU_16470","sigD","sigma factor","BSU_00610","shfA"
"BSU_16470","sigD","sigma factor","BSU_00580","yabN"
"BSU_16470","sigD","sigma factor","BSU_00630","yabR"
"BSU_16470","sigD","sigma factor","BSU_00590","rqcP"
"BSU_16470","sigD","sigma factor","BSU_00570","yabM"
"BSU_16470","sigD","sigma factor","BSU_00620","divIC"
"BSU_23100","sigX","sigma factor","BSU_00600","yabP"
"BSU_23100","sigX","sigma factor","BSU_00610","shfA"
"BSU_23100","sigX","sigma factor","BSU_00580","yabN"
"BSU_23100","sigX","sigma factor","BSU_00630","yabR"
"BSU_23100","sigX","sigma factor","BSU_00590","rqcP"
"BSU_23100","sigX","sigma factor","BSU_00570","yabM"
"BSU_23100","sigX","sigma factor","BSU_00620","divIC"
"","c-di-AMP Riboswitch","RNA switch","BSU_31090","ktrA"
"","c-di-AMP Riboswitch","RNA switch","BSU_31100","ktrB"
"BSU_10420","comK","activation","BSU_35440","yvyF"
"BSU_10420","comK","activation","BSU_35450","comFC"
"BSU_10420","comK","activation","BSU_35470","comFA"
"BSU_10420","comK","activation","BSU_35380","fliW"
"BSU_10420","comK","activation","BSU_35420","flgN"
"BSU_10420","comK","activation","BSU_35410","flgK"
"BSU_10420","comK","activation","BSU_35400","flgL"
"BSU_10420","comK","activation","BSU_35370","csrA"
"BSU_10420","comK","activation","BSU_35460","comFB"
"BSU_10420","comK","activation","BSU_35390","yviE"
"BSU_10420","comK","activation","BSU_35430","flgM"
"BSU_25200","sigA","sigma factor","BSU_35440","yvyF"
"BSU_25200","sigA","sigma factor","BSU_35450","comFC"
"BSU_25200","sigA","sigma factor","BSU_35470","comFA"
"BSU_25200","sigA","sigma factor","BSU_35380","fliW"
"BSU_25200","sigA","sigma factor","BSU_35420","flgN"
"BSU_25200","sigA","sigma factor","BSU_35410","flgK"
"BSU_25200","sigA","sigma factor","BSU_35400","flgL"
"BSU_25200","sigA","sigma factor","BSU_35370","csrA"
"BSU_25200","sigA","sigma factor","BSU_35460","comFB"
"BSU_25200","sigA","sigma factor","BSU_35390","yviE"
"BSU_25200","sigA","sigma factor","BSU_35430","flgM"
"BSU_16470","sigD","sigma factor","BSU_35440","yvyF"
"BSU_16470","sigD","sigma factor","BSU_35450","comFC"
"BSU_16470","sigD","sigma factor","BSU_35470","comFA"
"BSU_16470","sigD","sigma factor","BSU_35380","fliW"
"BSU_16470","sigD","sigma factor","BSU_35420","flgN"
"BSU_16470","sigD","sigma factor","BSU_35410","flgK"
"BSU_16470","sigD","sigma factor","BSU_35400","flgL"
"BSU_16470","sigD","sigma factor","BSU_35370","csrA"
"BSU_16470","sigD","sigma factor","BSU_35460","comFB"
"BSU_16470","sigD","sigma factor","BSU_35390","yviE"
"BSU_16470","sigD","sigma factor","BSU_35430","flgM"
"BSU_35490","degU","activation","BSU_35440","yvyF"
"BSU_35490","degU","activation","BSU_35450","comFC"
"BSU_35490","degU","activation","BSU_35470","comFA"
"BSU_35490","degU","activation","BSU_35380","fliW"
"BSU_35490","degU","activation","BSU_35420","flgN"
"BSU_35490","degU","activation","BSU_35410","flgK"
"BSU_35490","degU","activation","BSU_35400","flgL"
"BSU_35490","degU","activation","BSU_35370","csrA"
"BSU_35490","degU","activation","BSU_35460","comFB"
"BSU_35490","degU","activation","BSU_35390","yviE"
"BSU_35490","degU","activation","BSU_35430","flgM"
"BSU_09990","scoC","repression","BSU_35440","yvyF"
"BSU_09990","scoC","repression","BSU_35450","comFC"
"BSU_09990","scoC","repression","BSU_35470","comFA"
"BSU_09990","scoC","repression","BSU_35380","fliW"
"BSU_09990","scoC","repression","BSU_35420","flgN"
"BSU_09990","scoC","repression","BSU_35410","flgK"
"BSU_09990","scoC","repression","BSU_35400","flgL"
"BSU_09990","scoC","repression","BSU_35370","csrA"
"BSU_09990","scoC","repression","BSU_35460","comFB"
"BSU_09990","scoC","repression","BSU_35390","yviE"
"BSU_09990","scoC","repression","BSU_35430","flgM"
"BSU_35490","degU","activation","BSU_35870","capE"
"BSU_35490","degU","activation","BSU_35900","capB"
"BSU_35490","degU","activation","BSU_35880","capA"
"BSU_35490","degU","activation","BSU_35890","capC"
"BSU_25200","sigA","sigma factor","BSU_35870","capE"
"BSU_25200","sigA","sigma factor","BSU_35900","capB"
"BSU_25200","sigA","sigma factor","BSU_35880","capA"
"BSU_25200","sigA","sigma factor","BSU_35890","capC"
"BSU_36420","spoIIID","repression","BSU_24360","spoIIIAH"
"BSU_36420","spoIIID","repression","BSU_24370","spoIIIAG"
"BSU_36420","spoIIID","repression","BSU_24400","spoIIIAD"
"BSU_36420","spoIIID","repression","BSU_24410","spoIIIAC"
"BSU_36420","spoIIID","repression","BSU_24430","spoIIIAA"
"BSU_36420","spoIIID","repression","BSU_24440","yqhV"
"BSU_36420","spoIIID","repression","BSU_24380","spoIIIAF"
"BSU_36420","spoIIID","repression","BSU_24390","spoIIIAE"
"BSU_36420","spoIIID","repression","BSU_24420","spoIIIAB"
"BSU_15320","sigE","sigma factor","BSU_24360","spoIIIAH"
"BSU_15320","sigE","sigma factor","BSU_24370","spoIIIAG"
"BSU_15320","sigE","sigma factor","BSU_24400","spoIIIAD"
"BSU_15320","sigE","sigma factor","BSU_24410","spoIIIAC"
"BSU_15320","sigE","sigma factor","BSU_24430","spoIIIAA"
"BSU_15320","sigE","sigma factor","BSU_24440","yqhV"
"BSU_15320","sigE","sigma factor","BSU_24380","spoIIIAF"
"BSU_15320","sigE","sigma factor","BSU_24390","spoIIIAE"
"BSU_15320","sigE","sigma factor","BSU_24420","spoIIIAB"
"BSU_09520","sigM","sigma factor","BSU_00870","radA"
"BSU_09520","sigM","sigma factor","BSU_00880","disA"
"BSU_09520","sigM","sigma factor","BSU_00850","mcsB"
"BSU_09520","sigM","sigma factor","BSU_00860","clpC"
"BSU_09520","sigM","sigma factor","BSU_00830","ctsR"
"BSU_09520","sigM","sigma factor","BSU_00840","mcsA"
"BSU_25200","sigA","sigma factor","BSU_00870","radA"
"BSU_25200","sigA","sigma factor","BSU_00880","disA"
"BSU_25200","sigA","sigma factor","BSU_00850","mcsB"
"BSU_25200","sigA","sigma factor","BSU_00860","clpC"
"BSU_25200","sigA","sigma factor","BSU_00830","ctsR"
"BSU_25200","sigA","sigma factor","BSU_00840","mcsA"
"BSU_04730","sigB","sigma factor","BSU_00870","radA"
"BSU_04730","sigB","sigma factor","BSU_00880","disA"
"BSU_04730","sigB","sigma factor","BSU_00850","mcsB"
"BSU_04730","sigB","sigma factor","BSU_00860","clpC"
"BSU_04730","sigB","sigma factor","BSU_00830","ctsR"
"BSU_04730","sigB","sigma factor","BSU_00840","mcsA"
"BSU_00830","ctsR","repression","BSU_00870","radA"
"BSU_00830","ctsR","repression","BSU_00880","disA"
"BSU_00830","ctsR","repression","BSU_00850","mcsB"
"BSU_00830","ctsR","repression","BSU_00860","clpC"
"BSU_00830","ctsR","repression","BSU_00830","ctsR"
"BSU_00830","ctsR","repression","BSU_00840","mcsA"
"BSU_23450","sigF","sigma factor","BSU_00870","radA"
"BSU_23450","sigF","sigma factor","BSU_00880","disA"
"BSU_23450","sigF","sigma factor","BSU_00850","mcsB"
"BSU_23450","sigF","sigma factor","BSU_00860","clpC"
"BSU_23450","sigF","sigma factor","BSU_00830","ctsR"
"BSU_23450","sigF","sigma factor","BSU_00840","mcsA"
"BSU_09520","sigM","sigma factor","BSU_15260","ylxX"
"BSU_09520","sigM","sigma factor","BSU_15270","sbp"
"BSU_09520","sigM","sigma factor","BSU_15250","ylxW"
"BSU_09520","sigM","sigma factor","BSU_15230","murB"
"BSU_09520","sigM","sigma factor","BSU_15240","divIB"
"BSU_09520","sigM","sigma factor","BSU_15220","murG"
"BSU_25200","sigA","sigma factor","BSU_15260","ylxX"
"BSU_25200","sigA","sigma factor","BSU_15270","sbp"
"BSU_25200","sigA","sigma factor","BSU_15250","ylxW"
"BSU_25200","sigA","sigma factor","BSU_15230","murB"
"BSU_25200","sigA","sigma factor","BSU_15240","divIB"
"BSU_25200","sigA","sigma factor","BSU_15220","murG"
"BSU_15320","sigE","sigma factor","BSU_15260","ylxX"
"BSU_15320","sigE","sigma factor","BSU_15270","sbp"
"BSU_15320","sigE","sigma factor","BSU_15250","ylxW"
"BSU_15320","sigE","sigma factor","BSU_15230","murB"
"BSU_15320","sigE","sigma factor","BSU_15240","divIB"
"BSU_15320","sigE","sigma factor","BSU_15220","murG"
"BSU_36420","spoIIID","repression","BSU_15260","ylxX"
"BSU_36420","spoIIID","repression","BSU_15270","sbp"
"BSU_36420","spoIIID","repression","BSU_15250","ylxW"
"BSU_36420","spoIIID","repression","BSU_15230","murB"
"BSU_36420","spoIIID","repression","BSU_15240","divIB"
"BSU_36420","spoIIID","repression","BSU_15220","murG"
"BSU_25200","sigA","sigma factor","BSU_35239","swrAA/2"
"BSU_25200","sigA","sigma factor","BSU_35220","minJ"
"BSU_16470","sigD","sigma factor","BSU_35239","swrAA/2"
"BSU_16470","sigD","sigma factor","BSU_35220","minJ"
"BSU_35490","degU","activation","BSU_35239","swrAA/2"
"BSU_35490","degU","activation","BSU_35220","minJ"
"","preQ1 riboswitch","RNA switch","BSU_13720","queC"
"","preQ1 riboswitch","RNA switch","BSU_13750","queF"
"","preQ1 riboswitch","RNA switch","BSU_13730","queD"
"","preQ1 riboswitch","RNA switch","BSU_13740","queE"
"BSU_09520","sigM","sigma factor","BSU_27170","fatR"
"BSU_09520","sigM","sigma factor","BSU_27160","yrhJ"
"BSU_01730","sigW","sigma factor","BSU_27170","fatR"
"BSU_01730","sigW","sigma factor","BSU_27160","yrhJ"
"BSU_27170","fatR","repression","BSU_27170","fatR"
"BSU_27170","fatR","repression","BSU_27160","yrhJ"
"BSU_23100","sigX","sigma factor","BSU_27170","fatR"
"BSU_23100","sigX","sigma factor","BSU_27160","yrhJ"
"BSU_24220","spo0A","activation","BSU_36230","ugd"
"BSU_24220","spo0A","activation","BSU_36250","ptkA"
"BSU_24220","spo0A","activation","BSU_36260","tkmA"
"BSU_24220","spo0A","activation","BSU_36240","ptpZ"
"BSU_25200","sigA","sigma factor","BSU_36230","ugd"
"BSU_25200","sigA","sigma factor","BSU_36250","ptkA"
"BSU_25200","sigA","sigma factor","BSU_36260","tkmA"
"BSU_25200","sigA","sigma factor","BSU_36240","ptpZ"
"BSU_35490","degU","activation","BSU_36230","ugd"
"BSU_35490","degU","activation","BSU_36250","ptkA"
"BSU_35490","degU","activation","BSU_36260","tkmA"
"BSU_35490","degU","activation","BSU_36240","ptpZ"
"BSU_00370","abrB","repression","BSU_36230","ugd"
"BSU_00370","abrB","repression","BSU_36250","ptkA"
"BSU_00370","abrB","repression","BSU_36260","tkmA"
"BSU_00370","abrB","repression","BSU_36240","ptpZ"
"","T-box","RNA switch","BSU_02530","rtpA"
"","T-box","RNA switch","BSU_02540","ycbK"
"BSU_25200","sigA","sigma factor","BSU_02530","rtpA"
"BSU_25200","sigA","sigma factor","BSU_02540","ycbK"
"","S-box","RNA switch","BSU_32730","metQ"
"","S-box","RNA switch","BSU_32750","metN"
"","S-box","RNA switch","BSU_32740","metP"
"BSU_16170","codY","activation","BSU_32730","metQ"
"BSU_16170","codY","activation","BSU_32750","metN"
"BSU_16170","codY","activation","BSU_32740","metP"
"BSU_25200","sigA","sigma factor","BSU_10530","ntdC"
"BSU_25200","sigA","sigma factor","BSU_10550","ntdA"
"BSU_25200","sigA","sigma factor","BSU_10540","ntdB"
"BSU_25200","sigA","sigma factor","BSU_10520","glcP"
"BSU_10560","ntdR","activation ","BSU_10530","ntdC"
"BSU_10560","ntdR","activation ","BSU_10550","ntdA"
"BSU_10560","ntdR","activation ","BSU_10540","ntdB"
"BSU_10560","ntdR","activation ","BSU_10520","glcP"
"BSU_25200","sigA","sigma factor","BSU_29120","mdh"
"BSU_25200","sigA","sigma factor","BSU_29130","icd"
"BSU_29740","ccpA","repression","BSU_29120","mdh"
"BSU_29740","ccpA","repression","BSU_29130","icd"
"BSU_14140","ccpC","repression","BSU_29120","mdh"
"BSU_14140","ccpC","repression","BSU_29130","icd"
"","T-box","RNA switch","BSU_27550","aspS"
"","T-box","RNA switch","BSU_27560","hisS"
"BSU_25200","sigA","sigma factor","BSU_24950","pstBB"
"BSU_25200","sigA","sigma factor","BSU_24960","pstBA"
"BSU_25200","sigA","sigma factor","BSU_24970","pstA"
"BSU_25200","sigA","sigma factor","BSU_24980","pstC"
"BSU_25200","sigA","sigma factor","BSU_24990","pstS"
"BSU_29110","phoP","activation","BSU_24950","pstBB"
"BSU_29110","phoP","activation","BSU_24960","pstBA"
"BSU_29110","phoP","activation","BSU_24970","pstA"
"BSU_29110","phoP","activation","BSU_24980","pstC"
"BSU_29110","phoP","activation","BSU_24990","pstS"
"","stringent response","negative regulation","BSU_28840","ysdA"
"","stringent response","negative regulation","BSU_28860","rpmI"
"","stringent response","negative regulation","BSU_28850","rplT"
"","stringent response","negative regulation","BSU_28870","infC"
"BSU_11500","spx","activation","BSU_21690","msrA"
"BSU_11500","spx","activation","BSU_21680","msrB"
"BSU_25200","sigA","sigma factor","BSU_21690","msrA"
"BSU_25200","sigA","sigma factor","BSU_21680","msrB"
"BSU_28850","rplT","termination","BSU_28840","ysdA"
"BSU_28850","rplT","termination","BSU_28860","rpmI"
"BSU_28850","rplT","termination","BSU_28850","rplT"
"BSU_28850","rplT","termination","BSU_28870","infC"
"BSU_09520","sigM","sigma factor","BSU_02940","yceH"
"BSU_09520","sigM","sigma factor","BSU_02890","yceC"
"BSU_09520","sigM","sigma factor","BSU_02910","yceE"
"BSU_09520","sigM","sigma factor","BSU_02900","yceD"
"BSU_09520","sigM","sigma factor","BSU_02920","meeF"
"BSU_09520","sigM","sigma factor","BSU_02930","yceG"
"BSU_01730","sigW","sigma factor","BSU_02940","yceH"
"BSU_01730","sigW","sigma factor","BSU_02890","yceC"
"BSU_01730","sigW","sigma factor","BSU_02910","yceE"
"BSU_01730","sigW","sigma factor","BSU_02900","yceD"
"BSU_01730","sigW","sigma factor","BSU_02920","meeF"
"BSU_01730","sigW","sigma factor","BSU_02930","yceG"
"BSU_04730","sigB","sigma factor","BSU_02940","yceH"
"BSU_04730","sigB","sigma factor","BSU_02890","yceC"
"BSU_04730","sigB","sigma factor","BSU_02910","yceE"
"BSU_04730","sigB","sigma factor","BSU_02900","yceD"
"BSU_04730","sigB","sigma factor","BSU_02920","meeF"
"BSU_04730","sigB","sigma factor","BSU_02930","yceG"
"BSU_23100","sigX","sigma factor","BSU_02940","yceH"
"BSU_23100","sigX","sigma factor","BSU_02890","yceC"
"BSU_23100","sigX","sigma factor","BSU_02910","yceE"
"BSU_23100","sigX","sigma factor","BSU_02900","yceD"
"BSU_23100","sigX","sigma factor","BSU_02920","meeF"
"BSU_23100","sigX","sigma factor","BSU_02930","yceG"
"BSU_15320","sigE","sigma factor","BSU_01520","ybaK"
"BSU_15320","sigE","sigma factor","BSU_01530","cwlD"
"BSU_15330","sigG","sigma factor","BSU_01520","ybaK"
"BSU_15330","sigG","sigma factor","BSU_01530","cwlD"
"BSU_17850","lexA","repression","BSU_01520","ybaK"
"BSU_17850","lexA","repression","BSU_01530","cwlD"
"BSU_01730","sigW","sigma factor","BSU_02320","ybfP"
"BSU_01730","sigW","sigma factor","BSU_02310","ybfO"
"BSU_01730","sigW","sigma factor","BSU_02330","ybfQ"
"BSU_00370","abrB","repression","BSU_02320","ybfP"
"BSU_00370","abrB","repression","BSU_02310","ybfO"
"BSU_00370","abrB","repression","BSU_02330","ybfQ"
"BSU_24220","spo0A","activation","BSU_39870","yxbD"
"BSU_24220","spo0A","activation","BSU_39880","yxbC"
"BSU_16170","codY","repression","BSU_39870","yxbD"
"BSU_16170","codY","repression","BSU_39880","yxbC"
"BSU_00370","abrB","repression","BSU_39870","yxbD"
"BSU_00370","abrB","repression","BSU_39880","yxbC"
"BSU_01730","sigW","sigma factor","BSU_06180","pspA"
"BSU_01730","sigW","sigma factor","BSU_06200","ydjH"
"BSU_01730","sigW","sigma factor","BSU_06210","ydjI"
"BSU_01730","sigW","sigma factor","BSU_06190","ydjG"
"BSU_00370","abrB","repression","BSU_06180","pspA"
"BSU_00370","abrB","repression","BSU_06200","ydjH"
"BSU_00370","abrB","repression","BSU_06210","ydjI"
"BSU_00370","abrB","repression","BSU_06190","ydjG"
"","stringent response","negative regulation","BSU_14600","pdhC"
"","stringent response","negative regulation","BSU_14590","pdhB"
"","stringent response","negative regulation","BSU_14580","pdhA"
"","stringent response","negative regulation","BSU_14610","pdhD"
"BSU_25200","sigA","sigma factor","BSU_14600","pdhC"
"BSU_25200","sigA","sigma factor","BSU_14590","pdhB"
"BSU_25200","sigA","sigma factor","BSU_14580","pdhA"
"BSU_25200","sigA","sigma factor","BSU_14610","pdhD"
"BSU_25200","sigA","sigma factor","BSU_02130","glpQ"
"BSU_25200","sigA","sigma factor","BSU_02140","glpT"
"BSU_09270","glpP","antitermination","BSU_02130","glpQ"
"BSU_09270","glpP","antitermination","BSU_02140","glpT"
"BSU_29110","phoP","activation","BSU_02130","glpQ"
"BSU_29110","phoP","activation","BSU_02140","glpT"
"BSU_29740","ccpA","repression","BSU_02130","glpQ"
"BSU_29740","ccpA","repression","BSU_02140","glpT"
"BSU_25200","sigA","sigma factor","BSU_04700","rsbU"
"BSU_25200","sigA","sigma factor","BSU_04730","sigB"
"BSU_25200","sigA","sigma factor","BSU_04720","rsbW"
"BSU_25200","sigA","sigma factor","BSU_04670","rsbR"
"BSU_25200","sigA","sigma factor","BSU_04680","rsbS"
"BSU_25200","sigA","sigma factor","BSU_04740","rsbX"
"BSU_25200","sigA","sigma factor","BSU_04710","rsbV"
"BSU_25200","sigA","sigma factor","BSU_04690","rsbT"
"BSU_04730","sigB","sigma factor","BSU_04700","rsbU"
"BSU_04730","sigB","sigma factor","BSU_04730","sigB"
"BSU_04730","sigB","sigma factor","BSU_04720","rsbW"
"BSU_04730","sigB","sigma factor","BSU_04670","rsbR"
"BSU_04730","sigB","sigma factor","BSU_04680","rsbS"
"BSU_04730","sigB","sigma factor","BSU_04740","rsbX"
"BSU_04730","sigB","sigma factor","BSU_04710","rsbV"
"BSU_04730","sigB","sigma factor","BSU_04690","rsbT"
"BSU_29740","ccpA","repression","BSU_04700","rsbU"
"BSU_29740","ccpA","repression","BSU_04730","sigB"
"BSU_29740","ccpA","repression","BSU_04720","rsbW"
"BSU_29740","ccpA","repression","BSU_04670","rsbR"
"BSU_29740","ccpA","repression","BSU_04680","rsbS"
"BSU_29740","ccpA","repression","BSU_04740","rsbX"
"BSU_29740","ccpA","repression","BSU_04710","rsbV"
"BSU_29740","ccpA","repression","BSU_04690","rsbT"
"BSU_25200","sigA","sigma factor","BSU_12320","yjmC"
"BSU_25200","sigA","sigma factor","BSU_12370","exuR"
"BSU_25200","sigA","sigma factor","BSU_12360","exuT"
"BSU_25200","sigA","sigma factor","BSU_12340","uxuA"
"BSU_25200","sigA","sigma factor","BSU_12380","uxaB"
"BSU_25200","sigA","sigma factor","BSU_12350","yjmF"
"BSU_25200","sigA","sigma factor","BSU_12330","yjmD"
"BSU_25200","sigA","sigma factor","BSU_12390","uxaA"
"BSU_15320","sigE","sigma factor","BSU_12320","yjmC"
"BSU_15320","sigE","sigma factor","BSU_12370","exuR"
"BSU_15320","sigE","sigma factor","BSU_12360","exuT"
"BSU_15320","sigE","sigma factor","BSU_12340","uxuA"
"BSU_15320","sigE","sigma factor","BSU_12380","uxaB"
"BSU_15320","sigE","sigma factor","BSU_12350","yjmF"
"BSU_15320","sigE","sigma factor","BSU_12330","yjmD"
"BSU_15320","sigE","sigma factor","BSU_12390","uxaA"
"BSU_12370","exuR","repression","BSU_12320","yjmC"
"BSU_12370","exuR","repression","BSU_12370","exuR"
"BSU_12370","exuR","repression","BSU_12360","exuT"
"BSU_12370","exuR","repression","BSU_12340","uxuA"
"BSU_12370","exuR","repression","BSU_12380","uxaB"
"BSU_12370","exuR","repression","BSU_12350","yjmF"
"BSU_12370","exuR","repression","BSU_12330","yjmD"
"BSU_12370","exuR","repression","BSU_12390","uxaA"
"BSU_29740","ccpA","repression","BSU_12320","yjmC"
"BSU_29740","ccpA","repression","BSU_12370","exuR"
"BSU_29740","ccpA","repression","BSU_12360","exuT"
"BSU_29740","ccpA","repression","BSU_12340","uxuA"
"BSU_29740","ccpA","repression","BSU_12380","uxaB"
"BSU_29740","ccpA","repression","BSU_12350","yjmF"
"BSU_29740","ccpA","repression","BSU_12330","yjmD"
"BSU_29740","ccpA","repression","BSU_12390","uxaA"
