qualifier
acts_upstream_of
acts_upstream_of_negative_effect
acts_upstream_of_or_within
acts_upstream_of_or_within_negative_effect
acts_upstream_of_or_within_positive_effect
acts_upstream_of_positive_effect
colocalizes_with
contributes_to
enables
involved_in
is_active_in
located_in
NOT|acts_upstream_of_or_within
NOT|acts_upstream_of_or_within_negative_effect
NOT|acts_upstream_of_or_within_positive_effect
NOT|enables
NOT|involved_in
NOT|is_active_in
NOT|located_in
NOT|part_of
part_of
