id annotated
GO:0000910 FALSE
GO:0001101 FALSE
GO:0001539 FALSE
GO:0002831 FALSE
GO:0002832 FALSE
GO:0002833 FALSE
GO:0007049 FALSE
GO:0007610 FALSE
GO:0009605 FALSE
GO:0009607 FALSE
GO:0009628 FALSE
GO:0009719 FALSE
GO:0009790 FALSE
GO:0014076 FALSE
GO:0031577 FALSE
GO:0032101 FALSE
GO:0032102 FALSE
GO:0032103 FALSE
GO:0033554 FALSE
GO:0036270 FALSE
GO:0036271 FALSE
GO:0036272 FALSE
GO:0036273 FALSE
GO:0036274 FALSE
GO:0036275 FALSE
GO:0036276 FALSE
GO:0036277 FALSE
GO:0036287 FALSE
GO:0036288 FALSE
GO:0042221 FALSE
GO:0042710 FALSE
GO:0044848 FALSE
GO:0048583 FALSE
GO:0048584 FALSE
GO:0048585 FALSE
GO:0050896 FALSE
GO:0051338 FALSE
GO:0051347 FALSE
GO:0051348 FALSE
GO:0051716 FALSE
GO:0060089 FALSE
GO:0070603 FALSE
GO:0070887 FALSE
GO:0071173 FALSE
GO:0071174 FALSE
GO:0071214 FALSE
GO:0071216 FALSE
GO:0071229 FALSE
GO:0071411 FALSE
GO:0071495 FALSE
GO:0071496 FALSE
GO:0080134 FALSE
GO:0090231 FALSE
GO:0090232 FALSE
GO:0090233 FALSE
GO:0097366 FALSE
GO:0098590 FALSE
GO:0098798 FALSE
GO:0098802 FALSE
GO:0099134 FALSE
GO:0099135 FALSE
GO:0099136 FALSE
GO:0110100 FALSE
GO:1901976 FALSE
GO:1901977 FALSE
GO:1902518 FALSE
GO:1902519 FALSE
GO:1902520 FALSE
GO:1902521 FALSE
GO:1902522 FALSE
GO:1903491 FALSE
GO:1903504 FALSE
GO:1905119 FALSE
GO:1905120 FALSE
GO:1990054 FALSE
