"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","source","sourceLink","intType","species"
"WBGene00003231","WBGene00004078","mex-6","pos-1","mex-6","pos-1","mex-6","pos-1","wormbase","WBInteraction000052662","physical","txid6239"
"WBGene00003231","WBGene00001263","mex-6","emb-9","mex-6","WBGene00001263","mex-6","emb-9","wormbase","WBInteraction000523104","physical","txid6239"
"WBGene00003231","WBGene00001961","mex-6","hlh-17","mex-6","hlh-17","mex-6","hlh-17","wormbase","WBInteraction000526283","physical","txid6239"
"WBGene00003231","WBGene00006827","mex-6","unc-98","mex-6","unc-98","mex-6","unc-98","wormbase","WBInteraction000527615","physical","txid6239"
"WBGene00003231","WBGene00004042","mex-6","plk-1","mex-6","plk-1","mex-6","plk-1","wormbase","WBInteraction000541654","physical","txid6239"
"WBGene00003231","WBGene00004043","mex-6","plk-2","mex-6","plk-2","mex-6","plk-2","wormbase","WBInteraction000541655","physical","txid6239"
"WBGene00003231","WBGene00003230","mex-6","mex-5","mex-6","mex-5","mex-6","mex-5","wormbase","WBInteraction000554922","physical","txid6239"
"WBGene00004078","WBGene00004096","pos-1","pqm-1","pos-1","pqm-1","pos-1","pqm-1","wormbase","WBInteraction000505412","physical","txid6239"
"WBGene00004078","WBGene00018833","pos-1","ztf-1","pos-1","ztf-1","pos-1","ztf-1","wormbase","WBInteraction000505413","physical","txid6239"
"WBGene00004078","WBGene00003037","pos-1","lin-54","pos-1","lin-54","pos-1","lin-54","wormbase","WBInteraction000505414","physical","txid6239"
"WBGene00004078","WBGene00002363","pos-1","let-92","pos-1","let-92","pos-1","let-92","wormbase","WBInteraction000541082","physical","txid6239"
"WBGene00006941","WBGene00013355","wnk-1","gck-3","wnk-1","gck-3","wnk-1","gck-3","wormbase","WBInteraction000052741","physical","txid6239"
"WBGene00006381","WBGene00006994","tac-1","zyg-9","tac-1","zyg-9","tac-1","zyg-9","wormbase","WBInteraction000052760","physical","txid6239"
"WBGene00006381","WBGene00000813","tac-1","csn-1","tac-1","csn-1","tac-1","csn-1","wormbase","WBInteraction000523005","physical","txid6239"
"WBGene00006381","WBGene00003052","tac-1","lmn-1","tac-1","lmn-1","tac-1","lmn-1","wormbase","WBInteraction000522998","physical","txid6239"
"WBGene00006381","WBGene00021784","tac-1","cogc-4","tac-1","cogc-4","tac-1","cogc-4","wormbase","WBInteraction000523003","physical","txid6239"
"WBGene00006381","WBGene00004980","tac-1","spk-1","tac-1","spk-1","tac-1","spk-1","wormbase","WBInteraction000522995","physical","txid6239"
"WBGene00006381","WBGene00006754","tac-1","unc-15","tac-1","unc-15","tac-1","unc-15","wormbase","WBInteraction000522999","physical","txid6239"
"WBGene00006381","WBGene00001006","tac-1","dlg-1","tac-1","dlg-1","tac-1","dlg-1","wormbase","WBInteraction000522996","physical","txid6239"
"WBGene00006381","WBGene00002010","tac-1","hsp-6","tac-1","hsp-6","tac-1","hsp-6","wormbase","WBInteraction000522997","physical","txid6239"
"WBGene00000272","WBGene00004393","bro-1","rnt-1","WBGene00000272","rnt-1","bro-1","rnt-1","wormbase","WBInteraction000052769","physical","txid6239"
"WBGene00004393","WBGene00006604","rnt-1","tra-1","rnt-1","tra-1","rnt-1","tra-1","wormbase","WBInteraction000505431","physical","txid6239"
"WBGene00004393","WBGene00008762","rnt-1","ztf-2","rnt-1","ztf-2","rnt-1","ztf-2","wormbase","WBInteraction000528029","physical","txid6239"
"WBGene00004393","WBGene00004858","rnt-1","sma-4","rnt-1","sma-4","rnt-1","sma-4","wormbase","WBInteraction000541499","physical","txid6239"
"WBGene00018572","WBGene00000908","lin-42","daf-12","lin-42","daf-12","lin-42","daf-12","wormbase","WBInteraction000500084","physical","txid6239"
"WBGene00000908","WBGene00008549","daf-12","din-1","daf-12","din-1","daf-12","din-1","wormbase","WBInteraction000541284","physical","txid6239"
"WBGene00004077","WBGene00006379","pop-1","sys-1","pop-1","sys-1","pop-1","sys-1","wormbase","WBInteraction000500225","physical","txid6239"
"WBGene00004077","WBGene00003102","pop-1","mab-5","pop-1","mab-5","pop-1","mab-5","wormbase","WBInteraction000505408","physical","txid6239"
"WBGene00004077","WBGene00004804","pop-1","skn-1","pop-1","skn-1","pop-1","skn-1","wormbase","WBInteraction000505409","physical","txid6239"
"WBGene00004077","WBGene00001174","pop-1","egl-5","pop-1","egl-5","pop-1","egl-5","wormbase","WBInteraction000522248","physical","txid6239"
"WBGene00004077","WBGene00006943","pop-1","wrm-1","pop-1","wrm-1","pop-1","wrm-1","wormbase","WBInteraction000522262","physical","txid6239"
"WBGene00004077","WBGene00001834","pop-1","hda-1","pop-1","hda-1","pop-1","hda-1","wormbase","WBInteraction000522284","physical","txid6239"
"WBGene00004077","WBGene00000238","pop-1","bar-1","pop-1","bar-1","pop-1","bar-1","wormbase","WBInteraction000522260","physical","txid6239"
"WBGene00004077","WBGene00003920","pop-1","par-5","pop-1","par-5","pop-1","par-5","wormbase","WBInteraction000522267","physical","txid6239"
"WBGene00004077","WBGene00006773","pop-1","unc-37","pop-1","unc-37","pop-1","unc-37","wormbase","WBInteraction000522283","physical","txid6239"
