"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","source","sourceLink","intType","species"
"FBgn0010333","FBgn0015279","Rac1","Pi3K92E","Rac1","Pi3K92E","Rac1","Pi3K92E","flybase","FBrf0241775","suppressible","txid7227"
"FBgn0010333","FBgn0010303","Rac1","hep","Rac1","hep","Rac1","hep","flybase","FBrf0192599","suppressible","txid7227"
"FBgn0010333","FBgn0004656","Rac1","fs(1)h","Rac1","fs(1)h","Rac1","fs(1)h","flybase","FBrf0226135","suppressible","txid7227"
"FBgn0010333","FBgn0028734","Rac1","Fmr1","Rac1","Fmr1","Rac1","Fmr1","flybase","FBrf0167501","suppressible","txid7227"
"FBgn0010333","FBgn0027598","Rac1","cindr","Rac1","cindr","Rac1","cindr","flybase","FBrf0204348","enhanceable","txid7227"
"FBgn0010333","FBgn0035590","Rac1","Prpk","Rac1","Tcs5","Rac1","Prpk","flybase","FBrf0253823","suppressible","txid7227"
"FBgn0010333","FBgn0003079","Rac1","Raf","Rac1","Raf","Rac1","Raf","flybase","FBrf0131402","suppressible","txid7227"
"FBgn0010333","FBgn0004198","Rac1","ct","Rac1","ct","Rac1","ct","flybase","FBrf0202055","enhanceable","txid7227"
"FBgn0010333","FBgn0024277","Rac1","trio","Rac1","trio","Rac1","trio","flybase","FBrf0128589","enhanceable","txid7227"
"FBgn0010333","FBgn0026252","Rac1","msk","Rac1","msk","Rac1","msk","flybase","FBrf0223327","suppressible","txid7227"
"FBgn0010333","FBgn0016078","Rac1","wun","Rac1","wun","Rac1","wun","flybase","FBrf0210764","suppressible","txid7227"
"FBgn0010333","FBgn0041087","Rac1","wun2","Rac1","wun2","Rac1","wun2","flybase","FBrf0210764","suppressible","txid7227"
"FBgn0010333","FBgn0033483","Rac1","egr","Rac1","egr","Rac1","egr","flybase","FBrf0231848","suppressible","txid7227"
"FBgn0010333","FBgn0015513","Rac1","mbc","Rac1","mbc","Rac1","mbc","flybase","FBrf0202723","suppressible","txid7227"
"FBgn0010333","FBgn0283712","Rac1","LIMK1","Rac1","LIMK1","Rac1","LIMK1","flybase","FBrf0180582","enhanceable","txid7227"
"FBgn0010333","FBgn0026379","Rac1","Pten","Rac1","Pten","Rac1","Pten","flybase","FBrf0220689","suppressible","txid7227"
"FBgn0010333","FBgn0000464","Rac1","Lar","Rac1","Lar","Rac1","Lar","flybase","FBrf0100716","enhanceable","txid7227"
"FBgn0010333","FBgn0025641","Rac1","DAAM","Rac1","DAAM","Rac1","DAAM","flybase","FBrf0229019","enhanceable","txid7227"
"FBgn0010333","FBgn0259685","Rac1","crb","Rac1","crb","Rac1","crb","flybase","FBrf0147105","suppressible","txid7227"
"FBgn0010333","FBgn0025630","Rac1","Rtca","Rac1","Rtca","Rac1","Rtca","flybase","FBrf0228534","suppressible","txid7227"
"FBgn0010333","FBgn0003041","Rac1","pbl","Rac1","pbl","Rac1","pbl","flybase","FBrf0206776","suppressible","txid7227"
"FBgn0010333","FBgn0000499","Rac1","dsh","Rac1","dsh","Rac1","dsh","flybase","FBrf0192599","suppressible","txid7227"
"FBgn0010333","FBgn0004647","Rac1","N","Rac1","N","Rac1","N","flybase","FBrf0213493","suppressible","txid7227"
"FBgn0010333","FBgn0001965","Rac1","Sos","Rac1","Sos","Rac1","Sos","flybase","FBrf0155484","enhanceable","txid7227"
"FBgn0003079","FBgn0001075","Raf","ft","Raf","ft","Raf","ft","flybase","FBrf0184134","suppressible","txid7227"
"FBgn0003079","FBgn0264959","Raf","Src42A","Raf","Src42A","Raf","Src42A","flybase","FBrf0089086","suppressible","txid7227"
"FBgn0003079","FBgn0000097","Raf","aop","Raf","aop","Raf","aop","flybase","FBrf0086690","suppressible","txid7227"
"FBgn0003079","FBgn0004569","Raf","aos","Raf","aos","Raf","aos","flybase","FBrf0089814","suppressible","txid7227"
"FBgn0003079","FBgn0004370","Raf","Ptp10D","Raf","Ptp10D","Raf","Ptp10D","flybase","FBrf0208606","enhanceable","txid7227"
"FBgn0003079","FBgn0004368","Raf","Ptp4E","Raf","Ptp4E","Raf","Ptp4E","flybase","FBrf0208606","enhanceable","txid7227"
